stocks,first_lower,second_lower,third_lower,first_higher,second_higher,third_higher,close_data
ACC,1900.0,1803.0,1592.35,2104.0,2150.0,2397.0,2007.65
APLAPOLLO,1341.95,1337.9,1305.0,1652.6,1728.95,1800.0,1509.55
AUBANK,567.5,553.7,548.0,609.0,630.4,677.2,600.95
ABCAPITAL,162.45,155.0,139.7,199.3,244.0,246.9,179.39
ABFRL,250.0,223.7,221.3,281.4,318.7,322.0,273.85
ALKEM,4407.05,4243.0,4070.0,5520.0,5578.8,6439.9,5063.05
APOLLOTYRE,429.0,365.0,303.35,440.9,441.65,557.0,437.3
ASHOKLEY,186.55,184.65,164.5,264.65,,,216.83
ASTRAL,1438.35,1403.4,1318.45,1740.0,1773.0,1829.9,1507.3
AUROPHARMA,1063.9,1023.7,967.5,1177.1,1592.0,,1171.9
BSE,3264.7,2115.0,1941.05,,,,5305.95
BALKRISIND,2753.05,2723.8,2450.0,2795.5,3375.0,,2771.25
BANDHANBNK,,,,152.2,169.15,182.15,151.38
BANKINDIA,109.55,103.5,101.4,120.5,157.95,,112.52
MAHABANK,47.37,36.25,32.0,51.9,59.0,73.5,51.29
BDL,890.0,776.05,639.0,1794.7,,,1305.0
BHARATFORG,1148.05,1063.0,919.45,1330.0,1804.5,,1224.05
BHARTIHEXA,,,,1368.6,1568.0,1609.3,1354.9
BIOCON,314.8,303.0,279.9,363.25,370.15,395.8,362.55
CGPOWER,503.45,359.2,338.6,874.7,,,634.85
COCHINSHIP,1265.0,945.0,629.25,2979.45,,,1532.3
COFORGE,6847.45,6135.0,6030.0,10026.8,,,8263.85
COLPAL,1823.4,1695.95,1676.0,3890.0,,,2821.55
CONCOR,754.4,748.0,718.0,828.75,880.7,1180.0,780.1
CUMMINSIND,1980.15,1653.3,1162.0,4171.9,,,2914.05
DELHIVERY,291.0,,,354.2,355.2,447.65,321.05
DIXON,6243.6,4735.0,4690.0,19148.9,,,14985.95
ESCORTS,3440.15,3102.0,2648.4,4409.55,4420.0,,3623.45
EXIDEIND,290.35,241.7,219.3,534.4,620.35,,374.5
NYKAA,158.1,149.75,139.8,195.5,201.25,203.15,168.9
FEDERALBNK,166.35,148.0,143.4,206.59,217.0,,187.21
FACT,908.0,785.0,579.8,1084.0,1187.0,,920.95
GMRAIRPORT,70.65,66.75,49.15,73.0,94.35,103.75,72.67
GODREJPROP,1769.0,1572.25,1529.95,2598.0,3402.7,,2329.45
HDFCAMC,3415.55,3365.0,3358.9,4066.5,4864.0,,3869.9
HINDPETRO,215.55,187.0,185.6,385.55,457.15,,358.25
HINDZINC,408.6,383.0,371.7,475.4,807.7,,450.15
HUDCO,192.11,58.85,58.25,262.7,353.7,,229.7
IDBI,76.2,74.75,65.25,98.7,107.9,,81.12
IDFCFIRSTB,62.0,59.3,53.5,64.3,69.3,75.05,63.24
IRB,45.06,34.9,34.6,58.25,61.99,78.15,57.32
INDIANB,487.35,481.45,252.2,573.75,615.15,632.7,555.75
INDHOTEL,506.45,436.45,371.6,894.9,,,764.7
IOB,48.44,36.7,29.0,51.1,58.6,59.94,51.0
IREDA,,,,214.8,310.0,,202.11
IGL,198.6,187.85,182.05,203.5,211.5,226.0,201.8
INDUSTOWER,332.8,315.5,296.5,460.35,,,347.2
JSWINFRA,,,,276.0,276.2,360.95,275.0
JUBLFOOD,652.35,643.1,586.95,715.45,918.0,,703.9
KPITTECH,1293.05,801.0,764.2,1640.0,1764.0,1928.7,1409.2
KALYANKJIL,336.05,134.2,100.95,786.25,,,503.1
LTF,144.6,140.2,124.65,179.0,189.45,194.25,145.47
LICHSGFIN,544.8,533.95,478.9,826.75,,,598.1
LUPIN,1986.0,1493.3,1267.65,2312.0,,,2080.45
MRF,98599.95,96000.0,87550.0,116347.85,143849.9,151445.0,113632.5
M&MFIN,265.7,254.3,239.9,340.25,343.0,,284.95
MRPL,127.65,57.8,56.6,170.1,289.25,,129.5
MANKIND,1949.0,1901.05,1683.05,2490.0,3054.8,,2435.4
MARICO,607.7,595.0,579.6,719.85,,,670.65
MFSL,1092.0,1080.7,1067.5,1148.05,1306.45,,1115.75
MAXHEALTH,979.9,910.0,630.0,1118.0,,,1061.25
