token,symbol,levels,ltp
4843777,VBL,"((624.8, '2024-02'), 8)",626.75
3912449,KNRCON,"((305.5, '2023-11'), 9)",305.25
1716481,PAYTM,"((844.7, '2022-08'), 12)",845.4
81153,BAJFINANCE,"((6492.6, '2021-12'), 18)",6465.65
4708097,RBLBANK,"((155.6, '2021-08'), 12)",156.23
4708097,RBLBANK,"((156.1, '2020-09'), 7)",156.23
4610817,WHIRLPOOL,"((1733.0, '2023-10'), 8)",1735.85
492033,KOTAKBANK,"((1740.0, '2020-02'), 74)",1737.1
2995969,ALKEM,"((5578.8, '2024-05'), 1)",5604.75
2995969,ALKEM,"((5520.0, '2024-02'), 3)",5604.75
