token,symbol,levels,ltp
2031617,AVANTIFEED,"[((674.85, '2021-07'), 3)]",678.3
3912449,KNRCON,"[((343.9, '2021-09'), 6), ((329.85, '2022-02'), 3)]",330.95
418049,IPCALAB,"[((1374.6, '2024-04'), 1), ((1383.1, '2021-09'), 1)]",1384.65
873217,TATAELXSI,"[((7947.0, '2023-06'), 16)]",8000.7
2983425,LALPATHLAB,"[((3285.1, '2021-10'), 3), ((3399.3, '2021-04'), 9)]",3417.4
3463169,GMRINFRA,"[((94.35, '2024-02'), 2)]",94.48
3937281,MANKIND,"[((2490.0, '2024-04'), 1)]",2487.75
193793,CRISIL,"[((4454.95, '2023-11'), 8)]",4461.75
341249,HDFCBANK,"[((1641.0, '2021-02'), 44)]",1636.9
4632577,JUBLFOOD,"[((652.35, '2022-10'), 3)]",650.3
4708097,RBLBANK,"[((221.3, '2021-11'), 15), ((226.4, '2021-07'), 15)]",227.45
149249,CANFINHOME,"[((859.9, '2024-02'), 5)]",863.55
5051137,GPPL,"[((225.35, '2024-04'), 4)]",225.51
4923905,LAURUSLABS,"[((471.0, '2024-04'), 15)]",470.15
