stocks,levels
NATIONALUM,"{""(48.75, '2020-01')"": 4, ""(24.4, '2020-03')"": 1, ""(40.05, '2020-08')"": 6, ""(29.1, '2020-10')"": 5, ""(127.95, '2021-10')"": 4, ""(132.7, '2022-03')"": 5, ""(83.8, '2022-09')"": 27, ""(86.55, '2023-01')"": 4, ""(106.35, '2023-09')"": 5, ""(147.15, '2024-06')"": 4}"
MUTHOOTFIN,"{""(954.5, '2020-02')"": 9, ""(476.8, '2020-03')"": 1, ""(1405.75, '2020-07')"": 15, ""(1000.0, '2020-09')"": 16, ""(1361.6, '2021-02')"": 26, ""(1090.0, '2021-02')"": 16, ""(1638.85, '2021-08')"": 6, ""(1721.95, '2021-11')"": 7, ""(960.4, '2022-06')"": 10, ""(1213.95, '2022-08')"": 23, ""(950.2, '2022-09')"": 4, ""(1158.75, '2022-12')"": 21, ""(911.25, '2023-03')"": 5, ""(1379.95, '2023-08')"": 19, ""(1182.35, '2023-10')"": 24, ""(1537.35, '2024-01')"": 19, ""(1261.9, '2024-02')"": 26, ""(2078.75, '2024-09')"": 1}"
SWANENERGY,"{""(154.45, '2020-02')"": 2, ""(86.0, '2020-03')"": 1, ""(160.0, '2020-08')"": 3, ""(108.0, '2020-09')"": 5, ""(157.0, '2020-11')"": 2, ""(118.45, '2020-12')"": 8, ""(152.4, '2021-03')"": 3, ""(126.15, '2021-04')"": 25, ""(175.85, '2021-07')"": 4, ""(119.15, '2021-08')"": 9, ""(113.7, '2021-11')"": 7, ""(336.9, '2022-05')"": 1, ""(180.5, '2022-07')"": 2, ""(379.0, '2023-01')"": 1, ""(192.65, '2023-03')"": 5, ""(214.25, '2023-08')"": 18, ""(782.25, '2024-02')"": 2, ""(437.1, '2024-03')"": 2, ""(764.4, '2024-08')"": 4, ""(455.7, '2024-10')"": 2}"
GODREJIND,"{""(233.4, '2020-05')"": 1, ""(479.0, '2020-09')"": 23, ""(352.0, '2020-11')"": 4, ""(483.35, '2020-12')"": 20, ""(611.55, '2021-05')"": 10, ""(617.65, '2021-08')"": 15, ""(662.0, '2022-01')"": 7, ""(550.0, '2022-06')"": 17, ""(405.0, '2022-06')"": 22, ""(504.0, '2022-09')"": 16, ""(401.45, '2022-11')"": 19, ""(489.05, '2022-12')"": 18, ""(395.0, '2023-03')"": 10, ""(724.2, '2024-03')"": 2, ""(990.0, '2024-05')"": 2, ""(725.0, '2024-06')"": 2, ""(1314.0, '2024-09')"": 1}"
AEGISLOG,"{""(267.05, '2020-02')"": 10, ""(107.25, '2020-03')"": 1, ""(387.9, '2021-06')"": 19, ""(191.75, '2021-11')"": 19, ""(251.0, '2021-12')"": 8, ""(167.25, '2022-02')"": 6, ""(248.0, '2022-04')"": 8, ""(410.5, '2023-04')"": 2, ""(308.6, '2023-06')"": 7, ""(387.15, '2023-08')"": 12, ""(280.0, '2023-11')"": 18, ""(970.0, '2024-07')"": 1, ""(647.8, '2024-10')"": 2}"
HINDALCO,"{""(221.2, '2020-01')"": 1, ""(84.9, '2020-03')"": 2, ""(203.15, '2020-08')"": 8, ""(551.85, '2021-10')"": 4, ""(407.1, '2021-11')"": 19, ""(636.0, '2022-03')"": 7, ""(308.95, '2022-06')"": 2, ""(504.0, '2023-01')"": 8, ""(381.0, '2023-03')"": 12, ""(620.5, '2024-01')"": 9, ""(496.35, '2024-02')"": 12, ""(715.25, '2024-06')"": 5, ""(772.65, '2024-10')"": 1}"
PHOENIXLTD,"{""(489.5, '2020-02')"": 18, ""(232.5, '2020-05')"": 1, ""(369.0, '2020-08')"": 9, ""(270.85, '2020-09')"": 10, ""(435.55, '2021-02')"": 25, ""(326.4, '2021-03')"": 7, ""(597.5, '2021-11')"": 5, ""(442.5, '2022-03')"": 18, ""(812.0, '2022-11')"": 5, ""(631.9, '2022-12')"": 8, ""(593.2, '2023-03')"": 5, ""(2068.5, '2024-07')"": 1, ""(1338.05, '2024-10')"": 5}"
VEDL,"{""(124.1, '2020-01')"": 1, ""(18.2, '2020-03')"": 1, ""(99.5, '2020-09')"": 8, ""(49.2, '2020-11')"": 2, ""(343.9, '2021-10')"": 3, ""(398.75, '2022-04')"": 3, ""(164.0, '2022-07')"": 1, ""(298.75, '2023-01')"": 8, ""(219.95, '2023-02')"": 16, ""(258.95, '2023-05')"": 7, ""(166.0, '2023-09')"": 4, ""(218.5, '2024-03')"": 9, ""(475.75, '2024-05')"": 3, ""(523.65, '2024-09')"": 1}"
CROMPTON,"{""(301.45, '2020-02')"": 30, ""(177.3, '2020-03')"": 1, ""(456.0, '2021-01')"": 16, ""(350.35, '2021-04')"": 11, ""(512.8, '2021-09')"": 1, ""(354.4, '2022-02')"": 10, ""(312.0, '2022-06')"": 8, ""(429.0, '2022-09')"": 26, ""(251.0, '2023-04')"": 8, ""(319.5, '2023-09')"": 9, ""(275.3, '2023-11')"": 16, ""(327.95, '2024-01')"": 8, ""(261.25, '2024-03')"": 15, ""(484.0, '2024-09')"": 8}"
SUZLON,"{""(1.65, '2019-12')"": 6, ""(3.2, '2020-01')"": 17, ""(1.55, '2020-03')"": 1, ""(5.55, '2020-07')"": 21, ""(2.5, '2020-10')"": 24, ""(7.75, '2021-01')"": 13, ""(4.05, '2021-04')"": 12, ""(8.7, '2021-07')"": 18, ""(12.05, '2022-01')"": 1, ""(5.4, '2022-07')"": 11, ""(10.75, '2022-09')"": 7, ""(12.15, '2022-12')"": 1, ""(6.95, '2023-03')"": 11, ""(50.6, '2024-02')"": 2, ""(35.5, '2024-03')"": 2, ""(86.04, '2024-09')"": 1}"
