stocks,levels
APOLLOTYRE,"{""73.4"": 1, ""261.25"": 1, ""243.0"": 6, ""203.35"": 11, ""250.0"": 9, ""245.0"": 8, ""165.25"": 16, ""224.5"": 26, ""167.1"": 13, ""303.35"": 4, ""440.9"": 5, ""365.0"": 4, ""557.9"": 2, ""441.65"": 5, ""429.0"": 9, ""584.9"": 1, ""557.0"": 4}"
ARE&M,"{""813.85"": 18, ""348.55"": 1, ""1025.55"": 3, ""665.0"": 15, ""781.6"": 17, ""520.0"": 6, ""438.05"": 1, ""479.15"": 6, ""668.15"": 12, ""546.0"": 4, ""709.0"": 19, ""599.0"": 14, ""737.7"": 40, ""1775.95"": 1}"
ASHOKLEY,"{""82.55"": 1, ""28.75"": 1, ""133.95"": 24, ""101.25"": 2, ""148.55"": 9, ""88.25"": 5, ""164.5"": 11, ""130.25"": 13, ""151.35"": 6, ""128.15"": 18, ""186.55"": 2, ""159.8"": 13, ""184.65"": 5, ""152.6"": 3, ""264.65"": 1}"
ASKAUTOLTD,"{""334.55"": 2, ""240.1"": 1, ""485.3"": 6, ""508.95"": 1}"
ATULAUTO,"{""298.45"": 2, ""116.8"": 1, ""203.4"": 15, ""151.7"": 3, ""218.9"": 9, ""164.2"": 16, ""237.0"": 13, ""183.4"": 20, ""268.25"": 7, ""146.5"": 2, ""213.3"": 8, ""152.05"": 6, ""434.0"": 1, ""325.0"": 3, ""693.0"": 5, ""470.0"": 1, ""844.4"": 1}"
BAJAJ-AUTO,"{""3315.15"": 14, ""1788.65"": 1, ""3159.0"": 16, ""2822.45"": 7, ""4361.4"": 3, ""3447.0"": 18, ""4347.0"": 3, ""3647.15"": 44, ""4050.0"": 16, ""3027.05"": 28, ""3125.0"": 19, ""4000.0"": 18, ""4131.75"": 13, ""3461.25"": 13, ""3995.0"": 18, ""3520.05"": 18, ""4541.0"": 7, ""12774.0"": 1}"
BALKRISIND,"{""1297.95"": 4, ""679.0"": 1, ""1875.0"": 4, ""2723.8"": 15, ""1690.55"": 12, ""2450.0"": 22, ""1796.3"": 7, ""2350.0"": 30, ""1908.9"": 14, ""2795.5"": 12, ""2193.8"": 23, ""3375.0"": 2, ""2753.05"": 12}"
BANCOINDIA,"{""27.05"": 1, ""53.5"": 4, ""87.4"": 10, ""73.1"": 12, ""112.55"": 8, ""59.05"": 3, ""135.0"": 6, ""367.0"": 4, ""256.0"": 8, ""259.2"": 3, ""399.6"": 2, ""317.5"": 9, ""594.4"": 1}"
BBTC,"{""990.1"": 16, ""535.0"": 1, ""1565.0"": 9, ""1171.55"": 30, ""1387.0"": 6, ""1101.0"": 35, ""1424.95"": 9, ""980.5"": 19, ""839.9"": 5, ""851.95"": 13, ""1040.85"": 18, ""856.0"": 10, ""1048.0"": 9, ""781.05"": 1, ""1839.95"": 1, ""1318.2"": 24, ""2975.0"": 1}"
BOSCHLTD,"{""7850.0"": 1, ""14725.85"": 18, ""11265.05"": 3, ""16830.05"": 25, ""16250.0"": 12, ""13225.0"": 11, ""13412.05"": 19, ""19250.0"": 21, ""12932.45"": 13, ""18224.7"": 20, ""19990.0"": 3, ""17931.15"": 9, ""36678.0"": 6, ""27500.0"": 2, ""39088.8"": 2}"
CEATLTD,"{""910.0"": 16, ""1094.4"": 10, ""600.0"": 1, ""1249.0"": 14, ""1763.0"": 6, ""1269.1"": 8, ""1477.75"": 8, ""1421.4"": 11, ""919.2"": 14, ""1211.0"": 9, ""890.0"": 20, ""1981.0"": 1, ""1357.0"": 17, ""2642.0"": 15, ""2056.35"": 5, ""2998.45"": 9, ""2210.15"": 5, ""3263.0"": 2, ""2660.0"": 13, ""3578.8"": 1}"
CRAFTSMAN,"{""2778.0"": 9, ""1840.0"": 2, ""2498.75"": 5, ""2026.6"": 12, ""3710.95"": 2, ""2735.0"": 5, ""4214.35"": 4, ""5513.65"": 5, ""3782.05"": 1, ""4080.2"": 5, ""7121.25"": 1}"
EICHERMOT,"{""1245.0"": 1, ""2387.25"": 12, ""2015.2"": 4, ""3037.0"": 8, ""2303.7"": 8, ""2797.9"": 15, ""2471.2"": 14, ""2994.0"": 6, ""2360.0"": 8, ""2880.0"": 17, ""2159.55"": 23, ""3889.65"": 21, ""2836.0"": 12, ""3748.0"": 12, ""3160.0"": 10, ""3275.0"": 20, ""4200.0"": 5, ""5105.0"": 4, ""4508.75"": 2}"
ENDURANCE,"{""1204.95"": 7, ""564.5"": 1, ""1180.0"": 11, ""1249.4"": 19, ""1540.0"": 14, ""1989.0"": 7, ""1047.2"": 20, ""1259.0"": 20, ""1565.0"": 14, ""1179.0"": 10, ""1750.95"": 19, ""1540.05"": 14, ""2318.8"": 8, ""1716.2"": 15, ""3061.3"": 1, ""2648.0"": 4}"
ESCORTS,"{""914.7"": 2, ""526.05"": 1, ""1468.45"": 9, ""1100.0"": 5, ""1918.9"": 4, ""1934.0"": 5, ""1306.7"": 10, ""2358.35"": 3, ""1807.7"": 12, ""3440.15"": 16, ""2648.4"": 1, ""4409.55"": 1, ""4420.0"": 1, ""3102.0"": 11}"
EXIDEIND,"{""208.25"": 10, ""124.7"": 1, ""178.4"": 40, ""219.3"": 1, ""170.55"": 28, ""199.0"": 9, ""156.75"": 26, ""204.9"": 19, ""130.25"": 3, ""194.2"": 21, ""170.5"": 24, ""241.7"": 1, ""290.35"": 5, ""620.35"": 1, ""534.4"": 3}"
FIEMIND,"{""257.0"": 4, ""101.65"": 1, ""341.6"": 5, ""235.5"": 2, ""344.0"": 2, ""672.0"": 1, ""513.0"": 7, ""688.8"": 3, ""403.3"": 3, ""1043.5"": 6, ""708.1"": 6, ""1019.3"": 11, ""822.0"": 13, ""1299.0"": 7, ""981.0"": 8, ""1790.0"": 1}"
