stocks,levels
KARURVYSYA,"{""64.6"": 2, ""18.75"": 1, ""42.7"": 12, ""29.3"": 1, ""64.55"": 3, ""38.4"": 4, ""60.7"": 11, ""42.4"": 8, ""56.6"": 13, ""41.75"": 4, ""116.2"": 1, ""92.7"": 2, ""164.1"": 3, ""232.75"": 7, ""193.2"": 4, ""246.0"": 1}"
SBIN,"{""149.45"": 1, ""231.55"": 4, ""175.5"": 2, ""427.7"": 21, ""542.3"": 10, ""443.0"": 7, ""549.0"": 7, ""425.0"": 24, ""430.7"": 19, ""629.55"": 3, ""499.35"": 16, ""621.9"": 11, ""543.2"": 13, ""912.0"": 1, ""731.95"": 6, ""875.45"": 4}"
IDBI,"{""17.25"": 1, ""56.2"": 10, ""32.6"": 1, ""43.9"": 20, ""26.35"": 1, ""45.0"": 18, ""36.0"": 24, ""65.25"": 5, ""62.0"": 7, ""42.9"": 14, ""74.75"": 2, ""98.7"": 5, ""76.2"": 7, ""107.9"": 1}"
HDFCBANK,"{""1305.5"": 8, ""738.75"": 1, ""1157.95"": 1, ""1641.0"": 64, ""1353.0"": 21, ""1725.0"": 12, ""1722.1"": 12, ""1271.6"": 19, ""1702.4"": 17, ""1532.05"": 47, ""1757.5"": 8, ""1460.25"": 46, ""1721.4"": 13, ""1363.55"": 18, ""1794.0"": 9, ""1880.0"": 3}"
KOTAKBANK,"{""1740.0"": 84, ""1001.0"": 1, ""1230.6"": 7, ""2049.0"": 6, ""1669.2"": 23, ""1626.0"": 19, ""2253.0"": 1, ""1721.0"": 73, ""1672.55"": 33, ""1951.75"": 43, ""1631.0"": 24, ""1997.55"": 18, ""1643.5"": 24, ""2064.4"": 5, ""1688.4"": 36, ""1926.5"": 42, ""1543.85"": 3, ""1942.0"": 35, ""1679.05"": 30}"
FEDERALBNK,"{""96.95"": 21, ""35.7"": 1, ""62.75"": 2, ""45.35"": 7, ""92.5"": 11, ""70.2"": 1, ""90.9"": 21, ""77.5"": 10, ""107.65"": 7, ""78.6"": 7, ""106.0"": 2, ""82.5"": 24, ""143.4"": 13, ""140.3"": 7, ""121.0"": 9, ""139.4"": 8, ""166.35"": 2, ""148.0"": 20, ""206.59"": 7, ""217.0"": 1}"
TMB,"{""548.5"": 7, ""402.35"": 9, ""611.35"": 1, ""450.95"": 33, ""499.0"": 23, ""418.1"": 17, ""513.55"": 17}"
UTKARSHBNK,"{""61.6"": 1, ""68.3"": 1, ""44.85"": 4, ""47.3"": 5}"
AUBANK,"{""609.0"": 37, ""183.0"": 1, ""408.45"": 6, ""677.2"": 23, ""455.0"": 9, ""694.9"": 16, ""462.5"": 10, ""732.95"": 23, ""539.0"": 10, ""686.6"": 12, ""567.5"": 31, ""694.7"": 16, ""548.0"": 13, ""795.0"": 3, ""630.4"": 60, ""813.4"": 2, ""553.7"": 15, ""700.95"": 19, ""755.4"": 18, ""534.45"": 4}"
ESAFSFB,"{""82.4"": 1, ""64.5"": 5, ""49.0"": 3}"
JSFB,"{""760.9"": 2}"
CAPITALSFB,"{""404.8"": 1, ""270.1"": 1}"
BANDHANBNK,"{""152.2"": 5, ""402.0"": 10, ""251.4"": 12, ""430.7"": 1, ""278.7"": 21, ""259.25"": 24, ""348.3"": 11, ""229.55"": 24, ""249.0"": 25, ""349.55"": 15, ""314.8"": 30, ""209.55"": 11, ""182.15"": 17, ""272.0"": 15, ""210.0"": 15, ""211.2"": 14, ""263.1"": 19, ""169.15"": 5, ""222.31"": 17}"
CSBBANK,"{""95.6"": 1, ""268.4"": 10, ""193.2"": 14, ""374.0"": 16, ""235.0"": 32, ""178.0"": 5, ""275.1"": 14, ""218.1"": 32, ""297.7"": 23, ""422.25"": 2, ""419.4"": 2, ""403.2"": 9, ""292.05"": 15}"
UJJIVANSFB,"{""23.1"": 3, ""43.15"": 14, ""30.0"": 14, ""44.6"": 12, ""26.5"": 9, ""34.4"": 29, ""17.8"": 4, ""14.05"": 2, ""13.5"": 1, ""33.5"": 32, ""22.75"": 2, ""63.0"": 1, ""43.35"": 9, ""40.0"": 18}"
BANKBARODA,"{""28.4"": 1, ""47.2"": 2, ""31.9"": 1, ""92.25"": 17, ""54.15"": 2, ""81.3"": 11, ""64.9"": 4, ""69.45"": 12, ""115.1"": 2, ""82.25"": 9, ""189.6"": 14, ""138.9"": 2, ""212.05"": 5, ""278.0"": 4, ""292.1"": 1, ""228.85"": 7, ""266.95"": 8}"
BANKINDIA,"{""30.4"": 1, ""59.0"": 8, ""38.2"": 1, ""101.4"": 4, ""87.0"": 4, ""52.7"": 17, ""59.6"": 13, ""43.15"": 3, ""40.4"": 12, ""103.5"": 16, ""66.05"": 12, ""89.2"": 7, ""69.5"": 29, ""157.95"": 1, ""109.55"": 18, ""96.0"": 7, ""120.5"": 15}"
ICICIBANK,"{""552.2"": 8, ""268.3"": 1, ""333.75"": 5, ""679.4"": 5, ""531.15"": 20, ""867.0"": 23, ""836.0"": 10, ""642.15"": 14, ""669.95"": 5, ""958.2"": 21, ""796.0"": 12, ""1008.7"": 15, ""899.0"": 17, ""1362.35"": 1, ""1350.45"": 1}"
INDUSINDBK,"{""1596.55"": 5, ""235.55"": 1, ""712.0"": 1, ""1119.5"": 18, ""811.0"": 9, ""1242.0"": 12, ""811.5"": 7, ""816.0"": 8, ""763.2"": 1, ""1275.8"": 16, ""1273.55"": 20, ""990.0"": 38, ""1694.5"": 1, ""1576.35"": 10, ""1498.0"": 34}"
J&KBANK,"{""11.0"": 1, ""20.75"": 1, ""14.05"": 2, ""33.0"": 7, ""22.5"": 4, ""44.3"": 1, ""48.3"": 6, ""23.8"": 4, ""62.8"": 2, ""44.55"": 2, ""152.5"": 1, ""116.15"": 4, ""102.65"": 7, ""88.11"": 4, ""109.55"": 18}"
CUB,"{""249.35"": 1, ""110.0"": 1, ""115.6"": 1, ""200.0"": 5, ""189.7"": 18, ""150.0"": 24, ""142.55"": 29, ""183.95"": 20, ""109.0"": 1, ""205.0"": 4, ""120.35"": 15, ""119.5"": 6, ""167.8"": 46, ""125.4"": 30, ""130.4"": 31, ""150.2"": 22, ""187.9"": 17}"
AXISBANK,"{""765.85"": 21, ""286.0"": 1, ""533.85"": 3, ""400.15"": 4, ""799.0"": 22, ""626.65"": 8, ""866.9"": 14, ""648.0"": 6, ""816.2"": 12, ""618.25"": 11, ""970.0"": 14, ""814.3"": 7, ""1151.85"": 23, ""995.7"": 12, ""1339.65"": 1}"
SOUTHBANK,"{""4.4"": 1, ""8.5"": 22, ""5.75"": 3, ""9.8"": 19, ""6.95"": 26, ""12.8"": 3, ""8.25"": 29, ""10.35"": 14, ""7.6"": 43, ""6.85"": 12, ""8.35"": 38, ""6.65"": 18, ""20.05"": 5, ""12.65"": 5, ""36.9"": 1, ""22.27"": 19}"
IOB,"{""12.85"": 1, ""6.05"": 1, ""13.75"": 1, ""8.5"": 3, ""12.15"": 2, ""20.65"": 16, ""29.0"": 2, ""19.45"": 6, ""16.6"": 6, ""36.7"": 2, ""20.85"": 16, ""51.1"": 10, ""83.75"": 1, ""75.55"": 1, ""58.6"": 6, ""48.44"": 4, ""59.94"": 7}"
PNB,"{""26.3"": 6, ""38.75"": 25, ""46.35"": 5, ""32.5"": 8, ""45.0"": 12, ""35.3"": 33, ""48.2"": 10, ""43.35"": 6, ""31.75"": 7, ""28.05"": 7, ""62.0"": 11, ""44.4"": 3, ""142.9"": 1, ""104.2"": 10, ""92.4"": 2, ""111.13"": 4}"
