stocks,levels
AMBER,"{""1695.0"": 5, ""920.9"": 3, ""2544.2"": 7, ""3662.0"": 17, ""2683.6"": 4, ""3788.65"": 16, ""3924.75"": 4, ""4025.95"": 3, ""2040.0"": 16, ""1762.5"": 2, ""4614.2"": 4, ""2992.5"": 32, ""3310.0"": 18}"
BATAINDIA,"{""1895.45"": 16, ""1000.0"": 1, ""1464.4"": 25, ""1213.8"": 5, ""1681.95"": 43, ""1263.6"": 15, ""2262.0"": 1, ""1654.05"": 31, ""1607.45"": 32, ""2004.9"": 11, ""1381.05"": 31, ""1771.45"": 34, ""1724.25"": 42, ""1269.0"": 15, ""1633.0"": 47}"
BLUESTARCO,"{""443.8"": 12, ""204.45"": 1, ""361.85"": 1, ""488.3"": 12, ""395.05"": 32, ""379.0"": 4, ""545.75"": 13, ""418.2"": 28, ""612.5"": 15, ""429.5"": 27, ""807.5"": 5, ""820.0"": 1, ""701.7"": 6, ""2199.55"": 4}"
CENTURYPLY,"{""95.15"": 1, ""341.8"": 6, ""712.9"": 11, ""749.0"": 15, ""484.45"": 10, ""710.0"": 14, ""436.0"": 7, ""722.1"": 12, ""594.0"": 17, ""849.5"": 11, ""622.1"": 24, ""622.4"": 23, ""935.0"": 1, ""631.0"": 28}"
CERA,"{""2749.0"": 3, ""1986.0"": 1, ""2121.0"": 3, ""4895.0"": 30, ""4191.75"": 10, ""6450.0"": 9, ""3953.2"": 25, ""3515.0"": 7, ""6076.6"": 9, ""4963.4"": 11, ""6788.0"": 16, ""9740.0"": 4, ""6591.2"": 6, ""10789.95"": 1}"
CROMPTON,"{""301.45"": 30, ""177.3"": 1, ""456.0"": 16, ""350.35"": 14, ""512.8"": 1, ""354.4"": 10, ""312.0"": 8, ""429.0"": 26, ""251.0"": 8, ""319.5"": 9, ""275.3"": 16, ""327.95"": 8, ""261.25"": 15, ""484.0"": 8}"
DIXON,"{""979.0"": 1, ""598.1"": 6, ""4457.7"": 19, ""4735.0"": 6, ""3760.0"": 12, ""6243.6"": 8, ""3936.95"": 17, ""4690.0"": 3, ""3180.55"": 4, ""4670.0"": 5, ""2553.0"": 5, ""19148.9"": 1}"
HAVELLS,"{""447.05"": 1, ""1231.9"": 31, ""958.0"": 1, ""1504.45"": 7, ""1037.4"": 11, ""1344.7"": 33, ""1057.45"": 10, ""1405.55"": 18, ""1024.5"": 24, ""1465.85"": 7, ""1232.85"": 33, ""1985.4"": 6, ""2106.0"": 1}"
KAJARIACER,"{""501.2"": 4, ""595.95"": 1, ""295.55"": 1, ""1020.0"": 33, ""1355.0"": 20, ""1045.85"": 27, ""1374.9"": 26, ""885.3"": 4, ""898.0"": 10, ""1282.65"": 33, ""1009.7"": 22, ""1212.0"": 22, ""1006.5"": 23, ""1523.8"": 1, ""1168.0"": 19, ""1442.0"": 18, ""1110.35"": 23, ""1122.85"": 26, ""1578.7"": 1}"
KALYANKJIL,"{""56.3"": 1, ""89.75"": 1, ""61.0"": 14, ""83.6"": 4, ""55.65"": 1, ""67.7"": 19, ""55.05"": 1, ""134.2"": 2, ""100.95"": 9, ""336.05"": 6, ""786.25"": 2}"
RAJESHEXPO,"{""780.5"": 4, ""537.0"": 12, ""994.7"": 1, ""518.5"": 23, ""548.3"": 17, ""1029.7"": 1, ""669.3"": 28, ""334.05"": 4, ""261.0"": 2, ""262.4"": 4, ""332.5"": 4}"
TITAN,"{""1341.05"": 4, ""720.9"": 1, ""1621.35"": 1, ""1400.05"": 3, ""2677.9"": 21, ""2768.0"": 11, ""1825.05"": 5, ""2791.0"": 5, ""2269.6"": 3, ""3886.95"": 1, ""3055.65"": 7, ""3867.0"": 4, ""3106.0"": 5}"
VGUARD,"{""149.0"": 1, ""159.35"": 4, ""285.0"": 13, ""230.3"": 32, ""274.8"": 6, ""181.0"": 5, ""274.9"": 6, ""229.05"": 37, ""335.0"": 3, ""577.45"": 1}"
VOLTAS,"{""639.0"": 4, ""741.0"": 3, ""427.45"": 1, ""1132.0"": 3, ""1125.0"": 5, ""955.0"": 16, ""1356.9"": 2, ""1347.65"": 5, ""922.55"": 4, ""737.2"": 2, ""934.0"": 11, ""745.0"": 5, ""914.5"": 8, ""1944.9"": 1}"
WHIRLPOOL,"{""2555.0"": 5, ""1343.8"": 33, ""2309.95"": 15, ""2787.0"": 1, ""2067.3"": 37, ""2418.7"": 20, ""1971.15"": 7, ""2550.0"": 6, ""1365.1"": 25, ""1905.0"": 8, ""1217.25"": 2, ""1733.0"": 9, ""1186.1"": 1, ""2449.7"": 12}"
