stocks,levels
SFL,"{""889.95"": 5, ""575.9"": 1, ""814.0"": 13, ""611.05"": 7, ""1191.0"": 33, ""1979.75"": 1, ""2027.5"": 1, ""1271.3"": 6, ""1711.5"": 9, ""906.6"": 22, ""1369.95"": 9, ""1000.05"": 24, ""1297.0"": 15, ""854.0"": 8, ""1067.0"": 17, ""774.05"": 7}"
ABB,"{""1411.0"": 5, ""722.0"": 1, ""1017.0"": 2, ""846.6"": 5, ""1635.0"": 4, ""1298.55"": 10, ""2468.1"": 3, ""1944.6"": 2, ""3446.3"": 3, ""2640.0"": 4, ""4678.0"": 8, ""3850.0"": 5, ""4340.3"": 20, ""9149.95"": 2, ""8940.6"": 1}"
AVL,{}
JISLDVREQS,"{""3.1"": 1, ""14.85"": 3, ""9.0"": 4, ""17.4"": 11, ""10.85"": 4, ""30.45"": 3, ""17.25"": 6, ""17.0"": 8, ""24.2"": 4, ""15.25"": 1, ""40.55"": 10, ""39.9"": 7, ""27.15"": 1, ""45.95"": 1, ""29.0"": 4, ""28.31"": 4}"
BAJAJELEC,"{""308.5"": 4, ""174.4"": 1, ""365.5"": 2, ""820.95"": 28, ""639.85"": 8, ""1065.7"": 17, ""625.55"": 8, ""925.55"": 9, ""575.85"": 2, ""848.45"": 11, ""831.65"": 20, ""694.85"": 28, ""643.5"": 6, ""1148.0"": 2, ""1082.7"": 7, ""820.15"": 24, ""1110.0"": 12}"
BAJAJHIND,"{""2.35"": 2, ""8.3"": 2, ""4.35"": 4, ""24.65"": 1, ""12.0"": 8, ""18.25"": 3, ""22.35"": 3, ""8.35"": 1, ""20.15"": 2, ""11.45"": 8, ""35.85"": 5, ""24.75"": 3, ""40.5"": 9, ""27.55"": 4, ""46.1"": 1, ""44.84"": 1}"
BALRAMCHIN,"{""195.0"": 3, ""68.95"": 1, ""386.8"": 46, ""398.0"": 30, ""297.6"": 4, ""525.9"": 7, ""307.3"": 4, ""414.9"": 28, ""349.3"": 17, ""430.9"": 17, ""485.9"": 6, ""343.5"": 25, ""352.0"": 17, ""691.8"": 1}"
BANARISUG,"{""1590.0"": 7, ""638.6"": 1, ""1559.7"": 4, ""2175.0"": 4, ""3048.7"": 17, ""2151.55"": 10, ""1951.05"": 3, ""3194.0"": 8, ""2532.1"": 19, ""2970.35"": 7, ""2930.3"": 5, ""2848.85"": 40, ""2250.0"": 18, ""2189.2"": 8, ""3993.0"": 1}"
BATAINDIA,"{""1895.45"": 16, ""1000.0"": 1, ""1464.4"": 25, ""1213.8"": 5, ""1681.95"": 43, ""1263.6"": 15, ""2262.0"": 1, ""1654.05"": 31, ""1607.45"": 32, ""2004.9"": 11, ""1381.05"": 31, ""1771.45"": 34, ""1724.25"": 42, ""1269.0"": 15, ""1633.0"": 47}"
DENORA,"{""190.05"": 4, ""110.3"": 1, ""245.9"": 4, ""191.1"": 2, ""363.0"": 3, ""239.05"": 15, ""437.95"": 3, ""293.1"": 2, ""538.8"": 1, ""356.0"": 7, ""888.0"": 7, ""987.0"": 4, ""586.1"": 1, ""2336.95"": 1, ""1430.0"": 7, ""1895.05"": 8, ""1293.2"": 5, ""2011.0"": 1, ""1390.7"": 6, ""2025.0"": 2}"
BLUESTARCO,"{""443.8"": 12, ""204.45"": 1, ""361.85"": 1, ""488.3"": 12, ""395.05"": 32, ""379.0"": 4, ""545.75"": 13, ""418.2"": 28, ""612.5"": 15, ""429.5"": 27, ""807.5"": 5, ""820.0"": 1, ""701.7"": 6, ""2199.55"": 4}"
BPL,"{""24.6"": 2, ""8.4"": 1, ""25.9"": 3, ""15.85"": 3, ""26.0"": 2, ""30.1"": 1, ""176.65"": 1, ""50.5"": 2, ""91.8"": 6, ""53.5"": 5, ""89.65"": 4, ""57.55"": 4, ""46.7"": 1, ""102.6"": 9, ""127.5"": 5, ""79.05"": 7, ""87.5"": 9, ""147.85"": 1, ""144.2"": 2}"
CGPOWER,"{""4.75"": 1, ""91.95"": 5, ""208.9"": 2, ""154.0"": 8, ""219.65"": 3, ""338.6"": 6, ""359.2"": 1, ""503.45"": 3, ""874.7"": 1}"
DABUR,"{""525.0"": 69, ""386.05"": 1, ""492.55"": 35, ""552.55"": 54, ""658.95"": 3, ""576.85"": 42, ""482.25"": 11, ""602.0"": 19, ""517.0"": 48, ""610.75"": 17, ""503.65"": 62, ""597.1"": 15, ""504.1"": 53, ""575.5"": 54, ""489.2"": 17, ""672.0"": 3, ""499.0"": 35}"
DALMIASUG,"{""134.5"": 10, ""39.75"": 1, ""153.8"": 2, ""516.55"": 5, ""324.8"": 10, ""569.5"": 1, ""281.05"": 1, ""311.25"": 8, ""440.9"": 15, ""310.1"": 4, ""398.95"": 34, ""342.0"": 21, ""490.0"": 6, ""338.05"": 25, ""585.0"": 1}"
BHEL,"{""18.4"": 1, ""44.4"": 12, ""26.75"": 1, ""79.55"": 12, ""49.95"": 12, ""80.35"": 10, ""44.0"": 12, ""41.4"": 4, ""91.55"": 3, ""66.3"": 15, ""224.05"": 7, ""335.35"": 1, ""210.7"": 3}"
DHAMPURSUG,"{""245.95"": 21, ""65.55"": 1, ""161.25"": 7, ""186.0"": 17, ""395.0"": 5, ""270.0"": 22, ""251.2"": 14, ""584.5"": 1, ""198.3"": 13, ""196.0"": 7, ""275.0"": 14, ""202.25"": 14, ""325.75"": 10, ""206.0"": 23, ""254.79"": 14, ""191.1"": 6, ""234.0"": 25}"
EIDPARRY,"{""245.0"": 1, ""102.15"": 1, ""260.05"": 5, ""371.7"": 1, ""302.5"": 5, ""470.3"": 33, ""377.3"": 1, ""391.75"": 3, ""670.0"": 2, ""433.2"": 15, ""452.35"": 10, ""572.4"": 17, ""452.7"": 11, ""663.0"": 2, ""539.3"": 19, ""997.0"": 1}"
ESABINDIA,"{""1727.95"": 1, ""867.9"": 1, ""1645.0"": 2, ""1290.0"": 9, ""2150.0"": 3, ""1760.0"": 3, ""3615.0"": 7, ""4250.05"": 6, ""3020.0"": 6, ""4337.95"": 1, ""3244.85"": 9, ""5850.0"": 22, ""6585.95"": 1, ""4620.0"": 2, ""6999.0"": 1, ""6799.0"": 1}"
GODFRYPHLP,"{""1481.75"": 2, ""732.0"": 1, ""1092.4"": 11, ""846.6"": 2, ""1056.7"": 11, ""841.5"": 1, ""1110.0"": 14, ""1408.75"": 6, ""933.0"": 27, ""1374.8"": 12, ""2149.0"": 13, ""1637.1"": 9, ""8480.0"": 1}"
INDIAGLYCO,"{""198.05"": 3, ""396.4"": 4, ""175.3"": 1, ""341.8"": 3, ""262.9"": 2, ""609.0"": 15, ""1060.0"": 5, ""725.4"": 19, ""1151.95"": 3, ""596.75"": 6, ""977.7"": 8, ""512.35"": 5, ""802.6"": 13, ""976.0"": 11, ""678.55"": 8, ""1548.95"": 1, ""1090.8"": 2}"
INGERRAND,"{""595.1"": 8, ""699.7"": 7, ""555.0"": 1, ""910.95"": 4, ""1074.9"": 2, ""898.95"": 2, ""1805.9"": 2, ""1293.8"": 1, ""2399.0"": 3, ""1765.15"": 1, ""3334.25"": 2, ""2760.0"": 8, ""5000.0"": 1, ""4694.0"": 6}"
ATFL,"{""737.0"": 12, ""348.2"": 1, ""828.8"": 77, ""945.25"": 31, ""748.4"": 10, ""1144.0"": 1, ""885.4"": 30, ""741.95"": 11, ""707.4"": 30, ""969.8"": 33, ""745.15"": 12, ""965.0"": 40, ""760.55"": 19, ""1090.0"": 2, ""650.05"": 8, ""644.45"": 10, ""997.0"": 25, ""1152.0"": 1}"
JISLJALEQS,"{""3.05"": 1, ""26.35"": 2, ""16.0"": 1, ""53.5"": 9, ""50.4"": 5, ""34.25"": 11, ""48.25"": 6, ""30.3"": 4, ""46.7"": 4, ""26.5"": 2, ""73.45"": 10, ""43.6"": 16, ""84.19"": 1, ""52.03"": 5}"
WHIRLPOOL,"{""2555.0"": 5, ""1343.8"": 33, ""2309.95"": 15, ""2787.0"": 1, ""2067.3"": 37, ""2418.7"": 20, ""1971.15"": 7, ""2550.0"": 6, ""1365.1"": 25, ""1905.0"": 8, ""1217.25"": 2, ""1733.0"": 9, ""1186.1"": 1, ""2449.7"": 12}"
KIRLOSBROS,"{""118.65"": 7, ""181.0"": 1, ""76.25"": 1, ""147.35"": 11, ""98.1"": 3, ""499.2"": 1, ""340.1"": 17, ""399.4"": 13, ""248.0"": 3, ""424.55"": 6, ""286.1"": 2, ""1061.55"": 1, ""2684.0"": 1, ""1577.35"": 1, ""2409.4"": 1}"
KSB,"{""152.8"": 3, ""77.2"": 1, ""118.1"": 5, ""85.5"": 4, ""282.2"": 8, ""192.0"": 1, ""434.8"": 13, ""343.4"": 1, ""471.4"": 4, ""402.65"": 3, ""1038.0"": 1, ""1060.0"": 1}"
TRENT,"{""804.7"": 3, ""365.0"": 1, ""707.0"": 7, ""808.95"": 4, ""585.0"": 6, ""944.7"": 4, ""1209.95"": 12, ""970.6"": 3, ""1346.85"": 22, ""982.85"": 6, ""1566.0"": 4, ""1155.0"": 8, ""8345.0"": 1}"
MIRCELECTR,"{""11.0"": 8, ""3.65"": 1, ""11.9"": 7, ""25.5"": 5, ""14.2"": 15, ""34.9"": 1, ""11.2"": 2, ""22.25"": 13, ""21.5"": 24, ""11.45"": 2, ""24.75"": 6, ""15.5"": 14, ""30.45"": 3, ""27.75"": 2, ""18.95"": 7, ""32.99"": 2, ""18.71"": 6}"
PIXTRANS,"{""1121.2"": 2, ""713.7"": 3, ""1140.5"": 5, ""780.75"": 17, ""702.0"": 1, ""1568.95"": 6, ""1028.15"": 1, ""1185.0"": 14, ""1730.9"": 1, ""1375.6"": 14, ""2799.95"": 1}"
RAJSREESUG,"{""23.9"": 5, ""8.5"": 1, ""11.25"": 1, ""25.45"": 9, ""38.2"": 10, ""21.5"": 7, ""39.95"": 18, ""48.0"": 11, ""29.8"": 5, ""31.0"": 3, ""69.9"": 12, ""32.6"": 4, ""62.35"": 12, ""45.75"": 8, ""101.9"": 1, ""54.25"": 11, ""87.0"": 2, ""54.6"": 6}"
RUBFILA,"{""92.7"": 5}"
PATANJALI,"{""1519.65"": 8, ""403.75"": 1, ""790.3"": 2, ""792.95"": 2, ""1376.7"": 20, ""1174.8"": 17, ""747.6"": 1, ""700.05"": 13, ""1227.95"": 12, ""1495.0"": 8, ""853.5"": 9, ""1393.0"": 10, ""1192.75"": 19, ""1713.8"": 12, ""1281.0"": 12, ""1169.95"": 14, ""1992.2"": 1, ""1593.75"": 14, ""1921.0"": 8}"
