stocks,levels
360ONE,"{""231.0"": 8, ""415.95"": 21, ""180.0"": 1, ""322.25"": 13, ""214.2"": 5, ""339.5"": 7, ""446.35"": 28, ""323.75"": 7, ""477.05"": 7, ""308.95"": 13, ""486.25"": 5, ""490.0"": 6, ""395.1"": 30, ""1215.0"": 5, ""940.0"": 2}"
AADHARHFC,"{""516.8"": 1}"
AAVAS,"{""2101.0"": 6, ""849.05"": 1, ""1565.0"": 24, ""2674.75"": 7, ""3074.35"": 2, ""2928.8"": 8, ""2261.55"": 23, ""3340.0"": 1, ""1815.0"": 18, ""2411.4"": 14, ""2045.95"": 13, ""1335.5"": 10, ""1817.6"": 27, ""1403.15"": 18, ""1625.0"": 21, ""1307.0"": 3, ""1978.95"": 17, ""1939.95"": 22, ""1622.05"": 26}"
ABCAPITAL,"{""115.35"": 31, ""37.35"": 1, ""139.7"": 3, ""96.35"": 8, ""139.2"": 5, ""85.6"": 8, ""162.45"": 6, ""199.3"": 7, ""155.0"": 9, ""246.9"": 1, ""244.0"": 3}"
ABSLAMC,"{""560.0"": 4, ""375.0"": 14, ""503.0"": 16, ""400.0"": 17, ""471.9"": 24, ""307.0"": 1, ""450.25"": 24, ""911.85"": 1}"
AIIL,"{""1541.0"": 1}"
ANANDRATHI,"{""542.05"": 2, ""721.35"": 5, ""739.4"": 2, ""3420.3"": 5, ""4646.0"": 1}"
APTUS,"{""394.9"": 1, ""220.1"": 1, ""368.0"": 14, ""234.05"": 1, ""392.0"": 2, ""286.25"": 10, ""401.65"": 1}"
ARMANFIN,"{""1121.1"": 5, ""280.0"": 1, ""640.0"": 16, ""817.0"": 6, ""513.9"": 2, ""1105.0"": 3, ""673.7"": 3, ""1275.0"": 5, ""1705.0"": 6, ""1690.0"": 2, ""1190.0"": 6, ""2539.7"": 6, ""2019.15"": 5, ""2680.0"": 1, ""1696.6"": 8, ""2541.7"": 3, ""1174.05"": 5}"
BAJAJFINSV,"{""995.0"": 8, ""398.55"": 1, ""671.0"": 2, ""540.0"": 1, ""1932.5"": 4, ""1862.1"": 13, ""1748.0"": 23, ""1072.7"": 1, ""1844.0"": 7, ""1215.0"": 5, ""1664.9"": 31, ""1741.0"": 25, ""1725.0"": 35, ""1419.05"": 18, ""2029.9"": 1, ""1551.65"": 33}"
BAJAJHFL,{}
BAJAJHLDNG,"{""3250.0"": 9, ""3950.0"": 6, ""1460.15"": 1, ""3005.0"": 6, ""2212.65"": 4, ""3348.85"": 14, ""3757.15"": 11, ""5660.4"": 6, ""4752.05"": 14, ""6598.0"": 14, ""4294.05"": 6, ""7378.45"": 12, ""5560.15"": 4, ""5770.0"": 5, ""7640.0"": 2, ""6627.9"": 11, ""9348.95"": 6, ""7659.95"": 2, ""11350.0"": 6, ""13238.0"": 1}"
BAJFINANCE,"{""4923.4"": 5, ""1783.0"": 1, ""3749.85"": 2, ""5822.2"": 19, ""4362.0"": 6, ""8050.0"": 8, ""6492.6"": 20, ""8045.0"": 7, ""7590.9"": 28, ""5220.0"": 11, ""7778.0"": 20, ""5485.7"": 11, ""7999.9"": 6, ""6801.0"": 38, ""8192.0"": 1, ""7830.0"": 20, ""6187.8"": 20, ""7429.45"": 48, ""6375.7"": 14, ""7824.0"": 20, ""6451.0"": 15}"
BFINVEST,"{""151.0"": 1, ""368.5"": 9, ""252.95"": 7, ""331.1"": 22, ""265.1"": 16, ""445.0"": 3, ""311.15"": 24, ""372.55"": 14, ""255.8"": 6, ""235.7"": 6, ""333.0"": 23, ""260.0"": 12, ""560.0"": 11, ""368.0"": 12, ""650.0"": 7, ""493.0"": 3, ""500.2"": 7, ""728.0"": 8, ""829.0"": 1}"
BSE,"{""196.65"": 7, ""91.65"": 2, ""202.65"": 14, ""155.35"": 3, ""219.35"": 1, ""178.5"": 12, ""470.0"": 5, ""791.25"": 2, ""1046.65"": 1, ""549.0"": 5, ""406.2"": 6, ""1941.05"": 1, ""3264.7"": 1, ""2115.0"": 3}"
CAMS,"{""4067.4"": 5, ""2230.0"": 46, ""2037.15"": 8, ""2690.0"": 9, ""2150.0"": 16, ""2355.0"": 26, ""2010.0"": 4, ""4910.0"": 4, ""5367.5"": 2}"
