stocks,levels
3IINFOLTD,"{""119.3"": 1, ""37.25"": 20, ""54.2"": 6, ""26.25"": 3, ""38.2"": 12, ""63.9"": 1, ""30.25"": 8, ""42.59"": 17, ""25.23"": 1}"
63MOONS,"{""125.4"": 1, ""39.55"": 1, ""93.5"": 7, ""65.0"": 1, ""96.95"": 9, ""68.9"": 8, ""112.5"": 5, ""114.8"": 8, ""372.6"": 4, ""323.85"": 3, ""140.65"": 3, ""205.0"": 9, ""140.55"": 3, ""219.9"": 5, ""360.7"": 4, ""690.75"": 1, ""314.65"": 2, ""1078.8"": 1}"
ADSL,"{""10.5"": 1, ""26.95"": 1, ""74.95"": 9, ""55.0"": 1, ""174.5"": 2, ""98.25"": 9, ""165.5"": 3, ""82.0"": 13, ""71.55"": 7, ""156.9"": 9, ""110.5"": 4, ""201.25"": 3, ""125.0"": 14, ""123.2"": 12, ""319.9"": 1}"
AFFLE,"{""459.35"": 1, ""179.85"": 1, ""1257.15"": 17, ""763.0"": 5, ""1260.0"": 19, ""1511.0"": 11, ""871.55"": 6, ""1369.0"": 8, ""866.5"": 4, ""1178.85"": 18, ""988.15"": 12, ""1336.9"": 10, ""998.2"": 10, ""1715.0"": 3, ""1884.0"": 1}"
AIRAN,"{""15.55"": 10, ""8.8"": 2, ""19.55"": 16, ""10.5"": 10, ""21.15"": 4, ""15.05"": 10, ""35.95"": 10, ""18.5"": 19, ""28.4"": 5, ""17.0"": 19, ""14.75"": 6, ""13.25"": 16, ""27.85"": 4, ""37.0"": 6, ""21.85"": 3, ""48.78"": 1, ""40.5"": 4}"
ALANKIT,"{""8.25"": 3, ""21.7"": 10, ""20.15"": 8, ""13.35"": 6, ""20.6"": 13, ""12.65"": 6, ""27.2"": 4, ""12.85"": 9, ""21.6"": 7, ""12.8"": 9, ""10.15"": 11, ""14.2"": 18, ""7.0"": 1, ""13.75"": 17, ""9.65"": 8, ""23.6"": 4, ""15.2"": 27, ""29.61"": 2, ""25.57"": 10}"
APTECHT,"{""46.8"": 1, ""101.05"": 2, ""177.1"": 23, ""320.0"": 4, ""207.5"": 11, ""272.15"": 22, ""140.0"": 1, ""277.65"": 14, ""221.45"": 11, ""422.8"": 1, ""243.9"": 25, ""297.5"": 1, ""201.1"": 4, ""264.9"": 14, ""199.35"": 9, ""254.0"": 20}"
AURIONPRO,"{""13.6"": 1, ""49.5"": 1, ""97.5"": 9, ""119.0"": 3, ""195.4"": 1, ""190.4"": 7, ""110.2"": 1, ""238.8"": 2, ""148.8"": 5, ""145.15"": 6, ""1224.5"": 4, ""890.5"": 6, ""1991.75"": 1, ""1418.9"": 3, ""1923.75"": 3}"
BBOX,"{""91.3"": 2, ""350.0"": 1, ""155.1"": 14, ""214.0"": 9, ""199.9"": 29, ""122.05"": 6, ""174.6"": 4, ""84.4"": 3, ""312.2"": 2, ""209.8"": 9, ""584.0"": 6, ""445.4"": 1, ""714.8"": 1}"
BLS,"{""6.75"": 3, ""31.55"": 2, ""17.85"": 7, ""33.25"": 5, ""20.75"": 4, ""77.25"": 1, ""44.85"": 1, ""208.9"": 2, ""149.65"": 3, ""302.0"": 1, ""229.8"": 2, ""429.95"": 8, ""262.95"": 7, ""277.95"": 4, ""474.4"": 2}"
