stocks,levels
ADANIPORTS,"{""203.0"": 1, ""378.35"": 11, ""901.0"": 6, ""638.1"": 6, ""829.9"": 16, ""679.7"": 15, ""795.0"": 27, ""651.95"": 5, ""924.65"": 2, ""653.1"": 5, ""987.85"": 2, ""395.1"": 10, ""785.65"": 23, ""889.5"": 9, ""1621.4"": 1, ""1160.6"": 9, ""995.65"": 2}"
AMBUJACEM,"{""220.25"": 10, ""136.55"": 1, ""442.5"": 10, ""274.0"": 4, ""391.0"": 13, ""598.0"": 5, ""315.3"": 13, ""481.15"": 2, ""404.05"": 17, ""518.35"": 23, ""706.95"": 1, ""453.05"": 13}"
APOLLOHOSP,"{""1341.35"": 5, ""1813.55"": 3, ""1047.05"": 1, ""5935.4"": 10, ""4150.0"": 10, ""3361.55"": 5, ""4901.95"": 24, ""4123.0"": 8, ""5364.0"": 7, ""4726.0"": 29, ""6874.45"": 14, ""5693.2"": 7, ""6594.15"": 10}"
ASHOKLEY,"{""82.55"": 1, ""28.75"": 1, ""133.95"": 24, ""101.25"": 2, ""148.55"": 9, ""88.25"": 5, ""164.5"": 11, ""130.25"": 13, ""151.35"": 6, ""128.15"": 18, ""186.55"": 2, ""159.8"": 13, ""184.65"": 5, ""152.6"": 3, ""264.65"": 1}"
BHARATFORG,"{""533.9"": 4, ""207.5"": 1, ""522.1"": 8, ""676.9"": 14, ""555.75"": 7, ""844.8"": 19, ""847.95"": 18, ""595.0"": 6, ""919.45"": 2, ""743.55"": 23, ""1148.05"": 7, ""1330.0"": 7, ""1063.0"": 7, ""1804.5"": 1}"
BPCL,"{""234.0"": 11, ""105.0"": 1, ""219.5"": 23, ""141.5"": 22, ""225.95"": 17, ""230.5"": 6, ""144.55"": 19, ""178.4"": 20, ""125.7"": 3, ""156.6"": 25, ""123.0"": 1, ""136.0"": 6, ""177.95"": 22, ""144.7"": 26, ""333.5"": 10, ""256.6"": 4, ""376.0"": 1}"
BHARTIARTL,"{""558.35"": 21, ""355.1"": 2, ""600.7"": 4, ""386.75"": 2, ""611.5"": 10, ""490.35"": 10, ""566.35"": 10, ""781.8"": 10, ""645.1"": 4, ""639.0"": 1, ""780.7"": 20, ""628.75"": 1, ""860.55"": 7, ""735.8"": 19, ""1779.0"": 1, ""1511.0"": 4}"
CONCOR,"{""602.2"": 24, ""263.4"": 1, ""473.9"": 2, ""351.0"": 9, ""748.0"": 19, ""754.4"": 16, ""581.85"": 25, ""718.0"": 21, ""554.0"": 15, ""828.75"": 10, ""555.0"": 16, ""672.2"": 38, ""1180.0"": 2, ""880.7"": 13}"
CUMMINSIND,"{""652.8"": 1, ""280.0"": 1, ""934.25"": 15, ""747.0"": 3, ""1064.45"": 5, ""842.0"": 11, ""1162.0"": 2, ""1980.15"": 9, ""1653.3"": 7, ""4171.9"": 1}"
DLF,"{""266.55"": 2, ""114.55"": 1, ""181.85"": 10, ""332.7"": 12, ""231.85"": 6, ""449.7"": 1, ""294.7"": 11, ""413.85"": 16, ""418.5"": 13, ""336.5"": 16, ""463.05"": 1, ""967.6"": 1, ""687.05"": 1, ""929.0"": 7}"
