stocks,levels
ZEEL,"{""114.0"": 1, ""134.65"": 16, ""228.9"": 19, ""261.0"": 30, ""176.1"": 11, ""234.45"": 6, ""166.8"": 7, ""362.9"": 2, ""378.7"": 1, ""215.35"": 29, ""308.7"": 11, ""200.5"": 12, ""287.0"": 15, ""176.55"": 16, ""170.1"": 9, ""290.7"": 12, ""299.7"": 10, ""168.7"": 7, ""125.5"": 14, ""144.28"": 8}"
SAREGAMA,"{""17.05"": 1, ""516.15"": 19, ""353.85"": 22, ""482.1"": 11, ""326.3"": 8, ""421.35"": 15, ""324.6"": 6, ""284.25"": 1, ""458.8"": 14, ""309.6"": 21, ""581.4"": 1, ""688.9"": 1, ""439.1"": 7}"
TIPSMUSIC,"{""13.5"": 8, ""7.2"": 6, ""35.4"": 1, ""150.8"": 17, ""262.9"": 5, ""125.0"": 10, ""198.85"": 2, ""191.0"": 3, ""143.0"": 6, ""335.95"": 2, ""530.95"": 1, ""346.45"": 8, ""950.0"": 1}"
PNC,"{""19.5"": 3, ""7.05"": 1, ""19.0"": 7, ""11.0"": 8, ""26.85"": 1, ""60.95"": 17, ""47.7"": 17, ""30.25"": 1, ""72.0"": 10, ""75.0"": 1, ""36.15"": 19, ""38.55"": 35, ""57.9"": 7, ""43.45"": 27, ""29.15"": 1, ""49.0"": 18, ""53.5"": 12, ""79.3"": 1, ""54.28"": 12}"
TVTODAY,"{""127.55"": 1, ""255.55"": 14, ""182.3"": 9, ""379.0"": 4, ""272.3"": 40, ""460.1"": 1, ""357.2"": 1, ""430.5"": 9, ""235.55"": 19, ""324.0"": 3, ""313.5"": 8, ""169.55"": 3, ""236.5"": 18, ""192.0"": 19, ""273.85"": 25, ""203.6"": 24, ""201.95"": 45, ""308.0"": 9}"
NDTV,"{""38.9"": 11, ""19.1"": 1, ""52.95"": 2, ""25.7"": 1, ""86.15"": 4, ""106.4"": 1, ""276.15"": 6, ""573.0"": 1, ""468.6"": 3, ""168.55"": 7, ""186.05"": 7, ""307.85"": 2, ""202.9"": 14, ""273.0"": 6}"
PVRINOX,"{""2086.6"": 1, ""705.35"": 1, ""1469.25"": 31, ""1045.0"": 9, ""1591.9"": 23, ""988.35"": 6, ""1465.0"": 38, ""1280.7"": 12, ""1839.0"": 23, ""1224.05"": 6, ""2003.8"": 6, ""2214.85"": 1, ""1630.0"": 24, ""1925.45"": 14, ""1336.4"": 30, ""1875.45"": 21, ""1830.4"": 27, ""1247.9"": 12, ""1204.2"": 10, ""1748.0"": 34}"
ENIL,"{""282.2"": 2, ""98.0"": 1, ""184.95"": 39, ""189.3"": 21, ""140.0"": 12, ""226.95"": 17, ""158.85"": 28, ""162.05"": 35, ""192.55"": 17, ""110.0"": 2, ""358.8"": 1, ""197.95"": 23}"
JAGRAN,"{""74.35"": 15, ""32.1"": 1, ""35.5"": 2, ""65.4"": 17, ""52.3"": 1, ""71.5"": 26, ""53.25"": 5, ""71.4"": 16, ""58.3"": 9, ""82.0"": 7, ""47.1"": 2, ""84.0"": 13, ""65.2"": 18, ""66.7"": 27, ""121.2"": 3, ""89.35"": 14, ""129.5"": 1, ""83.0"": 14, ""111.4"": 5}"
SUNTV,"{""513.0"": 26, ""259.55"": 1, ""508.25"": 37, ""407.8"": 14, ""570.4"": 5, ""586.55"": 11, ""471.0"": 25, ""612.0"": 10, ""540.0"": 34, ""402.55"": 13, ""568.5"": 8, ""393.8"": 14, ""734.9"": 6, ""567.6"": 8, ""921.0"": 1}"
PFOCUS,"{""51.75"": 6, ""17.0"": 1, ""45.85"": 9, ""75.9"": 26, ""48.45"": 4, ""96.45"": 10, ""62.05"": 16, ""98.95"": 14, ""60.0"": 10, ""102.0"": 16, ""65.25"": 7, ""64.75"": 5, ""131.0"": 14, ""79.2"": 18, ""147.95"": 6, ""90.2"": 7, ""84.1"": 9, ""164.89"": 1}"
NETWORK18,"{""32.0"": 4, ""14.7"": 1, ""50.0"": 15, ""31.35"": 2, ""40.4"": 12, ""45.9"": 1, ""34.5"": 9, ""58.0"": 13, ""114.8"": 4, ""117.5"": 2, ""57.4"": 12, ""77.2"": 15, ""78.4"": 20, ""45.0"": 6, ""135.7"": 1, ""72.05"": 16, ""106.0"": 3}"
DBCORP,"{""58.0"": 1, ""88.2"": 11, ""72.9"": 12, ""104.9"": 18, ""75.6"": 16, ""125.0"": 10, ""82.1"": 14, ""106.2"": 12, ""78.5"": 34, ""99.6"": 13, ""72.55"": 4, ""156.8"": 5, ""104.7"": 15, ""137.5"": 7, ""92.75"": 23, ""325.0"": 12, ""242.8"": 3, ""373.3"": 1, ""235.8"": 8, ""403.9"": 1, ""286.0"": 9}"
WONDERLA,"{""105.0"": 2, ""193.9"": 8, ""235.0"": 31, ""162.0"": 9, ""270.0"": 7, ""259.3"": 4, ""196.65"": 7, ""264.9"": 10, ""201.1"": 21, ""455.15"": 10, ""317.0"": 1, ""815.05"": 12, ""1105.9"": 1, ""770.05"": 3, ""947.4"": 4}"
IMAGICAA,"{""4.8"": 20, ""2.3"": 4, ""6.45"": 4, ""3.65"": 24, ""7.45"": 12, ""8.7"": 7, ""9.45"": 2, ""14.25"": 7, ""9.5"": 2, ""12.5"": 5, ""46.8"": 3, ""56.2"": 4, ""39.55"": 2, ""65.25"": 4, ""42.9"": 10, ""90.7"": 4, ""66.5"": 6, ""103.25"": 1}"
UFO,"{""143.0"": 17, ""58.1"": 3, ""104.0"": 27, ""65.0"": 6, ""96.0"": 18, ""68.4"": 9, ""81.6"": 12, ""125.4"": 15, ""87.1"": 13, ""138.7"": 10, ""83.25"": 13, ""133.1"": 20, ""57.2"": 1, ""129.85"": 15, ""173.85"": 1, ""106.0"": 24, ""151.3"": 2}"
