stocks,levels
AEROFLEX,"{""140.9"": 8, ""179.9"": 5, ""115.0"": 1, ""122.5"": 2}"
APLAPOLLO,"{""221.9"": 1, ""103.0"": 1, ""724.0"": 4, ""1044.7"": 9, ""1114.55"": 16, ""770.9"": 3, ""1100.0"": 16, ""801.0"": 15, ""1337.9"": 5, ""1047.0"": 10, ""1800.0"": 2, ""1305.0"": 7, ""1728.95"": 9, ""1341.95"": 6, ""1652.6"": 6}"
BANSALWIRE,"{""468.65"": 3, ""503.95"": 1}"
DEEDEV,"{""225.6"": 1, ""360.0"": 9}"
GANDHITUBE,"{""140.0"": 1, ""242.95"": 3, ""558.85"": 4, ""302.3"": 11, ""450.0"": 15, ""311.6"": 7, ""637.55"": 4, ""456.15"": 12, ""935.0"": 1, ""658.4"": 4, ""895.0"": 2, ""683.0"": 19, ""700.0"": 16, ""929.0"": 3}"
GEEKAYWIRE,"{""6.2"": 1, ""20.4"": 2, ""11.6"": 9, ""17.15"": 8, ""14.0"": 27, ""22.6"": 3, ""14.25"": 15, ""20.8"": 2, ""11.1"": 2, ""10.95"": 2, ""126.5"": 2, ""73.9"": 1, ""78.0"": 3, ""147.8"": 1, ""118.85"": 5}"
GOODLUCK,"{""39.2"": 15, ""68.0"": 3, ""20.65"": 1, ""47.0"": 10, ""83.55"": 2, ""260.4"": 2, ""400.0"": 4, ""236.85"": 2, ""552.0"": 1, ""523.95"": 3, ""355.35"": 4, ""367.0"": 5, ""1168.75"": 8, ""774.55"": 5, ""720.0"": 1, ""1330.0"": 1}"
GPIL,"{""13.35"": 2, ""4.0"": 1, ""92.4"": 2, ""46.25"": 2, ""99.55"": 1, ""44.6"": 1, ""62.85"": 6, ""45.3"": 1, ""83.1"": 4, ""131.6"": 3, ""244.8"": 1, ""161.45"": 3, ""253.4"": 1}"
GRAVITA,"{""37.25"": 2, ""69.7"": 2, ""30.2"": 1, ""57.1"": 1, ""42.0"": 17, ""122.65"": 2, ""398.0"": 3, ""231.0"": 1, ""539.95"": 1, ""1166.0"": 3, ""730.0"": 4, ""2700.0"": 1}"
HARIOMPIPE,"{""694.95"": 10, ""537.6"": 9, ""740.0"": 5, ""440.05"": 2, ""888.75"": 1}"
HINDALCO,"{""221.2"": 1, ""84.9"": 2, ""203.15"": 8, ""551.85"": 4, ""407.1"": 19, ""636.0"": 8, ""308.95"": 2, ""504.0"": 8, ""381.0"": 12, ""620.5"": 12, ""496.35"": 12, ""715.25"": 5, ""772.65"": 1}"
HINDCOPPER,"{""51.0"": 1, ""18.25"": 1, ""42.8"": 3, ""31.3"": 1, ""196.75"": 2, ""108.2"": 14, ""159.4"": 11, ""146.35"": 13, ""105.0"": 20, ""81.2"": 1, ""123.65"": 16, ""132.35"": 7, ""93.85"": 1, ""231.0"": 6, ""415.8"": 1, ""277.9"": 7, ""353.0"": 3}"
HINDZINC,"{""224.45"": 7, ""116.05"": 1, ""258.95"": 4, ""197.3"": 5, ""362.1"": 2, ""294.1"": 20, ""408.6"": 2, ""296.05"": 22, ""371.7"": 2, ""242.05"": 9, ""383.0"": 1, ""292.3"": 20, ""344.0"": 13, ""290.5"": 20, ""332.0"": 30, ""284.6"": 26, ""807.7"": 1, ""475.4"": 1}"
HITECH,"{""12.8"": 4, ""20.1"": 4, ""6.55"": 1, ""15.5"": 5, ""10.1"": 3, ""76.0"": 14, ""49.5"": 5, ""66.95"": 2, ""39.3"": 4, ""98.95"": 2, ""69.3"": 2, ""170.0"": 5, ""105.65"": 4, ""102.8"": 4, ""210.85"": 1}"
