stocks,levels
KRBL,"{""316.75"": 15, ""92.0"": 1, ""339.0"": 7, ""232.25"": 17, ""173.15"": 1, ""337.95"": 6, ""184.5"": 8, ""263.8"": 23, ""445.0"": 3, ""319.5"": 9, ""421.0"": 1, ""335.45"": 5, ""470.9"": 1, ""258.15"": 28, ""348.7"": 18, ""263.0"": 23, ""330.75"": 2}"
GLENMARK,"{""161.65"": 1, ""573.05"": 5, ""518.45"": 21, ""549.0"": 1, ""442.05"": 18, ""690.95"": 3, ""551.8"": 8, ""457.0"": 11, ""348.5"": 13, ""369.05"": 9, ""880.0"": 10, ""722.1"": 2, ""771.0"": 12, ""1830.95"": 1}"
AEGISLOG,"{""267.05"": 10, ""107.25"": 1, ""387.9"": 19, ""191.75"": 19, ""251.0"": 8, ""167.25"": 6, ""248.0"": 8, ""410.5"": 2, ""308.6"": 7, ""387.15"": 12, ""280.0"": 18, ""970.0"": 1, ""647.8"": 2}"
CAPLIPOINT,"{""383.5"": 7, ""176.2"": 1, ""305.1"": 12, ""686.0"": 28, ""437.75"": 4, ""401.0"": 1, ""1034.8"": 7, ""650.0"": 4, ""626.0"": 5, ""856.8"": 7, ""689.45"": 20, ""575.0"": 3, ""1619.05"": 1, ""1240.0"": 8, ""1225.0"": 3, ""2641.0"": 1}"
SUPREMEIND,"{""1091.0"": 6, ""1413.0"": 12, ""773.3"": 1, ""2339.95"": 14, ""1905.75"": 10, ""2693.9"": 4, ""1872.6"": 10, ""2219.3"": 15, ""1666.25"": 5, ""2855.3"": 1, ""4888.0"": 2, ""3601.0"": 3, ""6460.0"": 1}"
EPL,"{""225.9"": 14, ""130.05"": 1, ""318.6"": 1, ""291.0"": 4, ""202.0"": 24, ""291.95"": 7, ""149.0"": 11, ""147.15"": 4, ""188.5"": 26, ""148.05"": 8, ""193.4"": 27, ""147.0"": 4, ""236.15"": 20, ""178.35"": 15, ""213.15"": 11, ""169.6"": 23, ""289.9"": 5}"
AETHER,"{""1048.9"": 11, ""810.0"": 17, ""1209.0"": 1, ""778.0"": 14, ""761.55"": 4, ""973.0"": 14, ""785.35"": 12, ""1071.0"": 10}"
DIVISLAB,"{""1626.0"": 3, ""2090.05"": 5, ""3914.95"": 21, ""3153.3"": 13, ""5425.1"": 9, ""3788.95"": 36, ""4640.8"": 12, ""3365.55"": 23, ""3973.9"": 7, ""3446.0"": 31, ""3903.95"": 17, ""3195.15"": 10, ""2730.0"": 2, ""3934.7"": 16, ""3295.3"": 17, ""4074.4"": 16, ""3350.0"": 32, ""6285.45"": 2}"
CONCORDBIO,"{""1607.0"": 3, ""1350.05"": 3, ""1725.0"": 1, ""1327.05"": 4, ""2664.0"": 1, ""2401.0"": 1}"
ALKYLAMINE,"{""408.4"": 7, ""1429.5"": 1, ""1138.0"": 1, ""4749.0"": 1, ""3864.75"": 4, ""2506.2"": 26, ""3226.25"": 3, ""2146.1"": 26, ""2797.7"": 17, ""2735.0"": 15, ""1808.0"": 3, ""1815.0"": 4, ""2498.85"": 30}"
JIOFIN,"{""394.7"": 1, ""307.3"": 6, ""363.0"": 7}"
METROPOLIS,"{""2109.0"": 24, ""998.05"": 1, ""2323.0"": 7, ""1848.0"": 17, ""3579.9"": 1, ""1318.05"": 24, ""1791.2"": 16, ""1171.35"": 1, ""1519.95"": 13, ""2318.3"": 4}"
EIDPARRY,"{""245.0"": 1, ""102.15"": 1, ""260.05"": 5, ""371.7"": 1, ""302.5"": 5, ""470.3"": 33, ""377.3"": 1, ""391.75"": 3, ""670.0"": 2, ""433.2"": 15, ""452.35"": 10, ""572.4"": 17, ""452.7"": 11, ""663.0"": 2, ""539.3"": 19, ""997.0"": 1}"
