stocks,levels
ADANIENT,"{""261.0"": 1, ""116.4"": 1, ""1717.2"": 19, ""1528.8"": 6, ""2420.95"": 23, ""4190.0"": 1, ""1017.45"": 4, ""2759.45"": 6, ""2722.4"": 4, ""2142.0"": 8, ""3743.9"": 6, ""2733.95"": 2, ""2025.0"": 2}"
ADANIPORTS,"{""203.0"": 1, ""378.35"": 11, ""901.0"": 6, ""638.1"": 6, ""829.9"": 16, ""679.7"": 15, ""795.0"": 27, ""651.95"": 5, ""924.65"": 2, ""653.1"": 5, ""987.85"": 2, ""395.1"": 10, ""785.65"": 23, ""889.5"": 9, ""1621.4"": 1, ""1160.6"": 9, ""995.65"": 2}"
APOLLOHOSP,"{""1341.35"": 5, ""1813.55"": 3, ""1047.05"": 1, ""5935.4"": 10, ""4150.0"": 10, ""3361.55"": 5, ""4901.95"": 24, ""4123.0"": 8, ""5364.0"": 7, ""4726.0"": 29, ""6874.45"": 14, ""5693.2"": 7, ""6594.15"": 10}"
ASIANPAINT,"{""1916.7"": 3, ""1431.2"": 1, ""2873.45"": 38, ""3505.0"": 7, ""2857.25"": 41, ""3590.0"": 1, ""2599.35"": 12, ""2560.0"": 8, ""3582.9"": 4, ""2685.85"": 8, ""3568.0"": 4, ""2930.0"": 42, ""3422.95"": 16, ""2670.1"": 7, ""3394.9"": 29}"
AXISBANK,"{""765.85"": 21, ""286.0"": 1, ""533.85"": 3, ""400.15"": 4, ""799.0"": 22, ""626.65"": 8, ""866.9"": 14, ""648.0"": 6, ""816.2"": 12, ""618.25"": 11, ""970.0"": 14, ""814.3"": 7, ""1151.85"": 23, ""995.7"": 12, ""1339.65"": 1}"
BAJAJ-AUTO,"{""3315.15"": 14, ""1788.65"": 1, ""3159.0"": 16, ""2822.45"": 7, ""4361.4"": 3, ""3447.0"": 18, ""4347.0"": 3, ""3647.15"": 44, ""4050.0"": 16, ""3027.05"": 28, ""3125.0"": 19, ""4000.0"": 18, ""4131.75"": 13, ""3461.25"": 13, ""3995.0"": 18, ""3520.05"": 18, ""4541.0"": 7, ""12774.0"": 1}"
BAJFINANCE,"{""4923.4"": 5, ""1783.0"": 1, ""3749.85"": 2, ""5822.2"": 19, ""4362.0"": 6, ""8050.0"": 8, ""6492.6"": 20, ""8045.0"": 7, ""7590.9"": 28, ""5220.0"": 11, ""7778.0"": 20, ""5485.7"": 11, ""7999.9"": 6, ""6801.0"": 38, ""8192.0"": 1, ""7830.0"": 20, ""6187.8"": 20, ""7429.45"": 48, ""6375.7"": 14, ""7824.0"": 20, ""6451.0"": 15}"
BAJAJFINSV,"{""995.0"": 8, ""398.55"": 1, ""671.0"": 2, ""540.0"": 1, ""1932.5"": 4, ""1862.1"": 13, ""1748.0"": 23, ""1072.7"": 1, ""1844.0"": 7, ""1215.0"": 5, ""1664.9"": 31, ""1741.0"": 25, ""1725.0"": 35, ""1419.05"": 18, ""2029.9"": 1, ""1551.65"": 33}"
BPCL,"{""234.0"": 11, ""105.0"": 1, ""219.5"": 23, ""141.5"": 22, ""225.95"": 17, ""230.5"": 6, ""144.55"": 19, ""178.4"": 20, ""125.7"": 3, ""156.6"": 25, ""123.0"": 1, ""136.0"": 6, ""177.95"": 22, ""144.7"": 26, ""333.5"": 10, ""256.6"": 4, ""376.0"": 1}"
BHARTIARTL,"{""558.35"": 21, ""355.1"": 2, ""600.7"": 4, ""386.75"": 2, ""611.5"": 10, ""490.35"": 10, ""566.35"": 10, ""781.8"": 10, ""645.1"": 4, ""639.0"": 1, ""780.7"": 20, ""628.75"": 1, ""860.55"": 7, ""735.8"": 19, ""1779.0"": 1, ""1511.0"": 4}"
