stocks,levels
ACC,"{""895.15"": 2, ""1454.9"": 9, ""2589.0"": 15, ""1900.0"": 16, ""2397.0"": 30, ""2785.0"": 2, ""2675.0"": 17, ""1592.35"": 4, ""2104.0"": 13, ""1803.0"": 18, ""2746.4"": 8, ""2150.0"": 28, ""2844.0"": 1}"
APLAPOLLO,"{""221.9"": 1, ""103.0"": 1, ""724.0"": 4, ""1044.7"": 9, ""1114.55"": 16, ""770.9"": 3, ""1100.0"": 16, ""801.0"": 15, ""1337.9"": 5, ""1047.0"": 10, ""1800.0"": 2, ""1305.0"": 7, ""1728.95"": 9, ""1341.95"": 6, ""1652.6"": 6}"
AUBANK,"{""609.0"": 37, ""183.0"": 1, ""408.45"": 6, ""677.2"": 23, ""455.0"": 9, ""694.9"": 16, ""462.5"": 10, ""732.95"": 23, ""539.0"": 10, ""686.6"": 12, ""567.5"": 31, ""694.7"": 16, ""548.0"": 13, ""795.0"": 3, ""630.4"": 60, ""813.4"": 2, ""553.7"": 15, ""700.95"": 19, ""755.4"": 18, ""534.45"": 4}"
ABCAPITAL,"{""115.35"": 31, ""37.35"": 1, ""139.7"": 3, ""96.35"": 8, ""139.2"": 5, ""85.6"": 8, ""162.45"": 6, ""199.3"": 7, ""155.0"": 9, ""246.9"": 1, ""244.0"": 3}"
ALKEM,"{""1881.3"": 1, ""2879.0"": 21, ""3090.0"": 40, ""2563.65"": 6, ""3151.5"": 35, ""2540.05"": 4, ""4070.0"": 1, ""3244.05"": 21, ""3786.0"": 16, ""2828.0"": 23, ""2855.0"": 23, ""3400.0"": 41, ""2940.05"": 28, ""4243.0"": 1, ""3447.0"": 25, ""5520.0"": 12, ""5578.8"": 10, ""4407.05"": 2, ""6439.9"": 1}"
ASHOKLEY,"{""82.55"": 1, ""28.75"": 1, ""133.95"": 24, ""101.25"": 2, ""148.55"": 9, ""88.25"": 5, ""164.5"": 11, ""130.25"": 13, ""151.35"": 6, ""128.15"": 18, ""186.55"": 2, ""159.8"": 13, ""184.65"": 5, ""152.6"": 3, ""264.65"": 1}"
ASTRAL,"{""715.15"": 4, ""421.55"": 1, ""1438.35"": 21, ""1829.9"": 20, ""1898.45"": 38, ""1318.45"": 13, ""1189.15"": 5, ""1996.1"": 18, ""1403.4"": 18, ""1297.8"": 9, ""2058.0"": 13, ""1773.0"": 20, ""1740.0"": 11, ""2454.0"": 2}"
AUROPHARMA,"{""288.85"": 1, ""967.5"": 24, ""738.05"": 16, ""1023.7"": 21, ""797.3"": 14, ""1063.9"": 6, ""660.3"": 14, ""742.0"": 8, ""503.45"": 13, ""604.0"": 10, ""569.45"": 8, ""397.2"": 1, ""1177.1"": 8, ""958.5"": 20, ""1592.0"": 1}"
BHARATFORG,"{""533.9"": 4, ""207.5"": 1, ""522.1"": 8, ""676.9"": 14, ""555.75"": 7, ""844.8"": 19, ""847.95"": 18, ""595.0"": 6, ""919.45"": 2, ""743.55"": 23, ""1148.05"": 7, ""1330.0"": 7, ""1063.0"": 7, ""1804.5"": 1}"
CGPOWER,"{""4.75"": 1, ""91.95"": 5, ""208.9"": 2, ""154.0"": 8, ""219.65"": 3, ""338.6"": 6, ""359.2"": 1, ""503.45"": 3, ""874.7"": 1}"
