stocks,levels
LAURUSLABS,"{""92.0"": 3, ""59.0"": 1, ""385.85"": 17, ""723.75"": 1, ""440.0"": 19, ""626.3"": 8, ""436.8"": 19, ""605.5"": 16, ""278.85"": 2, ""418.0"": 15, ""349.4"": 18, ""444.7"": 18, ""471.0"": 19, ""385.45"": 20}"
AMRUTANJAN,"{""555.0"": 9, ""253.0"": 1, ""525.0"": 11, ""400.25"": 4, ""439.4"": 8, ""804.9"": 21, ""1024.55"": 1, ""749.0"": 50, ""954.6"": 3, ""847.25"": 7, ""768.9"": 37, ""554.05"": 5, ""775.45"": 28, ""579.1"": 7, ""563.9"": 8, ""570.0"": 9, ""862.6"": 4}"
CIPLA,"{""355.3"": 1, ""738.1"": 6, ""997.0"": 10, ""1005.0"": 14, ""850.0"": 8, ""1083.0"": 8, ""902.0"": 38, ""1185.25"": 17, ""852.0"": 5, ""1277.9"": 2, ""1132.0"": 10, ""1519.0"": 14, ""1317.25"": 6, ""1702.05"": 1, ""1403.0"": 6}"
DRREDDY,"{""499.0"": 1, ""1102.55"": 17, ""1088.7"": 22, ""827.0"": 17, ""1122.9"": 24, ""889.15"": 49, ""1015.4"": 17, ""730.8"": 1, ""895.55"": 38, ""922.75"": 20, ""799.4"": 18, ""929.0"": 24, ""835.0"": 14, ""1197.95"": 20, ""1041.1"": 25, ""1301.2"": 7, ""1120.0"": 17, ""1421.5"": 1}"
PGHL,"{""2891.45"": 1, ""4744.45"": 40, ""7500.0"": 4, ""5851.75"": 15, ""4903.0"": 22, ""3901.05"": 8, ""3900.55"": 8, ""4380.0"": 37, ""3870.1"": 5, ""5500.0"": 28, ""4753.0"": 44, ""5642.85"": 18, ""4636.55"": 12, ""4863.0"": 14, ""5850.0"": 14}"
LUPIN,"{""504.75"": 1, ""1122.3"": 4, ""855.35"": 7, ""1113.3"": 6, ""975.0"": 19, ""1267.65"": 5, ""583.0"": 3, ""788.9"": 13, ""628.0"": 10, ""1493.3"": 1, ""2312.0"": 3, ""1986.0"": 2}"
LYKALABS,"{""24.45"": 1, ""9.6"": 1, ""24.7"": 2, ""16.0"": 16, ""35.45"": 1, ""21.75"": 5, ""267.0"": 1, ""203.15"": 1, ""102.1"": 12, ""164.4"": 8, ""155.9"": 14, ""88.5"": 1, ""128.8"": 15, ""143.5"": 16, ""105.75"": 11, ""144.3"": 12, ""97.9"": 2, ""172.5"": 1, ""176.59"": 1}"
MOREPENLAB,"{""7.2"": 2, ""34.95"": 16, ""35.1"": 16, ""75.0"": 5, ""46.85"": 13, ""46.7"": 11, ""60.5"": 5, ""36.45"": 19, ""54.8"": 12, ""32.3"": 4, ""23.6"": 6, ""48.45"": 14, ""24.0"": 7, ""56.4"": 15, ""38.55"": 21, ""42.05"": 12, ""100.9"": 1}"
TORNTPHARM,"{""791.6"": 2, ""1349.5"": 18, ""1115.9"": 3, ""1515.6"": 39, ""1209.35"": 10, ""1452.5"": 20, ""1155.55"": 5, ""1625.1"": 12, ""1649.25"": 20, ""1265.0"": 15, ""1242.05"": 13, ""1750.0"": 2, ""1445.55"": 21, ""2094.55"": 8, ""1772.05"": 4, ""3590.7"": 1, ""3052.0"": 2}"
ABBOTINDIA,"{""12186.55"": 3, ""18679.75"": 12, ""14811.0"": 13, ""16699.9"": 25, ""13959.8"": 1, ""23934.45"": 11, ""15514.0"": 28, ""20900.8"": 17, ""17325.0"": 19, ""22499.0"": 23, ""19900.0"": 8, ""24744.25"": 1, ""22000.0"": 40, ""29638.95"": 12, ""25200.0"": 4, ""30521.0"": 1}"
