stocks,levels
NTPC,"{""125.0"": 8, ""73.2"": 1, ""108.0"": 13, ""78.1"": 3, ""152.1"": 4, ""119.1"": 28, ""166.35"": 18, ""134.95"": 23, ""182.95"": 4, ""182.2"": 2, ""313.95"": 8, ""448.45"": 1}"
POWERGRID,"{""115.15"": 5, ""65.15"": 1, ""103.7"": 22, ""83.4"": 4, ""130.5"": 5, ""99.1"": 10, ""137.95"": 8, ""138.85"": 9, ""182.7"": 16, ""175.3"": 15, ""136.2"": 6, ""149.65"": 18, ""366.25"": 2}"
NHPC,"{""29.1"": 6, ""15.1"": 1, ""24.5"": 16, ""27.6"": 5, ""37.05"": 5, ""37.6"": 6, ""46.9"": 6, ""47.9"": 1, ""56.85"": 1, ""48.4"": 3, ""115.85"": 2, ""118.4"": 1, ""75.1"": 5}"
ONGC,"{""47.4"": 1, ""88.25"": 8, ""60.75"": 1, ""115.95"": 11, ""121.75"": 17, ""102.85"": 4, ""163.75"": 16, ""124.75"": 14, ""184.75"": 1, ""113.55"": 10, ""217.65"": 1, ""336.75"": 3, ""231.15"": 1}"
BPCL,"{""234.0"": 11, ""105.0"": 1, ""219.5"": 23, ""141.5"": 22, ""225.95"": 17, ""230.5"": 6, ""144.55"": 19, ""178.4"": 20, ""125.7"": 3, ""156.6"": 25, ""123.0"": 1, ""136.0"": 6, ""177.95"": 22, ""144.7"": 26, ""333.5"": 10, ""256.6"": 4, ""376.0"": 1}"
COALINDIA,"{""88.2"": 1, ""78.55"": 3, ""132.0"": 12, ""92.4"": 4, ""134.0"": 12, ""101.75"": 17, ""172.8"": 10, ""108.15"": 17, ""178.0"": 12, ""133.65"": 9, ""232.4"": 1, ""176.6"": 5, ""216.9"": 5, ""471.85"": 26, ""395.05"": 4, ""527.8"": 1}"
IOC,"{""32.45"": 1, ""49.25"": 7, ""32.75"": 1, ""42.85"": 10, ""63.55"": 29, ""52.95"": 14, ""79.35"": 14, ""57.1"": 24, ""75.7"": 12, ""52.7"": 12, ""50.2"": 4, ""69.05"": 30, ""60.75"": 13, ""86.45"": 1, ""73.5"": 10, ""189.8"": 1, ""140.8"": 11, ""185.97"": 1}"
GAIL,"{""36.47"": 1, ""63.74"": 1, ""46.88"": 3, ""104.11"": 1, ""104.74"": 8, ""75.11"": 20, ""106.14"": 9, ""74.68"": 22, ""167.18"": 1, ""237.33"": 1}"
HINDPETRO,"{""79.0"": 1, ""140.4"": 32, ""87.6"": 1, ""151.85"": 22, ""187.0"": 5, ""142.0"": 26, ""215.55"": 2, ""116.65"": 9, ""156.75"": 33, ""112.35"": 12, ""153.0"": 25, ""120.1"": 22, ""185.6"": 17, ""138.45"": 32, ""385.55"": 10, ""457.15"": 1}"
OIL,"{""42.35"": 1, ""71.6"": 4, ""178.55"": 9, ""113.05"": 6, ""175.25"": 17, ""204.0"": 7, ""111.9"": 10, ""160.55"": 16, ""363.35"": 4, ""767.9"": 1}"
BEL,"{""18.65"": 1, ""39.5"": 4, ""28.8"": 3, ""38.6"": 12, ""76.0"": 6, ""62.35"": 3, ""86.5"": 1, ""114.65"": 1, ""87.0"": 2, ""147.15"": 1, ""340.5"": 1, ""257.45"": 1, ""320.85"": 3}"
BHEL,"{""18.4"": 1, ""44.4"": 12, ""26.75"": 1, ""79.55"": 12, ""49.95"": 12, ""80.35"": 10, ""44.0"": 12, ""41.4"": 4, ""91.55"": 3, ""66.3"": 15, ""224.05"": 7, ""335.35"": 1, ""210.7"": 3}"
HAL,"{""447.95"": 4, ""235.0"": 2, ""711.5"": 12, ""329.0"": 3, ""561.9"": 7, ""783.0"": 2, ""590.6"": 1, ""1405.9"": 9, ""1150.0"": 5, ""1767.8"": 1, ""5674.75"": 1, ""4755.0"": 8}"
PFC,"{""106.7"": 10, ""59.3"": 1, ""83.15"": 15, ""112.4"": 13, ""83.3"": 13, ""123.0"": 5, ""99.85"": 20, ""77.7"": 5, ""97.95"": 22, ""80.7"": 2, ""477.8"": 7, ""351.7"": 1, ""580.0"": 1, ""426.55"": 10, ""523.9"": 7}"
RECLTD,"{""117.4"": 25, ""59.05"": 1, ""88.05"": 10, ""68.85"": 9, ""117.75"": 13, ""91.6"": 14, ""125.85"": 5, ""104.45"": 28, ""126.65"": 1, ""107.5"": 32, ""87.45"": 13, ""82.25"": 7, ""109.7"": 24, ""91.05"": 10, ""524.0"": 10, ""408.3"": 6, ""654.0"": 1, ""573.3"": 8}"
IRFC,"{""26.7"": 4, ""20.8"": 8, ""26.45"": 3, ""22.25"": 17, ""26.4"": 2, ""20.9"": 9, ""19.3"": 1, ""37.1"": 1, ""25.4"": 12, ""92.35"": 2, ""192.8"": 2, ""229.0"": 1, ""132.8"": 4, ""166.9"": 5}"
NMDC,"{""17.57"": 13, ""6.43"": 1, ""13.25"": 6, ""8.43"": 7, ""28.03"": 1, ""15.47"": 12, ""22.63"": 12, ""11.85"": 2, ""41.07"": 1, ""31.72"": 3, ""63.45"": 3, ""95.45"": 1, ""68.3"": 10, ""82.83"": 5}"
SAIL,"{""51.9"": 2, ""20.15"": 1, ""44.75"": 4, ""151.3"": 9, ""84.35"": 30, ""112.35"": 19, ""63.6"": 5, ""73.75"": 14, ""93.9"": 14, ""77.6"": 16, ""103.65"": 15, ""81.8"": 27, ""175.35"": 2, ""124.8"": 14}"
IRCTC,"{""398.8"": 1, ""154.95"": 1, ""319.0"": 4, ""258.0"": 5, ""414.6"": 9, ""1279.25"": 1, ""557.0"": 2, ""774.9"": 15, ""557.1"": 2, ""758.0"": 21, ""1049.0"": 3, ""862.75"": 17, ""1138.9"": 1, ""845.3"": 11}"
CONCOR,"{""602.2"": 24, ""263.4"": 1, ""473.9"": 2, ""351.0"": 9, ""748.0"": 19, ""754.4"": 16, ""581.85"": 25, ""718.0"": 21, ""554.0"": 15, ""828.75"": 10, ""555.0"": 16, ""672.2"": 38, ""1180.0"": 2, ""880.7"": 13}"
