stocks,levels
HCC,"{""3.45"": 2, ""6.8"": 7, ""4.4"": 6, ""10.5"": 8, ""6.95"": 2, ""15.55"": 10, ""8.6"": 9, ""8.65"": 14, ""19.25"": 7, ""10.15"": 10, ""21.8"": 1, ""12.1"": 13, ""29.1"": 3, ""46.0"": 5, ""31.3"": 3, ""57.5"": 1, ""47.85"": 9}"
IONEXCHANG,"{""204.1"": 6, ""167.15"": 11, ""609.8"": 7, ""686.95"": 8, ""434.35"": 2, ""406.95"": 2, ""768.4"": 1, ""605.4"": 2, ""744.2"": 1}"
NCC,"{""15.85"": 1, ""38.2"": 1, ""99.85"": 2, ""98.5"": 1, ""55.75"": 8, ""52.2"": 8, ""176.6"": 4, ""136.55"": 2, ""364.5"": 1, ""326.45"": 9}"
RAYMOND,"{""208.9"": 1, ""359.0"": 5, ""406.85"": 10, ""297.3"": 3, ""471.4"": 4, ""1271.95"": 7, ""1635.3"": 7, ""1095.15"": 6, ""2228.15"": 3, ""1479.7"": 7, ""1581.55"": 12, ""3477.45"": 1, ""1325.0"": 5, ""1908.0"": 14}"
AMJLAND,"{""24.85"": 14, ""12.55"": 1, ""23.45"": 11, ""31.45"": 11, ""20.95"": 9, ""42.7"": 4, ""39.0"": 19, ""22.75"": 6, ""35.8"": 11, ""32.3"": 8, ""25.2"": 12, ""18.75"": 13, ""45.4"": 1, ""31.1"": 12, ""65.31"": 5, ""44.0"": 7, ""76.49"": 1}"
RELINFRA,"{""8.65"": 1, ""44.7"": 1, ""19.2"": 3, ""108.65"": 6, ""58.0"": 2, ""114.9"": 6, ""150.0"": 10, ""80.8"": 7, ""201.35"": 6, ""164.35"": 6, ""114.6"": 9, ""168.85"": 11, ""215.5"": 7, ""154.75"": 10, ""308.0"": 4, ""144.45"": 13, ""351.0"": 1}"
LT,"{""1383.7"": 14, ""661.0"": 1, ""1024.95"": 1, ""843.0"": 4, ""1593.0"": 14, ""1306.0"": 17, ""2078.55"": 6, ""1456.35"": 13, ""2297.65"": 3, ""3919.9"": 4, ""3175.05"": 1, ""3262.55"": 4, ""3963.5"": 3}"
MOTOGENFIN,"{""21.0"": 16, ""10.45"": 1, ""26.8"": 16, ""13.2"": 2, ""16.35"": 6, ""25.8"": 7, ""30.95"": 4, ""21.3"": 11, ""38.95"": 16, ""34.9"": 16, ""23.25"": 6, ""40.85"": 6, ""22.45"": 7, ""44.5"": 3, ""51.8"": 1, ""28.75"": 18, ""50.9"": 1, ""30.2"": 10, ""46.75"": 2}"
PENINLAND,"{""6.2"": 9, ""2.25"": 1, ""5.45"": 6, ""5.3"": 5, ""3.65"": 20, ""7.65"": 3, ""17.15"": 3, ""19.45"": 1, ""8.65"": 1, ""18.05"": 4, ""11.05"": 12, ""71.6"": 2, ""44.7"": 4, ""78.23"": 1}"
PHOENIXLTD,"{""489.5"": 18, ""232.5"": 1, ""369.0"": 9, ""270.85"": 10, ""435.55"": 25, ""326.4"": 7, ""597.5"": 5, ""442.5"": 18, ""812.0"": 5, ""631.9"": 8, ""593.2"": 5, ""2068.5"": 1, ""1338.05"": 5, ""1902.0"": 3}"
MARATHON,"{""105.6"": 5, ""37.5"": 1, ""67.0"": 10, ""107.95"": 6, ""42.05"": 1, ""119.8"": 2, ""73.0"": 22, ""127.65"": 4, ""275.0"": 10, ""186.5"": 4, ""358.35"": 1, ""533.7"": 1, ""337.7"": 3, ""736.9"": 1, ""520.0"": 4}"
WSI,"{""1.75"": 5, ""0.8"": 11, ""5.05"": 7, ""8.25"": 4, ""4.1"": 16, ""141.1"": 12, ""93.4"": 1, ""194.0"": 1, ""111.85"": 8, ""185.66"": 1}"
INDIANHUME,"{""112.3"": 1, ""215.7"": 17, ""153.1"": 15, ""219.5"": 11, ""165.9"": 13, ""252.8"": 19, ""178.0"": 31, ""236.0"": 16, ""135.1"": 11, ""188.45"": 17, ""115.6"": 2, ""303.7"": 4, ""211.65"": 6, ""326.0"": 7, ""231.05"": 8, ""613.7"": 1}"
NESCO,"{""816.8"": 11, ""380.0"": 1, ""618.0"": 32, ""485.0"": 6, ""639.0"": 26, ""465.0"": 10, ""696.8"": 1, ""687.15"": 16, ""617.4"": 38, ""501.95"": 11, ""686.45"": 17, ""677.3"": 9, ""505.0"": 15, ""616.05"": 38, ""934.0"": 23, ""748.6"": 5, ""1003.0"": 18, ""780.0"": 5, ""1081.9"": 1}"
TEXINFRA,"{""55.85"": 8, ""21.5"": 1, ""47.3"": 4, ""31.15"": 2, ""79.9"": 15, ""52.35"": 8, ""82.7"": 5, ""56.3"": 12, ""71.0"": 42, ""47.55"": 4, ""62.9"": 20, ""92.0"": 5, ""134.8"": 13, ""85.5"": 6, ""150.95"": 3, ""103.0"": 14, ""159.5"": 1}"
ARIHANTSUP,"{""21.1"": 5, ""32.2"": 1, ""15.75"": 1, ""29.9"": 2, ""17.7"": 4, ""43.75"": 1, ""204.5"": 10, ""113.95"": 3, ""100.05"": 3, ""259.0"": 1, ""191.5"": 10, ""224.35"": 11, ""164.0"": 8, ""158.55"": 1, ""416.0"": 2, ""394.9"": 4, ""263.0"": 3}"
ALEMBICLTD,"{""64.9"": 4, ""24.8"": 1, ""122.8"": 8, ""143.3"": 6, ""97.5"": 8, ""114.5"": 18, ""56.5"": 8, ""78.75"": 18, ""60.75"": 9, ""80.95"": 34, ""55.2"": 5, ""74.15"": 19, ""107.65"": 19, ""78.1"": 17, ""169.0"": 1, ""115.11"": 19, ""153.39"": 5}"
LANCORHOL,"{""38.31"": 4, ""32.02"": 2}"
ITDCEM,"{""69.3"": 6, ""26.15"": 1, ""62.0"": 11, ""94.4"": 3, ""97.45"": 4, ""73.9"": 10, ""96.8"": 2, ""89.95"": 11, ""55.6"": 4, ""147.0"": 3, ""93.2"": 4, ""256.1"": 1, ""694.3"": 1}"
SUNTECK,"{""457.8"": 20, ""145.0"": 2, ""307.7"": 18, ""394.0"": 22, ""250.0"": 6, ""524.4"": 15, ""410.0"": 25, ""589.9"": 9, ""378.0"": 27, ""539.0"": 8, ""271.1"": 15, ""271.4"": 15, ""511.4"": 24, ""380.05"": 17, ""699.0"": 1}"
GMRP&UI,"{""18.45"": 14, ""38.55"": 5, ""14.35"": 1, ""48.55"": 2, ""38.6"": 3, ""169.25"": 1, ""97.3"": 4}"
