stocks,levels
ADANIGREEN,"{""243.75"": 2, ""111.9"": 1, ""1220.0"": 11, ""1390.0"": 11, ""874.8"": 9, ""3050.0"": 1, ""1650.2"": 5, ""2572.0"": 1, ""439.1"": 3, ""1184.85"": 11, ""815.55"": 5, ""2018.95"": 9, ""2174.1"": 12, ""1545.15"": 4, ""2091.0"": 12, ""870.25"": 6}"
ADANIPORTS,"{""203.0"": 1, ""378.35"": 11, ""901.0"": 6, ""638.1"": 6, ""829.9"": 16, ""679.7"": 15, ""795.0"": 27, ""651.95"": 5, ""924.65"": 2, ""653.1"": 5, ""987.85"": 2, ""395.1"": 10, ""785.65"": 23, ""889.5"": 9, ""1621.4"": 1, ""1160.6"": 9, ""995.65"": 2}"
APOLLOHOSP,"{""1341.35"": 5, ""1813.55"": 3, ""1047.05"": 1, ""5935.4"": 10, ""4150.0"": 10, ""3361.55"": 5, ""4901.95"": 24, ""4123.0"": 8, ""5364.0"": 7, ""4726.0"": 29, ""6874.45"": 14, ""5693.2"": 7, ""6594.15"": 10}"
DMART,"{""1700.0"": 1, ""2560.0"": 1, ""1729.3"": 2, ""2527.0"": 5, ""1955.0"": 4, ""1954.85"": 4, ""3330.0"": 16, ""5900.0"": 1, ""3881.25"": 26, ""3186.0"": 4, ""4609.0"": 16, ""3292.0"": 4, ""4150.0"": 28, ""4206.0"": 18, ""3644.3"": 39, ""5219.0"": 8, ""5484.85"": 1, ""3399.0"": 21}"
AXISBANK,"{""765.85"": 21, ""286.0"": 1, ""533.85"": 3, ""400.15"": 4, ""799.0"": 22, ""626.65"": 8, ""866.9"": 14, ""648.0"": 6, ""816.2"": 12, ""618.25"": 11, ""970.0"": 14, ""814.3"": 7, ""1151.85"": 23, ""995.7"": 12, ""1339.65"": 1}"
BAJFINANCE,"{""4923.4"": 5, ""1783.0"": 1, ""3749.85"": 2, ""5822.2"": 19, ""4362.0"": 6, ""8050.0"": 8, ""6492.6"": 20, ""8045.0"": 7, ""7590.9"": 28, ""5220.0"": 11, ""7778.0"": 20, ""5485.7"": 11, ""7999.9"": 6, ""6801.0"": 38, ""8192.0"": 1, ""7830.0"": 20, ""6187.8"": 20, ""7429.45"": 48, ""6375.7"": 14, ""7824.0"": 20, ""6451.0"": 15}"
BAJAJFINSV,"{""995.0"": 8, ""398.55"": 1, ""671.0"": 2, ""540.0"": 1, ""1932.5"": 4, ""1862.1"": 13, ""1748.0"": 23, ""1072.7"": 1, ""1844.0"": 7, ""1215.0"": 5, ""1664.9"": 31, ""1741.0"": 25, ""1725.0"": 35, ""1419.05"": 18, ""2029.9"": 1, ""1551.65"": 33}"
BHARTIARTL,"{""558.35"": 21, ""355.1"": 2, ""600.7"": 4, ""386.75"": 2, ""611.5"": 10, ""490.35"": 10, ""566.35"": 10, ""781.8"": 10, ""645.1"": 4, ""639.0"": 1, ""780.7"": 20, ""628.75"": 1, ""860.55"": 7, ""735.8"": 19, ""1779.0"": 1, ""1511.0"": 4}"
GAIL,"{""36.47"": 1, ""63.74"": 1, ""46.88"": 3, ""104.11"": 1, ""104.74"": 8, ""75.11"": 20, ""106.14"": 9, ""74.68"": 22, ""167.18"": 1, ""237.33"": 1}"
HCLTECH,"{""623.5"": 3, ""375.25"": 1, ""1067.0"": 22, ""1054.8"": 28, ""891.0"": 10, ""1377.75"": 5, ""1359.4"": 9, ""1070.2"": 21, ""877.35"": 6, ""1156.65"": 32, ""1016.25"": 9, ""1697.35"": 7, ""1235.0"": 12}"
