stocks,levels
GLOBE,"{""8.59"": 18, ""7.2"": 2, ""7.68"": 9, ""9.67"": 4, ""2.13"": 31, ""2.08"": 70, ""2.04"": 46, ""10.71"": 8, ""6.46"": 7, ""9.15"": 12, ""13.66"": 1, ""6.2"": 14, ""8.46"": 11, ""4.34"": 14, ""6.07"": 3, ""4.03"": 20, ""7.29"": 4, ""3.17"": 26, ""4.21"": 7, ""3.12"": 29, ""2.0"": 24, ""1.47"": 2, ""2.26"": 41, ""2.56"": 21, ""1.65"": 4, ""4.25"": 11, ""2.65"": 25, ""2.6"": 19, ""3.43"": 21, ""3.82"": 17, ""2.78"": 41, ""3.38"": 19, ""2.34"": 20, ""5.37"": 2, ""3.85"": 4, ""5.41"": 1, ""4.55"": 7, ""3.27"": 2, ""3.47"": 11, ""4.98"": 1, ""3.7"": 5, ""5.22"": 1, ""3.56"": 11}"
SHEMAROO,"{""132.6"": 12, ""186.0"": 5, ""40.25"": 1, ""111.9"": 12, ""77.15"": 4, ""58.35"": 1, ""66.75"": 5, ""51.4"": 6, ""70.8"": 12, ""54.3"": 3, ""62.85"": 12, ""87.5"": 1, ""67.0"": 9, ""80.2"": 1, ""64.5"": 5, ""74.8"": 11, ""63.15"": 3, ""81.1"": 3, ""107.45"": 6, ""180.95"": 14, ""116.65"": 17, ""151.4"": 25, ""100.2"": 5, ""177.75"": 10, ""120.7"": 8, ""139.55"": 23, ""112.2"": 10, ""134.85"": 29, ""129.4"": 12, ""101.55"": 5, ""151.45"": 27, ""149.15"": 33, ""100.55"": 5, ""92.1"": 4, ""150.7"": 17, ""171.0"": 17, ""131.35"": 6, ""206.0"": 2, ""182.0"": 9, ""150.15"": 40, ""117.9"": 19, ""101.0"": 5, ""113.85"": 17, ""148.8"": 34, ""188.7"": 4, ""133.0"": 24, ""123.8"": 14, ""126.2"": 17, ""162.4"": 20, ""181.2"": 9, ""146.35"": 21, ""152.6"": 18, ""240.0"": 2, ""154.2"": 38, ""131.5"": 6, ""184.25"": 8, ""128.7"": 11, ""144.05"": 35, ""176.6"": 5, ""144.2"": 41, ""215.0"": 2, ""151.54"": 25}"
RBLBANK,"{""230.55"": 23, ""391.2"": 1, ""313.2"": 2, ""372.4"": 4, ""346.95"": 8, ""101.55"": 3, ""137.0"": 12, ""105.5"": 3, ""205.7"": 15, ""160.5"": 12, ""193.7"": 14, ""160.8"": 10, ""217.7"": 22, ""156.1"": 14, ""165.8"": 21, ""245.2"": 24, ""197.75"": 14, ""274.3"": 3, ""209.2"": 26, ""268.8"": 10, ""230.05"": 17, ""169.65"": 23, ""223.7"": 20, ""201.1"": 10, ""226.4"": 15, ""155.6"": 17, ""170.15"": 16, ""197.6"": 11, ""172.1"": 26, ""221.3"": 15, ""178.5"": 18, ""205.4"": 16, ""123.8"": 11, ""158.75"": 22, ""134.25"": 11, ""118.1"": 9, ""143.15"": 13, ""100.8"": 2, ""124.35"": 9, ""74.15"": 1, ""133.7"": 15, ""134.5"": 12, ""108.4"": 5, ""148.5"": 12, ""189.3"": 8, ""143.0"": 16, ""169.1"": 21, ""131.6"": 6, ""163.35"": 10, ""138.85"": 5, ""180.0"": 25, ""164.55"": 16, ""251.4"": 22, ""209.05"": 19, ""243.15"": 17, ""216.7"": 21, ""256.7"": 21, ""255.0"": 16, ""209.7"": 24, ""257.75"": 20, ""226.75"": 17, ""293.7"": 3, ""259.75"": 13, ""300.7"": 2, ""249.0"": 23, ""279.15"": 5, ""241.6"": 18, ""277.25"": 3, ""220.5"": 15, ""266.75"": 14, ""237.35"": 19, ""272.05"": 7, ""237.75"": 21, ""222.1"": 17, ""270.39"": 11, ""205.25"": 20, ""235.25"": 17, ""212.01"": 29, ""158.4"": 21, ""151.46"": 15, ""147.5"": 17, ""180.63"": 14, ""169.68"": 21, ""146.1"": 14}"
MICEL,"{""38.3"": 5, ""23.6"": 2, ""16.55"": 2, ""22.95"": 2, ""16.15"": 4, ""13.9"": 6, ""17.9"": 8, ""11.7"": 14, ""16.95"": 6, ""11.4"": 8, ""14.5"": 4, ""10.85"": 1, ""15.1"": 3, ""11.0"": 6, ""13.95"": 2, ""11.35"": 13, ""14.1"": 1, ""11.5"": 11, ""13.2"": 3, ""20.3"": 2, ""15.8"": 2, ""30.75"": 2, ""31.6"": 3, ""22.85"": 2, ""48.0"": 10, ""35.3"": 6, ""37.9"": 6, ""31.95"": 1, ""38.7"": 7, ""33.05"": 1, ""53.65"": 3, ""36.85"": 7, ""47.0"": 3, ""39.0"": 4, ""55.7"": 2, ""59.8"": 1, ""43.9"": 3, ""99.94"": 4, ""72.01"": 1, ""114.79"": 1, ""80.98"": 11, ""82.0"": 11, ""96.0"": 2, ""91.0"": 4, ""84.0"": 13, ""68.99"": 1}"
MRPL,"{""48.25"": 14, ""56.6"": 20, ""39.65"": 12, ""49.2"": 20, ""20.75"": 1, ""36.4"": 16, ""26.2"": 2, ""42.35"": 19, ""33.65"": 6, ""41.0"": 20, ""25.25"": 1, ""31.2"": 2, ""37.4"": 9, ""30.45"": 3, ""43.3"": 27, ""33.8"": 13, ""46.1"": 9, ""35.3"": 13, ""55.25"": 11, ""39.75"": 9, ""57.8"": 13, ""48.4"": 6, ""40.95"": 25, ""49.25"": 38, ""40.25"": 15, ""37.05"": 17, ""45.1"": 18, ""40.0"": 12, ""127.65"": 2, ""69.25"": 2, ""79.75"": 6, ""68.3"": 3, ""52.4"": 12, ""52.2"": 9, ""63.8"": 2, ""52.0"": 17, ""60.5"": 4, ""61.1"": 6, ""49.75"": 13, ""52.85"": 15, ""66.3"": 9, ""68.7"": 3, ""93.4"": 7, ""80.25"": 3, ""99.4"": 5, ""85.4"": 4, ""90.5"": 5, ""117.7"": 4, ""118.8"": 3, ""289.25"": 1, ""182.1"": 4, ""244.9"": 3, ""209.1"": 9, ""259.9"": 2, ""199.5"": 1, ""170.1"": 4, ""253.56"": 2, ""197.88"": 1, ""219.99"": 16, ""141.37"": 3, ""172.5"": 2, ""144.05"": 6, ""163.42"": 2, ""140.02"": 4, ""154.5"": 10}"
CREATIVE,"{""58.0"": 1, ""113.9"": 14, ""95.7"": 3, ""130.0"": 5, ""67.55"": 2, ""93.45"": 3, ""68.5"": 1, ""99.45"": 5, ""69.1"": 5, ""137.8"": 4, ""133.0"": 4, ""109.9"": 21, ""151.0"": 2, ""111.5"": 6, ""140.0"": 4, ""105.0"": 24, ""123.0"": 13, ""90.55"": 8, ""124.05"": 12, ""85.35"": 8, ""120.0"": 15, ""96.6"": 6, ""83.9"": 7, ""241.5"": 2, ""279.45"": 1, ""205.2"": 3, ""437.0"": 4, ""365.05"": 3, ""364.1"": 1, ""743.95"": 9, ""527.2"": 16, ""764.0"": 15, ""466.05"": 12, ""469.9"": 17, ""567.5"": 7, ""450.5"": 13, ""548.0"": 11, ""534.6"": 18, ""442.1"": 5, ""498.5"": 15, ""432.0"": 9, ""535.0"": 15, ""648.8"": 1, ""485.9"": 18, ""454.0"": 13, ""396.1"": 13, ""474.2"": 11, ""358.3"": 1, ""543.1"": 12, ""470.05"": 17, ""509.15"": 12, ""627.0"": 1, ""502.5"": 10, ""589.85"": 11, ""505.8"": 12, ""848.0"": 10, ""687.85"": 9, ""915.0"": 7, ""744.2"": 9, ""773.8"": 8, ""625.0"": 9, ""882.0"": 9, ""859.95"": 7, ""601.1"": 5, ""805.0"": 12, ""893.55"": 6, ""665.15"": 10, ""994.7"": 4, ""968.7"": 7, ""772.4"": 14, ""1016.6"": 3, ""852.6"": 8, ""1075.0"": 1, ""882.05"": 9, ""1008.2"": 2, ""1014.0"": 3, ""842.0"": 15}"
TGBHOTELS,"{""3.35"": 13, ""4.4"": 17, ""3.05"": 7, ""5.05"": 19, ""3.0"": 6, ""4.25"": 14, ""1.9"": 1, ""2.95"": 4, ""7.95"": 8, ""4.35"": 11, ""6.15"": 8, ""4.5"": 21, ""5.45"": 8, ""7.25"": 10, ""5.5"": 10, ""6.5"": 4, ""4.15"": 16, ""5.35"": 9, ""5.1"": 15, ""6.3"": 6, ""9.9"": 25, ""7.5"": 6, ""10.0"": 72, ""6.55"": 2, ""12.8"": 18, ""9.75"": 26, ""11.45"": 23, ""10.05"": 11, ""8.9"": 32, ""13.1"": 8, ""8.0"": 15, ""8.3"": 11, ""11.75"": 16, ""9.0"": 31, ""14.45"": 8, ""10.75"": 15, ""14.6"": 12, ""7.7"": 7, ""9.5"": 64, ""8.35"": 22, ""13.75"": 8, ""10.2"": 16, ""9.05"": 28, ""10.3"": 8, ""12.15"": 4, ""13.3"": 16, ""20.3"": 1, ""13.8"": 8, ""17.2"": 10, ""17.95"": 6, ""12.6"": 7, ""17.4"": 9, ""14.35"": 7, ""17.6"": 4, ""18.44"": 3, ""14.75"": 10, ""18.24"": 1, ""15.0"": 25, ""17.98"": 4, ""14.63"": 8, ""14.03"": 17, ""16.64"": 14, ""13.65"": 6, ""16.0"": 24, ""15.21"": 25, ""12.06"": 8}"
MOIL,"{""154.4"": 40, ""149.5"": 26, ""136.5"": 17, ""125.15"": 8, ""169.95"": 37, ""85.55"": 1, ""146.0"": 37, ""120.3"": 3, ""170.0"": 38, ""139.1"": 34, ""136.15"": 15, ""163.9"": 37, ""125.8"": 4, ""120.6"": 2, ""149.0"": 41, ""129.5"": 7, ""159.5"": 34, ""133.5"": 12, ""177.9"": 17, ""135.1"": 15, ""168.5"": 44, ""196.0"": 4, ""207.95"": 2, ""178.3"": 12, ""157.05"": 41, ""181.5"": 13, ""156.15"": 33, ""174.7"": 24, ""154.5"": 39, ""179.8"": 19, ""167.1"": 31, ""166.75"": 27, ""183.8"": 18, ""165.1"": 37, ""189.0"": 12, ""163.2"": 42, ""197.4"": 8, ""153.9"": 35, ""137.3"": 11, ""178.6"": 12, ""153.0"": 32, ""172.0"": 33, ""147.7"": 58, ""161.3"": 31, ""150.5"": 38, ""174.4"": 17, ""152.05"": 39, ""176.5"": 15, ""140.75"": 23, ""162.7"": 26, ""151.55"": 27, ""166.25"": 13, ""224.0"": 4, ""250.0"": 2, ""207.05"": 5, ""280.0"": 5, ""329.9"": 9, ""265.7"": 6, ""369.65"": 4, ""259.5"": 2, ""314.7"": 19, ""555.7"": 1, ""420.2"": 1, ""473.1"": 1, ""588.0"": 1, ""393.5"": 5, ""367.2"": 5, ""413.95"": 3, ""280.7"": 2, ""374.7"": 5, ""316.15"": 9, ""371.0"": 1, ""282.45"": 3}"
VLEGOV,"{""45.5"": 1, ""31.65"": 4, ""34.5"": 4, ""28.75"": 1, ""32.45"": 7, ""29.75"": 1, ""80.5"": 1, ""84.15"": 4, ""75.5"": 1, ""50.0"": 2, ""73.0"": 8, ""71.85"": 7, ""56.05"": 6, ""53.35"": 1, ""77.86"": 2, ""180.53"": 1, ""130.15"": 3, ""168.0"": 5, ""142.58"": 1, ""173.4"": 2, ""147.09"": 4, ""197.77"": 1}"
RAJRATAN,"{""49.45"": 2, ""33.2"": 1, ""42.0"": 2, ""56.8"": 1, ""47.8"": 4, ""58.6"": 2, ""69.1"": 3, ""58.5"": 3, ""79.6"": 1, ""60.75"": 3, ""92.0"": 4, ""78.4"": 4, ""95.55"": 1, ""118.8"": 1, ""106.35"": 1, ""177.35"": 1, ""219.2"": 4, ""185.4"": 1, ""369.6"": 2, ""551.7"": 8, ""352.8"": 1, ""440.0"": 7, ""394.0"": 3, ""529.6"": 15, ""392.45"": 5, ""462.2"": 11, ""383.0"": 1, ""610.0"": 15, ""453.1"": 9, ""423.0"": 4, ""603.9"": 15, ""801.5"": 4, ""588.15"": 24, ""735.0"": 42, ""539.4"": 9, ""1409.9"": 1, ""1111.0"": 2, ""821.55"": 14, ""987.0"": 2, ""774.0"": 34, ""930.0"": 5, ""704.0"": 3, ""805.4"": 6, ""697.0"": 5, ""919.9"": 5, ""750.0"": 34, ""882.0"": 7, ""859.65"": 5, ""716.55"": 11, ""816.8"": 7, ""741.9"": 30, ""859.0"": 6, ""717.0"": 11, ""789.95"": 30, ""724.7"": 22, ""819.85"": 8, ""605.1"": 16, ""677.95"": 3, ""578.5"": 12, ""694.2"": 8, ""501.0"": 11, ""662.8"": 8, ""556.0"": 4, ""629.25"": 11, ""622.85"": 9, ""618.0"": 12, ""519.95"": 4, ""522.0"": 5, ""510.0"": 7, ""400.0"": 9}"
