stocks,levels
APOLLOTYRE,"{""196.75"": 10, ""161.9"": 7, ""177.5"": 8, ""159.25"": 5, ""158.45"": 3, ""182.35"": 6, ""73.4"": 1, ""103.3"": 1, ""81.05"": 1, ""119.6"": 2, ""105.9"": 4, ""139.0"": 3, ""109.55"": 7, ""135.55"": 7, ""200.0"": 16, ""170.35"": 8, ""174.5"": 13, ""256.5"": 2, ""223.4"": 28, ""261.25"": 1, ""208.0"": 16, ""198.55"": 11, ""243.0"": 6, ""219.0"": 30, ""241.0"": 13, ""231.95"": 22, ""203.35"": 11, ""239.85"": 8, ""250.0"": 9, ""208.1"": 16, ""237.0"": 9, ""200.8"": 5, ""197.8"": 5, ""245.0"": 8, ""205.5"": 14, ""165.25"": 16, ""187.0"": 12, ""214.0"": 19, ""189.05"": 16, ""224.5"": 26, ""167.1"": 13, ""268.3"": 4, ""303.45"": 4, ""262.0"": 3, ""270.0"": 6, ""305.1"": 5, ""339.95"": 4, ""304.9"": 7, ""343.05"": 2, ""303.35"": 4, ""427.6"": 9, ""394.05"": 7, ""436.5"": 4, ""440.9"": 5, ""365.0"": 4, ""394.5"": 6, ""485.0"": 19, ""419.25"": 14, ""557.9"": 2, ""499.85"": 20, ""546.0"": 11, ""441.65"": 5, ""518.8"": 25, ""459.0"": 9, ""510.0"": 18, ""429.0"": 10, ""568.05"": 1, ""477.15"": 17, ""584.9"": 1, ""474.25"": 15, ""448.15"": 6, ""557.0"": 4, ""407.05"": 8}"
ARE&M,"{""638.75"": 54, ""784.95"": 26, ""703.7"": 27, ""813.85"": 18, ""728.4"": 34, ""348.55"": 1, ""769.95"": 39, ""793.6"": 11, ""696.6"": 20, ""710.15"": 17, ""964.8"": 7, ""963.25"": 6, ""881.05"": 10, ""1025.55"": 4, ""1009.0"": 3, ""868.0"": 8, ""826.0"": 10, ""756.95"": 32, ""732.0"": 28, ""791.0"": 19, ""693.15"": 20, ""742.0"": 53, ""665.0"": 15, ""710.95"": 24, ""781.6"": 17, ""673.05"": 12, ""714.0"": 17, ""607.7"": 15, ""652.2"": 26, ""584.25"": 16, ""664.6"": 18, ""587.15"": 12, ""520.0"": 6, ""590.8"": 13, ""534.2"": 8, ""584.45"": 14, ""474.05"": 8, ""438.05"": 1, ""497.65"": 11, ""551.2"": 8, ""479.15"": 6, ""668.15"": 12, ""548.05"": 10, ""561.65"": 11, ""619.7"": 27, ""546.0"": 4, ""584.95"": 15, ""552.7"": 10, ""617.05"": 25, ""653.95"": 25, ""594.65"": 17, ""709.0"": 19, ""609.4"": 17, ""607.45"": 18, ""674.0"": 18, ""660.85"": 17, ""599.0"": 14, ""799.45"": 20, ""728.5"": 36, ""843.0"": 12, ""771.65"": 17, ""915.55"": 9, ""810.1"": 18, ""895.15"": 11, ""737.7"": 40, ""1204.4"": 6, ""1013.35"": 5, ""1000.0"": 5, ""1775.95"": 1, ""1404.0"": 7, ""1696.75"": 3, ""1444.0"": 1, ""1218.85"": 11, ""1422.0"": 5, ""1209.05"": 5, ""1360.0"": 4, ""990.0"": 5}"
ASHOKLEY,"{""66.05"": 5, ""79.75"": 7, ""70.25"": 10, ""80.0"": 9, ""82.55"": 1, ""69.85"": 10, ""81.4"": 2, ""28.75"": 1, ""48.25"": 4, ""37.05"": 1, ""53.55"": 1, ""41.7"": 5, ""43.05"": 4, ""68.65"": 6, ""59.2"": 2, ""78.45"": 11, ""67.05"": 5, ""92.85"": 1, ""97.15"": 2, ""82.3"": 2, ""133.95"": 24, ""103.55"": 1, ""115.65"": 13, ""129.4"": 13, ""102.3"": 2, ""120.65"": 20, ""101.25"": 2, ""114.45"": 11, ""127.35"": 15, ""107.45"": 9, ""115.85"": 12, ""138.35"": 44, ""109.9"": 17, ""144.75"": 28, ""128.75"": 13, ""148.55"": 9, ""125.4"": 14, ""112.05"": 11, ""136.95"": 18, ""120.75"": 19, ""88.25"": 5, ""127.05"": 11, ""108.05"": 12, ""140.3"": 38, ""123.25"": 16, ""153.3"": 5, ""134.65"": 19, ""164.5"": 11, ""136.75"": 19, ""149.45"": 12, ""136.7"": 21, ""130.25"": 13, ""147.85"": 18, ""151.35"": 6, ""128.15"": 18, ""137.85"": 15, ""150.0"": 9, ""139.15"": 30, ""186.55"": 2, ""159.8"": 13, ""179.85"": 8, ""160.3"": 13, ""184.65"": 5, ""162.75"": 9, ""181.9"": 5, ""161.45"": 11, ""152.6"": 3, ""166.25"": 16, ""192.0"": 1, ""245.67"": 5, ""219.35"": 13, ""259.0"": 3, ""264.65"": 1, ""202.0"": 7, ""237.06"": 9, ""215.7"": 6, ""238.2"": 16, ""221.07"": 9, ""195.35"": 1}"
ASKAUTOLTD,"{""271.4"": 1, ""276.75"": 4, ""334.55"": 2, ""286.2"": 15, ""240.1"": 1, ""327.9"": 3, ""289.85"": 13, ""334.6"": 2, ""284.35"": 16, ""406.5"": 9, ""354.6"": 6, ""433.8"": 6, ""474.8"": 1, ""485.3"": 6, ""382.9"": 2, ""462.0"": 8, ""403.0"": 6, ""508.95"": 1, ""404.0"": 7}"
ATULAUTO,"{""216.1"": 15, ""236.85"": 13, ""215.0"": 9, ""262.0"": 6, ""259.9"": 9, ""298.45"": 2, ""116.8"": 1, ""181.45"": 11, ""143.25"": 1, ""147.0"": 2, ""186.55"": 19, ""182.0"": 31, ""152.5"": 4, ""203.4"": 15, ""162.5"": 12, ""151.7"": 3, ""201.0"": 20, ""167.0"": 28, ""198.8"": 18, ""175.0"": 49, ""174.75"": 44, ""218.9"": 9, ""175.05"": 48, ""164.2"": 16, ""194.8"": 31, ""207.0"": 10, ""184.2"": 22, ""237.0"": 13, ""183.4"": 20, ""250.3"": 9, ""215.8"": 9, ""268.25"": 7, ""239.0"": 9, ""186.0"": 52, ""216.45"": 9, ""189.0"": 35, ""146.5"": 2, ""156.2"": 9, ""213.3"": 8, ""152.05"": 6, ""182.15"": 32, ""168.0"": 33, ""171.05"": 25, ""204.8"": 14, ""180.95"": 25, ""331.4"": 3, ""239.3"": 8, ""368.9"": 9, ""397.8"": 2, ""305.8"": 2, ""434.0"": 1, ""341.85"": 7, ""383.7"": 6, ""335.15"": 5, ""325.0"": 3, ""395.0"": 2, ""327.55"": 5, ""650.0"": 9, ""685.95"": 5, ""562.0"": 16, ""693.0"": 5, ""632.6"": 14, ""551.0"": 38, ""533.3"": 11, ""616.95"": 18, ""470.0"": 1, ""517.95"": 8, ""471.65"": 3, ""612.0"": 12, ""578.0"": 11, ""477.55"": 2, ""844.4"": 1, ""610.0"": 18, ""724.0"": 4, ""695.0"": 3, ""517.0"": 7, ""693.55"": 5, ""462.15"": 1}"
BAJAJ-AUTO,"{""3289.0"": 19, ""3105.2"": 14, ""3286.4"": 18, ""3000.0"": 24, ""3041.1"": 23, ""3315.15"": 14, ""1788.65"": 1, ""2524.95"": 2, ""2774.0"": 7, ""2876.5"": 11, ""2979.9"": 14, ""3149.0"": 33, ""3159.0"": 16, ""2830.05"": 5, ""2870.0"": 7, ""3130.0"": 14, ""2822.45"": 7, ""3172.0"": 21, ""4361.4"": 3, ""3497.0"": 13, ""3447.0"": 18, ""4347.0"": 3, ""4030.0"": 17, ""3898.9"": 23, ""3647.15"": 44, ""3680.0"": 36, ""4050.0"": 16, ""3372.45"": 10, ""3027.05"": 28, ""3660.0"": 36, ""3125.0"": 19, ""3836.0"": 48, ""4000.0"": 18, ""3460.0"": 13, ""3971.0"": 16, ""3574.8"": 44, ""3958.45"": 20, ""4091.0"": 8, ""4131.75"": 13, ""3461.25"": 13, ""3818.65"": 50, ""3585.0"": 40, ""3520.05"": 18, ""3995.0"": 18, ""3934.95"": 17, ""3625.6"": 45, ""4829.9"": 13, ""4569.05"": 9, ""4995.1"": 8, ""4541.0"": 7, ""5274.9"": 2, ""4903.05"": 12, ""5510.0"": 1, ""6936.55"": 1, ""9357.95"": 6, ""9258.6"": 9, ""8592.8"": 8, ""10038.8"": 4, ""9365.65"": 6, ""9909.95"": 12, ""8744.6"": 19, ""12774.0"": 1, ""9365.0"": 6, ""8746.5"": 20, ""9179.15"": 12, ""9178.0"": 13, ""8290.35"": 5}"
BALKRISIND,"{""899.8"": 4, ""812.0"": 1, ""1033.25"": 2, ""1297.95"": 4, ""679.0"": 1, ""1006.9"": 1, ""1324.9"": 5, ""1230.0"": 3, ""1415.0"": 4, ""1237.5"": 8, ""1514.7"": 5, ""1306.3"": 9, ""1720.0"": 5, ""1515.5"": 4, ""1875.0"": 4, ""1516.65"": 3, ""1530.05"": 2, ""1708.2"": 4, ""1552.0"": 5, ""2322.95"": 43, ""2187.2"": 21, ""2404.3"": 22, ""2559.2"": 23, ""2207.5"": 30, ""2723.8"": 15, ""2250.0"": 46, ""2086.05"": 22, ""2065.0"": 24, ""2537.45"": 19, ""1690.55"": 12, ""2195.0"": 25, ""2231.85"": 34, ""1880.5"": 12, ""2375.0"": 27, ""2053.35"": 29, ""2450.0"": 22, ""1825.0"": 4, ""2003.8"": 12, ""1796.3"": 7, ""2104.0"": 20, ""2350.0"": 30, ""1974.05"": 20, ""1908.9"": 14, ""2491.95"": 25, ""2130.1"": 38, ""2525.0"": 23, ""2276.0"": 42, ""2570.0"": 29, ""2302.6"": 39, ""2478.15"": 25, ""2640.0"": 11, ""2488.9"": 29, ""2682.75"": 10, ""2462.0"": 24, ""2678.0"": 9, ""2407.5"": 22, ""2795.5"": 12, ""2378.8"": 28, ""2193.8"": 23, ""2472.3"": 24, ""2265.3"": 37, ""2779.95"": 10, ""3363.95"": 2, ""3087.7"": 10, ""3375.0"": 2, ""2753.05"": 12, ""3155.8"": 7, ""2779.0"": 16, ""2644.35"": 11, ""2901.25"": 8, ""2682.05"": 11, ""2928.0"": 7, ""2545.65"": 30}"
BANCOINDIA,"{""46.0"": 8, ""60.5"": 2, ""45.7"": 6, ""57.45"": 5, ""52.2"": 6, ""27.05"": 1, ""37.7"": 3, ""29.0"": 2, ""46.45"": 17, ""38.7"": 5, ""53.5"": 4, ""41.65"": 10, ""43.9"": 7, ""60.0"": 3, ""74.95"": 10, ""67.05"": 8, ""87.4"": 10, ""74.1"": 13, ""83.0"": 32, ""69.05"": 14, ""68.0"": 11, ""83.75"": 8, ""89.5"": 12, ""99.95"": 25, ""78.0"": 9, ""73.1"": 12, ""112.55"": 8, ""95.55"": 13, ""88.5"": 38, ""108.35"": 5, ""81.2"": 12, ""99.85"": 22, ""66.6"": 4, ""77.0"": 17, ""66.3"": 4, ""76.0"": 18, ""59.05"": 3, ""89.2"": 17, ""75.9"": 12, ""94.2"": 12, ""90.0"": 19, ""135.0"": 6, ""106.85"": 12, ""104.25"": 8, ""89.1"": 19, ""95.0"": 14, ""123.95"": 5, ""126.25"": 5, ""103.95"": 14, ""110.3"": 2, ""146.5"": 1, ""160.95"": 1, ""163.6"": 3, ""270.8"": 2, ""219.5"": 1, ""256.0"": 16, ""205.4"": 1, ""308.9"": 8, ""273.15"": 1, ""267.8"": 2, ""367.0"": 4, ""310.05"": 9, ""320.0"": 9, ""287.5"": 5, ""324.85"": 9, ""278.5"": 3, ""328.0"": 7, ""259.2"": 3, ""372.1"": 4, ""325.0"": 8, ""399.6"": 3, ""318.5"": 11, ""351.5"": 8, ""324.7"": 9, ""391.95"": 1, ""317.5"": 9, ""594.4"": 1}"
BBTC,"{""1249.6"": 26, ""990.1"": 16, ""1235.0"": 23, ""535.0"": 1, ""987.6"": 14, ""798.35"": 1, ""1152.5"": 24, ""1565.0"": 9, ""1300.0"": 20, ""1248.05"": 31, ""1171.55"": 30, ""1387.0"": 6, ""1192.0"": 31, ""1354.7"": 17, ""1192.9"": 31, ""1150.0"": 33, ""1262.0"": 10, ""1101.0"": 35, ""1298.0"": 19, ""1124.85"": 29, ""1362.2"": 9, ""1424.95"": 9, ""1081.0"": 18, ""1244.0"": 19, ""1130.3"": 32, ""1194.9"": 34, ""1071.25"": 20, ""1166.85"": 22, ""980.5"": 19, ""1179.0"": 34, ""1167.0"": 20, ""1013.2"": 17, ""859.55"": 7, ""957.4"": 32, ""839.9"": 5, ""871.25"": 19, ""1117.0"": 27, ""893.9"": 15, ""1023.15"": 20, ""851.95"": 13, ""1005.0"": 24, ""910.0"": 42, ""997.0"": 19, ""888.35"": 13, ""1040.85"": 18, ""947.95"": 25, ""856.0"": 10, ""977.0"": 21, ""1048.0"": 9, ""891.0"": 17, ""951.9"": 26, ""837.15"": 8, ""852.0"": 12, ""781.05"": 1, ""1073.5"": 15, ""918.0"": 37, ""1102.1"": 27, ""1000.05"": 21, ""1187.0"": 27, ""975.55"": 23, ""970.05"": 12, ""1375.0"": 9, ""1166.65"": 28, ""1546.0"": 12, ""1259.3"": 16, ""1528.4"": 12, ""1839.95"": 1, ""1522.0"": 10, ""1669.0"": 9, ""1490.05"": 13, ""1318.2"": 24, ""2408.0"": 6, ""1900.0"": 2, ""2975.0"": 1, ""2450.0"": 1, ""2944.0"": 1, ""1928.25"": 1, ""2345.25"": 6}"
BOSCHLTD,"{""17260.3"": 34, ""14805.1"": 17, ""15820.0"": 27, ""14505.7"": 25, ""15550.0"": 29, ""13502.8"": 24, ""14950.0"": 35, ""7850.0"": 1, ""11100.0"": 3, ""9030.0"": 3, ""11850.0"": 9, ""13960.0"": 18, ""12700.75"": 9, ""14725.85"": 18, ""12251.0"": 6, ""12111.15"": 7, ""14045.45"": 24, ""12514.3"": 6, ""11265.05"": 3, ""13783.35"": 15, ""11910.0"": 10, ""16830.05"": 25, ""14353.6"": 19, ""13590.0"": 18, ""14847.8"": 21, ""13225.0"": 11, ""16250.0"": 12, ""16200.0"": 25, ""14911.0"": 32, ""16179.8"": 18, ""15788.0"": 29, ""13412.05"": 19, ""18570.0"": 12, ""16500.0"": 28, ""19250.0"": 21, ""15692.05"": 26, ""15200.0"": 38, ""17929.95"": 9, ""15773.35"": 23, ""13865.85"": 30, ""15167.95"": 34, ""12932.45"": 13, ""14871.0"": 24, ""13165.0"": 17, ""18224.7"": 20, ""16801.15"": 25, ""15300.0"": 31, ""17510.3"": 26, ""17897.65"": 11, ""16617.6"": 35, ""17524.95"": 27, ""16366.05"": 18, ""18948.95"": 33, ""19654.95"": 10, ""19850.4"": 6, ""18245.7"": 19, ""18485.0"": 19, ""19990.0"": 3, ""17931.15"": 9, ""19749.95"": 11, ""18600.0"": 18, ""20932.1"": 2, ""19300.0"": 25, ""21331.0"": 4, ""22315.2"": 6, ""30468.05"": 13, ""28116.0"": 6, ""31400.15"": 7, ""28538.9"": 6, ""27500.0"": 2, ""36678.0"": 6, ""30900.0"": 14, ""39088.8"": 2, ""32830.5"": 7, ""36997.35"": 6}"
