stocks,levels
KARURVYSYA,"{""54.4"": 11, ""61.1"": 7, ""64.6"": 2, ""45.0"": 27, ""18.75"": 1, ""30.5"": 1, ""22.8"": 1, ""37.0"": 12, ""30.1"": 2, ""42.7"": 12, ""31.2"": 4, ""29.3"": 1, ""49.8"": 32, ""42.1"": 6, ""64.55"": 3, ""60.8"": 7, ""49.6"": 15, ""61.0"": 12, ""49.15"": 12, ""38.4"": 4, ""53.6"": 6, ""46.05"": 32, ""60.7"": 11, ""45.75"": 25, ""51.6"": 20, ""42.4"": 8, ""44.75"": 18, ""56.6"": 13, ""42.9"": 5, ""45.2"": 18, ""54.3"": 12, ""41.75"": 4, ""50.2"": 12, ""43.0"": 5, ""101.7"": 12, ""106.0"": 13, ""94.15"": 5, ""116.2"": 1, ""115.65"": 3, ""114.0"": 6, ""101.25"": 15, ""95.2"": 6, ""105.9"": 11, ""104.9"": 17, ""92.7"": 2, ""93.0"": 2, ""93.9"": 7, ""129.9"": 10, ""137.75"": 2, ""132.3"": 2, ""115.6"": 3, ""139.5"": 1, ""152.0"": 8, ""160.8"": 2, ""172.2"": 3, ""161.3"": 3, ""204.9"": 9, ""172.0"": 6, ""166.2"": 4, ""202.55"": 11, ""209.3"": 10, ""180.0"": 5, ""164.1"": 3, ""219.9"": 17, ""191.15"": 10, ""232.75"": 7, ""231.5"": 10, ""206.1"": 13, ""193.2"": 4, ""239.8"": 10, ""208.82"": 8, ""246.0"": 1, ""204.32"": 5, ""239.89"": 7}"
SBIN,"{""351.0"": 7, ""308.0"": 3, ""339.85"": 7, ""295.35"": 2, ""331.9"": 15, ""173.55"": 4, ""149.45"": 1, ""197.5"": 10, ""202.5"": 7, ""231.55"": 4, ""175.5"": 2, ""185.9"": 10, ""276.25"": 5, ""248.25"": 6, ""310.9"": 9, ""269.5"": 6, ""427.7"": 21, ""345.2"": 3, ""321.3"": 10, ""441.95"": 16, ""400.5"": 5, ""436.5"": 6, ""418.85"": 12, ""467.45"": 19, ""401.25"": 4, ""471.9"": 9, ""542.3"": 10, ""454.3"": 16, ""500.45"": 15, ""443.0"": 7, ""488.0"": 16, ""549.0"": 7, ""425.0"": 24, ""522.0"": 20, ""438.85"": 7, ""476.9"": 17, ""430.7"": 19, ""546.4"": 13, ""508.25"": 20, ""578.5"": 28, ""516.15"": 17, ""622.7"": 8, ""629.55"": 3, ""570.7"": 29, ""499.35"": 16, ""511.35"": 17, ""567.9"": 30, ""501.55"": 13, ""596.4"": 21, ""553.8"": 15, ""621.9"": 11, ""554.0"": 12, ""608.4"": 18, ""543.2"": 13, ""588.0"": 30, ""555.15"": 11, ""660.4"": 3, ""600.65"": 27, ""793.4"": 11, ""719.8"": 2, ""732.05"": 5, ""912.0"": 1, ""731.95"": 6, ""821.05"": 29, ""899.0"": 1, ""795.05"": 17, ""825.95"": 21, ""765.4"": 42, ""863.5"": 15, ""761.55"": 12, ""875.45"": 4, ""722.5"": 3}"
IDBI,"{""41.0"": 14, ""33.05"": 5, ""34.75"": 26, ""39.9"": 13, ""33.55"": 18, ""17.25"": 1, ""22.9"": 1, ""40.45"": 17, ""56.2"": 10, ""36.5"": 23, ""45.2"": 25, ""32.6"": 1, ""33.35"": 15, ""40.8"": 14, ""35.6"": 20, ""43.9"": 40, ""30.75"": 10, ""26.35"": 1, ""28.6"": 2, ""45.0"": 36, ""33.3"": 6, ""43.5"": 20, ""41.05"": 14, ""36.7"": 27, ""40.0"": 19, ""39.4"": 20, ""36.0"": 24, ""36.6"": 19, ""65.25"": 5, ""55.0"": 8, ""43.75"": 15, ""53.25"": 18, ""40.5"": 21, ""41.5"": 11, ""50.2"": 11, ""48.1"": 21, ""32.3"": 4, ""38.3"": 37, ""42.9"": 28, ""38.65"": 44, ""47.7"": 13, ""39.8"": 15, ""47.5"": 15, ""61.0"": 7, ""47.85"": 20, ""62.0"": 7, ""47.25"": 12, ""57.95"": 10, ""57.0"": 10, ""53.1"": 22, ""60.5"": 11, ""56.55"": 3, ""66.85"": 12, ""59.25"": 5, ""74.75"": 3, ""59.6"": 6, ""66.5"": 8, ""59.5"": 4, ""71.35"": 6, ""98.7"": 5, ""78.25"": 6, ""75.5"": 5, ""91.0"": 8, ""93.6"": 9, ""80.5"": 10, ""93.7"": 8, ""76.2"": 7, ""83.0"": 16, ""83.46"": 24, ""107.9"": 1, ""101.75"": 1, ""85.86"": 17, ""75.3"": 4, ""87.45"": 19, ""74.9"": 2, ""87.68"": 7, ""65.89"": 11, ""87.48"": 20}"
HDFCBANK,"{""1287.0"": 15, ""1234.2"": 19, ""1305.5"": 8, ""1304.85"": 9, ""1177.7"": 6, ""1259.9"": 13, ""738.75"": 1, ""1019.0"": 8, ""826.1"": 1, ""1066.65"": 11, ""1157.95"": 1, ""993.0"": 6, ""1148.8"": 3, ""1025.0"": 6, ""1464.4"": 47, ""1345.0"": 9, ""1342.0"": 11, ""1641.0"": 64, ""1562.55"": 36, ""1353.0"": 21, ""1503.65"": 53, ""1527.0"": 59, ""1455.0"": 37, ""1545.35"": 25, ""1404.0"": 32, ""1598.0"": 61, ""1528.95"": 61, ""1725.0"": 13, ""1462.0"": 46, ""1555.05"": 32, ""1414.1"": 38, ""1576.65"": 28, ""1435.0"": 47, ""1292.0"": 8, ""1401.6"": 33, ""1722.1"": 13, ""1278.3"": 17, ""1420.5"": 31, ""1271.6"": 19, ""1410.0"": 33, ""1337.0"": 11, ""1513.9"": 68, ""1428.6"": 40, ""1540.95"": 34, ""1365.0"": 17, ""1642.0"": 67, ""1669.4"": 55, ""1560.0"": 39, ""1702.4"": 18, ""1681.9"": 36, ""1532.05"": 47, ""1734.45"": 12, ""1622.1"": 50, ""1579.0"": 33, ""1757.5"": 8, ""1627.15"": 57, ""1558.4"": 38, ""1670.0"": 55, ""1489.25"": 60, ""1555.75"": 36, ""1460.25"": 46, ""1721.4"": 14, ""1380.25"": 28, ""1363.55"": 18, ""1464.0"": 50, ""1471.6"": 44, ""1421.25"": 31, ""1557.4"": 39, ""1426.8"": 38, ""1794.0"": 9, ""1588.05"": 50, ""1675.95"": 37, ""1788.0"": 8, ""1613.0"": 60, ""1672.1"": 58, ""1880.0"": 3, ""1624.3"": 54}"
KOTAKBANK,"{""1643.0"": 21, ""1541.0"": 4, ""1734.8"": 82, ""1576.0"": 16, ""1729.0"": 77, ""1740.0"": 84, ""1001.0"": 1, ""1108.2"": 1, ""1380.0"": 16, ""1110.0"": 1, ""1428.2"": 2, ""1228.35"": 4, ""1398.0"": 9, ""1267.0"": 5, ""1424.7"": 2, ""1300.1"": 12, ""1501.5"": 1, ""1230.6"": 7, ""1948.4"": 40, ""2027.0"": 11, ""1696.05"": 40, ""2049.0"": 6, ""1773.0"": 114, ""1999.35"": 15, ""1669.2"": 23, ""1845.45"": 74, ""1827.95"": 84, ""1698.45"": 46, ""1626.0"": 19, ""1824.9"": 83, ""1688.9"": 39, ""2077.8"": 9, ""1931.0"": 38, ""2253.0"": 1, ""1976.15"": 20, ""1782.2"": 110, ""1912.85"": 55, ""1672.55"": 33, ""1692.05"": 46, ""1840.0"": 64, ""1683.4"": 36, ""1951.75"": 43, ""1631.0"": 24, ""1942.45"": 41, ""1811.3"": 84, ""1987.2"": 15, ""1757.7"": 104, ""1997.55"": 18, ""1683.85"": 34, ""1803.9"": 68, ""1687.75"": 38, ""1643.5"": 24, ""1980.0"": 21, ""2064.4"": 5, ""1815.3"": 86, ""1987.75"": 15, ""1746.5"": 110, ""1836.0"": 63, ""1709.0"": 39, ""1688.4"": 36, ""1784.25"": 104, ""1926.5"": 43, ""1667.4"": 23, ""1845.5"": 74, ""1543.85"": 3, ""1602.45"": 18, ""1870.0"": 58, ""1729.05"": 77, ""1744.55"": 103, ""1827.9"": 83, ""1756.5"": 91, ""1942.0"": 35, ""1916.0"": 48, ""1679.05"": 30, ""1733.35"": 78, ""1853.0"": 57, ""1723.75"": 78}"
FEDERALBNK,"{""79.0"": 7, ""92.1"": 11, ""83.0"": 22, ""96.95"": 21, ""35.7"": 1, ""50.75"": 6, ""36.79"": 1, ""58.1"": 3, ""49.2"": 2, ""58.6"": 4, ""51.65"": 6, ""62.75"": 2, ""45.35"": 7, ""58.8"": 2, ""49.8"": 5, ""69.09"": 3, ""57.65"": 3, ""69.05"": 3, ""79.5"": 12, ""92.5"": 11, ""72.6"": 5, ""80.35"": 10, ""70.2"": 1, ""89.4"": 19, ""81.25"": 16, ""90.9"": 21, ""82.95"": 24, ""90.0"": 27, ""77.5"": 10, ""86.7"": 20, ""78.15"": 10, ""107.65"": 7, ""84.7"": 26, ""93.4"": 20, ""78.6"": 7, ""90.25"": 17, ""106.0"": 2, ""86.0"": 52, ""104.0"": 3, ""82.5"": 24, ""84.0"": 24, ""105.2"": 4, ""129.75"": 18, ""109.45"": 6, ""139.95"": 7, ""130.2"": 12, ""142.2"": 8, ""120.9"": 11, ""143.4"": 13, ""124.1"": 5, ""136.45"": 22, ""123.65"": 14, ""134.7"": 28, ""140.3"": 7, ""122.3"": 9, ""128.1"": 17, ""121.0"": 9, ""139.25"": 9, ""130.5"": 10, ""152.6"": 21, ""137.25"": 14, ""155.2"": 15, ""159.3"": 7, ""149.35"": 16, ""139.4"": 8, ""166.35"": 2, ""139.65"": 8, ""160.2"": 6, ""148.5"": 16, ""170.3"": 1, ""148.0"": 20, ""205.15"": 6, ""206.59"": 7, ""181.73"": 7, ""200.1"": 10, ""182.35"": 8, ""182.0"": 5, ""195.04"": 19, ""217.0"": 1, ""190.55"": 11, ""178.09"": 5}"
TMB,"{""463.55"": 21, ""537.65"": 10, ""548.5"": 7, ""488.55"": 26, ""423.0"": 10, ""433.8"": 13, ""407.8"": 7, ""455.0"": 31, ""402.35"": 9, ""611.35"": 1, ""525.0"": 14, ""600.0"": 1, ""493.55"": 26, ""545.25"": 10, ""491.4"": 23, ""514.7"": 14, ""514.0"": 14, ""468.05"": 30, ""450.95"": 33, ""504.1"": 19, ""475.05"": 43, ""477.9"": 38, ""446.0"": 21, ""499.25"": 27, ""489.0"": 20, ""485.0"": 28, ""438.05"": 19, ""499.0"": 23, ""418.1"": 17, ""457.95"": 15, ""513.55"": 17, ""436.85"": 18, ""418.25"": 16}"
UTKARSHBNK,"{""47.4"": 7, ""45.9"": 4, ""61.6"": 1, ""47.3"": 10, ""54.0"": 12, ""49.4"": 17, ""49.15"": 14, ""65.0"": 1, ""68.3"": 1, ""44.85"": 4, ""61.7"": 3, ""55.5"": 3, ""47.75"": 16, ""51.36"": 27, ""38.69"": 2, ""34.65"": 2, ""39.4"": 1, ""27.43"": 1}"
AUBANK,"{""328.0"": 5, ""427.5"": 9, ""383.6"": 4, ""609.0"": 37, ""221.8"": 2, ""283.35"": 3, ""183.0"": 1, ""408.45"": 6, ""381.0"": 3, ""308.35"": 5, ""472.75"": 5, ""475.0"": 7, ""360.2"": 13, ""465.75"": 4, ""421.25"": 7, ""658.45"": 28, ""562.0"": 27, ""677.2"": 23, ""586.0"": 37, ""455.0"": 9, ""543.8"": 7, ""630.0"": 124, ""566.5"": 27, ""694.9"": 16, ""525.55"": 13, ""530.5"": 12, ""649.75"": 41, ""565.95"": 20, ""540.0"": 17, ""597.5"": 39, ""462.5"": 10, ""659.85"": 30, ""601.0"": 37, ""710.5"": 16, ""525.0"": 10, ""732.95"": 23, ""608.4"": 39, ""677.5"": 22, ""539.0"": 10, ""620.2"": 49, ""686.6"": 12, ""567.5"": 31, ""655.0"": 30, ""694.7"": 16, ""598.5"": 34, ""652.9"": 30, ""585.0"": 41, ""636.65"": 49, ""548.0"": 13, ""699.0"": 18, ""795.0"": 3, ""732.05"": 28, ""792.0"": 6, ""696.0"": 16, ""752.0"": 16, ""763.95"": 15, ""688.0"": 18, ""630.4"": 60, ""813.4"": 2, ""553.7"": 15, ""645.5"": 39, ""598.15"": 38, ""655.55"": 27, ""600.55"": 48, ""688.9"": 18, ""700.95"": 19, ""620.55"": 47, ""600.25"": 49, ""755.4"": 18, ""557.25"": 19, ""604.4"": 48, ""534.45"": 4, ""611.35"": 41, ""544.0"": 6}"
ESAFSFB,"{""67.5"": 7, ""66.05"": 2, ""75.4"": 1, ""73.95"": 3, ""67.75"": 5, ""82.4"": 1, ""53.3"": 9, ""64.35"": 4, ""64.5"": 5, ""49.0"": 3, ""57.0"": 5, ""53.0"": 14, ""49.1"": 1, ""53.15"": 5, ""44.0"": 2, ""37.9"": 6, ""42.17"": 2, ""42.99"": 4}"
