stocks,levels
RBLBANK,"{""230.55"": 23, ""391.2"": 1, ""313.2"": 2, ""372.4"": 4, ""346.95"": 8, ""101.55"": 3, ""137.0"": 12, ""105.5"": 3, ""205.7"": 15, ""160.5"": 12, ""193.7"": 14, ""160.8"": 10, ""217.7"": 22, ""156.1"": 14, ""165.8"": 22, ""245.2"": 24, ""197.75"": 14, ""274.3"": 3, ""209.2"": 26, ""268.8"": 10, ""230.05"": 17, ""169.65"": 23, ""223.7"": 20, ""201.1"": 10, ""226.4"": 15, ""155.6"": 17, ""170.15"": 16, ""197.6"": 11, ""172.1"": 26, ""221.3"": 15, ""178.5"": 18, ""205.4"": 16, ""123.8"": 11, ""158.75"": 22, ""134.25"": 11, ""118.1"": 9, ""143.15"": 13, ""100.8"": 2, ""124.35"": 9, ""74.15"": 1, ""133.7"": 15, ""134.5"": 12, ""108.4"": 5, ""148.5"": 12, ""189.3"": 8, ""143.0"": 16, ""169.1"": 21, ""131.6"": 6, ""163.35"": 10, ""138.85"": 5, ""180.0"": 25, ""164.55"": 17, ""251.4"": 22, ""209.05"": 19, ""243.15"": 17, ""216.7"": 21, ""256.7"": 21, ""255.0"": 16, ""209.7"": 24, ""257.75"": 20, ""226.75"": 17, ""293.7"": 3, ""259.75"": 13, ""300.7"": 2, ""249.0"": 23, ""279.15"": 5, ""241.6"": 18, ""277.25"": 3, ""220.5"": 15, ""266.75"": 14, ""237.35"": 19, ""272.05"": 7, ""237.75"": 21, ""222.1"": 17, ""270.39"": 11, ""205.25"": 20, ""235.25"": 17, ""212.01"": 29, ""158.4"": 21, ""151.46"": 15, ""147.5"": 17, ""180.63"": 14, ""169.68"": 21, ""146.1"": 14}"
GAIL,"{""73.28"": 7, ""84.46"": 30, ""71.54"": 12, ""65.67"": 2, ""80.36"": 25, ""67.93"": 3, ""79.83"": 33, ""36.47"": 1, ""55.69"": 5, ""45.24"": 2, ""56.71"": 10, ""46.4"": 1, ""63.74"": 1, ""55.36"": 4, ""54.35"": 7, ""60.99"": 10, ""47.36"": 5, ""46.88"": 3, ""77.42"": 29, ""67.02"": 2, ""88.6"": 31, ""96.16"": 24, ""76.56"": 15, ""86.19"": 24, ""77.23"": 20, ""101.17"": 14, ""104.11"": 1, ""82.43"": 56, ""93.61"": 21, ""104.74"": 8, ""88.17"": 31, ""82.87"": 27, ""75.11"": 20, ""83.4"": 18, ""92.31"": 31, ""77.33"": 30, ""100.07"": 22, ""86.38"": 27, ""106.14"": 9, ""77.57"": 28, ""90.29"": 26, ""76.99"": 14, ""85.13"": 31, ""74.68"": 22, ""75.78"": 14, ""83.25"": 17, ""79.4"": 27, ""91.25"": 15, ""81.61"": 29, ""93.8"": 16, ""103.39"": 7, ""92.89"": 25, ""101.66"": 9, ""95.92"": 24, ""104.5"": 8, ""93.9"": 20, ""94.24"": 31, ""113.17"": 14, ""102.14"": 12, ""119.53"": 2, ""110.33"": 2, ""122.32"": 3, ""106.62"": 8, ""124.64"": 1, ""144.78"": 2, ""189.2"": 8, ""159.52"": 2, ""205.87"": 5, ""180.52"": 6, ""224.7"": 10, ""167.18"": 2, ""201.53"": 11, ""237.33"": 1, ""232.85"": 2, ""201.02"": 15, ""236.07"": 1, ""173.85"": 10, ""205.63"": 7, ""157.4"": 2}"
BHARATFORG,"{""486.8"": 14, ""420.05"": 2, ""471.85"": 7, ""430.7"": 5, ""470.7"": 8, ""533.9"": 4, ""467.35"": 12, ""527.95"": 5, ""207.5"": 1, ""324.35"": 1, ""263.1"": 4, ""385.7"": 8, ""306.6"": 2, ""376.0"": 2, ""522.1"": 8, ""427.5"": 3, ""439.5"": 11, ""498.75"": 14, ""445.0"": 14, ""539.65"": 7, ""567.25"": 1, ""492.1"": 17, ""676.9"": 14, ""562.0"": 4, ""668.0"": 17, ""583.6"": 2, ""568.3"": 2, ""626.9"": 7, ""555.75"": 7, ""790.9"": 34, ""832.0"": 11, ""844.8"": 19, ""717.0"": 12, ""717.3"": 14, ""818.0"": 15, ""748.3"": 24, ""847.95"": 18, ""678.85"": 16, ""745.8"": 22, ""652.5"": 17, ""787.5"": 33, ""703.45"": 18, ""767.15"": 34, ""595.0"": 6, ""753.85"": 10, ""597.0"": 9, ""723.7"": 20, ""615.0"": 8, ""630.0"": 10, ""799.2"": 18, ""710.45"": 16, ""801.15"": 15, ""677.35"": 14, ""896.7"": 4, ""816.0"": 15, ""919.45"": 2, ""827.4"": 17, ""839.6"": 14, ""910.0"": 6, ""811.65"": 17, ""743.55"": 23, ""808.45"": 11, ""748.4"": 24, ""799.8"": 18, ""1148.05"": 8, ""1051.8"": 4, ""1128.8"": 9, ""1002.3"": 1, ""1149.55"": 14, ""1299.0"": 8, ""1180.0"": 17, ""1330.0"": 7, ""1063.0"": 7, ""1211.0"": 11, ""1088.0"": 7, ""1406.25"": 6, ""1804.5"": 1, ""1500.0"": 6, ""1771.2"": 1, ""1286.6"": 9, ""1394.95"": 3}"
TVSMOTOR,"{""504.0"": 4, ""438.7"": 9, ""490.0"": 11, ""430.5"": 12, ""438.5"": 10, ""499.5"": 10, ""240.1"": 1, ""360.0"": 3, ""300.55"": 5, ""307.2"": 5, ""412.3"": 5, ""477.0"": 14, ""489.9"": 11, ""421.15"": 4, ""467.75"": 24, ""519.5"": 8, ""445.5"": 15, ""659.9"": 11, ""541.15"": 8, ""593.05"": 9, ""523.65"": 7, ""664.0"": 11, ""595.0"": 7, ""666.0"": 7, ""592.9"": 10, ""495.0"": 7, ""520.0"": 7, ""813.95"": 3, ""708.8"": 7, ""590.0"": 9, ""670.6"": 9, ""585.05"": 12, ""681.6"": 7, ""513.0"": 9, ""693.7"": 5, ""589.05"": 9, ""886.3"": 3, ""925.0"": 2, ""1094.4"": 5, ""984.25"": 5, ""1176.9"": 1, ""1166.0"": 6, ""1135.5"": 14, ""967.55"": 7, ""1138.95"": 6, ""1005.0"": 6, ""1384.8"": 5, ""1289.0"": 5, ""1400.9"": 1, ""1295.0"": 7, ""2058.5"": 8, ""2108.95"": 4, ""1923.05"": 7, ""2313.45"": 5, ""2005.8"": 13, ""2195.0"": 2, ""1873.0"": 3, ""2069.0"": 12, ""2519.0"": 9, ""2301.2"": 7, ""2359.95"": 10, ""2860.0"": 2, ""2716.05"": 6, ""2958.0"": 1, ""2375.0"": 8, ""2356.95"": 10, ""2572.8"": 5, ""2171.4"": 4}"
CROMPTON,"{""269.0"": 14, ""242.05"": 13, ""268.2"": 8, ""240.45"": 17, ""235.9"": 6, ""301.45"": 30, ""177.3"": 1, ""200.3"": 2, ""239.65"": 9, ""196.55"": 1, ""247.75"": 15, ""238.0"": 9, ""249.0"": 10, ""300.5"": 35, ""329.0"": 11, ""393.65"": 31, ""456.0"": 16, ""371.25"": 31, ""421.25"": 18, ""358.05"": 16, ""405.0"": 31, ""350.35"": 14, ""408.4"": 36, ""443.5"": 15, ""496.7"": 4, ""498.85"": 1, ""432.7"": 24, ""512.8"": 1, ""461.0"": 18, ""435.1"": 22, ""493.2"": 3, ""402.5"": 25, ""451.95"": 17, ""354.4"": 10, ""431.45"": 23, ""363.1"": 16, ""323.5"": 5, ""378.6"": 28, ""312.0"": 8, ""405.8"": 29, ""425.0"": 16, ""429.0"": 26, ""350.6"": 11, ""376.5"": 29, ""295.15"": 39, ""291.35"": 36, ""316.95"": 9, ""278.0"": 16, ""302.85"": 60, ""251.0"": 8, ""252.1"": 16, ""297.75"": 32, ""301.4"": 31, ""281.15"": 24, ""291.85"": 43, ""275.3"": 16, ""287.15"": 31, ""327.95"": 8, ""277.1"": 13, ""261.25"": 15, ""410.0"": 32, ""358.0"": 18, ""436.5"": 29, ""403.95"": 27, ""470.7"": 21, ""415.05"": 31, ""484.0"": 8, ""412.9"": 26, ""369.8"": 25, ""419.45"": 18, ""373.0"": 22, ""331.2"": 12}"
BRITANNIA,"{""3399.0"": 28, ""3004.3"": 4, ""3155.95"": 20, ""2978.05"": 5, ""3318.0"": 10, ""3165.0"": 8, ""2100.0"": 1, ""3290.0"": 12, ""3708.0"": 38, ""4010.0"": 7, ""4005.0"": 6, ""3752.0"": 37, ""3890.95"": 14, ""3540.05"": 55, ""3879.95"": 29, ""3382.0"": 25, ""3797.7"": 53, ""3510.0"": 52, ""3704.9"": 40, ""3317.3"": 10, ""3514.8"": 42, ""3850.0"": 27, ""3555.0"": 45, ""3371.4"": 23, ""3709.9"": 41, ""3378.0"": 21, ""4153.0"": 26, ""3760.0"": 33, ""3658.35"": 34, ""3430.1"": 43, ""3800.95"": 48, ""3050.0"": 29, ""3060.05"": 29, ""3132.05"": 14, ""3596.0"": 35, ""3700.0"": 38, ""3270.95"": 20, ""3949.35"": 7, ""3607.65"": 51, ""3585.25"": 36, ""3564.1"": 38, ""3889.8"": 14, ""3690.0"": 47, ""4237.0"": 9, ""4537.0"": 30, ""4206.3"": 5, ""4264.0"": 10, ""4669.2"": 16, ""5270.35"": 5, ""4421.4"": 20, ""4634.3"": 28, ""4466.75"": 11, ""4623.0"": 23, ""4347.7"": 13, ""4626.0"": 24, ""4837.05"": 27, ""5386.05"": 9, ""5239.75"": 10, ""4833.15"": 24, ""5014.0"": 29, ""4740.7"": 17, ""4641.0"": 17, ""5725.0"": 15, ""5250.0"": 11, ""6005.0"": 8, ""5594.15"": 2, ""6469.9"": 2, ""5902.15"": 7, ""4746.9"": 21, ""4663.8"": 21, ""5379.0"": 9}"
KPITTECH,"{""105.3"": 5, ""84.8"": 7, ""100.35"": 3, ""85.1"": 7, ""85.05"": 7, ""112.5"": 7, ""34.35"": 1, ""60.45"": 2, ""38.95"": 2, ""66.9"": 5, ""60.05"": 3, ""72.5"": 2, ""63.1"": 4, ""95.85"": 5, ""67.5"": 3, ""129.7"": 1, ""89.75"": 6, ""112.35"": 5, ""104.35"": 7, ""148.65"": 2, ""145.0"": 4, ""126.8"": 2, ""207.4"": 1, ""256.0"": 2, ""220.0"": 1, ""274.0"": 3, ""385.3"": 1, ""375.75"": 1, ""306.25"": 7, ""300.25"": 1, ""451.95"": 3, ""801.0"": 4, ""510.25"": 12, ""635.0"": 3, ""440.4"": 2, ""573.3"": 12, ""451.55"": 3, ""533.8"": 8, ""480.0"": 4, ""592.4"": 8, ""539.45"": 10, ""615.3"": 13, ""764.2"": 2, ""658.0"": 9, ""735.0"": 4, ""622.55"": 7, ""754.6"": 1, ""876.15"": 7, ""768.0"": 1, ""946.65"": 2, ""741.0"": 3, ""1160.0"": 7, ""961.0"": 1, ""1219.3"": 3, ""1038.0"": 2, ""1238.0"": 1, ""1091.2"": 14, ""1640.0"": 6, ""1426.1"": 12, ""1326.55"": 7, ""1764.0"": 7, ""1328.4"": 9, ""1561.9"": 12, ""1361.0"": 6, ""1554.0"": 9, ""1616.0"": 2, ""1293.05"": 1, ""1928.7"": 1, ""1910.0"": 3, ""1685.0"": 8, ""1921.0"": 1, ""1625.0"": 6, ""1822.9"": 8, ""1309.05"": 7, ""1283.25"": 3, ""1563.35"": 9, ""1479.0"": 20, ""1223.25"": 3}"
BPCL,"{""248.3"": 4, ""253.5"": 1, ""203.3"": 19, ""197.65"": 12, ""234.0"": 11, ""105.0"": 1, ""166.4"": 24, ""124.9"": 6, ""180.0"": 16, ""159.15"": 35, ""219.5"": 23, ""174.5"": 25, ""197.0"": 12, ""141.5"": 22, ""183.6"": 17, ""157.5"": 33, ""194.0"": 19, ""167.1"": 24, ""220.2"": 17, ""186.55"": 26, ""179.0"": 18, ""225.95"": 17, ""199.3"": 6, ""230.5"": 6, ""185.0"": 18, ""214.0"": 25, ""185.8"": 25, ""161.9"": 21, ""157.7"": 25, ""182.45"": 7, ""144.55"": 19, ""178.4"": 20, ""135.1"": 16, ""125.7"": 3, ""145.1"": 32, ""131.1"": 10, ""156.6"": 25, ""151.8"": 28, ""123.0"": 1, ""154.7"": 28, ""139.1"": 20, ""158.0"": 31, ""140.1"": 23, ""136.0"": 6, ""159.8"": 30, ""142.5"": 22, ""166.45"": 22, ""157.2"": 33, ""156.3"": 28, ""169.2"": 28, ""156.8"": 18, ""177.95"": 22, ""176.5"": 27, ""148.55"": 18, ""163.4"": 19, ""144.7"": 26, ""220.25"": 17, ""224.9"": 21, ""333.5"": 10, ""267.7"": 3, ""299.65"": 11, ""271.6"": 4, ""310.35"": 8, ""333.0"": 10, ""256.6"": 4, ""282.9"": 8, ""348.55"": 11, ""367.2"": 3, ""322.95"": 10, ""376.0"": 1, ""279.35"": 10, ""308.95"": 10, ""282.05"": 12}"
EICHERMOT,"{""2288.8"": 9, ""2345.0"": 5, ""2066.5"": 11, ""2287.65"": 9, ""1980.0"": 3, ""1245.0"": 1, ""1497.8"": 3, ""1285.55"": 2, ""1790.0"": 8, ""2006.65"": 5, ""2387.25"": 12, ""2023.0"": 8, ""2303.0"": 9, ""2015.2"": 4, ""2727.0"": 37, ""2340.6"": 7, ""3037.0"": 8, ""2450.0"": 17, ""2716.0"": 36, ""2303.7"": 8, ""2547.25"": 37, ""2797.9"": 15, ""2765.0"": 17, ""2509.0"": 17, ""2768.75"": 29, ""2471.2"": 14, ""2994.0"": 6, ""2471.55"": 19, ""2777.0"": 17, ""2360.0"": 8, ""2360.4"": 7, ""2880.0"": 17, ""2762.75"": 16, ""2159.55"": 23, ""2707.65"": 39, ""2310.0"": 5, ""2818.65"": 17, ""2585.05"": 26, ""2913.05"": 14, ""3513.7"": 13, ""3787.25"": 14, ""3377.0"": 31, ""3889.65"": 21, ""3490.75"": 12, ""3060.0"": 6, ""3354.95"": 29, ""3099.05"": 9, ""2836.0"": 12, ""3748.0"": 12, ""3666.0"": 14, ""3160.0"": 10, ""3478.85"": 18, ""3274.9"": 20, ""3461.0"": 22, ""3308.0"": 14, ""3539.2"": 19, ""3302.9"": 20, ""3546.85"": 19, ""3275.0"": 20, ""4200.0"": 5, ""3847.55"": 22, ""4178.0"": 3, ""3562.45"": 16, ""4018.95"": 9, ""3672.0"": 20, ""4528.3"": 5, ""4908.0"": 21, ""4253.85"": 4, ""4976.0"": 12, ""4592.9"": 14, ""5058.9"": 5, ""4548.0"": 5, ""4689.35"": 20, ""5105.0"": 4, ""4508.75"": 2, ""5015.0"": 10, ""5067.0"": 4, ""4673.6"": 18, ""5385.7"": 2}"
ICICIGI,"{""1399.0"": 38, ""1399.75"": 38, ""1315.9"": 39, ""1440.4"": 38, ""1435.15"": 72, ""1239.35"": 53, ""805.0"": 1, ""1372.2"": 40, ""1125.05"": 24, ""1386.65"": 41, ""1221.1"": 32, ""1424.0"": 26, ""1200.0"": 40, ""1335.05"": 41, ""1530.0"": 25, ""1404.0"": 24, ""1626.45"": 14, ""1295.0"": 43, ""1541.8"": 13, ""1380.15"": 50, ""1534.75"": 20, ""1377.55"": 38, ""1464.45"": 40, ""1329.9"": 32, ""1567.0"": 17, ""1430.0"": 24, ""1612.0"": 13, ""1408.25"": 26, ""1657.3"": 20, ""1675.0"": 15, ""1548.25"": 17, ""1315.0"": 44, ""1472.0"": 43, ""1305.0"": 30, ""1192.0"": 12, ""1412.0"": 34, ""1324.7"": 40, ""1071.0"": 16, ""1295.9"": 44, ""1154.0"": 22, ""1369.0"": 50, ""1116.3"": 10, ""1183.9"": 11, ""1116.1"": 10, ""1261.95"": 40, ""1289.0"": 47, ""1106.1"": 14, ""1155.0"": 20, ""1110.45"": 14, ""1049.05"": 2, ""1137.95"": 30, ""1055.0"": 1, ""1066.3"": 11, ""1423.3"": 23, ""1422.0"": 28, ""1309.2"": 31, ""1398.9"": 36, ""1266.0"": 48, ""1419.4"": 27, ""1492.0"": 35, ""1353.5"": 50, ""1734.9"": 3, ""1611.0"": 14, ""1747.0"": 6, ""1611.5"": 13, ""1480.5"": 33, ""2285.0"": 2, ""2076.5"": 3, ""2301.9"": 1, ""1789.05"": 11, ""1998.5"": 2, ""1739.8"": 4, ""2014.95"": 3, ""1745.1"": 5}"
