stocks,levels
AMBER,"{""1060.0"": 2, ""964.25"": 3, ""1100.0"": 6, ""1695.0"": 5, ""985.05"": 11, ""1348.0"": 7, ""920.9"": 3, ""1010.0"": 8, ""1565.45"": 5, ""1618.05"": 5, ""1442.3"": 7, ""1706.05"": 3, ""2544.2"": 7, ""2138.6"": 6, ""2524.95"": 8, ""2202.1"": 14, ""2773.95"": 7, ""2401.0"": 15, ""3315.0"": 19, ""3662.0"": 17, ""2990.0"": 30, ""3000.0"": 25, ""3299.4"": 19, ""2683.6"": 4, ""2694.5"": 3, ""3097.0"": 32, ""2710.75"": 7, ""3040.9"": 21, ""3788.65"": 16, ""3100.0"": 27, ""2975.0"": 26, ""3545.65"": 17, ""3033.0"": 25, ""3924.75"": 4, ""3089.0"": 19, ""3823.05"": 14, ""3482.1"": 24, ""4025.95"": 3, ""2040.0"": 16, ""2580.0"": 9, ""2180.0"": 12, ""2390.7"": 9, ""2142.0"": 10, ""2400.0"": 17, ""1971.1"": 11, ""2092.0"": 9, ""1920.0"": 11, ""1849.6"": 14, ""1843.0"": 7, ""2073.25"": 13, ""1847.7"": 14, ""2087.0"": 12, ""1762.5"": 2, ""1908.95"": 14, ""1805.55"": 4, ""2228.9"": 24, ""2457.85"": 8, ""2171.0"": 7, ""3149.9"": 20, ""2797.35"": 14, ""3095.95"": 33, ""2721.05"": 11, ""3480.0"": 23, ""3024.0"": 15, ""3388.0"": 38, ""3013.3"": 21, ""4614.2"": 4, ""2992.5"": 32, ""3909.9"": 10, ""3502.95"": 18, ""4147.95"": 7, ""3310.0"": 18, ""4888.0"": 2, ""4030.65"": 4, ""3964.0"": 9, ""4727.0"": 2, ""4266.1"": 6, ""5361.15"": 2, ""7159.0"": 1, ""5870.0"": 3, ""6786.4"": 3, ""5647.4"": 1, ""8177.0"": 1}"
BATAINDIA,"{""1814.0"": 28, ""1600.0"": 33, ""1737.75"": 38, ""1686.5"": 48, ""1895.45"": 16, ""1000.0"": 1, ""1339.0"": 45, ""1392.0"": 24, ""1230.0"": 9, ""1464.4"": 25, ""1331.55"": 37, ""1213.8"": 5, ""1390.85"": 27, ""1257.45"": 10, ""1404.45"": 35, ""1416.95"": 51, ""1288.6"": 23, ""1645.0"": 45, ""1462.0"": 28, ""1681.95"": 43, ""1602.6"": 31, ""1434.15"": 49, ""1263.6"": 15, ""1696.95"": 40, ""1550.0"": 23, ""1592.1"": 38, ""2212.75"": 1, ""1929.6"": 24, ""2262.0"": 1, ""2057.25"": 8, ""1776.15"": 25, ""2122.0"": 6, ""1654.05"": 31, ""2039.75"": 8, ""1826.15"": 25, ""1655.55"": 27, ""1899.0"": 17, ""1607.45"": 32, ""2004.9"": 11, ""1984.8"": 16, ""1755.0"": 21, ""1875.0"": 16, ""1666.5"": 27, ""1738.85"": 37, ""1607.1"": 35, ""1478.1"": 25, ""1382.5"": 32, ""1381.05"": 31, ""1722.6"": 39, ""1771.45"": 34, ""1618.15"": 44, ""1748.95"": 25, ""1585.05"": 37, ""1666.95"": 29, ""1530.0"": 31, ""1724.25"": 42, ""1576.0"": 40, ""1473.85"": 20, ""1348.1"": 43, ""1404.4"": 35, ""1307.05"": 30, ""1294.0"": 28, ""1269.0"": 15, ""1433.6"": 54, ""1633.0"": 47, ""1384.25"": 31, ""1476.95"": 26, ""1381.0"": 31, ""1340.0"": 47, ""1468.8"": 28, ""1275.55"": 8, ""1457.5"": 27, ""1327.85"": 26, ""1479.0"": 24}"
BLUESTARCO,"{""388.75"": 11, ""441.2"": 8, ""387.55"": 14, ""415.5"": 24, ""386.1"": 8, ""390.5"": 19, ""443.8"": 12, ""431.95"": 18, ""204.45"": 1, ""292.0"": 2, ""225.85"": 2, ""281.4"": 3, ""232.5"": 6, ""361.85"": 1, ""355.5"": 3, ""301.8"": 2, ""429.5"": 54, ""379.1"": 5, ""414.4"": 33, ""351.0"": 2, ""394.1"": 21, ""405.0"": 43, ""488.3"": 12, ""405.7"": 29, ""395.05"": 32, ""425.5"": 38, ""400.5"": 41, ""443.55"": 11, ""436.0"": 17, ""379.0"": 4, ""469.6"": 10, ""545.75"": 13, ""450.0"": 10, ""480.0"": 12, ""536.5"": 10, ""529.0"": 6, ""418.2"": 28, ""567.0"": 11, ""482.65"": 10, ""612.5"": 15, ""477.5"": 14, ""585.5"": 2, ""521.0"": 13, ""636.75"": 4, ""552.55"": 7, ""643.85"": 1, ""583.5"": 9, ""635.5"": 6, ""807.5"": 5, ""672.5"": 1, ""775.0"": 8, ""692.5"": 7, ""820.0"": 1, ""809.4"": 4, ""805.0"": 5, ""701.7"": 6, ""950.0"": 13, ""814.0"": 2, ""1038.0"": 1, ""901.55"": 3, ""1359.0"": 2, ""1222.4"": 2, ""1376.4"": 3, ""1585.55"": 3, ""1897.8"": 7, ""1765.0"": 5, ""1539.1"": 1, ""1779.0"": 7, ""1650.0"": 12, ""2199.55"": 4, ""1730.1"": 9, ""2168.15"": 4, ""2417.0"": 1}"
CENTURYPLY,"{""181.75"": 9, ""178.45"": 5, ""157.0"": 9, ""175.1"": 8, ""163.5"": 16, ""95.15"": 1, ""131.65"": 7, ""100.1"": 2, ""144.0"": 2, ""124.05"": 2, ""170.45"": 17, ""191.95"": 1, ""206.0"": 1, ""233.95"": 5, ""328.9"": 1, ""283.65"": 2, ""286.3"": 1, ""447.4"": 1, ""459.0"": 3, ""387.8"": 3, ""341.8"": 6, ""712.9"": 11, ""561.8"": 11, ""545.0"": 8, ""659.5"": 29, ""659.55"": 29, ""565.6"": 18, ""564.7"": 14, ""749.0"": 15, ""484.45"": 10, ""588.95"": 9, ""488.15"": 3, ""710.0"": 14, ""639.0"": 53, ""529.1"": 10, ""584.05"": 9, ""498.05"": 7, ""476.0"": 3, ""525.85"": 14, ""436.0"": 7, ""588.65"": 13, ""551.65"": 8, ""693.9"": 15, ""605.0"": 15, ""722.1"": 12, ""681.65"": 21, ""594.0"": 17, ""665.0"": 22, ""631.2"": 27, ""849.5"": 11, ""755.1"": 12, ""818.35"": 8, ""702.0"": 24, ""622.1"": 24, ""678.0"": 29, ""625.1"": 25, ""693.0"": 16, ""622.4"": 23, ""777.3"": 9, ""668.75"": 29, ""935.0"": 1, ""830.55"": 4, ""631.0"": 28, ""879.75"": 6, ""871.7"": 7, ""700.1"": 28}"
CERA,"{""2410.0"": 9, ""2726.8"": 3, ""2401.0"": 7, ""2749.0"": 3, ""2727.0"": 3, ""2600.0"": 11, ""2739.3"": 4, ""1986.0"": 1, ""2082.0"": 1, ""2475.0"": 7, ""2161.05"": 10, ""2346.0"": 8, ""2121.0"": 3, ""2640.5"": 15, ""2603.0"": 12, ""2215.5"": 14, ""2828.0"": 2, ""3504.8"": 8, ""3011.55"": 5, ""3744.2"": 3, ""3300.0"": 3, ""3426.65"": 3, ""4200.0"": 15, ""3601.0"": 7, ""4108.2"": 7, ""4251.0"": 12, ""3751.0"": 3, ""4895.0"": 30, ""4249.95"": 12, ""4844.0"": 20, ""4191.75"": 10, ""5700.0"": 4, ""6450.0"": 9, ""5030.0"": 6, ""5084.7"": 2, ""4415.65"": 25, ""5072.0"": 3, ""4204.65"": 24, ""3953.2"": 25, ""5009.0"": 9, ""3515.0"": 7, ""4335.0"": 10, ""3950.0"": 23, ""3989.95"": 17, ""5955.0"": 3, ""5288.4"": 13, ""5670.6"": 6, ""5600.0"": 9, ""5150.05"": 4, ""6076.6"": 9, ""4963.4"": 11, ""5230.0"": 7, ""6788.0"": 16, ""5882.65"": 3, ""6630.0"": 4, ""6030.0"": 8, ""8196.0"": 12, ""6984.0"": 13, ""9740.0"": 4, ""9252.0"": 7, ""7976.0"": 14, ""8988.4"": 16, ""8743.45"": 11, ""7670.0"": 26, ""8340.35"": 12, ""7330.0"": 12, ""6591.2"": 6, ""7825.0"": 19, ""7301.0"": 17, ""6703.0"": 6, ""6780.05"": 15, ""9650.0"": 5, ""10789.95"": 1, ""6874.75"": 12, ""6750.0"": 13, ""8014.95"": 12}"
CROMPTON,"{""269.0"": 14, ""242.05"": 13, ""268.2"": 8, ""240.45"": 17, ""235.9"": 6, ""301.45"": 30, ""177.3"": 1, ""200.3"": 2, ""239.65"": 9, ""196.55"": 1, ""247.75"": 15, ""238.0"": 9, ""249.0"": 10, ""300.5"": 35, ""329.0"": 11, ""393.65"": 31, ""456.0"": 16, ""371.25"": 31, ""421.25"": 18, ""358.05"": 16, ""405.0"": 31, ""350.35"": 14, ""408.4"": 36, ""443.5"": 15, ""496.7"": 4, ""498.85"": 1, ""432.7"": 24, ""512.8"": 1, ""461.0"": 18, ""435.1"": 22, ""493.2"": 3, ""402.5"": 25, ""451.95"": 17, ""354.4"": 10, ""431.45"": 23, ""363.1"": 16, ""323.5"": 5, ""378.6"": 28, ""312.0"": 8, ""405.8"": 29, ""425.0"": 16, ""429.0"": 26, ""350.6"": 11, ""376.5"": 29, ""295.15"": 39, ""291.35"": 36, ""316.95"": 9, ""278.0"": 16, ""302.85"": 60, ""251.0"": 8, ""252.1"": 16, ""297.75"": 32, ""301.4"": 31, ""281.15"": 24, ""291.85"": 43, ""275.3"": 16, ""287.15"": 31, ""327.95"": 8, ""277.1"": 13, ""261.25"": 15, ""410.0"": 32, ""358.0"": 18, ""436.5"": 29, ""403.95"": 27, ""470.7"": 21, ""415.05"": 31, ""484.0"": 8, ""412.9"": 26, ""369.8"": 25, ""419.45"": 18}"
DIXON,"{""532.5"": 1, ""863.0"": 5, ""820.0"": 10, ""979.0"": 1, ""909.0"": 4, ""598.1"": 6, ""957.95"": 1, ""2057.9"": 5, ""1625.2"": 5, ""2781.95"": 6, ""3357.2"": 5, ""4457.7"": 19, ""3345.15"": 4, ""4320.0"": 42, ""3816.0"": 14, ""4682.6"": 3, ""4735.0"": 12, ""3760.0"": 12, ""3992.65"": 21, ""6243.6"": 8, ""5724.45"": 5, ""4831.8"": 9, ""5858.55"": 4, ""5055.0"": 11, ""4117.5"": 20, ""3936.95"": 17, ""4545.0"": 23, ""4041.35"": 17, ""4690.0"": 3, ""3180.55"": 4, ""3994.3"": 23, ""3250.25"": 3, ""4019.5"": 13, ""3550.0"": 15, ""4670.0"": 5, ""4110.5"": 18, ""4185.55"": 16, ""4664.95"": 8, ""2553.0"": 5, ""2581.2"": 3, ""3052.8"": 4, ""2754.05"": 7, ""3110.0"": 1, ""2820.0"": 9, ""4730.0"": 7, ""4145.2"": 29, ""3953.0"": 19, ""5224.95"": 12, ""5378.85"": 12, ""4733.45"": 6, ""5607.1"": 8, ""5076.0"": 12, ""6765.0"": 2, ""5782.85"": 1, ""7236.0"": 3, ""7198.35"": 4, ""7932.55"": 2, ""8453.0"": 5, ""12879.0"": 5, ""10620.0"": 1, ""13639.8"": 5, ""12022.0"": 3, ""13062.3"": 3, ""15969.2"": 3, ""19148.9"": 1, ""18700.0"": 3}"
HAVELLS,"{""650.0"": 20, ""717.25"": 2, ""636.0"": 9, ""631.1"": 12, ""665.65"": 15, ""585.5"": 11, ""652.7"": 17, ""458.05"": 1, ""579.85"": 13, ""447.05"": 1, ""562.2"": 4, ""612.65"": 14, ""667.9"": 15, ""855.0"": 1, ""796.0"": 1, ""1194.85"": 30, ""1231.9"": 31, ""986.5"": 6, ""1099.95"": 18, ""970.0"": 4, ""1088.0"": 11, ""958.0"": 1, ""1191.0"": 34, ""1482.7"": 9, ""1334.25"": 30, ""1504.45"": 7, ""1210.3"": 30, ""1291.8"": 41, ""1429.4"": 16, ""1253.4"": 30, ""1419.0"": 19, ""1117.0"": 9, ""1037.4"": 11, ""1344.7"": 33, ""1057.45"": 10, ""1190.2"": 31, ""1275.05"": 27, ""1405.55"": 18, ""1368.4"": 33, ""1159.2"": 23, ""1270.6"": 25, ""1024.5"": 24, ""1223.9"": 39, ""1243.3"": 33, ""1152.65"": 22, ""1131.8"": 12, ""1322.9"": 29, ""1373.7"": 31, ""1258.6"": 25, ""1408.3"": 19, ""1262.95"": 24, ""1465.85"": 7, ""1368.05"": 31, ""1232.85"": 33, ""1472.0"": 11, ""1280.0"": 27, ""1591.35"": 3, ""1435.05"": 9, ""1453.95"": 8, ""1985.4"": 6, ""1711.25"": 8, ""1968.95"": 8, ""1687.55"": 10, ""1859.05"": 11, ""2106.0"": 1, ""1586.75"": 3, ""1782.65"": 6}"
KAJARIACER,"{""537.55"": 14, ""574.65"": 11, ""543.9"": 8, ""507.1"": 2, ""501.2"": 4, ""595.95"": 1, ""575.0"": 10, ""332.3"": 3, ""414.0"": 5, ""295.55"": 1, ""416.0"": 2, ""384.8"": 6, ""436.0"": 5, ""397.1"": 5, ""489.6"": 5, ""425.1"": 5, ""569.65"": 15, ""587.9"": 3, ""1020.0"": 33, ""860.1"": 4, ""990.0"": 27, ""851.05"": 2, ""859.9"": 4, ""1054.9"": 27, ""933.0"": 13, ""1228.9"": 34, ""1116.1"": 22, ""1355.0"": 20, ""1175.15"": 28, ""1045.85"": 27, ""1374.9"": 26, ""1175.1"": 28, ""885.3"": 4, ""1075.0"": 20, ""918.05"": 11, ""1091.95"": 16, ""898.0"": 10, ""1214.0"": 23, ""1107.0"": 21, ""1282.65"": 33, ""1009.7"": 22, ""1212.0"": 22, ""1062.55"": 24, ""1199.05"": 32, ""1021.0"": 33, ""1125.0"": 74, ""1041.05"": 28, ""1091.5"": 16, ""1006.5"": 23, ""1139.65"": 34, ""1325.0"": 20, ""1224.95"": 25, ""1490.0"": 12, ""1523.8"": 1, ""1168.0"": 19, ""1442.0"": 18, ""1282.55"": 33, ""1433.1"": 13, ""1186.4"": 34, ""1110.35"": 23, ""1290.0"": 33, ""1132.4"": 29, ""1323.0"": 10, ""1122.85"": 26, ""1520.0"": 4, ""1340.45"": 23, ""1545.0"": 2, ""1578.7"": 1, ""1243.45"": 29, ""1194.95"": 32}"
KALYANKJIL,"{""56.3"": 1, ""89.75"": 1, ""75.7"": 7, ""61.0"": 14, ""74.4"": 5, ""81.85"": 5, ""72.0"": 13, ""83.6"": 4, ""64.45"": 9, ""72.55"": 3, ""64.7"": 5, ""75.9"": 14, ""63.4"": 5, ""71.5"": 19, ""55.65"": 1, ""64.0"": 10, ""57.7"": 3, ""67.05"": 30, ""67.7"": 19, ""55.15"": 1, ""55.05"": 1, ""67.1"": 29, ""73.35"": 5, ""101.4"": 10, ""108.7"": 7, ""109.55"": 9, ""90.3"": 1, ""104.65"": 16, ""134.2"": 2, ""103.05"": 13, ""122.0"": 3, ""124.6"": 3, ""100.95"": 9, ""187.5"": 1, ""162.65"": 2, ""261.9"": 3, ""202.8"": 1, ""309.75"": 1, ""359.15"": 4, ""304.1"": 3, ""395.0"": 3, ""321.95"": 6, ""419.4"": 8, ""352.15"": 7, ""449.7"": 1, ""396.8"": 7, ""378.9"": 6, ""336.05"": 6, ""546.0"": 2, ""633.6"": 2, ""786.25"": 2, ""773.0"": 3, ""632.4"": 2, ""784.45"": 2, ""795.4"": 1}"
