stocks,levels
WELCORP,"{""154.8"": 6, ""141.9"": 27, ""130.55"": 11, ""184.4"": 7, ""160.55"": 6, ""233.95"": 12, ""59.9"": 4, ""71.55"": 3, ""55.0"": 1, ""90.8"": 1, ""120.5"": 5, ""96.2"": 1, ""116.35"": 9, ""123.2"": 9, ""99.0"": 2, ""141.3"": 13, ""110.95"": 13, ""145.5"": 11, ""117.6"": 9, ""119.65"": 7, ""143.0"": 21, ""127.5"": 13, ""164.95"": 10, ""133.5"": 19, ""157.85"": 2, ""165.9"": 5, ""137.1"": 26, ""160.7"": 7, ""105.85"": 8, ""153.65"": 14, ""123.1"": 12, ""194.0"": 10, ""152.0"": 13, ""197.3"": 6, ""160.15"": 4, ""135.5"": 16, ""222.0"": 17, ""159.75"": 4, ""250.65"": 6, ""183.05"": 6, ""236.45"": 10, ""202.45"": 10, ""298.5"": 1, ""214.1"": 17, ""255.85"": 3, ""201.6"": 7, ""242.75"": 10, ""234.0"": 12, ""182.9"": 6, ""177.65"": 7, ""215.0"": 14, ""186.0"": 18, ""223.5"": 11, ""284.0"": 1, ""258.55"": 3, ""344.9"": 1, ""310.0"": 4, ""406.7"": 3, ""376.15"": 2, ""457.3"": 2, ""569.4"": 8, ""498.05"": 1, ""524.1"": 6, ""623.9"": 2, ""469.9"": 1, ""592.7"": 7, ""631.9"": 4, ""440.15"": 5, ""505.7"": 3, ""678.5"": 4, ""600.6"": 9, ""750.0"": 8, ""655.0"": 7, ""794.75"": 7, ""806.0"": 10, ""650.15"": 3, ""824.45"": 2, ""758.0"": 2, ""835.0"": 1, ""822.95"": 2, ""676.7"": 5}"
WHIRLPOOL,"{""2108.7"": 29, ""2339.35"": 13, ""1990.0"": 15, ""2448.0"": 16, ""2498.0"": 11, ""2555.0"": 5, ""1343.8"": 33, ""1715.7"": 12, ""2133.0"": 50, ""1800.0"": 27, ""2309.95"": 15, ""1980.1"": 13, ""2289.0"": 27, ""1987.6"": 14, ""2030.0"": 28, ""2262.4"": 36, ""2072.0"": 42, ""2674.7"": 2, ""2787.0"": 1, ""2363.15"": 13, ""2251.95"": 36, ""2146.0"": 36, ""2086.05"": 35, ""2249.85"": 41, ""2067.3"": 37, ""2126.1"": 18, ""2418.7"": 20, ""1971.15"": 7, ""2369.6"": 14, ""2550.0"": 6, ""2056.0"": 27, ""2387.0"": 19, ""1712.0"": 10, ""1917.0"": 10, ""1740.0"": 11, ""1532.1"": 26, ""1722.0"": 7, ""1670.0"": 23, ""1365.1"": 25, ""1680.0"": 21, ""1401.0"": 5, ""1905.0"": 8, ""1476.45"": 25, ""1557.9"": 28, ""1530.0"": 28, ""1217.25"": 2, ""1375.55"": 10, ""1288.0"": 9, ""1366.8"": 21, ""1303.55"": 7, ""1291.6"": 11, ""1492.95"": 11, ""1498.8"": 19, ""1392.75"": 6, ""1703.0"": 15, ""1582.35"": 22, ""1733.0"": 9, ""1525.0"": 20, ""1293.0"": 8, ""1399.6"": 6, ""1301.0"": 11, ""1186.1"": 1, ""1212.0"": 3, ""1606.0"": 27, ""1405.05"": 6, ""1639.95"": 35, ""1380.0"": 9, ""2199.0"": 55, ""2200.0"": 55, ""1991.7"": 13, ""2280.0"": 26, ""1980.2"": 13, ""2449.7"": 12, ""1709.0"": 11, ""1981.1"": 13}"
GRANULES,"{""95.0"": 1, ""133.75"": 4, ""117.0"": 4, ""135.9"": 1, ""118.85"": 6, ""133.4"": 1, ""120.2"": 4, ""189.0"": 2, ""114.1"": 1, ""181.0"": 5, ""154.1"": 5, ""224.45"": 1, ""194.1"": 1, ""335.75"": 32, ""282.15"": 28, ""330.75"": 33, ""406.9"": 11, ""361.5"": 17, ""366.0"": 12, ""437.95"": 7, ""321.4"": 49, ""318.5"": 42, ""315.1"": 41, ""374.45"": 32, ""295.0"": 19, ""370.55"": 27, ""312.8"": 36, ""340.75"": 23, ""303.1"": 39, ""404.8"": 10, ""316.0"": 30, ""314.6"": 42, ""335.6"": 29, ""305.0"": 33, ""328.6"": 23, ""280.5"": 17, ""349.5"": 17, ""362.4"": 15, ""290.0"": 16, ""265.2"": 6, ""323.95"": 34, ""232.1"": 1, ""285.0"": 18, ""226.95"": 1, ""330.7"": 33, ""300.65"": 25, ""301.85"": 37, ""339.1"": 18, ""381.0"": 18, ""335.35"": 32, ""278.6"": 14, ""277.5"": 12, ""294.6"": 25, ""267.75"": 7, ""309.8"": 55, ""272.35"": 8, ""275.25"": 12, ""329.3"": 36, ""287.7"": 28, ""365.25"": 25, ""318.95"": 42, ""404.9"": 12, ""365.45"": 22, ""435.4"": 8, ""406.6"": 9, ""480.45"": 2, ""405.25"": 10, ""456.45"": 3, ""404.4"": 14, ""428.55"": 19, ""389.35"": 7, ""401.25"": 4, ""530.65"": 7, ""495.0"": 5, ""721.0"": 1, ""531.15"": 4, ""613.9"": 2, ""531.25"": 4, ""522.65"": 2, ""628.0"": 1, ""621.1"": 1, ""502.25"": 5}"
SAPPHIRE,"{""194.9"": 7, ""253.0"": 11, ""225.55"": 6, ""298.0"": 19, ""246.2"": 13, ""308.0"": 17, ""226.3"": 4, ""299.8"": 25, ""181.8"": 1, ""248.15"": 16, ""242.4"": 16, ""314.8"": 26, ""299.0"": 11, ""260.2"": 21, ""289.5"": 32, ""257.2"": 13, ""267.1"": 27, ""220.5"": 7, ""224.0"": 7, ""259.4"": 22, ""232.5"": 5, ""293.0"": 22, ""289.8"": 49, ""269.0"": 21, ""296.0"": 21, ""262.0"": 21, ""313.55"": 7, ""242.6"": 20, ""295.0"": 20, ""275.15"": 33, ""302.0"": 40, ""265.8"": 20, ""309.6"": 18, ""271.15"": 23, ""336.0"": 4, ""259.3"": 24, ""334.2"": 9, ""297.0"": 15, ""363.45"": 1, ""303.6"": 15, ""364.4"": 1, ""401.0"": 1, ""297.05"": 14, ""355.5"": 1, ""374.65"": 2, ""283.7"": 38}"
CHEMPLASTS,"{""531.1"": 8, ""826.0"": 1, ""510.0"": 27, ""629.0"": 4, ""499.2"": 32, ""444.25"": 39, ""685.0"": 3, ""475.85"": 34, ""382.7"": 7, ""504.4"": 25, ""497.3"": 36, ""409.35"": 8, ""451.9"": 30, ""357.2"": 3, ""500.0"": 41, ""409.0"": 6, ""342.05"": 1, ""476.8"": 42, ""415.2"": 9, ""501.0"": 24, ""425.35"": 14, ""416.15"": 7, ""543.25"": 15, ""428.8"": 18, ""425.0"": 16, ""527.8"": 14, ""459.5"": 26, ""413.45"": 9, ""522.2"": 17, ""416.75"": 6, ""527.0"": 11, ""454.0"": 38, ""499.0"": 32, ""633.9"": 5, ""402.8"": 6, ""496.05"": 41, ""602.35"": 10, ""488.05"": 37, ""487.45"": 35, ""535.0"": 16, ""432.35"": 20, ""513.85"": 15, ""530.0"": 13, ""525.0"": 17}"
PRAJIND,"{""117.4"": 4, ""97.1"": 1, ""129.75"": 2, ""43.0"": 1, ""71.8"": 2, ""52.5"": 4, ""72.5"": 6, ""71.35"": 4, ""58.55"": 4, ""77.75"": 9, ""63.5"": 4, ""77.9"": 7, ""80.3"": 1, ""81.4"": 1, ""72.55"": 7, ""117.0"": 8, ""92.75"": 2, ""134.95"": 3, ""110.0"": 9, ""151.85"": 1, ""398.25"": 14, ""407.0"": 15, ""385.0"": 34, ""399.0"": 9, ""292.05"": 1, ""369.0"": 26, ""359.0"": 30, ""311.1"": 6, ""301.6"": 4, ""360.0"": 31, ""301.05"": 1, ""315.45"": 7, ""438.5"": 6, ""289.05"": 1, ""302.0"": 5, ""408.0"": 8, ""364.1"": 30, ""435.8"": 7, ""370.1"": 32, ""461.6"": 4, ""444.9"": 3, ""391.5"": 17, ""333.1"": 28, ""372.3"": 16, ""326.4"": 11, ""375.0"": 22, ""367.8"": 24, ""298.65"": 1, ""345.15"": 22, ""401.0"": 11, ""365.95"": 17, ""609.8"": 3, ""614.65"": 3, ""502.6"": 15, ""650.5"": 4, ""522.6"": 16, ""470.95"": 1, ""532.9"": 11, ""448.0"": 5, ""553.75"": 6, ""491.1"": 3, ""560.4"": 9, ""497.35"": 10, ""483.35"": 5, ""757.95"": 14, ""650.0"": 5, ""812.95"": 9, ""712.3"": 14, ""826.7"": 5, ""665.55"": 4, ""855.0"": 2, ""779.0"": 6, ""875.0"": 1}"
CAMPUS,"{""374.4"": 7, ""297.1"": 21, ""459.95"": 2, ""517.9"": 4, ""617.0"": 2, ""639.3"": 2, ""406.15"": 5, ""472.0"": 1, ""378.3"": 11, ""374.55"": 9, ""424.7"": 6, ""352.2"": 9, ""310.95"": 15, ""368.7"": 3, ""379.85"": 12, ""300.5"": 16, ""329.75"": 14, ""307.5"": 8, ""338.9"": 8, ""282.75"": 22, ""323.5"": 11, ""317.75"": 17, ""305.25"": 17, ""237.8"": 4, ""269.0"": 17, ""296.5"": 16, ""239.0"": 7, ""275.8"": 14, ""213.0"": 1, ""302.35"": 20, ""306.4"": 16, ""275.7"": 14, ""320.4"": 17, ""274.95"": 18, ""272.0"": 13, ""371.9"": 5, ""277.0"": 22, ""323.0"": 12, ""255.25"": 9, ""337.6"": 10, ""313.9"": 14, ""257.0"": 9}"
ITC,"{""266.3"": 13, ""235.0"": 19, ""247.9"": 13, ""233.25"": 11, ""243.9"": 11, ""134.6"": 1, ""193.75"": 19, ""157.1"": 1, ""180.7"": 13, ""209.4"": 33, ""191.5"": 8, ""207.7"": 45, ""166.15"": 6, ""175.2"": 6, ""163.35"": 6, ""218.6"": 24, ""196.9"": 17, ""201.8"": 27, ""239.2"": 21, ""203.0"": 27, ""201.6"": 19, ""228.1"": 6, ""199.1"": 13, ""219.4"": 11, ""200.9"": 9, ""217.15"": 20, ""204.35"": 21, ""245.8"": 14, ""265.3"": 13, ""221.7"": 20, ""245.25"": 14, ""209.8"": 38, ""209.55"": 35, ""238.5"": 26, ""207.0"": 41, ""273.15"": 7, ""249.15"": 13, ""282.35"": 1, ""258.55"": 13, ""316.65"": 3, ""349.55"": 6, ""323.25"": 2, ""361.45"": 4, ""347.35"": 11, ""325.35"": 6, ""394.0"": 4, ""369.65"": 2, ""411.35"": 12, ""433.85"": 30, ""499.7"": 14, ""436.1"": 37, ""457.0"": 13, ""433.3"": 31, ""458.2"": 13, ""425.5"": 29, ""434.15"": 24, ""464.8"": 22, ""444.45"": 41, ""481.45"": 14, ""399.4"": 3, ""438.0"": 45, ""399.35"": 3, ""416.0"": 7, ""446.0"": 22, ""402.85"": 6, ""510.65"": 11, ""528.5"": 1, ""470.0"": 21, ""455.4"": 29, ""483.8"": 9, ""451.65"": 35, ""491.0"": 11, ""471.5"": 19}"
GLAND,"{""2508.55"": 13, ""2071.0"": 8, ""2783.85"": 6, ""2365.0"": 11, ""2873.0"": 4, ""3514.85"": 12, ""3013.55"": 3, ""4172.0"": 2, ""4350.0"": 1, ""3762.0"": 11, ""4179.65"": 1, ""3604.3"": 10, ""4072.0"": 5, ""3312.15"": 8, ""3355.0"": 5, ""4062.95"": 5, ""3242.15"": 14, ""3120.0"": 8, ""3559.4"": 15, ""2675.9"": 8, ""2495.15"": 12, ""2180.0"": 11, ""2607.0"": 8, ""2238.0"": 6, ""1660.0"": 14, ""1908.8"": 16, ""1167.0"": 2, ""1130.0"": 1, ""1329.8"": 6, ""1477.85"": 5, ""1222.0"": 2, ""861.0"": 1, ""1768.0"": 21, ""1810.85"": 32, ""1748.0"": 26, ""1475.05"": 2, ""2057.6"": 9, ""1845.8"": 18, ""2194.0"": 10, ""1666.8"": 18, ""1879.0"": 20, ""1661.25"": 16, ""1989.9"": 11, ""1654.5"": 16, ""1914.75"": 14, ""2143.0"": 13, ""2220.95"": 10, ""1974.55"": 9, ""1585.7"": 12, ""1871.7"": 17, ""1864.0"": 16, ""1725.0"": 20, ""1964.0"": 13, ""1417.05"": 5}"
AUROPHARMA,"{""507.5"": 7, ""389.35"": 2, ""461.85"": 13, ""430.0"": 5, ""474.45"": 18, ""442.0"": 15, ""617.55"": 12, ""288.85"": 1, ""684.05"": 20, ""770.4"": 8, ""967.5"": 24, ""857.9"": 23, ""738.05"": 16, ""749.2"": 4, ""923.4"": 15, ""801.1"": 18, ""996.85"": 10, ""880.15"": 24, ""1023.7"": 21, ""837.0"": 16, ""797.3"": 14, ""1063.9"": 6, ""917.75"": 15, ""660.3"": 14, ""767.35"": 10, ""706.5"": 17, ""751.9"": 7, ""620.5"": 11, ""742.0"": 8, ""590.1"": 5, ""715.0"": 21, ""584.25"": 7, ""727.95"": 22, ""503.45"": 13, ""524.2"": 11, ""604.0"": 10, ""556.75"": 16, ""494.3"": 7, ""552.75"": 15, ""569.45"": 8, ""429.2"": 5, ""397.2"": 1, ""482.5"": 5, ""444.75"": 18, ""581.25"": 6, ""887.7"": 19, ""815.8"": 15, ""930.0"": 10, ""834.65"": 17, ""1059.65"": 5, ""996.3"": 9, ""1177.1"": 9, ""958.5"": 20, ""1114.0"": 13, ""984.3"": 9, ""1150.7"": 11, ""1069.3"": 6, ""1292.1"": 3, ""1109.45"": 9, ""1180.1"": 7, ""1592.0"": 1, ""1407.0"": 9, ""1215.6"": 11, ""1276.5"": 5, ""1173.1"": 7, ""1356.2"": 5}"
