stocks,levels
SFL,"{""601.9"": 1, ""686.95"": 20, ""623.2"": 17, ""687.5"": 26, ""889.95"": 5, ""575.9"": 1, ""838.65"": 12, ""785.45"": 5, ""773.95"": 7, ""658.0"": 16, ""814.0"": 13, ""611.05"": 7, ""699.45"": 21, ""891.2"": 9, ""784.1"": 5, ""1191.0"": 33, ""986.85"": 18, ""1108.0"": 19, ""1098.5"": 17, ""987.95"": 20, ""1142.4"": 25, ""984.25"": 18, ""1219.5"": 23, ""1249.05"": 17, ""1224.5"": 25, ""1092.8"": 10, ""1218.0"": 21, ""1113.0"": 19, ""1259.5"": 13, ""1743.5"": 6, ""1479.95"": 6, ""1495.0"": 9, ""1979.75"": 1, ""1581.0"": 7, ""1537.2"": 15, ""1889.0"": 4, ""1616.85"": 12, ""2027.5"": 1, ""1271.3"": 6, ""1460.35"": 14, ""1288.7"": 14, ""1524.45"": 9, ""1711.5"": 9, ""1295.0"": 14, ""1474.0"": 6, ""1267.95"": 6, ""1400.0"": 11, ""1202.65"": 24, ""1120.0"": 23, ""1230.0"": 18, ""906.6"": 22, ""1110.0"": 25, ""992.75"": 19, ""1272.6"": 5, ""1108.5"": 23, ""1369.95"": 9, ""1086.0"": 21, ""1092.0"": 13, ""1212.9"": 14, ""1000.05"": 24, ""1176.0"": 36, ""1058.0"": 23, ""1297.0"": 15, ""918.05"": 23, ""1012.0"": 37, ""889.0"": 6, ""996.8"": 20, ""854.0"": 8, ""911.0"": 22, ""1067.0"": 17, ""1061.65"": 11, ""903.05"": 20, ""965.0"": 18, ""774.05"": 7, ""1058.7"": 21}"
ABB,"{""1235.4"": 3, ""1202.55"": 13, ""1097.0"": 4, ""1411.0"": 5, ""1379.0"": 15, ""801.0"": 6, ""1050.0"": 4, ""722.0"": 1, ""1017.0"": 2, ""862.6"": 4, ""1009.0"": 3, ""846.6"": 5, ""848.0"": 2, ""1260.0"": 6, ""1635.0"": 4, ""1330.2"": 12, ""1298.55"": 10, ""1436.25"": 3, ""1857.0"": 11, ""1683.5"": 10, ""1618.05"": 1, ""1943.9"": 2, ""1790.0"": 3, ""2232.0"": 18, ""1954.05"": 2, ""2375.0"": 8, ""2468.1"": 3, ""2135.9"": 9, ""2000.0"": 12, ""2239.0"": 10, ""1944.6"": 2, ""2264.95"": 11, ""2359.7"": 8, ""2487.85"": 1, ""2120.0"": 9, ""2835.0"": 8, ""3446.3"": 3, ""2966.05"": 7, ""3335.0"": 13, ""2945.0"": 8, ""3292.0"": 7, ""2640.0"": 4, ""2979.0"": 9, ""2752.05"": 5, ""3434.0"": 4, ""3467.95"": 2, ""3141.15"": 12, ""4614.35"": 8, ""4141.1"": 7, ""4220.2"": 19, ""4678.0"": 8, ""3978.35"": 3, ""4339.4"": 19, ""3850.0"": 5, ""4195.55"": 6, ""4957.0"": 2, ""4990.05"": 2, ""4340.3"": 20, ""6773.1"": 4, ""6245.0"": 3, ""6982.4"": 4, ""9149.95"": 2, ""7053.2"": 4, ""8263.75"": 8, ""8024.25"": 4, ""7350.05"": 7, ""8940.6"": 1, ""6605.0"": 1, ""7960.0"": 9}"
AVL,"{""546.6"": 1, ""458.55"": 3, ""522.0"": 1}"
JISLDVREQS,"{""8.15"": 13, ""11.8"": 8, ""7.25"": 3, ""9.0"": 8, ""3.1"": 1, ""9.1"": 5, ""6.3"": 2, ""14.85"": 3, ""9.05"": 2, ""12.95"": 13, ""10.75"": 17, ""13.35"": 8, ""9.25"": 4, ""13.9"": 5, ""10.3"": 6, ""17.4"": 11, ""12.3"": 11, ""12.15"": 7, ""15.45"": 3, ""10.85"": 4, ""14.4"": 4, ""20.8"": 17, ""16.25"": 3, ""23.25"": 3, ""16.0"": 7, ""25.5"": 9, ""30.45"": 3, ""22.95"": 4, ""27.5"": 5, ""21.6"": 13, ""28.2"": 2, ""23.6"": 2, ""25.95"": 4, ""17.25"": 6, ""19.1"": 13, ""25.0"": 8, ""17.9"": 4, ""22.5"": 4, ""24.0"": 5, ""17.0"": 8, ""20.9"": 22, ""24.2"": 4, ""23.0"": 7, ""18.25"": 9, ""20.85"": 18, ""18.3"": 9, ""20.3"": 18, ""16.8"": 7, ""20.1"": 19, ""15.25"": 1, ""18.95"": 44, ""15.3"": 1, ""21.2"": 16, ""17.75"": 5, ""18.6"": 19, ""22.6"": 3, ""19.7"": 23, ""20.2"": 18, ""40.55"": 10, ""29.65"": 4, ""34.25"": 25, ""27.85"": 4, ""38.1"": 5, ""32.1"": 9, ""32.15"": 7, ""39.9"": 7, ""30.9"": 4, ""27.15"": 1, ""36.7"": 11, ""29.0"": 4, ""45.95"": 1, ""44.94"": 2, ""34.66"": 12, ""43.7"": 3, ""28.31"": 4, ""35.85"": 27, ""30.25"": 3, ""40.9"": 4, ""33.71"": 25, ""41.0"": 9}"
BAJAJELEC,"{""270.8"": 6, ""200.7"": 3, ""227.75"": 7, ""206.25"": 1, ""264.75"": 8, ""227.5"": 5, ""308.5"": 4, ""174.4"": 1, ""261.3"": 13, ""234.15"": 9, ""312.7"": 3, ""253.85"": 9, ""365.5"": 2, ""296.5"": 4, ""358.15"": 2, ""321.95"": 6, ""348.75"": 5, ""575.45"": 2, ""754.25"": 41, ""612.05"": 4, ""737.65"": 43, ""600.3"": 1, ""820.95"": 28, ""639.85"": 8, ""796.8"": 27, ""679.8"": 15, ""1065.7"": 17, ""777.35"": 45, ""625.55"": 8, ""925.55"": 9, ""742.45"": 28, ""843.9"": 22, ""665.0"": 17, ""774.65"": 48, ""711.3"": 34, ""577.2"": 1, ""575.85"": 2, ""804.2"": 31, ""848.45"": 11, ""672.7"": 7, ""824.9"": 28, ""760.5"": 49, ""712.3"": 28, ""731.05"": 37, ""831.65"": 20, ""709.25"": 26, ""809.25"": 18, ""776.65"": 36, ""694.85"": 28, ""844.6"": 19, ""762.25"": 46, ""890.5"": 5, ""734.7"": 33, ""643.5"": 6, ""1147.85"": 2, ""1148.0"": 2, ""975.0"": 12, ""1034.0"": 21, ""976.95"": 18, ""1069.9"": 12, ""1082.7"": 7, ""1052.6"": 7, ""889.95"": 6, ""981.45"": 16, ""900.6"": 7, ""820.15"": 24, ""1110.0"": 12, ""932.1"": 17, ""935.35"": 18, ""1038.0"": 12, ""927.0"": 11, ""736.7"": 42, ""866.5"": 8}"
BAJAJHIND,"{""8.45"": 1, ""6.9"": 25, ""5.75"": 18, ""7.45"": 3, ""2.35"": 2, ""5.8"": 22, ""3.75"": 3, ""8.3"": 2, ""5.55"": 8, ""4.7"": 13, ""4.55"": 11, ""4.35"": 4, ""7.2"": 9, ""5.05"": 9, ""7.35"": 5, ""6.1"": 78, ""5.9"": 17, ""8.5"": 1, ""7.1"": 13, ""14.15"": 40, ""24.65"": 1, ""13.25"": 14, ""16.4"": 15, ""17.65"": 6, ""13.1"": 13, ""15.25"": 9, ""12.0"": 8, ""15.6"": 17, ""13.15"": 15, ""18.25"": 3, ""14.85"": 16, ""17.8"": 3, ""17.0"": 15, ""22.35"": 3, ""13.05"": 10, ""11.3"": 14, ""8.35"": 1, ""12.2"": 18, ""10.05"": 4, ""11.45"": 16, ""20.15"": 2, ""15.7"": 17, ""15.4"": 20, ""15.9"": 21, ""29.85"": 10, ""22.5"": 1, ""35.85"": 5, ""26.45"": 4, ""24.75"": 3, ""40.5"": 9, ""26.8"": 9, ""37.5"": 9, ""27.55"": 4, ""44.4"": 1, ""44.95"": 1, ""37.05"": 6, ""46.1"": 1, ""44.74"": 1, ""37.34"": 8, ""44.84"": 1, ""31.61"": 8, ""29.76"": 9, ""35.38"": 3}"
BALRAMCHIN,"{""147.35"": 13, ""170.35"": 11, ""141.4"": 2, ""195.0"": 3, ""152.25"": 13, ""177.4"": 7, ""68.95"": 1, ""132.7"": 3, ""83.65"": 1, ""141.7"": 2, ""142.0"": 6, ""123.0"": 5, ""165.4"": 4, ""140.0"": 4, ""169.8"": 15, ""147.7"": 11, ""185.8"": 8, ""155.55"": 22, ""187.9"": 5, ""227.0"": 3, ""197.0"": 1, ""349.15"": 19, ""291.05"": 1, ""370.0"": 35, ""327.3"": 13, ""386.8"": 46, ""378.95"": 37, ""339.5"": 19, ""398.0"": 30, ""297.6"": 4, ""346.45"": 16, ""301.6"": 4, ""345.8"": 18, ""299.0"": 2, ""459.85"": 5, ""382.1"": 40, ""456.9"": 5, ""365.55"": 29, ""525.9"": 7, ""347.1"": 21, ""331.0"": 14, ""404.5"": 25, ""329.0"": 11, ""385.9"": 43, ""335.15"": 19, ""307.3"": 4, ""363.4"": 33, ""414.9"": 28, ""379.25"": 35, ""349.3"": 17, ""408.95"": 24, ""356.3"": 24, ""430.9"": 17, ""371.5"": 27, ""416.0"": 23, ""372.85"": 39, ""423.0"": 23, ""382.05"": 43, ""462.0"": 6, ""394.4"": 41, ""485.9"": 6, ""376.2"": 32, ""420.4"": 27, ""372.6"": 38, ""407.5"": 26, ""364.3"": 33, ""343.5"": 25, ""396.0"": 46, ""363.0"": 33, ""409.5"": 29, ""367.0"": 28, ""352.0"": 17, ""455.85"": 3, ""422.0"": 24, ""625.0"": 5, ""546.1"": 2, ""691.8"": 1, ""505.95"": 9, ""613.4"": 7, ""457.2"": 5}"
BANARISUG,"{""1270.0"": 2, ""1249.9"": 8, ""1080.25"": 2, ""1590.0"": 7, ""638.6"": 1, ""949.9"": 3, ""811.0"": 3, ""1001.0"": 5, ""1375.0"": 2, ""1260.25"": 3, ""1559.7"": 4, ""1259.0"": 2, ""1298.95"": 67, ""1540.0"": 5, ""1388.95"": 4, ""1574.85"": 9, ""1442.15"": 10, ""1899.2"": 2, ""1999.0"": 5, ""2175.0"": 4, ""1670.0"": 7, ""1948.95"": 3, ""1693.0"": 4, ""2024.0"": 2, ""1729.6"": 5, ""2049.0"": 1, ""1701.0"": 6, ""2450.0"": 33, ""2111.3"": 2, ""2448.6"": 29, ""2024.05"": 2, ""2848.4"": 40, ""3048.7"": 17, ""2666.05"": 16, ""2970.0"": 7, ""2151.55"": 10, ""2243.3"": 5, ""2840.0"": 26, ""2300.4"": 14, ""1951.05"": 3, ""3055.0"": 11, ""2679.1"": 10, ""2750.1"": 69, ""3194.0"": 8, ""2670.0"": 18, ""2885.0"": 21, ""2740.05"": 27, ""2970.2"": 7, ""2532.1"": 19, ""2970.35"": 7, ""2930.05"": 5, ""2700.0"": 43, ""2864.0"": 23, ""2675.5"": 13, ""2930.3"": 5, ""2741.9"": 33, ""2490.05"": 23, ""2413.2"": 17, ""2699.9"": 43, ""2619.95"": 23, ""2385.0"": 17, ""2345.0"": 9, ""2848.85"": 40, ""2250.0"": 18, ""2711.45"": 43, ""2732.8"": 34, ""2189.2"": 8, ""3489.9"": 8, ""3010.1"": 6, ""3191.1"": 4, ""3993.0"": 1, ""3317.3"": 8, ""3223.25"": 5, ""3870.0"": 1}"
BATAINDIA,"{""1814.0"": 28, ""1600.0"": 33, ""1737.75"": 38, ""1686.5"": 48, ""1895.45"": 16, ""1000.0"": 1, ""1339.0"": 45, ""1392.0"": 24, ""1230.0"": 9, ""1464.4"": 25, ""1331.55"": 37, ""1213.8"": 5, ""1390.85"": 27, ""1257.45"": 10, ""1404.45"": 35, ""1416.95"": 51, ""1288.6"": 23, ""1645.0"": 45, ""1462.0"": 28, ""1681.95"": 43, ""1602.6"": 31, ""1434.15"": 49, ""1263.6"": 15, ""1696.95"": 40, ""1550.0"": 23, ""1592.1"": 38, ""2212.75"": 1, ""1929.6"": 24, ""2262.0"": 1, ""2057.25"": 8, ""1776.15"": 25, ""2122.0"": 6, ""1654.05"": 31, ""2039.75"": 8, ""1826.15"": 25, ""1655.55"": 27, ""1899.0"": 17, ""1607.45"": 32, ""2004.9"": 11, ""1984.8"": 16, ""1755.0"": 21, ""1875.0"": 16, ""1666.5"": 27, ""1738.85"": 37, ""1607.1"": 35, ""1478.1"": 25, ""1382.5"": 32, ""1381.05"": 31, ""1722.6"": 39, ""1771.45"": 34, ""1618.15"": 44, ""1748.95"": 25, ""1585.05"": 37, ""1666.95"": 29, ""1530.0"": 31, ""1724.25"": 42, ""1576.0"": 40, ""1473.85"": 20, ""1348.1"": 43, ""1404.4"": 35, ""1307.05"": 30, ""1294.0"": 28, ""1269.0"": 15, ""1433.6"": 54, ""1633.0"": 47, ""1384.25"": 31, ""1476.95"": 26, ""1381.0"": 31, ""1340.0"": 47, ""1468.8"": 28, ""1275.55"": 8, ""1457.5"": 27, ""1327.85"": 26, ""1479.0"": 24}"
DENORA,"{""258.4"": 13, ""190.05"": 4, ""256.1"": 13, ""205.0"": 12, ""249.0"": 10, ""110.3"": 1, ""190.0"": 4, ""147.9"": 2, ""245.9"": 4, ""205.6"": 10, ""241.35"": 3, ""203.7"": 11, ""245.1"": 8, ""211.0"": 19, ""204.95"": 12, ""224.9"": 12, ""228.4"": 8, ""191.1"": 2, ""207.0"": 15, ""298.7"": 3, ""363.0"": 3, ""243.0"": 5, ""302.55"": 2, ""239.05"": 15, ""417.5"": 7, ""316.0"": 4, ""424.45"": 7, ""437.95"": 3, ""293.1"": 2, ""358.0"": 12, ""318.0"": 6, ""324.2"": 5, ""538.8"": 1, ""439.65"": 6, ""536.0"": 1, ""356.0"": 7, ""447.85"": 2, ""842.0"": 3, ""598.35"": 1, ""888.0"": 7, ""644.0"": 5, ""864.8"": 10, ""741.1"": 10, ""987.0"": 4, ""686.0"": 10, ""748.95"": 4, ""586.1"": 1, ""884.0"": 7, ""740.15"": 8, ""934.15"": 4, ""1024.0"": 3, ""821.3"": 4, ""1174.6"": 7, ""1486.75"": 15, ""2336.95"": 1, ""1545.0"": 21, ""1850.0"": 6, ""1430.0"": 7, ""1895.05"": 8, ""1490.25"": 16, ""1639.0"": 22, ""1293.2"": 5, ""1817.0"": 9, ""1390.55"": 6, ""2011.0"": 1, ""1452.1"": 6, ""1390.7"": 6, ""2025.0"": 2, ""1466.95"": 14, ""1737.0"": 7, ""1200.0"": 6, ""1138.75"": 6, ""1457.9"": 12}"
