stocks,levels
JUBLFOOD,"{""330.0"": 9, ""394.75"": 2, ""384.6"": 1, ""227.65"": 1, ""297.2"": 7, ""354.2"": 8, ""363.6"": 7, ""319.2"": 9, ""491.55"": 35, ""420.05"": 4, ""584.8"": 31, ""597.6"": 24, ""508.8"": 21, ""643.1"": 15, ""538.0"": 36, ""605.0"": 25, ""532.15"": 29, ""600.8"": 22, ""539.2"": 30, ""666.55"": 7, ""614.0"": 21, ""604.6"": 29, ""854.5"": 2, ""918.0"": 1, ""718.1"": 5, ""815.5"": 9, ""779.2"": 8, ""668.0"": 4, ""806.4"": 6, ""488.65"": 17, ""600.85"": 22, ""451.2"": 20, ""573.75"": 35, ""487.0"": 23, ""597.7"": 24, ""544.0"": 25, ""626.8"": 23, ""557.55"": 35, ""581.5"": 31, ""652.35"": 11, ""627.8"": 16, ""515.0"": 21, ""418.75"": 2, ""467.0"": 22, ""412.1"": 2, ""420.3"": 5, ""474.65"": 24, ""509.95"": 36, ""459.95"": 18, ""532.35"": 31, ""470.5"": 26, ""556.5"": 35, ""491.25"": 25, ""586.95"": 14, ""520.0"": 24, ""421.05"": 6, ""468.8"": 31, ""429.6"": 12, ""548.75"": 28, ""634.8"": 19, ""715.45"": 5, ""637.35"": 16, ""558.25"": 36}"
RAMCOCEM,"{""824.0"": 20, ""821.5"": 16, ""742.0"": 29, ""884.25"": 28, ""748.25"": 28, ""819.0"": 24, ""455.0"": 1, ""584.4"": 1, ""502.1"": 4, ""667.0"": 20, ""728.75"": 27, ""666.0"": 26, ""664.05"": 11, ""773.15"": 35, ""903.3"": 10, ""767.15"": 23, ""874.9"": 26, ""766.05"": 26, ""1043.2"": 14, ""920.75"": 23, ""1110.0"": 9, ""952.0"": 30, ""925.0"": 23, ""1012.9"": 35, ""1132.7"": 2, ""933.45"": 26, ""1069.0"": 7, ""953.55"": 20, ""928.1"": 17, ""1119.6"": 4, ""915.0"": 16, ""929.05"": 17, ""1054.8"": 8, ""823.95"": 20, ""690.45"": 17, ""714.0"": 22, ""823.8"": 19, ""708.9"": 33, ""575.65"": 4, ""778.5"": 27, ""718.0"": 29, ""809.8"": 40, ""686.8"": 11, ""746.1"": 36, ""634.05"": 11, ""738.5"": 21, ""724.25"": 34, ""642.05"": 8, ""751.6"": 31, ""701.65"": 28, ""750.5"": 32, ""770.0"": 35, ""716.05"": 34, ""951.7"": 34, ""908.3"": 10, ""953.0"": 26, ""827.7"": 20, ""929.45"": 15, ""856.45"": 39, ""1016.2"": 27, ""960.75"": 22, ""1040.0"": 17, ""959.1"": 29, ""1058.2"": 7, ""970.3"": 31, ""1024.95"": 26, ""781.85"": 43, ""868.0"": 38, ""742.75"": 28, ""700.0"": 37, ""893.85"": 11, ""765.0"": 34, ""840.9"": 37, ""777.8"": 29, ""817.0"": 23, ""886.8"": 25, ""823.9"": 20}"
LTTS,"{""1658.0"": 8, ""1321.0"": 2, ""1395.0"": 3, ""1529.9"": 13, ""1460.5"": 7, ""1780.0"": 4, ""1778.0"": 4, ""995.0"": 1, ""1295.0"": 8, ""1065.5"": 1, ""1391.1"": 4, ""1238.8"": 3, ""1653.0"": 9, ""1464.1"": 13, ""1697.85"": 21, ""1879.4"": 1, ""1605.0"": 13, ""2748.95"": 7, ""2301.0"": 2, ""2760.0"": 12, ""2441.0"": 2, ""2858.15"": 7, ""2475.0"": 5, ""3062.15"": 5, ""2820.0"": 4, ""2476.05"": 4, ""2801.0"": 3, ""3818.0"": 20, ""5000.0"": 12, ""5548.7"": 18, ""4335.0"": 7, ""5820.8"": 6, ""5085.85"": 18, ""4986.05"": 18, ""5955.5"": 1, ""4210.35"": 14, ""5295.0"": 24, ""3250.9"": 5, ""2924.2"": 9, ""3942.0"": 17, ""3879.0"": 21, ""3323.0"": 4, ""3689.5"": 16, ""3426.1"": 19, ""4318.7"": 15, ""3215.85"": 3, ""3840.0"": 20, ""3297.05"": 5, ""3692.0"": 15, ""3310.0"": 4, ""3996.9"": 9, ""4033.25"": 9, ""3755.25"": 17, ""4807.15"": 15, ""4858.6"": 20, ""4111.0"": 8, ""5367.0"": 23, ""5678.9"": 10, ""5100.0"": 18, ""5873.35"": 4, ""4320.2"": 10, ""4200.0"": 10, ""4728.05"": 17, ""5267.85"": 25, ""4763.0"": 12, ""6000.0"": 1, ""5007.85"": 13, ""5424.0"": 26, ""4871.0"": 18, ""5548.0"": 21}"
UPL,"{""544.95"": 36, ""592.55"": 17, ""497.2"": 11, ""559.2"": 33, ""589.85"": 22, ""478.35"": 16, ""576.9"": 27, ""230.35"": 1, ""411.85"": 17, ""322.3"": 4, ""381.85"": 2, ""450.85"": 9, ""448.0"": 17, ""524.25"": 19, ""382.75"": 3, ""474.85"": 17, ""576.65"": 28, ""489.2"": 20, ""493.1"": 17, ""557.3"": 32, ""646.5"": 20, ""557.6"": 34, ""829.45"": 1, ""737.0"": 30, ""817.65"": 2, ""685.4"": 41, ""741.0"": 25, ""665.7"": 19, ""730.95"": 31, ""658.3"": 16, ""761.65"": 18, ""650.9"": 23, ""665.05"": 15, ""810.45"": 7, ""596.65"": 15, ""802.35"": 10, ""813.45"": 4, ""582.75"": 32, ""771.45"": 20, ""627.35"": 11, ""774.1"": 21, ""678.65"": 25, ""656.35"": 30, ""748.2"": 35, ""659.6"": 21, ""717.25"": 37, ""729.0"": 38, ""630.25"": 10, ""670.4"": 11, ""553.45"": 28, ""613.0"": 7, ""573.45"": 26, ""609.0"": 14, ""506.6"": 16, ""589.7"": 21, ""542.65"": 43, ""433.7"": 17, ""429.55"": 8, ""492.95"": 16, ""445.4"": 18, ""518.0"": 19, ""458.5"": 13, ""556.65"": 38, ""553.5"": 29, ""498.8"": 14, ""598.3"": 12, ""558.8"": 39, ""599.55"": 21, ""496.35"": 14, ""552.0"": 22, ""483.75"": 21}"
ASTRAL,"{""682.9"": 7, ""582.85"": 2, ""680.65"": 4, ""677.8"": 24, ""608.3"": 5, ""715.15"": 4, ""421.55"": 1, ""480.55"": 3, ""551.75"": 7, ""435.35"": 1, ""558.55"": 3, ""479.9"": 3, ""564.15"": 5, ""513.9"": 10, ""743.25"": 1, ""602.35"": 11, ""608.85"": 5, ""900.7"": 2, ""1034.55"": 2, ""909.0"": 2, ""1218.25"": 5, ""1486.8"": 31, ""1112.05"": 1, ""1061.05"": 2, ""1315.05"": 8, ""1170.7"": 13, ""1488.7"": 24, ""1526.3"": 30, ""1604.5"": 22, ""1725.1"": 14, ""1464.35"": 19, ""1624.05"": 20, ""1438.35"": 21, ""1829.9"": 18, ""1561.55"": 31, ""1777.35"": 14, ""1548.9"": 34, ""1757.1"": 10, ""1548.85"": 34, ""1535.75"": 30, ""1318.45"": 13, ""1665.4"": 9, ""1210.35"": 7, ""1376.15"": 9, ""1189.15"": 5, ""1996.1"": 18, ""1600.75"": 15, ""1457.9"": 19, ""1595.1"": 19, ""1403.4"": 18, ""1614.6"": 26, ""1410.55"": 18, ""1587.6"": 24, ""1601.45"": 17, ""1356.2"": 10, ""1297.8"": 9, ""1383.55"": 7, ""2024.05"": 10, ""1772.75"": 21, ""2058.0"": 13, ""1810.25"": 19, ""1979.65"": 26, ""1773.0"": 20, ""2015.45"": 13, ""1823.55"": 21, ""1740.0"": 11, ""2143.8"": 7, ""1878.6"": 26, ""2100.0"": 11, ""1936.05"": 21, ""2352.0"": 4, ""1931.4"": 26, ""2454.0"": 2, ""1859.0"": 24, ""1875.0"": 27, ""2037.95"": 13, ""1695.5"": 12}"
IPCALAB,"{""594.15"": 3, ""529.05"": 2, ""585.95"": 1, ""555.5"": 2, ""581.95"": 2, ""754.15"": 9, ""770.0"": 9, ""600.0"": 5, ""912.5"": 22, ""845.0"": 17, ""828.85"": 12, ""733.0"": 4, ""1087.45"": 26, ""930.15"": 19, ""1133.95"": 25, ""1016.5"": 40, ""1230.0"": 12, ""981.05"": 35, ""1149.5"": 12, ""1051.5"": 43, ""910.15"": 18, ""892.7"": 29, ""986.35"": 29, ""900.15"": 38, ""1110.0"": 22, ""1016.25"": 35, ""1154.5"": 15, ""998.05"": 35, ""982.05"": 21, ""1383.1"": 8, ""1228.35"": 14, ""1128.5"": 56, ""962.5"": 16, ""925.2"": 22, ""1095.0"": 20, ""831.05"": 19, ""1034.3"": 36, ""852.75"": 19, ""945.0"": 19, ""881.0"": 20, ""951.3"": 13, ""835.3"": 12, ""904.35"": 36, ""830.0"": 17, ""883.65"": 21, ""889.95"": 28, ""767.5"": 8, ""854.55"": 25, ""686.8"": 9, ""669.8"": 5, ""760.95"": 8, ""691.2"": 6, ""943.05"": 14, ""847.3"": 11, ""856.8"": 31, ""955.0"": 21, ""1161.85"": 11, ""1041.0"": 42, ""1156.0"": 14, ""1061.05"": 56, ""1263.95"": 5, ""1122.25"": 19, ""1374.6"": 4, ""1250.0"": 9, ""1354.5"": 9, ""1073.6"": 38, ""1052.0"": 35, ""1708.65"": 2, ""1489.25"": 6, ""1621.8"": 1}"
DALBHARAT,"{""865.25"": 7, ""897.7"": 7, ""771.7"": 11, ""919.0"": 3, ""402.7"": 1, ""569.9"": 7, ""474.8"": 1, ""549.5"": 4, ""739.85"": 7, ""825.0"": 12, ""652.3"": 1, ""807.8"": 18, ""1198.0"": 3, ""945.0"": 2, ""1229.8"": 4, ""1081.0"": 7, ""1574.0"": 24, ""1689.75"": 5, ""1405.1"": 8, ""1911.0"": 41, ""1728.0"": 13, ""2375.0"": 11, ""1836.4"": 49, ""2548.4"": 1, ""1995.25"": 24, ""1842.0"": 36, ""2199.0"": 19, ""1970.0"": 26, ""1756.15"": 24, ""2104.15"": 21, ""1666.0"": 7, ""2015.0"": 28, ""1278.15"": 3, ""1341.35"": 6, ""1640.5"": 3, ""1212.5"": 2, ""1706.05"": 11, ""1504.25"": 16, ""1794.7"": 33, ""1476.05"": 17, ""1785.0"": 27, ""1946.85"": 23, ""1753.7"": 17, ""1918.35"": 35, ""1672.0"": 9, ""1989.8"": 29, ""1706.65"": 11, ""2078.0"": 21, ""1901.5"": 40, ""2128.8"": 20, ""2288.8"": 12, ""1880.65"": 41, ""2040.0"": 25, ""1873.3"": 37, ""2424.75"": 4, ""1995.05"": 25, ""2430.7"": 3, ""2137.2"": 18, ""2428.6"": 4, ""1803.15"": 29, ""2058.9"": 17, ""1698.9"": 6, ""1651.4"": 14, ""1912.55"": 43, ""1772.6"": 29, ""1960.0"": 23, ""1705.45"": 10, ""1945.85"": 25, ""1794.25"": 34, ""1982.95"": 23, ""1751.0"": 21, ""1676.55"": 10}"
MFSL,"{""396.8"": 1, ""568.2"": 9, ""468.75"": 3, ""424.2"": 8, ""611.9"": 15, ""276.35"": 1, ""492.75"": 3, ""407.15"": 7, ""594.0"": 10, ""514.9"": 12, ""641.75"": 12, ""632.8"": 16, ""567.3"": 8, ""645.0"": 14, ""566.05"": 7, ""665.0"": 5, ""751.8"": 12, ""659.1"": 11, ""953.7"": 32, ""831.15"": 26, ""909.75"": 26, ""834.0"": 14, ""951.3"": 31, ""1097.55"": 8, ""1148.05"": 7, ""1000.0"": 30, ""1137.0"": 8, ""982.05"": 28, ""944.25"": 29, ""1026.5"": 29, ""910.25"": 27, ""1016.0"": 26, ""881.0"": 18, ""1080.7"": 13, ""700.0"": 16, ""807.8"": 20, ""696.5"": 23, ""832.95"": 14, ""765.0"": 8, ""868.75"": 18, ""885.0"": 28, ""767.5"": 11, ""856.9"": 16, ""665.55"": 4, ""625.2"": 12, ""729.45"": 10, ""656.45"": 8, ""874.4"": 16, ""695.0"": 20, ""604.65"": 10, ""599.1"": 6, ""715.9"": 22, ""668.3"": 6, ""839.0"": 24, ""763.0"": 6, ""961.0"": 26, ""872.95"": 12, ""947.55"": 22, ""862.95"": 19, ""1067.5"": 15, ""921.4"": 17, ""854.25"": 19, ""1005.9"": 23, ""913.05"": 23, ""1092.0"": 11, ""864.0"": 15, ""1132.5"": 14, ""985.05"": 27, ""1212.85"": 3, ""1132.35"": 14, ""1306.45"": 1, ""1093.85"": 11}"
AARTIIND,"{""446.0"": 15, ""395.55"": 4, ""379.75"": 8, ""465.25"": 17, ""520.95"": 27, ""535.5"": 25, ""334.0"": 1, ""596.0"": 12, ""425.15"": 9, ""490.0"": 14, ""445.7"": 15, ""614.5"": 18, ""565.5"": 34, ""495.0"": 28, ""483.2"": 13, ""643.5"": 20, ""682.95"": 19, ""536.25"": 22, ""667.5"": 15, ""596.25"": 16, ""907.5"": 16, ""931.8"": 14, ""840.5"": 16, ""987.0"": 12, ""963.65"": 12, ""880.5"": 9, ""1168.0"": 1, ""900.0"": 11, ""1014.8"": 11, ""903.15"": 8, ""1118.0"": 3, ""950.0"": 23, ""782.55"": 6, ""990.0"": 8, ""819.9"": 7, ""668.85"": 15, ""773.05"": 9, ""924.4"": 19, ""725.05"": 14, ""807.9"": 4, ""642.3"": 19, ""744.7"": 18, ""646.85"": 20, ""568.0"": 19, ""510.05"": 37, ""555.9"": 13, ""482.4"": 14, ""571.65"": 9, ""489.05"": 20, ""539.25"": 20, ""445.0"": 7, ""480.95"": 15, ""446.8"": 9, ""534.9"": 20, ""495.5"": 26, ""438.0"": 10, ""661.5"": 16, ""691.75"": 17, ""580.15"": 13, ""623.0"": 13, ""712.0"": 16, ""606.55"": 19, ""769.25"": 13, ""604.05"": 21, ""563.0"": 15, ""728.9"": 14, ""630.0"": 22, ""765.5"": 6, ""593.05"": 14, ""529.5"": 24, ""422.6"": 10, ""459.75"": 15}"
MANAPPURAM,"{""173.8"": 51, ""150.55"": 19, ""194.8"": 15, ""160.3"": 41, ""181.4"": 19, ""74.25"": 1, ""135.3"": 10, ""187.25"": 10, ""147.2"": 23, ""164.0"": 90, ""170.0"": 37, ""153.0"": 23, ""180.35"": 20, ""154.0"": 31, ""177.75"": 26, ""152.0"": 15, ""185.0"": 20, ""146.75"": 15, ""139.1"": 14, ""156.45"": 35, ""218.0"": 6, ""154.55"": 25, ""160.8"": 30, ""189.25"": 9, ""224.5"": 3, ""162.4"": 33, ""179.45"": 26, ""154.1"": 32, ""173.75"": 53, ""146.6"": 10, ""109.0"": 9, ""124.4"": 9, ""112.55"": 21, ""126.15"": 11, ""86.15"": 3, ""81.5"": 1, ""111.45"": 17, ""98.2"": 6, ""108.4"": 10, ""90.5"": 5, ""126.0"": 14, ""106.8"": 13, ""125.8"": 14, ""101.15"": 7, ""133.95"": 7, ""102.0"": 15, ""156.55"": 32, ""134.15"": 14, ""151.8"": 16, ""125.35"": 7, ""158.25"": 29, ""182.25"": 11, ""163.35"": 39, ""192.5"": 13, ""170.05"": 37, ""199.0"": 6, ""158.3"": 33, ""202.45"": 9, ""207.3"": 9, ""165.05"": 48, ""156.1"": 33, ""230.4"": 1, ""195.36"": 16, ""222.19"": 5, ""138.35"": 16}"
