stocks,levels
360ONE,"{""271.25"": 11, ""338.25"": 4, ""301.5"": 16, ""337.5"": 10, ""231.0"": 8, ""316.5"": 6, ""415.95"": 21, ""180.0"": 1, ""272.6"": 9, ""259.4"": 4, ""202.5"": 3, ""298.75"": 12, ""226.95"": 10, ""322.25"": 13, ""257.45"": 10, ""230.05"": 10, ""214.2"": 5, ""272.45"": 8, ""240.25"": 11, ""274.95"": 15, ""247.45"": 22, ""330.0"": 7, ""283.15"": 15, ""285.55"": 8, ""339.5"": 7, ""265.35"": 7, ""324.75"": 17, ""266.25"": 9, ""275.25"": 16, ""419.65"": 36, ""369.0"": 12, ""431.25"": 18, ""382.95"": 19, ""446.35"": 28, ""371.5"": 15, ""444.25"": 31, ""402.45"": 23, ""323.75"": 7, ""364.75"": 11, ""426.2"": 13, ""477.05"": 7, ""357.5"": 7, ""308.95"": 13, ""407.5"": 29, ""486.25"": 5, ""426.4"": 14, ""427.5"": 18, ""481.0"": 3, ""478.6"": 5, ""431.65"": 11, ""490.0"": 6, ""425.5"": 21, ""489.95"": 6, ""395.1"": 30, ""444.4"": 33, ""395.8"": 19, ""398.0"": 21, ""545.0"": 7, ""486.55"": 6, ""475.0"": 12, ""570.0"": 2, ""487.55"": 9, ""555.2"": 6, ""501.95"": 9, ""735.0"": 9, ""591.5"": 1, ""788.95"": 6, ""647.0"": 9, ""900.95"": 1, ""716.25"": 4, ""829.9"": 2, ""691.4"": 5, ""1065.0"": 7, ""1215.0"": 5, ""1134.9"": 3, ""1134.8"": 3, ""940.0"": 2, ""1143.65"": 3, ""1318.0"": 1}"
AADHARHFC,"{""315.0"": 2, ""486.95"": 1, ""376.1"": 3, ""516.8"": 1, ""408.0"": 8, ""477.5"": 3, ""393.1"": 6, ""449.95"": 9, ""443.85"": 12}"
AAVAS,"{""1734.0"": 17, ""1431.25"": 12, ""1949.85"": 21, ""2101.0"": 6, ""1799.05"": 24, ""2038.0"": 12, ""849.05"": 1, ""1342.0"": 16, ""940.8"": 1, ""1443.9"": 21, ""1262.0"": 2, ""1565.0"": 24, ""1283.05"": 2, ""1540.0"": 23, ""1385.25"": 21, ""2117.95"": 3, ""1755.55"": 12, ""2380.4"": 6, ""2424.9"": 14, ""2106.6"": 1, ""2674.75"": 7, ""2124.15"": 5, ""2160.0"": 13, ""3074.35"": 2, ""2799.9"": 14, ""2301.55"": 25, ""2928.8"": 8, ""2625.0"": 9, ""2920.0"": 12, ""2261.55"": 23, ""3016.0"": 5, ""2325.3"": 18, ""3340.0"": 1, ""2114.15"": 6, ""2634.95"": 7, ""2026.6"": 9, ""1815.0"": 18, ""2130.0"": 8, ""2411.4"": 14, ""2102.0"": 5, ""2339.35"": 8, ""1850.0"": 27, ""2078.35"": 11, ""2029.9"": 7, ""1698.5"": 40, ""1804.0"": 16, ""2045.95"": 13, ""1589.7"": 25, ""1812.4"": 20, ""1384.65"": 20, ""1335.5"": 10, ""1594.95"": 50, ""1631.0"": 27, ""1550.0"": 30, ""1817.6"": 27, ""1403.15"": 18, ""1416.3"": 16, ""1458.0"": 22, ""1625.0"": 42, ""1370.0"": 29, ""1499.0"": 25, ""1321.0"": 9, ""1307.0"": 3, ""1689.3"": 41, ""1513.4"": 12, ""1460.95"": 24, ""1978.95"": 17, ""1827.45"": 22, ""1603.3"": 26, ""1779.3"": 25, ""1939.95"": 22, ""1633.8"": 31, ""1622.05"": 26, ""1714.7"": 19, ""1645.0"": 25, ""1719.6"": 29, ""1738.0"": 21}"
ABCAPITAL,"{""75.5"": 2, ""79.0"": 12, ""114.6"": 23, ""88.55"": 12, ""115.35"": 31, ""37.35"": 1, ""56.3"": 2, ""41.2"": 1, ""68.45"": 3, ""53.0"": 5, ""77.4"": 5, ""58.05"": 3, ""60.65"": 8, ""59.85"": 7, ""97.9"": 8, ""76.0"": 1, ""94.65"": 4, ""78.85"": 7, ""139.7"": 3, ""112.5"": 46, ""131.4"": 4, ""130.85"": 9, ""128.45"": 7, ""113.4"": 25, ""127.7"": 7, ""123.95"": 17, ""98.0"": 10, ""118.8"": 24, ""106.1"": 23, ""96.35"": 8, ""114.65"": 28, ""99.0"": 11, ""127.5"": 10, ""107.6"": 27, ""139.2"": 5, ""111.8"": 21, ""96.85"": 4, ""124.5"": 18, ""90.05"": 13, ""105.0"": 18, ""85.6"": 8, ""123.3"": 15, ""106.65"": 18, ""108.1"": 25, ""162.45"": 6, ""141.45"": 2, ""157.8"": 7, ""133.05"": 6, ""149.3"": 8, ""137.0"": 5, ""159.35"": 8, ""139.25"": 5, ""175.3"": 33, ""157.45"": 6, ""199.3"": 7, ""181.4"": 18, ""196.95"": 10, ""192.45"": 10, ""173.45"": 19, ""185.25"": 21, ""166.7"": 16, ""182.9"": 20, ""175.4"": 28, ""155.0"": 9, ""160.65"": 10, ""191.8"": 10, ""194.4"": 12, ""165.9"": 18, ""243.7"": 5, ""195.5"": 6, ""246.9"": 1, ""229.4"": 10, ""200.05"": 9, ""212.8"": 8, ""244.0"": 3, ""179.18"": 25, ""202.79"": 15, ""167.25"": 15}"
ABSLAMC,"{""616.15"": 3, ""598.0"": 6, ""499.25"": 16, ""590.0"": 3, ""511.0"": 15, ""483.15"": 8, ""550.0"": 10, ""560.0"": 4, ""375.0"": 14, ""435.25"": 22, ""407.95"": 18, ""477.75"": 11, ""503.0"": 16, ""400.0"": 17, ""471.9"": 24, ""429.25"": 11, ""462.9"": 6, ""410.2"": 24, ""307.0"": 1, ""352.9"": 4, ""366.55"": 5, ""342.65"": 7, ""402.0"": 12, ""362.55"": 6, ""419.05"": 20, ""382.05"": 9, ""460.1"": 23, ""469.0"": 17, ""494.65"": 14, ""511.95"": 15, ""463.75"": 14, ""458.45"": 23, ""536.0"": 14, ""450.25"": 24, ""569.4"": 5, ""512.95"": 9, ""701.9"": 10, ""732.4"": 9, ""617.4"": 3, ""775.0"": 4, ""774.9"": 4, ""667.55"": 4, ""911.85"": 1, ""858.65"": 4}"
AIIL,"{""732.2"": 1, ""920.0"": 2, ""783.3"": 3, ""1180.0"": 2, ""959.4"": 1, ""1830.0"": 12, ""1550.05"": 5, ""1900.0"": 5, ""1541.0"": 1, ""1910.45"": 1}"
ANANDRATHI,"{""654.0"": 52, ""613.8"": 5, ""542.05"": 2, ""601.8"": 4, ""721.35"": 5, ""607.25"": 5, ""689.65"": 10, ""612.0"": 9, ""683.95"": 7, ""627.1"": 13, ""693.85"": 8, ""639.5"": 17, ""675.0"": 11, ""732.0"": 1, ""739.4"": 2, ""697.75"": 7, ""655.75"": 23, ""862.5"": 18, ""752.55"": 7, ""735.55"": 3, ""884.55"": 5, ""900.95"": 1, ""835.75"": 8, ""888.5"": 3, ""851.1"": 13, ""1493.0"": 2, ""1532.1"": 1, ""1351.0"": 3, ""1972.0"": 1, ""1739.9"": 2, ""2712.0"": 2, ""2390.0"": 2, ""4050.0"": 20, ""3424.0"": 2, ""4248.0"": 4, ""3850.0"": 12, ""3541.3"": 3, ""4294.2"": 4, ""3420.3"": 5, ""3466.35"": 2, ""4049.55"": 20, ""3756.0"": 8, ""4382.0"": 3, ""3762.75"": 9, ""4646.0"": 1, ""4250.0"": 4}"
APTUS,"{""278.6"": 15, ""296.0"": 18, ""366.4"": 13, ""296.05"": 17, ""355.0"": 25, ""311.1"": 34, ""375.0"": 12, ""394.9"": 1, ""314.25"": 37, ""393.0"": 2, ""310.0"": 35, ""349.45"": 30, ""281.0"": 15, ""220.1"": 1, ""294.7"": 19, ""258.0"": 10, ""368.0"": 14, ""294.35"": 14, ""293.0"": 15, ""341.95"": 30, ""339.45"": 30, ""271.0"": 17, ""320.0"": 45, ""234.05"": 1, ""283.7"": 14, ""235.05"": 2, ""254.2"": 4, ""280.0"": 28, ""239.7"": 12, ""289.0"": 22, ""285.9"": 14, ""260.15"": 10, ""257.0"": 9, ""304.7"": 28, ""278.1"": 23, ""308.4"": 30, ""343.0"": 26, ""314.05"": 35, ""392.0"": 2, ""343.25"": 28, ""354.0"": 21, ""286.25"": 10, ""355.5"": 26, ""359.45"": 19, ""299.5"": 15, ""401.65"": 1, ""335.5"": 36, ""329.5"": 23}"
ARMANFIN,"{""506.15"": 1, ""585.0"": 15, ""493.6"": 2, ""786.0"": 6, ""707.1"": 12, ""1121.1"": 5, ""305.15"": 1, ""420.75"": 2, ""280.0"": 1, ""564.0"": 11, ""429.0"": 1, ""640.0"": 16, ""490.0"": 5, ""530.0"": 14, ""817.0"": 6, ""745.0"": 10, ""653.5"": 9, ""758.0"": 8, ""572.3"": 12, ""677.7"": 11, ""704.0"": 6, ""520.0"": 6, ""513.9"": 2, ""759.0"": 18, ""795.0"": 4, ""605.6"": 11, ""1026.95"": 2, ""787.3"": 3, ""1105.0"": 3, ""893.05"": 1, ""1098.8"": 6, ""913.0"": 4, ""1060.0"": 3, ""673.7"": 3, ""849.25"": 10, ""709.45"": 8, ""1275.0"": 5, ""901.05"": 6, ""1241.0"": 10, ""957.8"": 5, ""1390.0"": 11, ""1149.5"": 8, ""1520.0"": 10, ""1528.9"": 11, ""1282.6"": 8, ""1705.0"": 6, ""1326.05"": 15, ""1690.0"": 2, ""1190.0"": 6, ""1447.0"": 24, ""1492.95"": 10, ""1404.0"": 21, ""2121.2"": 8, ""2290.0"": 14, ""2085.1"": 10, ""2539.7"": 6, ""2131.85"": 11, ""2400.0"": 7, ""2487.2"": 2, ""2019.15"": 5, ""2680.0"": 1, ""1696.6"": 8, ""2147.1"": 11, ""1970.0"": 9, ""1808.05"": 2, ""2541.7"": 3, ""1604.15"": 7, ""1600.9"": 6, ""1864.4"": 5, ""1174.05"": 5, ""1408.1"": 17, ""1176.0"": 4}"
BAJAJFINSV,"{""785.2"": 3, ""928.45"": 12, ""882.1"": 15, ""896.15"": 26, ""995.0"": 8, ""882.0"": 15, ""416.0"": 1, ""517.5"": 1, ""428.8"": 2, ""398.55"": 1, ""671.0"": 2, ""606.0"": 5, ""670.0"": 3, ""540.0"": 1, ""616.95"": 10, ""551.1"": 1, ""945.0"": 16, ""856.95"": 3, ""827.35"": 5, ""1057.9"": 1, ""960.0"": 21, ""896.0"": 28, ""903.6"": 17, ""1165.1"": 2, ""1492.5"": 11, ""1881.3"": 6, ""1932.5"": 4, ""1713.95"": 37, ""1851.1"": 11, ""1545.0"": 21, ""1862.1"": 13, ""1501.2"": 18, ""1380.0"": 13, ""1748.0"": 23, ""1206.2"": 8, ""1322.0"": 13, ""1072.7"": 1, ""1844.0"": 7, ""1621.0"": 124, ""1817.9"": 15, ""1246.85"": 16, ""1435.0"": 5, ""1215.0"": 5, ""1664.9"": 31, ""1451.0"": 9, ""1676.75"": 37, ""1527.9"": 32, ""1637.05"": 51, ""1559.0"": 45, ""1551.5"": 33, ""1636.6"": 54, ""1530.8"": 24, ""1722.0"": 29, ""1568.7"": 66, ""1725.0"": 35, ""1556.0"": 26, ""1419.05"": 18, ""1622.0"": 57, ""1669.9"": 33, ""1523.25"": 32, ""2029.9"": 1, ""1562.05"": 41, ""1690.5"": 41, ""1551.65"": 33}"
