stocks,levels
3IINFOLTD,"{""119.3"": 1, ""49.1"": 3, ""65.15"": 1, ""49.55"": 7, ""73.0"": 2, ""37.25"": 20, ""46.4"": 12, ""39.7"": 11, ""54.2"": 6, ""40.2"": 22, ""41.5"": 18, ""41.4"": 14, ""45.45"": 8, ""38.55"": 40, ""26.25"": 3, ""36.9"": 24, ""37.3"": 25, ""30.7"": 8, ""38.2"": 12, ""32.25"": 11, ""36.8"": 11, ""31.5"": 6, ""44.45"": 19, ""43.2"": 16, ""34.65"": 11, ""50.95"": 8, ""42.7"": 22, ""60.1"": 4, ""63.9"": 1, ""44.85"": 13, ""46.0"": 14, ""35.45"": 16, ""30.25"": 8, ""34.95"": 21, ""42.59"": 17, ""32.4"": 11, ""38.17"": 10, ""34.5"": 14, ""25.23"": 1, ""29.88"": 9, ""25.95"": 1, ""33.4"": 26, ""34.88"": 8}"
63MOONS,"{""127.9"": 3, ""98.25"": 6, ""99.6"": 1, ""125.4"": 1, ""39.55"": 1, ""64.2"": 1, ""49.4"": 3, ""93.5"": 7, ""66.0"": 1, ""86.95"": 10, ""65.0"": 1, ""83.6"": 7, ""66.4"": 1, ""96.95"": 9, ""73.65"": 14, ""83.75"": 4, ""85.45"": 2, ""76.2"": 8, ""85.9"": 6, ""68.9"": 8, ""112.5"": 5, ""83.1"": 7, ""96.0"": 14, ""84.05"": 4, ""99.9"": 10, ""114.8"": 8, ""87.2"": 5, ""99.45"": 1, ""90.45"": 13, ""111.35"": 5, ""90.55"": 9, ""135.8"": 1, ""103.05"": 16, ""372.6"": 4, ""187.0"": 10, ""323.85"": 3, ""140.65"": 3, ""197.4"": 4, ""141.05"": 1, ""171.1"": 21, ""205.0"": 9, ""196.2"": 5, ""149.05"": 3, ""186.4"": 7, ""140.55"": 3, ""146.5"": 3, ""182.2"": 14, ""158.0"": 14, ""219.9"": 5, ""213.4"": 6, ""162.0"": 18, ""162.1"": 11, ""184.0"": 10, ""282.1"": 5, ""223.0"": 4, ""360.7"": 4, ""290.15"": 8, ""239.05"": 2, ""690.75"": 1, ""426.0"": 7, ""392.1"": 6, ""552.7"": 2, ""365.0"": 4, ""463.7"": 3, ""379.85"": 4, ""443.0"": 3, ""435.3"": 1, ""314.65"": 2, ""394.2"": 3, ""316.0"": 2, ""412.3"": 8, ""318.0"": 3, ""449.0"": 5, ""351.0"": 4, ""630.0"": 1, ""1078.8"": 1}"
ADSL,"{""14.5"": 1, ""26.25"": 1, ""18.75"": 3, ""25.2"": 4, ""10.5"": 1, ""16.35"": 4, ""11.75"": 1, ""20.35"": 4, ""26.95"": 1, ""19.6"": 6, ""20.0"": 3, ""31.45"": 1, ""27.55"": 1, ""46.4"": 3, ""35.15"": 2, ""43.5"": 2, ""36.65"": 1, ""53.15"": 1, ""53.75"": 1, ""74.95"": 9, ""58.25"": 4, ""72.6"": 1, ""73.25"": 4, ""55.0"": 1, ""78.65"": 2, ""66.6"": 1, ""96.0"": 7, ""132.75"": 8, ""102.15"": 13, ""101.1"": 20, ""174.5"": 2, ""98.25"": 9, ""129.85"": 15, ""108.35"": 5, ""165.5"": 3, ""105.35"": 14, ""109.0"": 10, ""144.8"": 13, ""114.9"": 24, ""109.85"": 9, ""121.85"": 27, ""83.85"": 6, ""117.85"": 22, ""82.0"": 13, ""109.5"": 4, ""95.45"": 3, ""71.55"": 7, ""88.9"": 8, ""78.55"": 3, ""101.85"": 13, ""83.25"": 6, ""154.75"": 3, ""125.2"": 7, ""156.9"": 9, ""110.5"": 4, ""129.9"": 16, ""116.15"": 20, ""201.25"": 3, ""145.0"": 13, ""169.8"": 5, ""125.0"": 14, ""159.75"": 9, ""131.4"": 7, ""147.5"": 17, ""132.3"": 12, ""158.0"": 13, ""123.2"": 12, ""254.0"": 4, ""198.0"": 1, ""319.9"": 1, ""240.0"": 8, ""315.0"": 3, ""243.05"": 5, ""288.0"": 4, ""199.42"": 1}"
AFFLE,"{""295.55"": 7, ""347.8"": 2, ""260.85"": 4, ""299.0"": 3, ""459.35"": 1, ""179.85"": 1, ""308.0"": 7, ""251.8"": 2, ""326.0"": 2, ""282.3"": 7, ""389.05"": 2, ""615.8"": 3, ""626.2"": 1, ""500.45"": 1, ""814.5"": 2, ""695.25"": 1, ""812.65"": 3, ""705.4"": 1, ""1257.15"": 17, ""1020.25"": 34, ""1026.8"": 35, ""1172.0"": 15, ""1010.2"": 18, ""1116.8"": 31, ""834.85"": 6, ""763.0"": 5, ""1260.0"": 19, ""1005.0"": 7, ""1229.0"": 27, ""1207.15"": 26, ""1030.6"": 47, ""1200.0"": 32, ""1380.0"": 5, ""1069.95"": 60, ""1289.0"": 12, ""1336.6"": 10, ""871.55"": 6, ""922.35"": 15, ""1067.8"": 54, ""1369.0"": 8, ""1138.05"": 24, ""1300.0"": 8, ""1003.0"": 14, ""1015.0"": 26, ""1114.75"": 33, ""927.55"": 15, ""928.05"": 17, ""1018.0"": 25, ""877.6"": 3, ""955.6"": 5, ""866.5"": 4, ""1139.2"": 26, ""1026.25"": 46, ""1165.0"": 21, ""1178.85"": 18, ""1126.95"": 22, ""988.15"": 12, ""1336.9"": 10, ""1270.0"": 23, ""1085.0"": 47, ""998.2"": 10, ""1120.95"": 26, ""1033.35"": 27, ""1050.0"": 45, ""1304.0"": 10, ""1060.0"": 52, ""1324.05"": 14, ""1715.0"": 3, ""1484.9"": 6, ""1660.0"": 3, ""1428.4"": 6, ""1672.0"": 2, ""1884.0"": 1}"
AIRAN,"{""13.8"": 4, ""10.2"": 2, ""8.8"": 2, ""15.55"": 10, ""12.0"": 26, ""11.35"": 18, ""14.5"": 8, ""8.95"": 2, ""12.75"": 27, ""8.55"": 1, ""13.0"": 70, ""19.55"": 16, ""13.6"": 13, ""11.45"": 10, ""13.5"": 16, ""11.05"": 14, ""10.5"": 10, ""21.15"": 8, ""15.2"": 11, ""17.4"": 10, ""15.05"": 10, ""15.1"": 17, ""25.4"": 14, ""19.6"": 19, ""35.95"": 10, ""19.0"": 40, ""24.0"": 23, ""20.3"": 17, ""18.9"": 18, ""21.8"": 46, ""18.5"": 19, ""25.9"": 7, ""20.0"": 17, ""28.4"": 15, ""22.0"": 25, ""26.75"": 4, ""18.8"": 14, ""17.0"": 38, ""25.7"": 5, ""17.05"": 14, ""25.25"": 10, ""18.7"": 14, ""21.9"": 10, ""19.45"": 19, ""16.6"": 19, ""18.75"": 13, ""14.75"": 6, ""17.95"": 18, ""16.9"": 22, ""13.25"": 16, ""14.0"": 14, ""15.4"": 13, ""19.35"": 12, ""23.25"": 18, ""19.4"": 9, ""25.15"": 4, ""27.85"": 4, ""20.55"": 14, ""23.45"": 10, ""37.0"": 6, ""21.85"": 3, ""28.7"": 5, ""24.2"": 12, ""24.4"": 11, ""33.49"": 12, ""26.56"": 4, ""48.78"": 1, ""35.5"": 7, ""42.73"": 1, ""39.65"": 2, ""28.01"": 17, ""40.5"": 4, ""37.3"": 5}"
ALANKIT,"{""9.85"": 9, ""10.5"": 18, ""16.1"": 27, ""12.85"": 27, ""16.7"": 22, ""8.25"": 6, ""20.05"": 8, ""13.5"": 18, ""21.7"": 10, ""15.0"": 27, ""20.15"": 8, ""16.55"": 9, ""15.2"": 54, ""19.2"": 17, ""13.35"": 6, ""15.1"": 24, ""18.35"": 20, ""15.5"": 70, ""20.6"": 13, ""19.3"": 18, ""14.4"": 21, ""17.7"": 21, ""12.65"": 6, ""27.2"": 4, ""14.8"": 16, ""19.5"": 10, ""14.35"": 19, ""14.0"": 28, ""21.6"": 7, ""19.4"": 19, ""12.8"": 9, ""16.3"": 34, ""10.65"": 34, ""10.15"": 22, ""12.3"": 8, ""12.05"": 22, ""11.2"": 44, ""11.8"": 16, ""11.75"": 28, ""9.9"": 11, ""7.0"": 1, ""9.6"": 9, ""8.15"": 2, ""10.55"": 10, ""10.0"": 10, ""13.75"": 17, ""10.1"": 4, ""11.5"": 33, ""11.9"": 8, ""9.65"": 8, ""15.55"": 27, ""23.6"": 4, ""20.8"": 7, ""17.9"": 23, ""20.5"": 13, ""18.6"": 20, ""16.5"": 37, ""22.7"": 5, ""18.8"": 26, ""19.0"": 21, ""26.4"": 4, ""28.74"": 2, ""29.61"": 2, ""20.04"": 9, ""23.91"": 4, ""25.57"": 10, ""23.5"": 5}"
APTECHT,"{""138.2"": 1, ""104.35"": 2, ""126.0"": 6, ""109.65"": 8, ""136.8"": 5, ""46.8"": 1, ""53.4"": 1, ""79.55"": 4, ""67.35"": 2, ""67.2"": 2, ""85.25"": 8, ""74.3"": 5, ""101.05"": 2, ""77.8"": 6, ""96.2"": 3, ""78.95"": 9, ""103.8"": 2, ""177.1"": 23, ""131.45"": 2, ""163.45"": 16, ""132.9"": 1, ""141.45"": 7, ""194.85"": 3, ""167.85"": 13, ""212.05"": 18, ""171.3"": 12, ""227.35"": 25, ""192.3"": 6, ""232.5"": 16, ""293.45"": 7, ""247.85"": 17, ""238.15"": 25, ""320.0"": 4, ""207.5"": 11, ""272.15"": 22, ""269.55"": 8, ""153.6"": 10, ""140.0"": 1, ""186.8"": 8, ""156.4"": 13, ""196.05"": 4, ""157.85"": 14, ""259.55"": 19, ""210.3"": 14, ""276.3"": 19, ""277.65"": 14, ""235.95"": 24, ""221.45"": 11, ""329.85"": 4, ""422.8"": 1, ""339.5"": 5, ""388.95"": 2, ""310.3"": 8, ""301.0"": 11, ""278.0"": 13, ""293.6"": 8, ""243.9"": 25, ""291.6"": 8, ""297.5"": 1, ""206.05"": 9, ""252.5"": 28, ""201.1"": 4, ""254.35"": 22, ""228.3"": 27, ""264.9"": 14, ""215.3"": 16, ""200.6"": 4, ""242.15"": 23, ""199.35"": 9, ""240.8"": 18, ""254.0"": 20, ""166.6"": 16, ""160.01"": 18, ""202.5"": 8, ""188.28"": 8}"
AURIONPRO,"{""29.8"": 6, ""27.0"": 5, ""32.9"": 4, ""31.4"": 1, ""22.7"": 8, ""13.6"": 1, ""18.35"": 1, ""25.5"": 5, ""18.5"": 2, ""33.5"": 7, ""22.8"": 7, ""22.55"": 5, ""40.0"": 12, ""28.5"": 4, ""43.8"": 4, ""33.75"": 7, ""49.5"": 1, ""35.95"": 18, ""44.85"": 3, ""78.45"": 3, ""97.5"": 9, ""67.6"": 4, ""88.0"": 2, ""68.1"": 5, ""119.0"": 3, ""86.0"": 4, ""106.7"": 4, ""92.8"": 2, ""98.0"": 5, ""123.75"": 2, ""100.5"": 5, ""145.35"": 4, ""121.6"": 2, ""195.4"": 1, ""177.0"": 10, ""137.0"": 4, ""138.9"": 4, ""190.4"": 7, ""179.0"": 10, ""140.0"": 6, ""110.2"": 1, ""178.5"": 13, ""154.8"": 11, ""238.8"": 2, ""164.0"": 13, ""206.0"": 4, ""148.8"": 5, ""196.0"": 3, ""169.0"": 26, ""192.75"": 4, ""145.15"": 6, ""556.1"": 2, ""445.8"": 1, ""594.1"": 1, ""484.1"": 1, ""648.1"": 1, ""1224.5"": 4, ""1050.5"": 7, ""1219.5"": 5, ""975.0"": 5, ""1157.5"": 5, ""890.5"": 6, ""1397.5"": 4, ""1325.5"": 1, ""992.5"": 3, ""1757.9"": 10, ""1991.75"": 1, ""1418.9"": 3, ""1782.0"": 5, ""1470.0"": 2, ""1505.0"": 4, ""1923.75"": 3}"
BBOX,"{""26.55"": 1, ""91.3"": 2, ""41.6"": 1, ""57.4"": 2, ""45.3"": 2, ""45.4"": 3, ""71.0"": 9, ""55.25"": 2, ""71.45"": 9, ""59.45"": 4, ""80.0"": 2, ""60.4"": 3, ""74.4"": 5, ""65.6"": 2, ""133.9"": 25, ""117.0"": 2, ""163.9"": 13, ""143.05"": 12, ""210.2"": 18, ""186.2"": 2, ""350.0"": 1, ""247.0"": 14, ""310.0"": 1, ""204.0"": 21, ""270.2"": 21, ""176.2"": 9, ""268.4"": 11, ""155.1"": 14, ""198.45"": 9, ""160.0"": 18, ""214.0"": 9, ""153.6"": 7, ""185.45"": 8, ""142.2"": 26, ""166.8"": 13, ""135.7"": 17, ""199.9"": 29, ""172.5"": 6, ""130.0"": 15, ""122.05"": 6, ""156.85"": 10, ""174.6"": 4, ""136.6"": 22, ""133.8"": 21, ""120.75"": 7, ""84.4"": 3, ""150.0"": 16, ""131.65"": 8, ""122.35"": 5, ""213.95"": 9, ""237.9"": 11, ""200.35"": 14, ""228.0"": 5, ""176.65"": 8, ""197.65"": 10, ""263.35"": 11, ""274.6"": 7, ""225.0"": 8, ""312.2"": 2, ""266.65"": 11, ""303.2"": 1, ""256.5"": 12, ""209.8"": 9, ""292.0"": 4, ""261.8"": 16, ""217.95"": 8, ""584.0"": 6, ""557.7"": 3, ""478.0"": 5, ""554.0"": 2, ""445.4"": 1, ""714.8"": 1, ""677.75"": 1}"
BLS,"{""14.35"": 1, ""19.35"": 2, ""15.75"": 2, ""18.2"": 7, ""6.85"": 3, ""9.25"": 1, ""7.0"": 6, ""6.75"": 3, ""17.9"": 4, ""31.55"": 2, ""22.25"": 5, ""18.0"": 5, ""22.5"": 6, ""17.85"": 7, ""23.85"": 6, ""18.8"": 2, ""33.25"": 5, ""24.25"": 3, ""28.0"": 5, ""31.0"": 2, ""20.75"": 4, ""36.4"": 1, ""42.2"": 1, ""77.25"": 1, ""50.5"": 6, ""57.95"": 1, ""46.25"": 2, ""53.75"": 7, ""44.85"": 1, ""49.4"": 2, ""66.0"": 3, ""50.4"": 2, ""76.05"": 1, ""103.75"": 3, ""87.55"": 1, ""109.3"": 1, ""128.95"": 1, ""110.05"": 2, ""151.8"": 3, ""190.0"": 5, ""172.5"": 7, ""208.9"": 2, ""154.0"": 4, ""194.0"": 7, ""162.1"": 3, ""193.8"": 7, ""151.7"": 3, ""149.65"": 3, ""198.4"": 3, ""166.3"": 8, ""226.25"": 1, ""302.0"": 1, ""229.8"": 2, ""230.0"": 2, ""289.7"": 8, ""257.7"": 4, ""429.95"": 8, ""262.95"": 7, ""358.05"": 9, ""355.05"": 9, ""277.95"": 4, ""400.0"": 6, ""325.05"": 9, ""409.25"": 4, ""474.4"": 2, ""338.7"": 9, ""436.0"": 6, ""375.3"": 10, ""521.8"": 1}"
