stocks,levels
ADANIPORTS,"{""428.85"": 1, ""357.35"": 14, ""362.1"": 10, ""394.6"": 7, ""355.5"": 17, ""203.0"": 1, ""366.8"": 23, ""298.0"": 1, ""378.35"": 11, ""312.1"": 8, ""341.15"": 22, ""427.2"": 1, ""500.1"": 3, ""767.8"": 20, ""657.1"": 11, ""885.0"": 19, ""689.5"": 18, ""901.0"": 6, ""638.1"": 6, ""654.2"": 10, ""719.9"": 28, ""665.0"": 13, ""786.0"": 21, ""721.85"": 29, ""829.9"": 16, ""681.15"": 20, ""679.7"": 15, ""794.95"": 27, ""685.5"": 28, ""795.0"": 27, ""689.0"": 22, ""750.85"": 38, ""651.95"": 5, ""924.65"": 2, ""668.15"": 14, ""653.1"": 5, ""987.85"": 2, ""771.65"": 19, ""916.0"": 4, ""912.0"": 3, ""395.1"": 10, ""722.75"": 30, ""571.55"": 4, ""785.65"": 23, ""703.0"": 30, ""759.9"": 29, ""869.0"": 5, ""889.5"": 9, ""754.5"": 39, ""785.0"": 25, ""1229.9"": 10, ""1111.6"": 2, ""1356.55"": 12, ""1188.1"": 8, ""1424.95"": 12, ""1270.0"": 10, ""1240.0"": 5, ""1621.4"": 1, ""1160.6"": 9, ""1520.0"": 4, ""1419.0"": 10, ""1604.95"": 1, ""1452.0"": 12, ""1394.45"": 8, ""1485.0"": 16, ""995.65"": 2}"
AMBUJACEM,"{""209.8"": 15, ""206.7"": 20, ""193.0"": 12, ""211.0"": 12, ""190.2"": 7, ""220.25"": 10, ""194.0"": 21, ""216.55"": 5, ""136.55"": 1, ""179.5"": 3, ""161.5"": 1, ""198.95"": 16, ""181.65"": 4, ""183.2"": 3, ""231.85"": 1, ""197.45"": 14, ""265.8"": 6, ""272.0"": 5, ""225.95"": 7, ""274.6"": 4, ""241.75"": 5, ""263.15"": 9, ""298.3"": 3, ""329.9"": 6, ""285.3"": 5, ""319.85"": 7, ""427.4"": 17, ""381.25"": 25, ""442.5"": 10, ""418.0"": 28, ""365.75"": 23, ""435.0"": 12, ""360.05"": 21, ""347.0"": 7, ""410.0"": 22, ""340.45"": 11, ""274.0"": 4, ""288.5"": 3, ""391.0"": 13, ""349.3"": 7, ""355.5"": 9, ""427.0"": 14, ""585.7"": 22, ""471.05"": 3, ""593.5"": 9, ""598.0"": 10, ""486.0"": 4, ""315.3"": 13, ""324.3"": 5, ""404.9"": 27, ""373.35"": 27, ""468.9"": 7, ""412.05"": 17, ""481.15"": 2, ""425.1"": 18, ""453.9"": 9, ""414.7"": 24, ""450.35"": 9, ""404.05"": 17, ""408.6"": 20, ""557.9"": 11, ""509.0"": 15, ""625.0"": 19, ""550.8"": 14, ""640.8"": 8, ""593.45"": 9, ""649.0"": 6, ""569.4"": 21, ""518.35"": 23, ""689.0"": 6, ""706.95"": 1, ""695.0"": 4, ""660.0"": 5, ""600.7"": 10, ""643.3"": 7, ""545.2"": 11, ""453.05"": 13, ""584.2"": 22, ""561.9"": 8}"
APOLLOHOSP,"{""1543.3"": 1, ""1379.15"": 17, ""1510.0"": 11, ""1341.35"": 5, ""1616.0"": 4, ""1813.55"": 3, ""1047.05"": 1, ""1472.0"": 12, ""1252.65"": 1, ""1480.0"": 14, ""1311.0"": 4, ""1798.0"": 7, ""1585.05"": 1, ""2333.0"": 5, ""1986.0"": 1, ""2520.0"": 4, ""2251.0"": 2, ""2528.1"": 4, ""3284.0"": 5, ""2787.5"": 3, ""3397.0"": 1, ""3095.35"": 5, ""3435.0"": 2, ""3141.75"": 8, ""3915.0"": 6, ""5122.0"": 15, ""5198.0"": 15, ""3955.0"": 3, ""5935.4"": 10, ""4643.15"": 20, ""5141.5"": 23, ""4150.0"": 10, ""4300.0"": 32, ""5016.55"": 34, ""4455.1"": 27, ""4903.65"": 23, ""3361.55"": 5, ""3999.8"": 8, ""4625.95"": 27, ""3987.85"": 7, ""4719.0"": 22, ""4183.1"": 7, ""4221.05"": 15, ""4647.0"": 18, ""4250.0"": 17, ""4901.95"": 24, ""4123.0"": 8, ""4668.95"": 16, ""4168.0"": 8, ""4410.25"": 36, ""5294.0"": 10, ""5364.0"": 7, ""4730.0"": 25, ""5186.95"": 7, ""4726.0"": 29, ""5689.0"": 7, ""5284.85"": 9, ""6874.45"": 14, ""5941.6"": 13, ""6557.0"": 4, ""5733.0"": 10, ""5693.2"": 7, ""6420.95"": 10, ""7316.95"": 10, ""6727.35"": 13, ""6794.25"": 22, ""7545.0"": 2, ""6594.15"": 10, ""7545.35"": 2, ""6608.0"": 10}"
ASHOKLEY,"{""66.05"": 5, ""79.75"": 7, ""70.25"": 10, ""80.0"": 9, ""82.55"": 1, ""69.85"": 10, ""81.4"": 2, ""28.75"": 1, ""48.25"": 4, ""37.05"": 1, ""53.55"": 1, ""41.7"": 5, ""43.05"": 4, ""68.65"": 6, ""59.2"": 2, ""78.45"": 11, ""67.05"": 5, ""92.85"": 1, ""97.15"": 2, ""82.3"": 2, ""133.95"": 24, ""103.55"": 1, ""115.65"": 13, ""129.4"": 13, ""102.3"": 2, ""120.65"": 20, ""101.25"": 2, ""114.45"": 11, ""127.35"": 15, ""107.45"": 9, ""115.85"": 12, ""138.35"": 44, ""109.9"": 17, ""144.75"": 28, ""128.75"": 13, ""148.55"": 9, ""125.4"": 14, ""112.05"": 11, ""136.95"": 18, ""120.75"": 19, ""88.25"": 5, ""127.05"": 11, ""108.05"": 12, ""140.3"": 38, ""123.25"": 16, ""153.3"": 5, ""134.65"": 19, ""164.5"": 11, ""136.75"": 19, ""149.45"": 12, ""136.7"": 21, ""130.25"": 13, ""147.85"": 18, ""151.35"": 6, ""128.15"": 18, ""137.85"": 15, ""150.0"": 9, ""139.15"": 30, ""186.55"": 2, ""159.8"": 13, ""179.85"": 8, ""160.3"": 13, ""184.65"": 5, ""162.75"": 9, ""181.9"": 5, ""161.45"": 11, ""152.6"": 3, ""166.25"": 16, ""192.0"": 1, ""245.67"": 5, ""219.35"": 13, ""259.0"": 3, ""264.65"": 1, ""202.0"": 7, ""237.06"": 9, ""215.7"": 6, ""238.2"": 16}"
BHARATFORG,"{""486.8"": 14, ""420.05"": 2, ""471.85"": 7, ""430.7"": 5, ""470.7"": 8, ""533.9"": 4, ""467.35"": 12, ""527.95"": 5, ""207.5"": 1, ""324.35"": 1, ""263.1"": 4, ""385.7"": 8, ""306.6"": 2, ""376.0"": 2, ""522.1"": 8, ""427.5"": 3, ""439.5"": 11, ""498.75"": 14, ""445.0"": 14, ""539.65"": 7, ""567.25"": 1, ""492.1"": 17, ""676.9"": 14, ""562.0"": 4, ""668.0"": 17, ""583.6"": 2, ""568.3"": 2, ""626.9"": 7, ""555.75"": 7, ""790.9"": 34, ""832.0"": 11, ""844.8"": 19, ""717.0"": 12, ""717.3"": 14, ""818.0"": 15, ""748.3"": 24, ""847.95"": 18, ""678.85"": 16, ""745.8"": 22, ""652.5"": 17, ""787.5"": 33, ""703.45"": 18, ""767.15"": 34, ""595.0"": 6, ""753.85"": 10, ""597.0"": 9, ""723.7"": 20, ""615.0"": 8, ""630.0"": 10, ""799.2"": 18, ""710.45"": 16, ""801.15"": 15, ""677.35"": 14, ""896.7"": 4, ""816.0"": 15, ""919.45"": 2, ""827.4"": 17, ""839.6"": 14, ""910.0"": 6, ""811.65"": 17, ""743.55"": 23, ""808.45"": 11, ""748.4"": 24, ""799.8"": 18, ""1148.05"": 7, ""1051.8"": 4, ""1128.8"": 9, ""1002.3"": 1, ""1149.55"": 13, ""1299.0"": 8, ""1180.0"": 17, ""1330.0"": 7, ""1063.0"": 7, ""1211.0"": 11, ""1088.0"": 7, ""1406.25"": 6, ""1804.5"": 1, ""1500.0"": 6, ""1771.2"": 1, ""1286.6"": 9, ""1394.95"": 3}"
BPCL,"{""248.3"": 4, ""253.5"": 1, ""203.3"": 19, ""197.65"": 12, ""234.0"": 11, ""105.0"": 1, ""166.4"": 24, ""124.9"": 6, ""180.0"": 16, ""159.15"": 35, ""219.5"": 23, ""174.5"": 25, ""197.0"": 12, ""141.5"": 22, ""183.6"": 17, ""157.5"": 33, ""194.0"": 19, ""167.1"": 24, ""220.2"": 17, ""186.55"": 26, ""179.0"": 18, ""225.95"": 17, ""199.3"": 6, ""230.5"": 6, ""185.0"": 18, ""214.0"": 25, ""185.8"": 25, ""161.9"": 21, ""157.7"": 25, ""182.45"": 7, ""144.55"": 19, ""178.4"": 20, ""135.1"": 16, ""125.7"": 3, ""145.1"": 32, ""131.1"": 10, ""156.6"": 25, ""151.8"": 28, ""123.0"": 1, ""154.7"": 28, ""139.1"": 20, ""158.0"": 31, ""140.1"": 23, ""136.0"": 6, ""159.8"": 30, ""142.5"": 22, ""166.45"": 22, ""157.2"": 33, ""156.3"": 28, ""169.2"": 28, ""156.8"": 18, ""177.95"": 22, ""176.5"": 27, ""148.55"": 18, ""163.4"": 19, ""144.7"": 26, ""220.25"": 17, ""224.9"": 21, ""333.5"": 10, ""267.7"": 3, ""299.65"": 11, ""271.6"": 4, ""310.35"": 8, ""333.0"": 10, ""256.6"": 4, ""282.9"": 8, ""348.55"": 11, ""367.2"": 3, ""322.95"": 10, ""376.0"": 1, ""279.35"": 10, ""308.95"": 10, ""282.05"": 12}"
BHARTIARTL,"{""389.7"": 3, ""319.5"": 1, ""343.85"": 1, ""476.65"": 9, ""409.9"": 4, ""432.25"": 7, ""558.35"": 21, ""355.1"": 2, ""526.05"": 30, ""600.7"": 4, ""582.75"": 9, ""527.1"": 17, ""585.8"": 10, ""548.7"": 24, ""408.5"": 5, ""386.75"": 2, ""479.0"": 6, ""471.3"": 7, ""599.4"": 4, ""611.5"": 10, ""539.1"": 22, ""490.35"": 10, ""539.6"": 22, ""566.35"": 10, ""509.15"": 14, ""541.35"": 15, ""509.45"": 13, ""573.55"": 17, ""739.1"": 24, ""667.65"": 13, ""675.0"": 26, ""781.8"": 10, ""645.1"": 4, ""754.0"": 22, ""677.35"": 20, ""639.0"": 1, ""780.7"": 20, ""667.85"": 13, ""634.2"": 1, ""696.6"": 22, ""628.75"": 1, ""686.2"": 28, ""753.2"": 16, ""816.75"": 14, ""759.85"": 27, ""860.55"": 7, ""826.1"": 16, ""751.65"": 12, ""795.85"": 13, ""735.8"": 19, ""795.0"": 14, ""738.85"": 19, ""888.75"": 13, ""901.4"": 4, ""847.05"": 8, ""948.7"": 9, ""960.25"": 5, ""895.45"": 10, ""1045.95"": 3, ""960.0"": 6, ""1200.65"": 5, ""1097.65"": 2, ""1245.0"": 1, ""1183.1"": 1, ""1354.0"": 4, ""1219.05"": 8, ""1536.25"": 5, ""1525.0"": 5, ""1422.6"": 10, ""1779.0"": 1, ""1742.25"": 1, ""1511.0"": 4, ""1687.0"": 11, ""1563.35"": 8}"
CONCOR,"{""632.75"": 14, ""603.0"": 22, ""547.7"": 7, ""588.6"": 23, ""543.85"": 4, ""534.95"": 4, ""602.2"": 24, ""263.4"": 1, ""398.8"": 14, ""325.85"": 1, ""394.9"": 16, ""339.3"": 2, ""473.9"": 2, ""361.2"": 4, ""421.95"": 5, ""351.0"": 9, ""422.9"": 8, ""365.05"": 10, ""403.0"": 13, ""643.95"": 24, ""527.9"": 3, ""615.35"": 31, ""542.0"": 7, ""555.05"": 17, ""748.0"": 19, ""628.05"": 16, ""716.0"": 20, ""638.0"": 18, ""754.4"": 16, ""634.0"": 16, ""710.8"": 27, ""581.85"": 25, ""656.35"": 23, ""593.3"": 30, ""696.45"": 30, ""600.55"": 29, ""718.0"": 21, ""554.0"": 15, ""677.7"": 33, ""585.05"": 19, ""734.0"": 19, ""657.55"": 30, ""782.0"": 13, ""674.0"": 45, ""828.75"": 10, ""725.55"": 25, ""791.95"": 7, ""703.0"": 34, ""591.25"": 15, ""580.05"": 33, ""555.0"": 16, ""610.0"": 25, ""688.0"": 43, ""629.2"": 24, ""705.0"": 41, ""714.45"": 21, ""645.9"": 38, ""747.7"": 18, ""672.2"": 38, ""879.9"": 11, ""932.7"": 8, ""813.9"": 11, ""1027.65"": 11, ""819.45"": 6, ""1180.0"": 2, ""880.7"": 13, ""1075.0"": 6, ""942.2"": 8, ""1001.25"": 9, ""757.25"": 13, ""866.0"": 7, ""765.05"": 15}"
CUMMINSIND,"{""594.9"": 9, ""532.2"": 4, ""577.35"": 14, ""504.0"": 2, ""652.8"": 1, ""280.0"": 1, ""426.55"": 2, ""311.2"": 2, ""368.35"": 2, ""439.45"": 5, ""373.25"": 3, ""482.9"": 6, ""494.0"": 3, ""425.0"": 2, ""476.0"": 4, ""428.9"": 3, ""648.0"": 1, ""583.35"": 11, ""922.75"": 16, ""823.5"": 6, ""934.25"": 15, ""804.0"": 8, ""907.6"": 11, ""747.0"": 3, ""910.0"": 15, ""821.6"": 6, ""1064.45"": 5, ""952.0"": 16, ""849.5"": 13, ""842.0"": 11, ""1000.95"": 20, ""878.45"": 12, ""1025.85"": 22, ""877.2"": 10, ""1003.0"": 18, ""909.15"": 16, ""1162.0"": 2, ""947.1"": 17, ""1051.95"": 6, ""950.85"": 18, ""1289.4"": 1, ""1103.8"": 6, ""1283.45"": 1, ""1150.0"": 4, ""1552.0"": 5, ""1350.05"": 10, ""1518.0"": 2, ""1358.4"": 7, ""1666.45"": 9, ""1550.0"": 3, ""1706.95"": 17, ""1481.0"": 8, ""1556.0"": 7, ""1953.5"": 10, ""1980.15"": 9, ""1671.9"": 10, ""1786.5"": 7, ""1653.3"": 7, ""1758.9"": 12, ""1659.05"": 6, ""1835.55"": 2, ""3900.0"": 4, ""3102.15"": 3, ""4171.9"": 1, ""3359.05"": 8, ""3929.0"": 3, ""3927.0"": 3, ""3311.2"": 6, ""3244.25"": 8, ""3691.0"": 9}"
DLF,"{""217.3"": 8, ""266.55"": 2, ""114.55"": 1, ""152.25"": 6, ""125.0"": 1, ""143.7"": 10, ""171.25"": 2, ""181.85"": 10, ""142.5"": 14, ""175.1"": 2, ""150.6"": 7, ""291.1"": 7, ""332.7"": 12, ""270.0"": 4, ""231.85"": 6, ""317.05"": 12, ""279.45"": 9, ""359.25"": 9, ""303.0"": 9, ""319.55"": 13, ""449.7"": 1, ""388.2"": 10, ""444.0"": 1, ""363.1"": 15, ""423.5"": 10, ""361.55"": 20, ""429.9"": 10, ""362.0"": 19, ""306.0"": 11, ""407.5"": 22, ""302.3"": 9, ""350.3"": 19, ""294.7"": 11, ""396.85"": 17, ""360.1"": 11, ""413.85"": 16, ""344.1"": 9, ""418.5"": 13, ""355.3"": 19, ""341.55"": 15, ""373.15"": 26, ""341.3"": 18, ""377.5"": 18, ""336.5"": 16, ""508.75"": 7, ""469.7"": 5, ""517.55"": 9, ""478.35"": 15, ""521.75"": 9, ""463.05"": 1, ""544.45"": 3, ""576.75"": 1, ""513.5"": 7, ""815.75"": 15, ""732.3"": 2, ""941.9"": 1, ""805.3"": 13, ""967.6"": 1, ""834.0"": 29, ""915.0"": 8, ""687.05"": 1, ""887.9"": 13, ""811.8"": 11, ""853.0"": 26, ""778.2"": 8, ""901.0"": 7, ""809.55"": 18, ""929.0"": 7, ""766.6"": 7, ""743.95"": 6, ""896.6"": 7, ""691.1"": 2}"
