stocks,levels
ZEEL,"{""314.5"": 3, ""364.0"": 3, ""268.9"": 25, ""304.9"": 6, ""304.0"": 8, ""220.1"": 38, ""114.0"": 1, ""173.4"": 8, ""210.5"": 22, ""161.1"": 12, ""134.65"": 16, ""228.9"": 19, ""177.4"": 15, ""173.0"": 12, ""238.2"": 21, ""202.0"": 22, ""236.85"": 27, ""261.0"": 30, ""198.05"": 19, ""231.8"": 9, ""194.3"": 12, ""176.1"": 11, ""179.6"": 6, ""234.45"": 6, ""213.8"": 40, ""166.8"": 7, ""362.9"": 2, ""331.95"": 5, ""292.9"": 14, ""378.7"": 1, ""314.0"": 10, ""215.35"": 29, ""308.7"": 11, ""222.35"": 24, ""259.4"": 28, ""200.5"": 12, ""269.0"": 28, ""280.5"": 15, ""247.8"": 22, ""287.0"": 15, ""246.65"": 17, ""271.9"": 31, ""228.8"": 18, ""176.55"": 16, ""219.65"": 20, ""175.55"": 10, ""202.5"": 16, ""170.1"": 9, ""290.7"": 12, ""260.1"": 22, ""285.75"": 20, ""252.95"": 26, ""237.0"": 26, ""276.8"": 15, ""242.15"": 23, ""299.7"": 10, ""248.15"": 25, ""293.2"": 11, ""152.5"": 14, ""209.7"": 17, ""138.0"": 14, ""157.25"": 5, ""152.65"": 18, ""129.25"": 10, ""125.5"": 14, ""168.7"": 7, ""164.03"": 12, ""129.77"": 6, ""133.41"": 8, ""154.9"": 19, ""125.6"": 11, ""143.55"": 16, ""136.4"": 14, ""114.36"": 1, ""144.28"": 8, ""136.48"": 16}"
SAREGAMA,"{""30.95"": 1, ""41.55"": 2, ""42.3"": 6, ""38.45"": 9, ""33.75"": 4, ""17.05"": 1, ""22.3"": 2, ""44.85"": 3, ""38.1"": 9, ""50.45"": 5, ""42.35"": 4, ""54.4"": 6, ""56.55"": 1, ""76.5"": 8, ""65.15"": 2, ""75.1"": 1, ""340.2"": 19, ""289.7"": 7, ""337.2"": 22, ""276.8"": 2, ""399.35"": 17, ""320.6"": 7, ""421.85"": 11, ""364.2"": 22, ""443.25"": 4, ""381.5"": 21, ""516.15"": 19, ""353.85"": 22, ""482.1"": 11, ""332.8"": 11, ""412.45"": 26, ""326.3"": 8, ""403.1"": 29, ""365.7"": 30, ""421.35"": 15, ""324.6"": 6, ""379.65"": 22, ""382.45"": 58, ""363.9"": 22, ""374.0"": 29, ""331.55"": 10, ""305.7"": 19, ""346.35"": 29, ""286.9"": 1, ""292.95"": 6, ""315.8"": 14, ""284.25"": 1, ""416.1"": 14, ""366.55"": 21, ""458.8"": 14, ""379.75"": 23, ""424.75"": 12, ""309.6"": 21, ""388.35"": 28, ""346.25"": 21, ""325.85"": 10, ""429.2"": 10, ""339.0"": 24, ""458.0"": 8, ""404.0"": 13, ""581.4"": 1, ""575.0"": 4, ""477.0"": 9, ""549.35"": 11, ""488.3"": 13, ""688.9"": 1, ""466.4"": 11, ""439.1"": 7, ""531.0"": 7, ""450.55"": 5, ""603.8"": 3}"
TIPSMUSIC,"{""6.4"": 2, ""11.4"": 4, ""7.0"": 14, ""13.5"": 8, ""8.3"": 3, ""10.2"": 5, ""7.2"": 6, ""16.4"": 1, ""13.2"": 3, ""20.25"": 1, ""35.4"": 1, ""23.65"": 1, ""30.2"": 2, ""25.3"": 2, ""25.35"": 1, ""47.2"": 3, ""35.6"": 1, ""54.6"": 3, ""45.7"": 1, ""54.0"": 2, ""106.0"": 1, ""150.8"": 17, ""97.75"": 2, ""138.2"": 11, ""159.0"": 12, ""131.5"": 6, ""128.1"": 4, ""262.9"": 5, ""178.95"": 12, ""239.8"": 4, ""147.25"": 5, ""125.0"": 10, ""198.85"": 2, ""139.05"": 7, ""172.5"": 8, ""145.85"": 9, ""191.0"": 3, ""190.0"": 10, ""166.75"": 17, ""151.15"": 19, ""174.0"": 6, ""143.65"": 9, ""143.0"": 6, ""172.75"": 13, ""148.3"": 10, ""337.7"": 4, ""344.3"": 5, ""285.4"": 3, ""384.5"": 6, ""399.35"": 2, ""378.15"": 4, ""335.95"": 2, ""530.95"": 1, ""401.15"": 1, ""494.4"": 5, ""479.0"": 4, ""346.45"": 8, ""404.1"": 1, ""784.95"": 3, ""662.35"": 1, ""950.0"": 1}"
PNC,"{""12.1"": 5, ""15.45"": 5, ""15.7"": 9, ""13.3"": 9, ""19.5"": 3, ""14.75"": 18, ""7.05"": 1, ""13.05"": 3, ""17.0"": 7, ""16.95"": 3, ""13.4"": 7, ""13.0"": 10, ""19.0"": 7, ""12.75"": 6, ""14.7"": 29, ""11.0"": 8, ""18.85"": 5, ""13.75"": 7, ""26.85"": 1, ""16.55"": 2, ""60.95"": 17, ""37.8"": 25, ""45.75"": 25, ""39.25"": 19, ""47.7"": 17, ""30.25"": 1, ""44.7"": 20, ""36.8"": 30, ""52.7"": 7, ""39.3"": 13, ""72.0"": 10, ""51.3"": 3, ""61.5"": 9, ""44.4"": 14, ""50.9"": 7, ""45.45"": 29, ""75.0"": 1, ""39.0"": 50, ""36.15"": 19, ""45.4"": 20, ""40.35"": 18, ""50.0"": 13, ""40.2"": 44, ""50.95"": 4, ""38.55"": 35, ""57.9"": 7, ""43.6"": 21, ""37.2"": 28, ""32.05"": 2, ""38.5"": 34, ""29.55"": 1, ""43.45"": 27, ""42.2"": 23, ""29.15"": 1, ""35.0"": 10, ""41.25"": 25, ""35.35"": 18, ""42.55"": 35, ""36.35"": 21, ""43.1"": 10, ""36.55"": 25, ""51.6"": 4, ""42.5"": 39, ""56.5"": 12, ""49.5"": 12, ""52.65"": 8, ""49.0"": 18, ""70.7"": 8, ""67.8"": 9, ""53.5"": 12, ""73.39"": 2, ""76.95"": 1, ""65.6"": 12, ""74.4"": 2, ""62.0"": 25, ""79.3"": 1, ""54.28"": 12, ""70.55"": 4, ""58.92"": 15, ""67.29"": 8}"
TVTODAY,"{""295.25"": 22, ""345.0"": 2, ""227.7"": 33, ""269.9"": 46, ""227.75"": 37, ""263.5"": 15, ""127.55"": 1, ""222.0"": 29, ""166.0"": 3, ""204.9"": 44, ""173.6"": 2, ""218.3"": 23, ""195.0"": 28, ""255.55"": 14, ""182.3"": 9, ""216.75"": 29, ""193.0"": 19, ""234.8"": 32, ""201.0"": 47, ""264.85"": 26, ""284.0"": 21, ""284.95"": 19, ""249.3"": 30, ""305.95"": 20, ""264.95"": 24, ""276.2"": 21, ""379.0"": 4, ""339.7"": 6, ""287.1"": 31, ""272.3"": 40, ""308.5"": 15, ""320.0"": 12, ""282.5"": 12, ""460.1"": 1, ""405.05"": 12, ""370.7"": 5, ""425.0"": 7, ""357.2"": 1, ""370.0"": 5, ""430.5"": 9, ""235.55"": 19, ""242.0"": 27, ""278.75"": 23, ""304.7"": 21, ""263.75"": 19, ""324.0"": 3, ""265.0"": 23, ""287.0"": 24, ""237.6"": 18, ""257.3"": 14, ""224.55"": 26, ""274.0"": 24, ""313.5"": 8, ""169.55"": 3, ""188.0"": 15, ""211.0"": 39, ""178.7"": 6, ""203.85"": 38, ""214.5"": 24, ""192.0"": 38, ""236.5"": 18, ""232.95"": 27, ""202.0"": 45, ""205.1"": 42, ""273.85"": 25, ""229.0"": 23, ""269.0"": 21, ""203.6"": 24, ""242.45"": 22, ""245.95"": 32, ""201.95"": 45, ""235.5"": 20, ""224.57"": 27, ""308.0"": 9, ""280.0"": 28, ""185.65"": 8, ""183.29"": 6, ""216.99"": 29, ""226.99"": 20}"
NDTV,"{""34.75"": 6, ""25.3"": 2, ""30.0"": 11, ""32.8"": 4, ""38.9"": 11, ""19.1"": 1, ""29.45"": 3, ""22.4"": 1, ""52.95"": 2, ""35.05"": 14, ""42.45"": 1, ""33.3"": 1, ""38.0"": 8, ""33.5"": 3, ""37.15"": 11, ""25.7"": 1, ""43.55"": 3, ""36.7"": 12, ""43.6"": 3, ""36.9"": 7, ""57.9"": 4, ""65.65"": 2, ""61.75"": 2, ""52.75"": 4, ""86.15"": 4, ""80.5"": 4, ""69.85"": 5, ""85.75"": 1, ""83.0"": 5, ""71.7"": 5, ""106.4"": 1, ""77.0"": 7, ""89.9"": 3, ""75.0"": 13, ""142.9"": 5, ""101.05"": 1, ""186.0"": 7, ""276.15"": 6, ""148.0"": 1, ""226.45"": 18, ""158.35"": 6, ""573.0"": 1, ""311.0"": 2, ""468.6"": 3, ""172.05"": 12, ""254.3"": 5, ""168.55"": 7, ""201.8"": 19, ""177.35"": 8, ""170.25"": 14, ""252.0"": 8, ""209.75"": 20, ""243.7"": 8, ""210.8"": 18, ""234.2"": 12, ""224.8"": 30, ""186.05"": 7, ""188.3"": 8, ""307.85"": 2, ""302.5"": 4, ""232.15"": 14, ""283.5"": 2, ""202.9"": 14, ""242.0"": 11, ""210.35"": 14, ""273.0"": 6, ""202.55"": 10, ""200.0"": 13, ""154.63"": 4, ""191.4"": 12, ""143.6"": 1, ""187.85"": 5, ""172.0"": 12}"
PVRINOX,"{""1824.6"": 29, ""1664.4"": 33, ""1680.1"": 27, ""2086.6"": 1, ""915.15"": 2, ""705.35"": 1, ""1279.45"": 12, ""1469.25"": 31, ""1051.85"": 12, ""1395.15"": 31, ""1045.0"": 9, ""1507.65"": 21, ""1212.15"": 13, ""1591.9"": 46, ""1410.0"": 34, ""1321.0"": 34, ""988.35"": 6, ""1218.0"": 8, ""1465.0"": 38, ""1318.1"": 28, ""1440.0"": 41, ""1296.0"": 17, ""1445.0"": 41, ""1280.7"": 12, ""1594.25"": 22, ""1839.0"": 23, ""1224.05"": 6, ""1681.4"": 23, ""1485.55"": 23, ""2003.8"": 6, ""1651.25"": 19, ""1893.45"": 17, ""1666.05"": 27, ""1872.15"": 21, ""2214.85"": 1, ""1770.0"": 48, ""1975.5"": 2, ""1630.0"": 24, ""1829.95"": 23, ""1661.6"": 34, ""1711.0"": 50, ""1925.45"": 14, ""1607.9"": 30, ""1471.0"": 32, ""1570.0"": 24, ""1430.55"": 30, ""1336.4"": 30, ""1516.8"": 34, ""1360.5"": 30, ""1875.45"": 21, ""1787.4"": 38, ""1565.4"": 20, ""1830.4"": 27, ""1347.3"": 29, ""1427.3"": 27, ""1247.9"": 12, ""1450.45"": 29, ""1268.3"": 7, ""1357.85"": 18, ""1204.2"": 10, ""1513.0"": 31, ""1345.0"": 30, ""1537.25"": 24, ""1748.0"": 34, ""1431.9"": 30, ""1620.0"": 22}"
ENIL,"{""237.25"": 13, ""219.15"": 10, ""226.9"": 17, ""282.2"": 2, ""98.0"": 1, ""146.4"": 21, ""115.0"": 3, ""172.0"": 34, ""120.1"": 11, ""184.95"": 39, ""146.05"": 21, ""136.7"": 11, ""155.5"": 18, ""179.0"": 44, ""148.85"": 33, ""189.3"": 21, ""139.3"": 9, ""174.0"": 36, ""178.85"": 25, ""163.0"": 26, ""140.0"": 12, ""212.0"": 17, ""169.25"": 16, ""226.95"": 17, ""172.5"": 25, ""221.95"": 5, ""179.15"": 28, ""176.1"": 29, ""216.4"": 12, ""199.9"": 19, ""161.6"": 19, ""158.85"": 28, ""205.6"": 12, ""165.1"": 35, ""227.0"": 28, ""192.5"": 15, ""222.95"": 6, ""191.55"": 24, ""171.45"": 26, ""162.05"": 35, ""190.0"": 31, ""192.55"": 17, ""162.4"": 21, ""184.4"": 20, ""157.55"": 22, ""155.2"": 38, ""167.95"": 24, ""144.8"": 20, ""135.0"": 15, ""110.0"": 2, ""134.2"": 14, ""114.35"": 1, ""162.7"": 26, ""166.6"": 13, ""141.35"": 7, ""197.9"": 24, ""166.9"": 13, ""213.0"": 17, ""174.85"": 45, ""259.7"": 12, ""358.8"": 1, ""256.0"": 10, ""250.75"": 13, ""285.85"": 4, ""197.95"": 23, ""273.38"": 10, ""262.0"": 12, ""201.45"": 15, ""192.32"": 20, ""238.55"": 8, ""175.01"": 43, ""198.5"": 17}"
JAGRAN,"{""46.2"": 5, ""61.2"": 15, ""70.8"": 19, ""74.35"": 15, ""32.1"": 1, ""50.1"": 5, ""52.0"": 7, ""36.55"": 19, ""43.2"": 11, ""44.6"": 5, ""36.45"": 23, ""44.35"": 5, ""46.9"": 2, ""39.1"": 15, ""46.7"": 4, ""39.15"": 17, ""65.4"": 17, ""61.95"": 22, ""52.3"": 1, ""69.55"": 33, ""71.5"": 26, ""63.05"": 20, ""70.85"": 19, ""53.25"": 5, ""64.35"": 19, ""71.4"": 16, ""68.95"": 39, ""58.3"": 9, ""79.55"": 7, ""82.0"": 14, ""62.55"": 25, ""63.9"": 16, ""76.8"": 9, ""47.1"": 2, ""72.0"": 41, ""73.7"": 21, ""61.25"": 16, ""74.9"": 28, ""63.1"": 13, ""76.2"": 13, ""65.35"": 20, ""84.0"": 13, ""65.2"": 18, ""78.5"": 12, ""68.3"": 27, ""75.25"": 10, ""66.7"": 27, ""82.95"": 10, ""114.45"": 3, ""95.2"": 18, ""117.55"": 2, ""94.1"": 18, ""121.2"": 3, ""95.1"": 42, ""101.0"": 19, ""89.35"": 14, ""113.15"": 2, ""95.85"": 18, ""129.5"": 1, ""90.65"": 10, ""112.9"": 1, ""96.5"": 16, ""107.0"": 12, ""99.0"": 23, ""83.0"": 14, ""88.81"": 10, ""104.9"": 26, ""88.36"": 5, ""111.4"": 5, ""91.2"": 14, ""83.85"": 12, ""90.5"": 15, ""84.75"": 11}"
SUNTV,"{""551.3"": 15, ""455.25"": 21, ""410.0"": 10, ""510.7"": 31, ""431.0"": 28, ""513.0"": 26, ""259.55"": 1, ""415.0"": 18, ""355.5"": 3, ""424.9"": 29, ""368.0"": 4, ""427.0"": 31, ""372.0"": 5, ""508.25"": 37, ""439.3"": 33, ""407.8"": 14, ""457.3"": 19, ""517.5"": 47, ""440.2"": 39, ""550.65"": 21, ""473.05"": 28, ""570.4"": 5, ""530.7"": 43, ""450.0"": 60, ""497.0"": 41, ""558.95"": 4, ""560.0"": 8, ""511.0"": 25, ""571.0"": 4, ""517.1"": 37, ""586.55"": 11, ""471.0"": 25, ""478.6"": 53, ""612.0"": 10, ""506.0"": 38, ""555.0"": 10, ""483.3"": 46, ""524.75"": 39, ""465.55"": 40, ""539.8"": 36, ""425.0"": 27, ""540.0"": 34, ""402.95"": 10, ""449.65"": 32, ""453.0"": 23, ""402.55"": 13, ""538.0"": 31, ""486.0"": 35, ""551.0"": 16, ""516.95"": 38, ""568.5"": 8, ""473.2"": 31, ""520.5"": 45, ""491.5"": 43, ""393.8"": 14, ""435.6"": 26, ""414.0"": 12, ""423.1"": 27, ""467.4"": 21, ""423.0"": 29, ""628.5"": 13, ""577.45"": 4, ""666.5"": 20, ""592.75"": 12, ""688.0"": 13, ""734.9"": 6, ""614.0"": 13, ""673.0"": 20, ""648.7"": 15, ""567.6"": 8, ""681.2"": 2, ""631.6"": 13, ""792.6"": 11, ""763.55"": 13, ""921.0"": 1, ""766.5"": 8, ""853.7"": 2, ""702.35"": 2, ""782.9"": 7}"
