stocks,levels
AEROFLEX,"{""145.45"": 9, ""142.4"": 8, ""173.8"": 4, ""172.7"": 3, ""165.5"": 8, ""140.9"": 8, ""179.9"": 5, ""141.9"": 14, ""115.0"": 1, ""153.6"": 17, ""159.35"": 21, ""122.5"": 2, ""169.0"": 2, ""144.25"": 7, ""209.9"": 5, ""172.72"": 3, ""214.0"": 2, ""204.8"": 6, ""172.5"": 3, ""234.45"": 4, ""175.0"": 9}"
APLAPOLLO,"{""221.9"": 1, ""189.8"": 6, ""216.55"": 3, ""103.0"": 1, ""115.0"": 2, ""151.0"": 5, ""115.55"": 1, ""172.0"": 9, ""152.5"": 9, ""250.0"": 2, ""304.8"": 3, ""266.5"": 2, ""315.5"": 2, ""325.1"": 6, ""493.95"": 1, ""445.05"": 3, ""697.45"": 4, ""525.05"": 2, ""724.0"": 4, ""585.0"": 1, ""692.5"": 2, ""588.85"": 1, ""839.0"": 11, ""718.05"": 2, ""924.9"": 20, ""741.4"": 2, ""1044.7"": 9, ""804.1"": 15, ""895.0"": 22, ""750.1"": 4, ""822.65"": 11, ""1114.55"": 16, ""800.25"": 15, ""770.9"": 3, ""1100.0"": 16, ""801.0"": 15, ""1008.0"": 10, ""816.5"": 9, ""1146.95"": 15, ""941.0"": 10, ""1113.0"": 12, ""1177.0"": 10, ""987.95"": 5, ""1018.65"": 9, ""1337.9"": 5, ""1164.0"": 9, ""1162.0"": 4, ""1251.75"": 8, ""1047.0"": 10, ""1398.0"": 8, ""1800.0"": 2, ""1519.1"": 22, ""1788.35"": 2, ""1506.15"": 19, ""1774.0"": 3, ""1432.9"": 12, ""1305.0"": 7, ""1660.0"": 13, ""1440.0"": 17, ""1622.0"": 21, ""1439.05"": 18, ""1728.95"": 9, ""1403.25"": 9, ""1679.0"": 7, ""1520.0"": 26, ""1341.95"": 6, ""1507.75"": 27, ""1382.45"": 3, ""1652.6"": 6, ""1376.7"": 4, ""1400.0"": 8, ""1645.8"": 14, ""1473.0"": 21, ""1415.4"": 13, ""1643.35"": 11}"
BANSALWIRE,"{""325.1"": 1, ""386.0"": 2, ""325.95"": 3, ""460.9"": 7, ""468.65"": 3, ""373.5"": 1, ""503.95"": 1, ""432.0"": 8}"
DEEDEV,"{""340.0"": 6, ""397.8"": 1, ""225.6"": 1, ""360.0"": 9, ""322.0"": 1}"
GANDHITUBE,"{""285.5"": 8, ""314.0"": 4, ""276.3"": 10, ""289.35"": 12, ""264.05"": 14, ""284.9"": 11, ""140.0"": 1, ""170.4"": 4, ""154.0"": 1, ""209.8"": 14, ""205.15"": 11, ""182.0"": 6, ""242.95"": 3, ""195.0"": 14, ""227.85"": 7, ""195.6"": 6, ""254.5"": 4, ""211.0"": 8, ""275.0"": 21, ""236.0"": 8, ""316.0"": 2, ""260.3"": 14, ""297.85"": 7, ""254.55"": 4, ""285.05"": 12, ""256.95"": 6, ""341.7"": 10, ""558.85"": 4, ""432.65"": 10, ""421.3"": 9, ""415.0"": 10, ""359.0"": 13, ""342.3"": 7, ""419.8"": 12, ""363.0"": 9, ""302.3"": 11, ""367.95"": 11, ""323.95"": 5, ""450.0"": 15, ""333.05"": 3, ""311.6"": 7, ""412.8"": 2, ""355.0"": 15, ""447.0"": 6, ""484.85"": 7, ""413.7"": 7, ""412.35"": 10, ""637.55"": 4, ""462.35"": 12, ""615.0"": 8, ""456.15"": 12, ""466.0"": 7, ""539.0"": 8, ""635.0"": 3, ""752.15"": 20, ""768.85"": 22, ""661.3"": 5, ""775.1"": 28, ""662.05"": 5, ""727.0"": 20, ""666.9"": 5, ""795.0"": 21, ""694.15"": 9, ""865.0"": 5, ""935.0"": 1, ""764.1"": 26, ""658.4"": 4, ""720.0"": 12, ""895.0"": 2, ""683.0"": 19, ""849.0"": 5, ""781.0"": 32, ""865.9"": 6, ""736.95"": 16, ""866.85"": 4, ""828.0"": 15, ""700.0"": 16, ""746.1"": 15, ""929.0"": 3}"
GEEKAYWIRE,"{""7.5"": 1, ""6.2"": 1, ""11.5"": 8, ""17.15"": 24, ""11.45"": 5, ""19.0"": 13, ""20.4"": 2, ""16.55"": 12, ""11.6"": 9, ""13.1"": 17, ""12.35"": 2, ""14.8"": 24, ""17.1"": 19, ""14.0"": 27, ""20.45"": 2, ""16.8"": 24, ""21.2"": 2, ""17.0"": 19, ""22.6"": 3, ""14.25"": 15, ""17.7"": 21, ""15.85"": 16, ""20.0"": 14, ""20.8"": 2, ""18.4"": 33, ""14.9"": 20, ""18.5"": 9, ""15.0"": 29, ""11.1"": 2, ""12.25"": 4, ""17.55"": 34, ""16.15"": 14, ""13.9"": 13, ""17.45"": 11, ""10.95"": 2, ""16.95"": 9, ""13.2"": 18, ""20.2"": 2, ""15.4"": 45, ""29.35"": 1, ""37.65"": 1, ""30.8"": 1, ""37.5"": 1, ""31.5"": 2, ""50.2"": 1, ""43.9"": 1, ""63.7"": 1, ""45.2"": 2, ""68.75"": 1, ""55.5"": 1, ""87.25"": 4, ""73.7"": 1, ""101.7"": 9, ""126.5"": 2, ""73.9"": 1, ""121.5"": 3, ""78.0"": 3, ""99.0"": 13, ""87.42"": 5, ""91.06"": 24, ""147.8"": 1, ""89.0"": 18, ""118.85"": 5}"
GOODLUCK,"{""46.8"": 3, ""58.5"": 2, ""41.9"": 10, ""39.2"": 15, ""65.0"": 4, ""68.0"": 3, ""20.65"": 1, ""37.9"": 8, ""27.0"": 5, ""45.8"": 6, ""34.05"": 5, ""47.0"": 10, ""43.9"": 3, ""36.5"": 6, ""36.2"": 6, ""36.75"": 6, ""60.0"": 1, ""83.55"": 2, ""66.05"": 7, ""79.75"": 2, ""61.45"": 4, ""81.0"": 2, ""113.5"": 2, ""121.0"": 1, ""102.2"": 3, ""332.65"": 7, ""252.0"": 6, ""325.0"": 8, ""278.0"": 8, ""337.95"": 3, ""281.1"": 12, ""310.95"": 9, ""260.4"": 2, ""400.0"": 4, ""272.55"": 8, ""315.65"": 6, ""271.45"": 4, ""331.85"": 2, ""236.85"": 2, ""300.0"": 16, ""271.25"": 7, ""278.1"": 10, ""552.0"": 1, ""425.8"": 18, ""422.0"": 9, ""523.95"": 3, ""355.35"": 4, ""507.0"": 7, ""407.8"": 2, ""411.7"": 3, ""471.0"": 8, ""408.1"": 3, ""496.5"": 12, ""367.0"": 5, ""397.6"": 4, ""605.0"": 1, ""627.65"": 2, ""554.7"": 2, ""930.95"": 30, ""968.95"": 16, ""852.0"": 13, ""1168.75"": 8, ""774.55"": 5, ""1011.65"": 5, ""862.15"": 14, ""853.3"": 10, ""949.0"": 17, ""720.0"": 1, ""995.95"": 13, ""838.35"": 4, ""962.0"": 11, ""1330.0"": 1, ""881.1"": 18, ""1060.0"": 8, ""918.0"": 17, ""1034.65"": 2, ""1009.9"": 10}"
GPIL,"{""8.1"": 13, ""6.85"": 5, ""8.75"": 7, ""13.35"": 4, ""9.45"": 1, ""4.0"": 1, ""6.65"": 4, ""5.2"": 3, ""9.2"": 4, ""7.65"": 10, ""17.75"": 4, ""24.75"": 4, ""21.1"": 1, ""28.0"": 1, ""21.75"": 1, ""30.9"": 1, ""42.0"": 1, ""36.85"": 2, ""56.5"": 13, ""37.95"": 4, ""77.5"": 12, ""62.9"": 7, ""92.4"": 2, ""50.0"": 7, ""70.05"": 14, ""79.45"": 4, ""46.25"": 2, ""46.8"": 2, ""58.5"": 9, ""51.2"": 8, ""69.0"": 11, ""56.4"": 6, ""99.55"": 1, ""44.6"": 1, ""62.85"": 6, ""61.75"": 4, ""45.3"": 1, ""61.35"": 7, ""83.1"": 4, ""67.55"": 7, ""79.2"": 5, ""68.0"": 19, ""77.2"": 10, ""70.55"": 18, ""78.35"": 9, ""71.0"": 18, ""109.0"": 3, ""128.05"": 3, ""110.85"": 4, ""127.95"": 4, ""134.95"": 6, ""114.55"": 6, ""160.0"": 3, ""138.85"": 8, ""168.9"": 2, ""143.2"": 5, ""131.6"": 3, ""187.35"": 13, ""174.6"": 4, ""234.9"": 2, ""244.8"": 1, ""204.55"": 6, ""233.4"": 4, ""180.65"": 11, ""224.6"": 5, ""161.45"": 3, ""207.2"": 6, ""180.43"": 11, ""253.4"": 1}"
GRAVITA,"{""44.9"": 4, ""39.15"": 10, ""49.5"": 10, ""37.25"": 2, ""69.7"": 2, ""32.05"": 1, ""39.7"": 9, ""30.2"": 1, ""32.0"": 1, ""53.75"": 10, ""45.5"": 6, ""57.1"": 1, ""45.3"": 4, ""53.0"": 4, ""42.0"": 17, ""88.7"": 2, ""85.45"": 3, ""73.0"": 2, ""122.65"": 2, ""90.0"": 5, ""105.4"": 8, ""81.0"": 4, ""118.0"": 1, ""100.6"": 5, ""163.5"": 1, ""218.7"": 6, ""221.45"": 5, ""187.1"": 3, ""195.0"": 7, ""234.0"": 1, ""188.45"": 3, ""288.1"": 6, ""329.1"": 5, ""375.0"": 8, ""304.6"": 6, ""292.0"": 5, ""244.35"": 3, ""240.45"": 3, ""296.0"": 4, ""231.0"": 1, ""314.0"": 8, ""350.8"": 7, ""305.55"": 9, ""353.0"": 13, ""296.75"": 5, ""390.0"": 1, ""341.55"": 10, ""473.4"": 6, ""539.95"": 1, ""440.1"": 5, ""508.7"": 10, ""485.0"": 8, ""535.55"": 2, ""641.25"": 1, ""706.6"": 3, ""964.4"": 9, ""1166.0"": 3, ""995.0"": 6, ""1136.8"": 5, ""842.3"": 1, ""1014.3"": 4, ""730.0"": 4, ""1115.0"": 5, ""885.05"": 6, ""915.0"": 9, ""1635.0"": 4, ""1310.1"": 2, ""2544.0"": 3, ""2700.0"": 1, ""1951.3"": 2, ""2018.0"": 7, ""2474.85"": 2}"
HARIOMPIPE,"{""169.1"": 1, ""180.0"": 1, ""305.5"": 1, ""247.05"": 1, ""260.0"": 5, ""290.0"": 4, ""403.55"": 4, ""443.2"": 2, ""386.5"": 2, ""694.95"": 10, ""622.4"": 15, ""537.6"": 9, ""655.0"": 8, ""556.5"": 11, ""666.3"": 9, ""740.0"": 5, ""700.0"": 6, ""607.0"": 8, ""649.9"": 16, ""440.05"": 2, ""640.45"": 23, ""538.55"": 5, ""640.7"": 19, ""505.0"": 11, ""615.0"": 21, ""567.35"": 24, ""633.45"": 13, ""888.75"": 1, ""813.95"": 4, ""531.3"": 11, ""669.9"": 16, ""548.55"": 12, ""541.3"": 6, ""476.35"": 7}"
