stocks,levels
ACC,"{""1590.5"": 3, ""1462.2"": 14, ""1546.8"": 7, ""1401.15"": 18, ""1430.55"": 22, ""1579.6"": 6, ""1417.55"": 17, ""895.15"": 2, ""1244.0"": 7, ""1180.0"": 6, ""1253.0"": 6, ""1454.9"": 9, ""1289.0"": 10, ""1438.05"": 16, ""1785.0"": 22, ""1485.0"": 12, ""1814.0"": 27, ""1584.2"": 5, ""1686.05"": 12, ""1894.0"": 17, ""1692.0"": 10, ""2022.85"": 32, ""1782.25"": 20, ""2078.0"": 11, ""1975.0"": 19, ""2454.95"": 33, ""2230.55"": 31, ""2509.0"": 19, ""2142.05"": 19, ""2589.0"": 15, ""2340.85"": 31, ""2087.8"": 20, ""2392.9"": 30, ""2120.05"": 17, ""1900.0"": 16, ""2023.55"": 30, ""2397.0"": 30, ""2099.05"": 20, ""2047.1"": 29, ""2201.1"": 31, ""2100.35"": 22, ""2367.75"": 27, ""2785.0"": 2, ""2205.3"": 28, ""2514.95"": 31, ""2675.0"": 17, ""2356.4"": 32, ""2488.0"": 25, ""1695.9"": 19, ""1659.0"": 15, ""1932.3"": 8, ""1592.35"": 4, ""1789.0"": 22, ""1700.0"": 15, ""1704.45"": 12, ""1870.0"": 26, ""1754.0"": 15, ""1762.65"": 26, ""2052.5"": 35, ""1880.0"": 21, ""2104.0"": 13, ""1965.25"": 19, ""2056.95"": 32, ""1803.0"": 18, ""2190.0"": 27, ""2746.4"": 8, ""2347.2"": 38, ""2666.7"": 17, ""2368.0"": 27, ""2610.0"": 19, ""2331.55"": 46, ""2150.0"": 28, ""2714.0"": 9, ""2844.0"": 1, ""2267.7"": 47, ""2544.9"": 17, ""2187.55"": 24, ""2378.4"": 28, ""1868.2"": 24, ""2314.9"": 34, ""1838.6"": 22}"
APLAPOLLO,"{""221.9"": 1, ""189.8"": 6, ""216.55"": 3, ""103.0"": 1, ""115.0"": 2, ""151.0"": 5, ""115.55"": 1, ""172.0"": 9, ""152.5"": 9, ""250.0"": 2, ""304.8"": 3, ""266.5"": 2, ""315.5"": 2, ""325.1"": 6, ""493.95"": 1, ""445.05"": 3, ""697.45"": 4, ""525.05"": 2, ""724.0"": 4, ""585.0"": 1, ""692.5"": 2, ""588.85"": 1, ""839.0"": 11, ""718.05"": 2, ""924.9"": 20, ""741.4"": 2, ""1044.7"": 9, ""804.1"": 15, ""895.0"": 22, ""750.1"": 4, ""822.65"": 11, ""1114.55"": 16, ""800.25"": 15, ""770.9"": 3, ""1100.0"": 16, ""801.0"": 15, ""1008.0"": 10, ""816.5"": 9, ""1146.95"": 15, ""941.0"": 10, ""1113.0"": 12, ""1177.0"": 10, ""987.95"": 5, ""1018.65"": 9, ""1337.9"": 5, ""1164.0"": 9, ""1162.0"": 4, ""1251.75"": 8, ""1047.0"": 10, ""1398.0"": 8, ""1800.0"": 2, ""1519.1"": 22, ""1788.35"": 2, ""1506.15"": 19, ""1774.0"": 3, ""1432.9"": 12, ""1305.0"": 7, ""1660.0"": 13, ""1440.0"": 17, ""1622.0"": 21, ""1439.05"": 18, ""1728.95"": 9, ""1403.25"": 9, ""1679.0"": 7, ""1520.0"": 26, ""1341.95"": 6, ""1507.75"": 27, ""1382.45"": 3, ""1652.6"": 6, ""1376.7"": 4, ""1400.0"": 8, ""1645.8"": 14, ""1473.0"": 21, ""1415.4"": 13, ""1643.35"": 11}"
AUBANK,"{""328.0"": 5, ""427.5"": 9, ""383.6"": 4, ""609.0"": 37, ""221.8"": 2, ""283.35"": 3, ""183.0"": 1, ""408.45"": 6, ""381.0"": 3, ""308.35"": 5, ""472.75"": 5, ""475.0"": 7, ""360.2"": 13, ""465.75"": 4, ""421.25"": 7, ""658.45"": 28, ""562.0"": 27, ""677.2"": 23, ""586.0"": 37, ""455.0"": 9, ""543.8"": 7, ""630.0"": 124, ""566.5"": 27, ""694.9"": 16, ""525.55"": 13, ""530.5"": 12, ""649.75"": 41, ""565.95"": 20, ""540.0"": 17, ""597.5"": 39, ""462.5"": 10, ""659.85"": 30, ""601.0"": 37, ""710.5"": 16, ""525.0"": 10, ""732.95"": 23, ""608.4"": 39, ""677.5"": 22, ""539.0"": 10, ""620.2"": 49, ""686.6"": 12, ""567.5"": 31, ""655.0"": 30, ""694.7"": 16, ""598.5"": 34, ""652.9"": 30, ""585.0"": 41, ""636.65"": 49, ""548.0"": 13, ""699.0"": 18, ""795.0"": 3, ""732.05"": 28, ""792.0"": 6, ""696.0"": 16, ""752.0"": 16, ""763.95"": 15, ""688.0"": 18, ""630.4"": 60, ""813.4"": 2, ""553.7"": 15, ""645.5"": 39, ""598.15"": 38, ""655.55"": 27, ""600.55"": 48, ""688.9"": 18, ""700.95"": 19, ""620.55"": 47, ""600.25"": 49, ""755.4"": 18, ""557.25"": 19, ""604.4"": 48, ""534.45"": 4, ""611.35"": 41}"
ABCAPITAL,"{""75.5"": 2, ""79.0"": 12, ""114.6"": 23, ""88.55"": 12, ""115.35"": 31, ""37.35"": 1, ""56.3"": 2, ""41.2"": 1, ""68.45"": 3, ""53.0"": 5, ""77.4"": 5, ""58.05"": 3, ""60.65"": 8, ""59.85"": 7, ""97.9"": 8, ""76.0"": 1, ""94.65"": 4, ""78.85"": 7, ""139.7"": 3, ""112.5"": 46, ""131.4"": 4, ""130.85"": 9, ""128.45"": 7, ""113.4"": 25, ""127.7"": 7, ""123.95"": 17, ""98.0"": 10, ""118.8"": 24, ""106.1"": 23, ""96.35"": 8, ""114.65"": 28, ""99.0"": 11, ""127.5"": 10, ""107.6"": 27, ""139.2"": 5, ""111.8"": 21, ""96.85"": 4, ""124.5"": 18, ""90.05"": 13, ""105.0"": 18, ""85.6"": 8, ""123.3"": 15, ""106.65"": 18, ""108.1"": 25, ""162.45"": 6, ""141.45"": 2, ""157.8"": 7, ""133.05"": 6, ""149.3"": 8, ""137.0"": 5, ""159.35"": 8, ""139.25"": 5, ""175.3"": 33, ""157.45"": 6, ""199.3"": 7, ""181.4"": 18, ""196.95"": 10, ""192.45"": 10, ""173.45"": 19, ""185.25"": 21, ""166.7"": 16, ""182.9"": 20, ""175.4"": 28, ""155.0"": 9, ""160.65"": 10, ""191.8"": 10, ""194.4"": 12, ""165.9"": 18, ""243.7"": 5, ""195.5"": 6, ""246.9"": 1, ""229.4"": 10, ""200.05"": 9, ""212.8"": 8, ""244.0"": 3, ""179.18"": 25, ""202.79"": 15, ""167.25"": 15}"
ABFRL,"{""190.55"": 2, ""224.45"": 31, ""193.75"": 9, ""246.15"": 9, ""221.45"": 31, ""220.15"": 30, ""281.4"": 20, ""95.6"": 1, ""146.5"": 3, ""111.8"": 3, ""117.0"": 3, ""154.9"": 10, ""120.5"": 6, ""125.6"": 6, ""178.95"": 3, ""168.0"": 9, ""144.0"": 4, ""194.8"": 13, ""148.5"": 4, ""223.7"": 39, ""163.1"": 8, ""205.1"": 21, ""234.5"": 21, ""189.35"": 5, ""198.0"": 12, ""242.15"": 12, ""310.0"": 23, ""245.95"": 4, ""293.0"": 23, ""253.05"": 14, ""318.7"": 18, ""273.15"": 25, ""250.0"": 14, ""322.0"": 22, ""246.35"": 13, ""221.3"": 38, ""351.75"": 5, ""315.0"": 26, ""324.2"": 22, ""359.5"": 1, ""300.0"": 23, ""320.0"": 16, ""202.7"": 21, ""227.6"": 24, ""226.9"": 30, ""184.4"": 7, ""216.85"": 49, ""225.75"": 24, ""192.95"": 8, ""234.9"": 21, ""210.4"": 22, ""239.9"": 15, ""206.0"": 28, ""245.0"": 11, ""215.4"": 37, ""249.25"": 8, ""216.5"": 42, ""266.0"": 22, ""198.75"": 17, ""247.5"": 15, ""276.95"": 25, ""248.9"": 11, ""307.05"": 30, ""339.4"": 10, ""295.3"": 19, ""348.9"": 9, ""309.0"": 21, ""303.0"": 13, ""364.4"": 1, ""283.75"": 22, ""325.3"": 16, ""258.95"": 24}"
ALKEM,"{""2027.9"": 12, ""1940.8"": 6, ""2150.0"": 3, ""2107.0"": 4, ""1958.0"": 7, ""2405.0"": 4, ""2716.9"": 15, ""1881.3"": 1, ""2879.0"": 21, ""2870.0"": 20, ""2222.0"": 1, ""3090.0"": 40, ""2688.1"": 15, ""2987.9"": 27, ""2682.0"": 20, ""2563.65"": 6, ""2761.1"": 19, ""3151.5"": 35, ""2710.0"": 21, ""2961.0"": 25, ""2540.05"": 4, ""2889.0"": 21, ""3088.95"": 41, ""2832.3"": 17, ""3259.0"": 21, ""3013.0"": 15, ""3558.9"": 18, ""3947.0"": 9, ""3684.05"": 17, ""4070.0"": 1, ""3244.05"": 21, ""3643.35"": 17, ""3254.6"": 24, ""3786.0"": 16, ""3348.6"": 30, ""3107.85"": 34, ""3724.95"": 8, ""2828.0"": 23, ""3175.5"": 37, ""2928.2"": 25, ""3325.0"": 42, ""2855.0"": 23, ""3400.0"": 41, ""3065.0"": 28, ""3025.0"": 24, ""2940.05"": 28, ""2980.0"": 25, ""3042.3"": 34, ""3300.85"": 26, ""3625.0"": 24, ""3186.3"": 20, ""3460.0"": 25, ""3307.2"": 22, ""4243.0"": 1, ""3606.6"": 20, ""3770.95"": 6, ""3447.0"": 25, ""5315.5"": 16, ""4763.25"": 6, ""5520.0"": 12, ""4659.0"": 4, ""4650.0"": 7, ""5095.0"": 21, ""4567.05"": 4, ""5578.8"": 10, ""4407.05"": 2, ""4872.0"": 15, ""5450.0"": 17, ""5030.4"": 16, ""6439.9"": 1, ""5966.05"": 5, ""6375.55"": 4, ""5361.05"": 7, ""5751.0"": 9, ""5341.55"": 14, ""5684.65"": 9}"
APOLLOTYRE,"{""196.75"": 10, ""161.9"": 7, ""177.5"": 8, ""159.25"": 5, ""158.45"": 3, ""182.35"": 6, ""73.4"": 1, ""103.3"": 1, ""81.05"": 1, ""119.6"": 2, ""105.9"": 4, ""139.0"": 3, ""109.55"": 7, ""135.55"": 7, ""200.0"": 16, ""170.35"": 8, ""174.5"": 13, ""256.5"": 2, ""223.4"": 28, ""261.25"": 1, ""208.0"": 16, ""198.55"": 11, ""243.0"": 6, ""219.0"": 30, ""241.0"": 13, ""231.95"": 22, ""203.35"": 11, ""239.85"": 8, ""250.0"": 9, ""208.1"": 16, ""237.0"": 9, ""200.8"": 5, ""197.8"": 5, ""245.0"": 8, ""205.5"": 14, ""165.25"": 16, ""187.0"": 12, ""214.0"": 19, ""189.05"": 16, ""224.5"": 26, ""167.1"": 13, ""268.3"": 4, ""303.45"": 4, ""262.0"": 3, ""270.0"": 6, ""305.1"": 5, ""339.95"": 4, ""304.9"": 7, ""343.05"": 2, ""303.35"": 4, ""427.6"": 9, ""394.05"": 7, ""436.5"": 4, ""440.9"": 5, ""365.0"": 4, ""394.5"": 6, ""485.0"": 19, ""419.25"": 14, ""557.9"": 2, ""499.85"": 20, ""546.0"": 11, ""441.65"": 5, ""518.8"": 25, ""459.0"": 9, ""510.0"": 18, ""429.0"": 9, ""568.05"": 1, ""477.15"": 17, ""584.9"": 1, ""474.25"": 15, ""448.15"": 6, ""557.0"": 4}"
ASHOKLEY,"{""66.05"": 5, ""79.75"": 7, ""70.25"": 10, ""80.0"": 9, ""82.55"": 1, ""69.85"": 10, ""81.4"": 2, ""28.75"": 1, ""48.25"": 4, ""37.05"": 1, ""53.55"": 1, ""41.7"": 5, ""43.05"": 4, ""68.65"": 6, ""59.2"": 2, ""78.45"": 11, ""67.05"": 5, ""92.85"": 1, ""97.15"": 2, ""82.3"": 2, ""133.95"": 24, ""103.55"": 1, ""115.65"": 13, ""129.4"": 13, ""102.3"": 2, ""120.65"": 20, ""101.25"": 2, ""114.45"": 11, ""127.35"": 15, ""107.45"": 9, ""115.85"": 12, ""138.35"": 44, ""109.9"": 17, ""144.75"": 28, ""128.75"": 13, ""148.55"": 9, ""125.4"": 14, ""112.05"": 11, ""136.95"": 18, ""120.75"": 19, ""88.25"": 5, ""127.05"": 11, ""108.05"": 12, ""140.3"": 38, ""123.25"": 16, ""153.3"": 5, ""134.65"": 19, ""164.5"": 11, ""136.75"": 19, ""149.45"": 12, ""136.7"": 21, ""130.25"": 13, ""147.85"": 18, ""151.35"": 6, ""128.15"": 18, ""137.85"": 15, ""150.0"": 9, ""139.15"": 30, ""186.55"": 2, ""159.8"": 13, ""179.85"": 8, ""160.3"": 13, ""184.65"": 5, ""162.75"": 9, ""181.9"": 5, ""161.45"": 11, ""152.6"": 3, ""166.25"": 16, ""192.0"": 1, ""245.67"": 5, ""219.35"": 13, ""259.0"": 3, ""264.65"": 1, ""202.0"": 7, ""237.06"": 9, ""215.7"": 6, ""238.2"": 16}"
ASTRAL,"{""682.9"": 7, ""582.85"": 2, ""680.65"": 4, ""677.8"": 24, ""608.3"": 5, ""715.15"": 4, ""421.55"": 1, ""480.55"": 3, ""551.75"": 7, ""435.35"": 1, ""558.55"": 3, ""479.9"": 3, ""564.15"": 5, ""513.9"": 10, ""743.25"": 1, ""602.35"": 11, ""608.85"": 5, ""900.7"": 2, ""1034.55"": 2, ""909.0"": 2, ""1218.25"": 5, ""1486.8"": 33, ""1112.05"": 1, ""1061.05"": 2, ""1315.05"": 8, ""1170.7"": 13, ""1488.7"": 26, ""1526.3"": 30, ""1604.5"": 22, ""1725.1"": 14, ""1464.35"": 24, ""1624.05"": 20, ""1438.35"": 21, ""1829.9"": 20, ""1561.55"": 32, ""1777.35"": 15, ""1548.9"": 39, ""1757.1"": 10, ""1548.85"": 39, ""1535.75"": 31, ""1318.45"": 13, ""1665.4"": 10, ""1210.35"": 7, ""1376.15"": 9, ""1189.15"": 5, ""1996.1"": 18, ""1600.75"": 15, ""1457.9"": 22, ""1595.1"": 20, ""1403.4"": 18, ""1614.6"": 27, ""1410.55"": 18, ""1587.6"": 25, ""1601.45"": 17, ""1356.2"": 10, ""1297.8"": 9, ""1383.55"": 7, ""2024.05"": 10, ""1772.75"": 21, ""2058.0"": 13, ""1810.25"": 19, ""1979.65"": 26, ""1773.0"": 20, ""2015.45"": 13, ""1823.55"": 22, ""1740.0"": 11, ""2143.8"": 7, ""1878.6"": 26, ""2100.0"": 11, ""1936.05"": 21, ""2352.0"": 4, ""1931.4"": 26, ""2454.0"": 2, ""1859.0"": 24, ""1875.0"": 27, ""2037.95"": 13, ""1695.5"": 13, ""1867.0"": 23}"
AUROPHARMA,"{""507.5"": 7, ""389.35"": 2, ""461.85"": 13, ""430.0"": 5, ""474.45"": 18, ""442.0"": 15, ""617.55"": 12, ""288.85"": 1, ""684.05"": 20, ""770.4"": 8, ""967.5"": 24, ""857.9"": 23, ""738.05"": 16, ""749.2"": 4, ""923.4"": 15, ""801.1"": 18, ""996.85"": 10, ""880.15"": 24, ""1023.7"": 21, ""837.0"": 16, ""797.3"": 14, ""1063.9"": 6, ""917.75"": 15, ""660.3"": 14, ""767.35"": 10, ""706.5"": 17, ""751.9"": 7, ""620.5"": 11, ""742.0"": 8, ""590.1"": 5, ""715.0"": 21, ""584.25"": 7, ""727.95"": 22, ""503.45"": 13, ""524.2"": 11, ""604.0"": 10, ""556.75"": 16, ""494.3"": 7, ""552.75"": 15, ""569.45"": 8, ""429.2"": 5, ""397.2"": 1, ""482.5"": 5, ""444.75"": 18, ""581.25"": 6, ""887.7"": 19, ""815.8"": 15, ""930.0"": 10, ""834.65"": 17, ""1059.65"": 5, ""996.3"": 9, ""1177.1"": 8, ""958.5"": 20, ""1114.0"": 13, ""984.3"": 9, ""1150.7"": 11, ""1069.3"": 6, ""1292.1"": 3, ""1109.45"": 9, ""1180.1"": 6, ""1592.0"": 1, ""1407.0"": 9, ""1215.6"": 11, ""1276.5"": 5, ""1173.1"": 7, ""1356.2"": 5}"
