stocks,levels
KRBL,"{""187.6"": 10, ""235.0"": 23, ""186.4"": 7, ""307.4"": 32, ""252.0"": 29, ""210.0"": 16, ""316.75"": 15, ""92.0"": 1, ""239.0"": 18, ""177.0"": 3, ""265.0"": 25, ""279.85"": 37, ""245.2"": 24, ""339.0"": 7, ""232.25"": 17, ""299.4"": 21, ""271.9"": 29, ""238.3"": 14, ""293.0"": 28, ""225.0"": 13, ""256.75"": 19, ""185.45"": 3, ""176.0"": 2, ""199.2"": 13, ""173.15"": 1, ""248.65"": 25, ""201.5"": 14, ""304.0"": 22, ""226.0"": 12, ""337.95"": 6, ""307.0"": 33, ""230.65"": 10, ""262.35"": 20, ""269.4"": 18, ""184.5"": 8, ""198.2"": 9, ""263.8"": 23, ""196.5"": 8, ""248.5"": 22, ""198.0"": 9, ""268.0"": 21, ""413.6"": 13, ""375.5"": 22, ""445.0"": 3, ""355.3"": 34, ""409.5"": 13, ""408.4"": 12, ""325.05"": 4, ""379.95"": 22, ""319.5"": 9, ""337.15"": 3, ""421.0"": 1, ""335.45"": 5, ""419.0"": 4, ""383.0"": 16, ""470.9"": 1, ""347.3"": 23, ""392.5"": 20, ""342.25"": 9, ""386.2"": 23, ""352.0"": 21, ""275.55"": 37, ""323.0"": 7, ""297.0"": 18, ""258.15"": 28, ""283.0"": 28, ""348.7"": 18, ""275.0"": 30, ""327.6"": 3, ""263.0"": 23, ""265.3"": 23, ""330.75"": 2, ""315.9"": 17}"
GLENMARK,"{""267.25"": 1, ""374.0"": 14, ""359.5"": 4, ""365.2"": 4, ""298.15"": 3, ""346.45"": 17, ""161.65"": 1, ""360.95"": 7, ""573.05"": 5, ""509.0"": 20, ""518.45"": 21, ""441.7"": 15, ""509.55"": 25, ""464.25"": 14, ""515.65"": 29, ""460.4"": 8, ""549.0"": 1, ""464.65"": 18, ""532.0"": 17, ""464.1"": 15, ""513.25"": 24, ""449.6"": 14, ""492.95"": 26, ""442.05"": 18, ""640.0"": 8, ""578.25"": 8, ""690.95"": 3, ""511.05"": 23, ""489.15"": 35, ""539.0"": 12, ""477.1"": 30, ""551.8"": 8, ""457.0"": 11, ""542.7"": 6, ""472.5"": 12, ""465.4"": 15, ""414.1"": 17, ""438.55"": 14, ""487.55"": 28, ""411.0"": 9, ""348.5"": 13, ""401.0"": 11, ""360.45"": 5, ""408.0"": 6, ""361.4"": 5, ""396.6"": 9, ""363.65"": 5, ""409.45"": 15, ""401.15"": 10, ""451.0"": 10, ""406.9"": 12, ""369.05"": 9, ""453.8"": 14, ""629.85"": 5, ""682.25"": 5, ""836.9"": 3, ""737.35"": 2, ""880.0"": 10, ""760.0"": 11, ""731.5"": 1, ""722.1"": 2, ""847.55"": 3, ""922.7"": 4, ""771.0"": 12, ""974.0"": 2, ""883.0"": 7, ""1098.0"": 1, ""985.2"": 5, ""1330.1"": 2, ""1769.6"": 3, ""1610.0"": 6, ""1830.95"": 1, ""1776.75"": 2, ""1451.0"": 15, ""1446.5"": 5, ""1658.0"": 6}"
AEGISLOG,"{""183.85"": 26, ""203.5"": 18, ""168.0"": 10, ""267.05"": 10, ""107.25"": 1, ""185.9"": 11, ""158.75"": 1, ""212.0"": 23, ""170.55"": 9, ""217.8"": 31, ""224.3"": 19, ""259.0"": 10, ""200.1"": 16, ""275.3"": 13, ""226.05"": 20, ""318.95"": 11, ""275.2"": 13, ""341.0"": 14, ""273.25"": 12, ""312.7"": 11, ""275.95"": 14, ""387.9"": 19, ""336.25"": 8, ""386.0"": 18, ""259.05"": 11, ""247.0"": 6, ""205.05"": 28, ""191.75"": 19, ""251.0"": 8, ""209.8"": 39, ""238.7"": 13, ""197.25"": 7, ""167.25"": 6, ""248.0"": 8, ""187.0"": 8, ""228.4"": 17, ""236.9"": 11, ""197.55"": 10, ""291.0"": 10, ""246.6"": 4, ""303.55"": 13, ""254.3"": 6, ""373.75"": 18, ""314.65"": 12, ""330.35"": 12, ""388.8"": 14, ""401.85"": 2, ""352.2"": 27, ""405.0"": 3, ""410.5"": 2, ""308.6"": 7, ""387.15"": 12, ""348.3"": 23, ""280.0"": 18, ""397.1"": 11, ""330.4"": 13, ""361.1"": 27, ""471.9"": 4, ""357.05"": 25, ""707.45"": 4, ""970.0"": 1, ""916.25"": 3, ""712.0"": 3, ""735.25"": 12, ""868.0"": 2, ""647.8"": 2, ""920.0"": 2, ""748.3"": 10, ""1037.0"": 1}"
CAPLIPOINT,"{""439.0"": 1, ""295.0"": 10, ""280.1"": 7, ""286.95"": 5, ""315.05"": 6, ""383.5"": 7, ""235.15"": 1, ""176.2"": 1, ""377.0"": 4, ""307.0"": 8, ""421.7"": 3, ""305.1"": 12, ""686.0"": 28, ""490.05"": 11, ""615.0"": 5, ""437.75"": 4, ""531.75"": 10, ""450.15"": 5, ""452.0"": 6, ""501.2"": 7, ""401.0"": 1, ""647.8"": 2, ""1034.8"": 7, ""679.2"": 25, ""1008.4"": 6, ""949.0"": 2, ""796.35"": 14, ""889.7"": 8, ""722.25"": 27, ""713.8"": 26, ""888.0"": 11, ""764.0"": 18, ""650.0"": 4, ""754.7"": 18, ""675.0"": 21, ""830.0"": 13, ""626.0"": 5, ""814.0"": 20, ""789.0"": 29, ""631.0"": 4, ""856.8"": 7, ""797.95"": 13, ""689.45"": 20, ""759.4"": 25, ""700.0"": 20, ""785.75"": 15, ""715.1"": 28, ""777.8"": 19, ""696.65"": 11, ""755.75"": 20, ""671.0"": 11, ""726.95"": 32, ""575.0"": 3, ""833.0"": 10, ""1077.45"": 10, ""1127.9"": 1, ""960.1"": 3, ""1143.95"": 1, ""954.0"": 1, ""1350.0"": 5, ""1178.0"": 1, ""1550.0"": 5, ""1389.85"": 9, ""1619.05"": 1, ""1240.0"": 8, ""1409.9"": 11, ""1253.25"": 9, ""1372.7"": 5, ""1255.7"": 8, ""1390.0"": 11, ""1225.0"": 3, ""1543.1"": 9, ""1365.0"": 7, ""1655.0"": 1, ""2158.8"": 1, ""2109.95"": 4, ""1780.05"": 4, ""2176.75"": 4, ""2641.0"": 1}"
SUPREMEIND,"{""1254.75"": 4, ""1115.5"": 8, ""1091.0"": 12, ""1410.95"": 19, ""1413.0"": 12, ""773.3"": 1, ""1162.35"": 13, ""873.4"": 2, ""1198.1"": 8, ""1191.3"": 8, ""1295.0"": 3, ""1474.0"": 2, ""1322.6"": 8, ""1499.9"": 4, ""1379.0"": 10, ""1775.0"": 12, ""1599.85"": 1, ""1664.5"": 5, ""1999.0"": 28, ""2133.0"": 19, ""1930.0"": 12, ""2339.95"": 14, ""2090.0"": 31, ""2219.0"": 15, ""2196.0"": 11, ""1905.75"": 10, ""2693.9"": 4, ""2225.5"": 12, ""2465.0"": 9, ""2050.0"": 35, ""2152.0"": 24, ""2338.0"": 13, ""1872.6"": 10, ""2094.4"": 21, ""2219.3"": 15, ""2049.9"": 35, ""1695.8"": 8, ""1666.25"": 5, ""1932.0"": 13, ""1772.0"": 13, ""2024.0"": 31, ""1820.0"": 12, ""2199.2"": 16, ""1906.5"": 12, ""2480.0"": 8, ""2232.05"": 22, ""2607.65"": 7, ""2278.6"": 20, ""2335.0"": 10, ""2855.3"": 1, ""2431.15"": 15, ""2839.5"": 5, ""4704.0"": 10, ""3826.05"": 4, ""4888.0"": 2, ""4036.0"": 10, ""4844.75"": 6, ""4747.0"": 10, ""3911.0"": 9, ""3629.05"": 5, ""4220.0"": 12, ""3601.0"": 3, ""4385.95"": 14, ""4021.0"": 9, ""5196.05"": 13, ""6460.0"": 1, ""5712.95"": 4, ""6320.35"": 1, ""4920.05"": 2, ""5720.0"": 6, ""5154.45"": 8, ""5615.0"": 5, ""5580.0"": 10, ""4162.6"": 15, ""5156.75"": 8}"
EPL,"{""105.15"": 1, ""163.9"": 25, ""185.7"": 19, ""160.0"": 29, ""197.0"": 47, ""166.3"": 26, ""225.9"": 14, ""130.05"": 1, ""186.9"": 29, ""158.0"": 32, ""204.85"": 56, ""318.6"": 1, ""307.0"": 1, ""226.45"": 18, ""274.0"": 18, ""242.6"": 17, ""272.8"": 12, ""270.85"": 11, ""248.0"": 23, ""291.0"": 4, ""203.55"": 25, ""239.0"": 17, ""207.0"": 15, ""243.85"": 24, ""202.0"": 24, ""255.0"": 32, ""225.25"": 23, ""291.95"": 7, ""257.9"": 24, ""220.15"": 22, ""259.15"": 33, ""230.0"": 24, ""192.05"": 38, ""192.0"": 37, ""214.0"": 12, ""182.45"": 26, ""149.0"": 11, ""198.0"": 47, ""149.75"": 14, ""178.4"": 16, ""147.15"": 4, ""188.5"": 26, ""161.05"": 28, ""181.1"": 23, ""178.05"": 21, ""148.05"": 8, ""193.4"": 27, ""157.55"": 21, ""147.0"": 4, ""168.2"": 27, ""151.95"": 20, ""166.4"": 30, ""209.4"": 8, ""178.5"": 16, ""227.55"": 21, ""236.15"": 20, ""190.8"": 35, ""215.65"": 9, ""184.6"": 14, ""198.95"": 39, ""178.35"": 30, ""213.15"": 11, ""189.4"": 28, ""195.3"": 25, ""209.8"": 22, ""206.4"": 13, ""193.5"": 22, ""175.15"": 34, ""199.75"": 36, ""169.6"": 23, ""241.9"": 19, ""207.4"": 11, ""269.0"": 16, ""239.33"": 13, ""277.3"": 9, ""249.7"": 30, ""280.1"": 12, ""249.35"": 24, ""289.9"": 5}"
AETHER,"{""1006.85"": 7, ""802.1"": 13, ""1048.9"": 11, ""880.0"": 60, ""1030.0"": 5, ""860.0"": 39, ""995.0"": 15, ""810.0"": 17, ""971.0"": 19, ""843.5"": 28, ""913.75"": 41, ""840.0"": 32, ""1008.95"": 9, ""895.0"": 55, ""1209.0"": 1, ""1003.35"": 9, ""977.9"": 14, ""855.1"": 31, ""778.0"": 14, ""950.0"": 26, ""937.8"": 18, ""905.0"": 41, ""814.85"": 26, ""892.0"": 39, ""761.55"": 4, ""865.1"": 46, ""863.9"": 39, ""785.35"": 12, ""973.0"": 14, ""859.0"": 45, ""930.0"": 21, ""861.0"": 37, ""1071.0"": 10, ""800.0"": 15, ""921.8"": 32, ""856.25"": 29, ""925.95"": 29}"
DIVISLAB,"{""1779.05"": 4, ""1627.0"": 3, ""1869.95"": 9, ""1800.0"": 7, ""2258.95"": 6, ""1626.0"": 3, ""2474.45"": 4, ""2226.0"": 6, ""2255.35"": 3, ""2537.95"": 1, ""2090.05"": 5, ""3389.0"": 23, ""2985.0"": 1, ""3015.0"": 2, ""3543.8"": 39, ""3914.95"": 21, ""3311.4"": 14, ""3888.0"": 11, ""3326.4"": 14, ""3153.3"": 13, ""4205.0"": 13, ""4425.0"": 13, ""5045.2"": 7, ""4757.0"": 11, ""5271.65"": 3, ""4701.0"": 1, ""5425.1"": 9, ""4356.0"": 12, ""4708.75"": 3, ""3788.95"": 36, ""4520.15"": 37, ""3916.6"": 15, ""4625.0"": 22, ""4640.8"": 12, ""4121.5"": 13, ""4438.8"": 23, ""3365.55"": 23, ""3973.9"": 7, ""3446.0"": 31, ""3544.0"": 38, ""3806.6"": 20, ""3472.0"": 28, ""3903.95"": 17, ""3195.15"": 10, ""3425.0"": 23, ""3254.65"": 15, ""3640.0"": 54, ""3281.3"": 19, ""3419.0"": 19, ""2740.1"": 2, ""2972.0"": 1, ""2730.0"": 2, ""3364.5"": 24, ""3051.0"": 7, ""3308.95"": 15, ""3775.0"": 39, ""3934.7"": 16, ""3529.75"": 35, ""3859.5"": 18, ""3651.0"": 51, ""3295.3"": 17, ""3835.05"": 19, ""3565.55"": 43, ""4074.4"": 16, ""3540.3"": 39, ""3832.8"": 18, ""3350.0"": 32, ""4100.0"": 11, ""3724.0"": 60, ""4670.0"": 10, ""4395.3"": 8, ""5024.85"": 9, ""4615.55"": 17, ""5241.7"": 10, ""6275.85"": 4, ""5678.35"": 1, ""6285.45"": 2, ""6248.9"": 3}"
CONCORDBIO,"{""1075.0"": 3, ""958.7"": 4, ""1125.55"": 2, ""1397.05"": 10, ""1607.0"": 3, ""1355.15"": 6, ""1512.15"": 14, ""1597.8"": 4, ""1350.05"": 3, ""1725.0"": 1, ""1327.05"": 4, ""1799.0"": 3, ""1472.7"": 10, ""2664.0"": 1, ""2120.5"": 4, ""1761.6"": 2, ""2220.0"": 4, ""2035.5"": 8, ""2401.0"": 1}"
ALKYLAMINE,"{""330.0"": 1, ""430.0"": 3, ""443.0"": 1, ""400.05"": 4, ""505.0"": 2, ""724.0"": 4, ""408.4"": 7, ""799.95"": 3, ""988.0"": 1, ""1429.5"": 1, ""1142.0"": 3, ""1138.0"": 1, ""1668.85"": 1, ""1389.3"": 1, ""2244.0"": 11, ""2192.0"": 8, ""1980.8"": 27, ""3979.95"": 7, ""3460.05"": 6, ""3586.05"": 16, ""4749.0"": 1, ""3905.55"": 6, ""4436.25"": 1, ""3650.0"": 13, ""4180.0"": 10, ""3250.0"": 8, ""3000.0"": 25, ""2997.7"": 22, ""3864.75"": 4, ""3094.75"": 11, ""2760.1"": 6, ""2791.0"": 7, ""3455.6"": 5, ""2516.05"": 21, ""2506.2"": 26, ""3226.25"": 3, ""2870.0"": 18, ""3199.0"": 15, ""2815.0"": 19, ""3064.45"": 18, ""2763.1"": 6, ""2600.0"": 19, ""2780.0"": 16, ""2146.1"": 26, ""2481.1"": 16, ""2634.5"": 15, ""2435.0"": 16, ""2797.7"": 17, ""2305.0"": 16, ""2586.3"": 11, ""2120.0"": 42, ""2407.0"": 11, ""2735.0"": 15, ""1808.0"": 3, ""2199.0"": 9, ""1815.0"": 4, ""2204.0"": 8, ""1979.25"": 25, ""2154.65"": 31, ""1961.9"": 19, ""2498.85"": 30, ""1974.95"": 15, ""2270.0"": 18, ""1903.55"": 7, ""2090.0"": 20, ""1701.5"": 3, ""1968.8"": 15}"
