stocks,levels
NIFTY SERV SECTOR,"{""17081.55"": 8, ""17743.2"": 5, ""16698.2"": 9, ""17724.8"": 8, ""10401.3"": 1, ""13501.45"": 7, ""11618.55"": 3, ""14992.8"": 12, ""14184.8"": 3, ""15585.5"": 4, ""13884.95"": 4, ""20850.95"": 20, ""19147.5"": 3, ""22174.2"": 16, ""20451.1"": 19, ""20040.0"": 9, ""20977.5"": 11, ""19628.3"": 6, ""21136.25"": 13, ""22309.7"": 12, ""21527.7"": 24, ""25374.1"": 40, ""25822.85"": 7, ""24626.4"": 54, ""25536.15"": 28, ""23585.4"": 32, ""24909.1"": 55, ""23177.15"": 24, ""25807.3"": 10, ""23650.65"": 41, ""21892.0"": 26, ""25526.2"": 33, ""21225.3"": 19, ""22750.55"": 14, ""20292.75"": 8, ""24734.35"": 52, ""23367.45"": 32, ""24975.65"": 47, ""22752.65"": 14, ""25939.5"": 5, ""24178.0"": 61, ""25134.85"": 59, ""23208.8"": 25, ""24166.3"": 57, ""22333.2"": 13, ""24382.4"": 43, ""23969.05"": 44, ""25660.25"": 22, ""24527.35"": 37, ""26120.3"": 2, ""25489.15"": 32, ""23940.65"": 46, ""28259.95"": 17, ""26731.1"": 2, ""28278.0"": 16, ""27358.15"": 18, ""28731.9"": 8, ""27355.1"": 18, ""28770.55"": 6, ""27493.55"": 23, ""26535.15"": 1, ""31636.65"": 18, ""30328.15"": 13, ""33791.15"": 2, ""30807.3"": 19, ""33299.5"": 5}"
NIFTY PSE,"{""3456.2"": 6, ""3065.85"": 14, ""3286.05"": 13, ""1952.2"": 1, ""2473.05"": 14, ""2153.75"": 4, ""2639.55"": 6, ""2359.95"": 6, ""2633.2"": 10, ""2451.1"": 12, ""2705.8"": 5, ""2209.8"": 7, ""2141.2"": 2, ""2935.7"": 10, ""2630.55"": 8, ""3070.4"": 13, ""2711.4"": 1, ""3386.95"": 4, ""3017.35"": 11, ""2939.15"": 7, ""3603.05"": 17, ""3766.05"": 11, ""3681.25"": 9, ""3423.5"": 5, ""4504.35"": 10, ""3921.4"": 20, ""3739.65"": 16, ""4005.4"": 18, ""3676.3"": 11, ""3949.6"": 17, ""4190.65"": 20, ""3682.0"": 8, ""4517.15"": 9, ""3919.2"": 18, ""4164.5"": 17, ""3602.2"": 21, ""4351.5"": 19, ""3881.65"": 14, ""4530.3"": 11, ""4180.5"": 19, ""4539.25"": 7, ""4212.05"": 12, ""4622.8"": 3, ""4366.8"": 19, ""4857.4"": 3, ""5265.6"": 2, ""5531.95"": 5, ""6051.55"": 5, ""6133.35"": 1, ""5682.9"": 2, ""9564.2"": 15, ""9731.8"": 10, ""8428.65"": 1, ""9500.05"": 13, ""11353.35"": 11, ""8990.5"": 6, ""10441.7"": 5, ""11814.6"": 1, ""11564.9"": 4, ""10517.6"": 8, ""11379.55"": 11, ""9866.55"": 10, ""9447.1"": 6, ""10398.5"": 10}"
NIFTY CONSUMPTION,"{""5195.05"": 11, ""4856.7"": 12, ""4815.85"": 9, ""4953.85"": 30, ""5197.05"": 14, ""3614.85"": 1, ""4563.8"": 1, ""4178.6"": 1, ""5221.3"": 7, ""4796.75"": 9, ""4964.3"": 35, ""5566.85"": 3, ""6233.15"": 4, ""5799.4"": 9, ""6219.45"": 7, ""5761.15"": 3, ""5720.85"": 6, ""6080.2"": 14, ""5790.2"": 8, ""6303.55"": 6, ""7378.45"": 30, ""7653.45"": 17, ""6931.9"": 20, ""7457.1"": 15, ""7182.85"": 27, ""6640.95"": 18, ""7277.8"": 23, ""6666.35"": 17, ""6177.7"": 10, ""7218.65"": 27, ""6438.2"": 11, ""6988.4"": 19, ""6363.6"": 21, ""7618.15"": 14, ""8146.95"": 6, ""7571.9"": 15, ""8007.1"": 11, ""7643.25"": 13, ""7952.6"": 14, ""7222.25"": 24, ""7039.6"": 38, ""8505.3"": 19, ""8141.5"": 7, ""8627.4"": 6, ""8369.2"": 17, ""8639.35"": 6, ""8246.2"": 14, ""9064.5"": 2, ""9398.6"": 3, ""9690.8"": 10, ""9954.5"": 10, ""9990.35"": 7, ""11290.1"": 10, ""10968.15"": 6, ""11867.65"": 3, ""13057.6"": 2, ""11021.1"": 8, ""11695.4"": 11, ""11213.1"": 12, ""11733.75"": 7}"
NIFTY METAL,"{""2677.85"": 7, ""2466.65"": 6, ""2668.35"": 11, ""2484.0"": 4, ""2927.95"": 4, ""2458.45"": 10, ""1480.7"": 1, ""1871.95"": 3, ""2123.6"": 7, ""2579.45"": 10, ""2107.55"": 6, ""3289.3"": 5, ""2980.25"": 4, ""3586.9"": 4, ""3062.7"": 2, ""4075.4"": 1, ""3614.4"": 4, ""4588.85"": 3, ""5524.25"": 24, ""5421.5"": 19, ""4858.8"": 4, ""5936.1"": 14, ""5171.95"": 13, ""5913.85"": 27, ""5268.95"": 13, ""6312.2"": 10, ""5482.3"": 24, ""5174.0"": 13, ""5758.85"": 47, ""5195.35"": 17, ""5921.8"": 16, ""5329.7"": 27, ""6081.95"": 17, ""5293.4"": 17, ""6294.65"": 11, ""6825.65"": 23, ""4954.3"": 4, ""4437.3"": 2, ""6022.7"": 17, ""6308.25"": 11, ""5555.0"": 23, ""6835.35"": 19, ""6194.5"": 12, ""6919.6"": 8, ""5580.25"": 21, ""5209.35"": 16, ""5304.45"": 24, ""5544.95"": 24, ""5988.6"": 16, ""6819.85"": 25, ""6433.55"": 16, ""7168.5"": 1, ""6967.6"": 5, ""6346.3"": 7, ""8055.6"": 9, ""7470.15"": 3, ""8348.25"": 9, ""7547.2"": 3, ""8436.55"": 9, ""7578.35"": 3, ""8789.95"": 11, ""10195.6"": 2, ""8534.95"": 4, ""8727.8"": 8, ""9518.45"": 10, ""8993.35"": 18, ""10322.05"": 1, ""8924.55"": 10, ""8652.15"": 7, ""9605.35"": 9, ""7935.35"": 15}"
NIFTY 100,"{""12173.95"": 15, ""12286.6"": 22, ""11918.95"": 9, ""12026.8"": 27, ""12544.4"": 3, ""11719.25"": 14, ""12369.4"": 14, ""7624.85"": 1, ""10031.95"": 3, ""8988.95"": 2, ""11046.95"": 4, ""11927.2"": 13, ""10906.7"": 8, ""11646.9"": 13, ""13214.0"": 3, ""13704.15"": 4, ""15513.5"": 8, ""14604.25"": 10, ""15438.5"": 8, ""14393.5"": 9, ""15139.95"": 16, ""14329.6"": 5, ""15178.85"": 12, ""16167.6"": 14, ""16200.3"": 14, ""15781.9"": 6, ""18204.05"": 49, ""18870.7"": 11, ""17782.45"": 27, ""18498.7"": 29, ""17060.7"": 17, ""17941.34"": 42, ""16653.59"": 16, ""18595.15"": 24, ""17030.45"": 15, ""15901.1"": 18, ""18327.75"": 33, ""15941.1"": 26, ""16953.65"": 17, ""15336.05"": 12, ""18304.7"": 39, ""17486.85"": 50, ""18505.2"": 28, ""17080.65"": 14, ""19039.4"": 6, ""17834.1"": 33, ""17247.6"": 23, ""17907.0"": 43, ""16696.25"": 21, ""19822.95"": 13, ""19153.7"": 8, ""20136.3"": 4, ""19277.3"": 21, ""19792.75"": 15, ""18743.3"": 16, ""21391.8"": 5, ""22140.2"": 8, ""23494.8"": 14, ""22469.05"": 15, ""23693.5"": 11, ""22630.85"": 13, ""22003.75"": 11, ""26145.6"": 16, ""24871.55"": 13, ""25786.3"": 13, ""27335.65"": 1, ""24014.25"": 9, ""25784.4"": 14}"
NIFTY ENERGY,"{""16544.05"": 5, ""15807.3"": 20, ""16431.5"": 9, ""15655.15"": 21, ""16196.35"": 21, ""14271.85"": 2, ""9750.0"": 1, ""13228.65"": 1, ""12189.25"": 2, ""14070.75"": 4, ""16064.0"": 27, ""16301.7"": 16, ""14492.3"": 10, ""14399.65"": 6, ""14444.5"": 7, ""17484.1"": 6, ""15989.8"": 38, ""17835.65"": 6, ""16104.6"": 23, ""19907.95"": 12, ""18045.15"": 11, ""17159.3"": 8, ""21066.1"": 6, ""18803.3"": 5, ""25343.5"": 26, ""22974.35"": 14, ""24453.45"": 18, ""23804.0"": 19, ""21841.95"": 6, ""25418.9"": 18, ""22831.1"": 20, ""29304.05"": 4, ""25120.85"": 18, ""23376.85"": 24, ""28257.15"": 7, ""24851.75"": 21, ""27233.35"": 23, ""25979.7"": 32, ""27545.15"": 21, ""24665.55"": 19, ""26369.35"": 22, ""21631.1"": 2, ""22989.25"": 10, ""22205.45"": 6, ""24458.35"": 16, ""23458.35"": 15, ""26892.25"": 32, ""25648.35"": 25, ""27938.6"": 14, ""27585.15"": 22, ""25833.45"": 34, ""40194.9"": 10, ""40749.2"": 15, ""36854.95"": 7, ""40437.75"": 16, ""38726.85"": 9, ""41244.55"": 8, ""38132.75"": 11, ""43084.75"": 13, ""36244.0"": 2, ""40089.7"": 22, ""40325.7"": 12, ""45022.15"": 1, ""42240.8"": 11, ""44059.75"": 8, ""41498.35"": 16, ""44721.1"": 3, ""35440.85"": 11, ""38136.85"": 10}"
NIFTY 50,"{""12158.8"": 23, ""11832.3"": 12, ""12293.9"": 10, ""11929.6"": 29, ""12430.5"": 1, ""11614.5"": 11, ""12246.7"": 14, ""7511.1"": 1, ""9889.04"": 4, ""8806.75"": 2, ""10882.25"": 2, ""11794.25"": 12, ""10790.2"": 3, ""12025.45"": 23, ""11535.45"": 13, ""13131.45"": 5, ""13596.75"": 6, ""15431.75"": 7, ""14467.75"": 15, ""15336.3"": 8, ""14264.4"": 9, ""14984.15"": 13, ""14151.4"": 4, ""15044.35"": 14, ""15962.25"": 9, ""15513.45"": 5, ""17947.65"": 39, ""18604.45"": 18, ""17613.09"": 50, ""18210.15"": 27, ""16782.4"": 10, ""17639.5"": 51, ""16410.2"": 10, ""18350.95"": 23, ""16836.8"": 16, ""15671.45"": 20, ""18114.65"": 46, ""15735.75"": 33, ""16793.85"": 10, ""15183.4"": 14, ""17992.2"": 35, ""17166.2"": 38, ""18096.15"": 44, ""16747.7"": 9, ""18887.6"": 6, ""18201.25"": 27, ""17353.4"": 40, ""18134.75"": 37, ""16828.35"": 14, ""19991.85"": 7, ""19223.65"": 7, ""20222.45"": 3, ""19333.6"": 18, ""19849.75"": 18, ""18837.85"": 9, ""21137.2"": 3, ""22126.8"": 18, ""22526.6"": 16, ""21710.2"": 18, ""22775.7"": 8, ""21777.65"": 19, ""22794.7"": 8, ""21821.05"": 15, ""21281.45"": 5, ""25078.3"": 15, ""23893.7"": 13, ""24753.15"": 13, ""26277.35"": 2, ""23263.15"": 14, ""24857.75"": 17}"
NIFTY MIDCAP 100,"{""17338.05"": 8, ""16479.95"": 10, ""16821.85"": 29, ""18495.9"": 3, ""17404.3"": 11, ""10749.95"": 1, ""13598.35"": 1, ""12389.5"": 4, ""17555.25"": 5, ""16013.25"": 2, ""16559.0"": 10, ""19178.9"": 3, ""22504.6"": 3, ""20769.65"": 8, ""24740.45"": 4, ""22480.25"": 3, ""24680.7"": 5, ""22799.9"": 5, ""27474.45"": 30, ""28403.45"": 10, ""26683.95"": 16, ""28857.35"": 8, ""33243.5"": 2, ""29838.85"": 19, ""32259.25"": 16, ""28933.1"": 13, ""31504.35"": 35, ""28396.1"": 12, ""32230.3"": 17, ""28627.05"": 13, ""26532.65"": 6, ""31506.55"": 35, ""26472.6"": 8, ""28729.15"": 3, ""25048.15"": 5, ""30098.5"": 40, ""32603.25"": 14, ""29878.95"": 32, ""32081.55"": 20, ""30750.7"": 39, ""32939.3"": 6, ""29910.15"": 38, ""29869.15"": 29, ""31258.85"": 42, ""29200.2"": 15, ""41686.75"": 4, ""40849.45"": 4, ""37655.85"": 6, ""43281.3"": 1, ""49780.65"": 11, ""46943.25"": 8, ""45293.35"": 7, ""47952.7"": 9, ""48568.1"": 9, ""47246.6"": 12, ""54423.05"": 9, ""59290.05"": 16, ""57791.2"": 10, ""60925.95"": 2, ""54740.95"": 5, ""53635.85"": 8, ""59654.95"": 6}"
NIFTY FMCG,"{""32644.9"": 4, ""29964.8"": 21, ""29660.1"": 21, ""31546.8"": 25, ""29833.05"": 19, ""22699.05"": 1, ""30202.75"": 31, ""25984.0"": 1, ""31708.0"": 17, ""30582.75"": 23, ""32155.5"": 3, ""28969.35"": 9, ""29307.25"": 14, ""34596.05"": 25, ""35000.35"": 22, ""32972.25"": 9, ""34978.15"": 21, ""32312.45"": 8, ""35442.85"": 10, ""33505.2"": 11, ""36565.25"": 26, ""35859.9"": 13, ""41821.9"": 4, ""42021.45"": 4, ""37878.85"": 31, ""39407.15"": 4, ""38450.95"": 18, ""35653.55"": 14, ""38218.15"": 22, ""35366.55"": 8, ""33407.55"": 13, ""38808.7"": 18, ""35826.7"": 14, ""39280.75"": 2, ""36024.05"": 21, ""42226.55"": 5, ""45237.95"": 20, ""42877.1"": 13, ""42461.8"": 8, ""45050.35"": 23, ""43447.9"": 13, ""46331.2"": 9, ""43655.0"": 17, ""43550.1"": 11, ""46398.7"": 12, ""44392.05"": 27, ""52540.5"": 27, ""54349.85"": 27, ""52315.3"": 31, ""50913.0"": 14, ""52454.75"": 33, ""51128.5"": 21, ""52851.45"": 15, ""50607.0"": 6, ""57966.7"": 16, ""53138.4"": 13, ""54962.5"": 15, ""52562.6"": 28, ""52398.75"": 26, ""56222.75"": 27, ""58832.65"": 6, ""53057.65"": 14, ""55837.4"": 25, ""63084.3"": 12, ""66438.7"": 2, ""55493.25"": 27, ""58788.85"": 7, ""55455.15"": 23, ""58238.1"": 8}"
NIFTY BANK,"{""32157.05"": 25, ""30996.4"": 18, ""32613.1"": 12, ""29612.55"": 9, ""31649.45"": 10, ""16116.25"": 1, ""21967.0"": 11, ""17105.0"": 2, ""19507.05"": 6, ""23211.35"": 4, ""21031.45"": 8, ""25232.6"": 2, ""20404.9"": 7, ""28976.75"": 6, ""29687.7"": 9, ""37708.75"": 33, ""34658.7"": 30, ""30405.65"": 10, ""34287.0"": 12, ""35810.9"": 31, ""33908.95"": 12, ""35985.25"": 30, ""34115.2"": 15, ""36317.0"": 27, ""34817.5"": 30, ""41829.6"": 11, ""35327.9"": 38, ""37581.05"": 18, ""34018.45"": 7, ""36375.35"": 29, ""39424.85"": 26, ""32155.35"": 25, ""38765.85"": 22, ""33001.75"": 11, ""36083.7"": 23, ""32290.55"": 21, ""39759.15"": 16, ""37943.85"": 26, ""41840.15"": 11, ""37386.35"": 26, ""44151.8"": 34, ""41569.45"": 22, ""43078.9"": 23, ""39419.8"": 27, ""39600.25"": 21, ""41671.2"": 23, ""38613.15"": 21, ""44498.6"": 31, ""43345.95"": 26, ""46369.5"": 14, ""43600.35"": 30, ""46310.4"": 16, ""42105.4"": 13, ""43230.95"": 18, ""48636.45"": 18, ""44429.0"": 30, ""44633.85"": 24, ""48161.25"": 21, ""45828.8"": 12, ""49057.4"": 19, ""46579.05"": 16, ""49974.75"": 11, ""46983.25"": 14, ""46077.85"": 15, ""53357.7"": 9, ""49654.65"": 14, ""50369.4"": 18, ""54467.35"": 1, ""50194.3"": 15, ""52577.5"": 15, ""49787.1"": 16, ""53888.3"": 5}"
