stocks,levels
NTPC,"{""124.2"": 8, ""109.7"": 11, ""125.0"": 8, ""118.9"": 27, ""73.2"": 1, ""101.0"": 16, ""85.65"": 9, ""89.9"": 15, ""103.8"": 17, ""85.85"": 11, ""85.0"": 8, ""108.0"": 13, ""78.1"": 3, ""107.25"": 10, ""94.75"": 17, ""104.35"": 12, ""88.15"": 15, ""114.7"": 24, ""102.0"": 12, ""97.05"": 16, ""116.75"": 25, ""107.8"": 12, ""121.0"": 14, ""119.5"": 17, ""111.95"": 19, ""152.1"": 4, ""128.55"": 5, ""119.1"": 28, ""144.15"": 15, ""123.65"": 4, ""166.35"": 18, ""141.65"": 7, ""160.2"": 12, ""134.95"": 23, ""176.15"": 20, ""155.0"": 13, ""182.95"": 4, ""164.15"": 21, ""176.0"": 19, ""161.9"": 10, ""173.8"": 21, ""162.55"": 10, ""182.2"": 2, ""170.5"": 21, ""179.75"": 8, ""166.8"": 28, ""180.0"": 4, ""171.85"": 22, ""197.75"": 1, ""226.65"": 1, ""251.5"": 3, ""247.2"": 3, ""227.75"": 1, ""325.65"": 8, ""296.55"": 2, ""359.95"": 15, ""305.75"": 5, ""374.5"": 13, ""341.9"": 9, ""380.4"": 9, ""393.2"": 8, ""313.95"": 8, ""389.5"": 6, ""355.55"": 12, ""361.55"": 16, ""426.3"": 8, ""419.2"": 6, ""385.3"": 5, ""448.45"": 1, ""391.6"": 6, ""354.8"": 8, ""296.85"": 2}"
POWERGRID,"{""113.2"": 14, ""109.6"": 17, ""96.75"": 18, ""115.15"": 5, ""95.95"": 9, ""108.7"": 9, ""65.15"": 1, ""93.9"": 11, ""93.15"": 11, ""82.7"": 2, ""102.75"": 30, ""86.2"": 10, ""100.25"": 12, ""93.85"": 10, ""103.7"": 22, ""83.4"": 4, ""108.45"": 11, ""100.2"": 12, ""99.1"": 10, ""130.5"": 5, ""128.3"": 17, ""108.1"": 11, ""131.35"": 4, ""137.95"": 8, ""124.45"": 9, ""121.8"": 6, ""137.2"": 8, ""124.1"": 5, ""153.9"": 33, ""131.65"": 6, ""158.8"": 22, ""144.95"": 9, ""147.25"": 8, ""161.6"": 18, ""138.85"": 9, ""164.0"": 20, ""149.5"": 16, ""176.35"": 10, ""162.55"": 17, ""182.7"": 16, ""162.7"": 15, ""150.25"": 19, ""162.4"": 19, ""151.75"": 14, ""170.2"": 19, ""175.3"": 15, ""136.2"": 6, ""173.85"": 14, ""153.7"": 27, ""165.15"": 31, ""149.65"": 18, ""167.65"": 31, ""154.25"": 27, ""171.95"": 16, ""160.45"": 26, ""183.65"": 12, ""168.95"": 23, ""194.15"": 5, ""173.95"": 11, ""196.7"": 5, ""205.95"": 5, ""193.75"": 3, ""209.0"": 10, ""215.1"": 2, ""226.05"": 3, ""298.9"": 6, ""257.65"": 1, ""268.4"": 3, ""348.7"": 4, ""279.2"": 10, ""348.75"": 4, ""321.1"": 13, ""362.5"": 2, ""323.55"": 5, ""366.25"": 2, ""308.7"": 15, ""345.4"": 7, ""336.25"": 12}"
NHPC,"{""24.25"": 20, ""23.5"": 15, ""29.1"": 12, ""23.4"": 13, ""15.1"": 1, ""23.55"": 8, ""19.4"": 8, ""21.25"": 7, ""19.85"": 12, ""24.5"": 16, ""19.8"": 13, ""19.7"": 16, ""22.15"": 4, ""23.75"": 18, ""21.2"": 9, ""25.6"": 8, ""22.9"": 6, ""23.05"": 14, ""26.65"": 8, ""26.0"": 26, ""27.6"": 5, ""27.5"": 7, ""25.05"": 7, ""25.5"": 7, ""27.3"": 12, ""25.3"": 4, ""28.6"": 2, ""37.05"": 5, ""34.85"": 11, ""34.9"": 18, ""29.25"": 3, ""32.55"": 3, ""27.05"": 14, ""37.6"": 6, ""30.05"": 4, ""34.4"": 6, ""28.8"": 6, ""36.5"": 8, ""33.35"": 14, ""40.4"": 13, ""34.05"": 18, ""46.9"": 6, ""41.0"": 10, ""36.75"": 7, ""44.4"": 9, ""37.75"": 7, ""43.8"": 14, ""38.7"": 19, ""47.9"": 1, ""42.55"": 15, ""44.85"": 9, ""52.7"": 10, ""56.85"": 1, ""49.35"": 5, ""48.4"": 3, ""115.85"": 2, ""77.5"": 6, ""73.6"": 2, ""95.5"": 12, ""86.85"": 5, ""118.0"": 1, ""91.1"": 12, ""98.01"": 9, ""118.4"": 1, ""96.67"": 8, ""92.5"": 10, ""100.5"": 10, ""75.1"": 5, ""85.59"": 4, ""76.41"": 6, ""88.79"": 9, ""72.15"": 2}"
ONGC,"{""141.8"": 12, ""126.4"": 20, ""47.4"": 1, ""57.65"": 1, ""77.6"": 13, ""68.6"": 9, ""88.25"": 8, ""71.05"": 4, ""71.6"": 4, ""81.0"": 5, ""62.1"": 2, ""60.75"": 1, ""100.1"": 5, ""82.1"": 5, ""102.25"": 5, ""83.15"": 3, ""115.95"": 11, ""92.35"": 5, ""114.85"": 10, ""121.75"": 17, ""118.45"": 24, ""105.75"": 5, ""112.3"": 12, ""163.75"": 16, ""138.35"": 23, ""153.8"": 12, ""142.65"": 26, ""124.75"": 14, ""167.1"": 11, ""147.65"": 25, ""184.75"": 1, ""152.7"": 17, ""170.35"": 6, ""133.7"": 25, ""158.6"": 16, ""113.55"": 10, ""134.5"": 20, ""123.05"": 19, ""115.15"": 9, ""129.45"": 20, ""119.25"": 22, ""125.95"": 16, ""146.05"": 25, ""132.8"": 18, ""150.5"": 22, ""151.35"": 18, ""138.85"": 18, ""160.15"": 16, ""142.2"": 14, ""182.2"": 4, ""171.15"": 3, ""170.45"": 5, ""278.15"": 12, ""242.95"": 7, ""285.95"": 7, ""255.8"": 15, ""279.7"": 8, ""217.65"": 1, ""336.75"": 3, ""275.75"": 7, ""240.8"": 5, ""264.7"": 15, ""231.15"": 1, ""273.5"": 15}"
BPCL,"{""248.3"": 4, ""253.5"": 1, ""203.3"": 19, ""197.65"": 12, ""234.0"": 11, ""105.0"": 1, ""166.4"": 24, ""124.9"": 6, ""180.0"": 16, ""159.15"": 35, ""219.5"": 23, ""174.5"": 25, ""197.0"": 12, ""141.5"": 22, ""183.6"": 17, ""157.5"": 33, ""194.0"": 19, ""167.1"": 24, ""220.2"": 17, ""186.55"": 26, ""179.0"": 18, ""225.95"": 17, ""199.3"": 6, ""230.5"": 6, ""185.0"": 18, ""214.0"": 25, ""185.8"": 25, ""161.9"": 21, ""157.7"": 25, ""182.45"": 7, ""144.55"": 19, ""178.4"": 20, ""135.1"": 16, ""125.7"": 3, ""145.1"": 32, ""131.1"": 10, ""156.6"": 25, ""151.8"": 28, ""123.0"": 1, ""154.7"": 28, ""139.1"": 20, ""158.0"": 31, ""140.1"": 23, ""136.0"": 6, ""159.8"": 30, ""142.5"": 22, ""166.45"": 22, ""157.2"": 33, ""156.3"": 28, ""169.2"": 28, ""156.8"": 18, ""177.95"": 22, ""176.5"": 27, ""148.55"": 18, ""163.4"": 19, ""144.7"": 26, ""220.25"": 17, ""224.9"": 21, ""333.5"": 10, ""267.7"": 3, ""299.65"": 11, ""271.6"": 4, ""310.35"": 8, ""333.0"": 10, ""256.6"": 4, ""282.9"": 8, ""348.55"": 11, ""367.2"": 3, ""322.95"": 10, ""376.0"": 1, ""279.35"": 10, ""308.95"": 10, ""282.05"": 12}"
COALINDIA,"{""186.55"": 10, ""154.0"": 15, ""183.6"": 11, ""140.05"": 7, ""134.0"": 24, ""88.2"": 1, ""121.45"": 8, ""90.05"": 7, ""118.75"": 14, ""97.15"": 14, ""93.6"": 13, ""112.95"": 28, ""78.55"": 3, ""88.75"": 4, ""115.0"": 20, ""98.35"": 16, ""117.8"": 12, ""94.25"": 6, ""113.3"": 21, ""132.0"": 12, ""96.05"": 13, ""92.4"": 4, ""128.7"": 8, ""112.5"": 18, ""119.7"": 6, ""117.45"": 15, ""101.75"": 17, ""172.8"": 10, ""132.3"": 8, ""108.15"": 17, ""137.25"": 10, ""123.3"": 8, ""139.3"": 3, ""118.0"": 23, ""166.75"": 16, ""178.0"": 12, ""133.65"": 9, ""170.95"": 11, ""143.75"": 9, ""209.5"": 8, ""176.85"": 9, ""232.4"": 1, ""203.45"": 21, ""180.1"": 16, ""201.0"": 33, ""178.15"": 8, ""195.95"": 27, ""176.6"": 5, ""216.9"": 5, ""192.25"": 9, ""206.3"": 12, ""212.15"": 5, ""288.75"": 2, ""326.55"": 5, ""352.25"": 1, ""471.85"": 26, ""385.45"": 10, ""447.7"": 5, ""412.3"": 11, ""418.95"": 13, ""511.65"": 6, ""395.05"": 4, ""445.75"": 7, ""448.8"": 5, ""526.5"": 3, ""527.8"": 1, ""460.5"": 10, ""502.1"": 5, ""402.6"": 3, ""427.45"": 13, ""361.25"": 4}"
IOC,"{""66.25"": 10, ""70.45"": 14, ""56.7"": 22, ""34.65"": 7, ""44.65"": 8, ""32.45"": 1, ""49.25"": 7, ""40.85"": 8, ""45.45"": 6, ""40.0"": 10, ""48.75"": 8, ""41.35"": 16, ""46.15"": 12, ""32.75"": 1, ""50.0"": 8, ""41.15"": 9, ""54.25"": 14, ""45.15"": 8, ""54.75"": 15, ""55.0"": 36, ""42.85"": 10, ""63.55"": 29, ""52.95"": 14, ""78.35"": 15, ""69.3"": 24, ""79.35"": 14, ""57.1"": 24, ""70.35"": 14, ""57.85"": 9, ""68.25"": 25, ""62.4"": 24, ""75.7"": 12, ""59.55"": 15, ""65.45"": 17, ""52.7"": 12, ""58.8"": 13, ""55.25"": 16, ""58.75"": 15, ""50.2"": 4, ""50.55"": 7, ""64.25"": 30, ""57.35"": 16, ""69.05"": 30, ""61.9"": 19, ""60.8"": 17, ""66.15"": 15, ""60.75"": 13, ""61.8"": 24, ""78.7"": 13, ""73.7"": 18, ""86.45"": 1, ""76.75"": 9, ""84.0"": 9, ""73.5"": 10, ""189.8"": 1, ""146.6"": 1, ""168.2"": 17, ""155.2"": 5, ""172.8"": 7, ""147.75"": 1, ""170.0"": 13, ""140.8"": 11, ""155.18"": 6, ""185.97"": 1, ""163.01"": 17, ""184.0"": 2, ""162.19"": 27, ""182.46"": 4, ""129.5"": 2, ""145.1"": 8, ""133.54"": 4, ""121.16"": 3}"
GAIL,"{""73.28"": 7, ""84.46"": 30, ""71.54"": 12, ""65.67"": 2, ""80.36"": 25, ""67.93"": 3, ""79.83"": 33, ""36.47"": 1, ""55.69"": 5, ""45.24"": 2, ""56.71"": 10, ""46.4"": 1, ""63.74"": 1, ""55.36"": 4, ""54.35"": 7, ""60.99"": 10, ""47.36"": 5, ""46.88"": 3, ""77.42"": 29, ""67.02"": 2, ""88.6"": 31, ""96.16"": 24, ""76.56"": 15, ""86.19"": 24, ""77.23"": 20, ""101.17"": 14, ""104.11"": 1, ""82.43"": 56, ""93.61"": 21, ""104.74"": 8, ""88.17"": 31, ""82.87"": 27, ""75.11"": 20, ""83.4"": 18, ""92.31"": 31, ""77.33"": 30, ""100.07"": 22, ""86.38"": 27, ""106.14"": 9, ""77.57"": 28, ""90.29"": 26, ""76.99"": 14, ""85.13"": 31, ""74.68"": 22, ""75.78"": 14, ""83.25"": 17, ""79.4"": 27, ""91.25"": 15, ""81.61"": 29, ""93.8"": 16, ""103.39"": 7, ""92.89"": 25, ""101.66"": 9, ""95.92"": 24, ""104.5"": 8, ""93.9"": 20, ""94.24"": 31, ""113.17"": 14, ""102.14"": 12, ""119.53"": 2, ""110.33"": 2, ""122.32"": 3, ""106.62"": 8, ""124.64"": 1, ""144.78"": 2, ""189.2"": 8, ""159.52"": 2, ""205.87"": 5, ""180.52"": 6, ""224.7"": 10, ""167.18"": 1, ""201.53"": 11, ""237.33"": 1, ""232.85"": 2, ""201.02"": 15, ""236.07"": 1, ""173.85"": 10, ""205.63"": 7}"
HINDPETRO,"{""197.65"": 7, ""159.45"": 25, ""135.65"": 34, ""126.75"": 15, ""130.25"": 24, ""79.0"": 1, ""88.55"": 2, ""131.35"": 31, ""92.55"": 6, ""140.4"": 32, ""112.65"": 8, ""139.45"": 23, ""87.6"": 1, ""127.95"": 14, ""135.25"": 33, ""114.95"": 9, ""137.4"": 20, ""120.55"": 20, ""151.85"": 22, ""129.6"": 25, ""139.6"": 27, ""127.55"": 17, ""187.0"": 5, ""185.3"": 12, ""142.0"": 26, ""205.45"": 3, ""180.55"": 19, ""215.55"": 2, ""162.15"": 27, ""200.45"": 3, ""154.35"": 20, ""153.85"": 24, ""183.45"": 15, ""116.65"": 9, ""142.95"": 35, ""129.05"": 17, ""156.75"": 33, ""149.0"": 23, ""112.35"": 12, ""124.75"": 10, ""147.65"": 24, ""128.65"": 21, ""153.0"": 25, ""127.05"": 25, ""120.1"": 22, ""144.95"": 20, ""125.75"": 22, ""158.35"": 18, ""165.35"": 12, ""185.6"": 17, ""143.15"": 31, ""158.25"": 22, ""143.7"": 19, ""156.65"": 38, ""138.45"": 32, ""243.0"": 1, ""256.65"": 3, ""385.55"": 20, ""284.35"": 4, ""349.6"": 8, ""305.9"": 6, ""297.0"": 5, ""312.0"": 6, ""395.6"": 6, ""457.15"": 1, ""392.0"": 10, ""446.95"": 3, ""354.9"": 4, ""421.5"": 7}"
OIL,"{""116.65"": 5, ""100.05"": 3, ""98.95"": 6, ""106.55"": 8, ""78.85"": 10, ""42.35"": 1, ""62.95"": 6, ""49.5"": 2, ""67.0"": 6, ""46.0"": 1, ""71.6"": 4, ""55.45"": 4, ""68.6"": 5, ""55.65"": 10, ""56.0"": 7, ""79.4"": 5, ""65.35"": 10, ""79.6"": 8, ""72.35"": 4, ""76.8"": 11, ""74.65"": 10, ""118.25"": 1, ""102.05"": 12, ""104.85"": 9, ""178.55"": 9, ""138.45"": 10, ""152.65"": 13, ""113.05"": 6, ""161.05"": 15, ""143.6"": 7, ""175.25"": 17, ""144.75"": 13, ""167.35"": 19, ""140.5"": 14, ""204.0"": 7, ""114.7"": 8, ""136.65"": 14, ""122.7"": 8, ""131.65"": 14, ""111.9"": 10, ""129.45"": 16, ""145.75"": 10, ""131.0"": 7, ""161.8"": 13, ""140.15"": 12, ""176.55"": 9, ""181.05"": 6, ""180.0"": 12, ""166.95"": 13, ""182.7"": 11, ""166.3"": 10, ""160.55"": 16, ""197.95"": 6, ""180.35"": 6, ""226.25"": 1, ""196.35"": 5, ""195.45"": 3, ""270.95"": 4, ""241.6"": 1, ""431.35"": 6, ""342.0"": 2, ""446.35"": 6, ""392.45"": 6, ""392.7"": 5, ""363.35"": 4, ""653.0"": 1, ""767.9"": 1, ""535.85"": 1, ""459.05"": 2, ""529.0"": 3, ""414.0"": 10, ""494.55"": 5}"
