stocks,levels
HCC,"{""6.9"": 8, ""10.45"": 16, ""7.45"": 11, ""12.75"": 8, ""8.8"": 11, ""9.45"": 12, ""11.7"": 14, ""3.45"": 2, ""5.4"": 18, ""4.05"": 2, ""6.5"": 1, ""5.25"": 7, ""6.8"": 7, ""4.7"": 25, ""4.4"": 6, ""5.3"": 13, ""10.5"": 8, ""9.25"": 24, ""7.4"": 19, ""8.5"": 11, ""7.7"": 21, ""9.5"": 15, ""8.35"": 9, ""6.95"": 2, ""15.55"": 20, ""8.6"": 9, ""10.05"": 20, ""8.95"": 13, ""11.75"": 42, ""8.65"": 14, ""8.9"": 15, ""18.05"": 10, ""13.2"": 13, ""19.25"": 7, ""13.3"": 12, ""18.95"": 7, ""18.7"": 7, ""10.15"": 10, ""13.8"": 24, ""14.7"": 11, ""11.5"": 10, ""15.65"": 10, ""12.85"": 8, ""21.8"": 1, ""15.85"": 9, ""13.05"": 12, ""12.1"": 13, ""17.05"": 5, ""21.3"": 1, ""17.8"": 9, ""29.1"": 3, ""22.4"": 1, ""28.5"": 5, ""22.65"": 2, ""32.5"": 1, ""26.6"": 3, ""46.0"": 5, ""29.05"": 8, ""39.75"": 12, ""32.75"": 2, ""41.9"": 5, ""31.3"": 3, ""53.4"": 3, ""57.5"": 1, ""42.66"": 6, ""45.06"": 9, ""35.5"": 4, ""34.52"": 6}"
IONEXCHANG,"{""155.5"": 2, ""182.5"": 8, ""180.9"": 9, ""159.0"": 1, ""204.1"": 6, ""172.7"": 12, ""192.3"": 3, ""167.15"": 11, ""234.5"": 1, ""194.0"": 2, ""305.45"": 3, ""244.1"": 2, ""289.9"": 5, ""243.2"": 4, ""303.0"": 3, ""321.5"": 3, ""374.4"": 2, ""439.6"": 4, ""609.8"": 7, ""456.0"": 1, ""591.95"": 8, ""475.0"": 4, ""686.95"": 8, ""521.0"": 16, ""553.55"": 14, ""634.75"": 15, ""544.9"": 15, ""469.1"": 4, ""434.35"": 2, ""584.45"": 12, ""445.0"": 1, ""563.0"": 11, ""406.95"": 2, ""499.15"": 7, ""768.4"": 1, ""587.8"": 12, ""640.0"": 19, ""742.45"": 1, ""709.15"": 8, ""605.4"": 2, ""613.55"": 2, ""723.1"": 5, ""744.2"": 1}"
NCC,"{""69.45"": 17, ""49.55"": 4, ""61.0"": 13, ""15.85"": 1, ""29.1"": 1, ""20.75"": 2, ""34.95"": 11, ""27.5"": 4, ""38.2"": 1, ""29.5"": 2, ""36.2"": 6, ""30.9"": 3, ""36.75"": 7, ""60.6"": 9, ""47.4"": 3, ""64.5"": 9, ""56.85"": 17, ""99.85"": 2, ""96.8"": 5, ""71.25"": 17, ""69.2"": 16, ""94.0"": 8, ""98.5"": 1, ""70.0"": 22, ""87.5"": 15, ""85.5"": 7, ""69.5"": 16, ""83.9"": 15, ""69.0"": 15, ""66.2"": 3, ""79.9"": 18, ""68.1"": 13, ""55.75"": 8, ""58.35"": 14, ""72.9"": 15, ""58.75"": 11, ""66.1"": 2, ""52.2"": 8, ""55.6"": 8, ""75.7"": 13, ""66.3"": 5, ""71.1"": 18, ""96.9"": 4, ""76.35"": 7, ""96.7"": 5, ""83.6"": 17, ""98.0"": 2, ""87.4"": 10, ""126.9"": 3, ""99.65"": 2, ""129.85"": 1, ""117.4"": 2, ""162.0"": 5, ""176.6"": 4, ""144.2"": 3, ""169.3"": 3, ""136.55"": 2, ""182.9"": 1, ""154.65"": 8, ""267.4"": 3, ""200.55"": 1, ""278.05"": 7, ""236.4"": 6, ""230.55"": 2, ""250.3"": 9, ""295.5"": 4, ""364.5"": 1, ""308.5"": 13, ""330.8"": 4, ""270.65"": 3, ""321.9"": 11, ""269.25"": 3, ""326.45"": 9}"
RAYMOND,"{""824.6"": 3, ""769.0"": 8, ""621.75"": 8, ""704.15"": 7, ""208.9"": 1, ""280.5"": 15, ""211.0"": 1, ""359.0"": 5, ""232.1"": 1, ""310.35"": 4, ""250.65"": 7, ""294.45"": 4, ""266.7"": 11, ""369.8"": 8, ""303.5"": 4, ""316.45"": 8, ""406.85"": 10, ""325.4"": 8, ""297.3"": 3, ""447.4"": 7, ""471.4"": 4, ""387.9"": 2, ""403.05"": 8, ""433.45"": 9, ""704.65"": 6, ""582.0"": 7, ""814.65"": 3, ""776.7"": 9, ""641.65"": 13, ""958.8"": 16, ""733.1"": 7, ""1271.95"": 7, ""792.35"": 3, ""1022.5"": 5, ""912.35"": 5, ""1013.6"": 3, ""1177.95"": 3, ""979.0"": 7, ""1280.9"": 11, ""1066.3"": 1, ""1635.3"": 7, ""1298.4"": 7, ""1552.6"": 11, ""1213.95"": 8, ""1095.15"": 6, ""1746.7"": 16, ""1484.15"": 8, ""1713.65"": 25, ""2011.3"": 5, ""2228.15"": 3, ""1593.5"": 16, ""1912.6"": 17, ""1479.7"": 7, ""1784.5"": 22, ""1858.1"": 11, ""1661.05"": 13, ""1933.6"": 7, ""1581.55"": 12, ""2320.65"": 1, ""1879.85"": 15, ""3477.45"": 1, ""1810.7"": 19, ""1819.45"": 14, ""2182.0"": 6, ""1829.0"": 20, ""1763.0"": 31, ""1325.0"": 5, ""1908.0"": 14, ""1838.5"": 19}"
AMJLAND,"{""20.5"": 34, ""24.0"": 14, ""24.85"": 14, ""20.35"": 4, ""12.55"": 1, ""18.0"": 21, ""13.65"": 1, ""23.45"": 11, ""23.35"": 3, ""15.75"": 3, ""22.1"": 6, ""16.7"": 1, ""17.1"": 4, ""17.8"": 11, ""21.2"": 6, ""22.8"": 7, ""31.45"": 11, ""24.05"": 12, ""24.15"": 5, ""27.5"": 22, ""21.4"": 4, ""20.95"": 9, ""33.0"": 17, ""37.2"": 13, ""40.4"": 8, ""27.3"": 20, ""42.7"": 4, ""32.05"": 10, ""36.3"": 17, ""30.0"": 13, ""35.9"": 10, ""29.8"": 9, ""38.8"": 23, ""25.15"": 8, ""39.0"": 19, ""25.7"": 24, ""23.2"": 9, ""30.4"": 13, ""22.75"": 6, ""29.85"": 11, ""24.95"": 9, ""24.7"": 11, ""35.8"": 11, ""26.7"": 24, ""32.2"": 12, ""26.75"": 8, ""31.5"": 16, ""32.3"": 8, ""25.2"": 12, ""31.15"": 5, ""26.65"": 13, ""18.75"": 13, ""25.35"": 22, ""25.5"": 21, ""22.25"": 8, ""33.7"": 24, ""36.35"": 14, ""29.75"": 7, ""35.5"": 15, ""29.3"": 9, ""41.9"": 6, ""43.25"": 5, ""35.85"": 13, ""38.85"": 22, ""45.4"": 1, ""35.65"": 7, ""42.9"": 5, ""31.1"": 12, ""35.55"": 14, ""43.4"": 2, ""36.0"": 18, ""65.31"": 5, ""48.9"": 6, ""59.0"": 7, ""44.0"": 7, ""58.1"": 3, ""45.3"": 5, ""69.83"": 1, ""76.49"": 1}"
RELINFRA,"{""18.0"": 4, ""49.05"": 3, ""19.9"": 7, ""32.95"": 2, ""18.3"": 3, ""24.35"": 2, ""8.65"": 1, ""23.8"": 5, ""15.05"": 1, ""44.7"": 1, ""26.7"": 3, ""32.6"": 1, ""23.75"": 6, ""19.2"": 3, ""30.6"": 5, ""33.0"": 8, ""27.2"": 6, ""34.8"": 4, ""42.75"": 1, ""43.0"": 1, ""32.55"": 3, ""108.65"": 6, ""58.0"": 2, ""114.9"": 6, ""73.55"": 4, ""111.9"": 7, ""89.0"": 3, ""91.4"": 7, ""150.0"": 10, ""97.0"": 11, ""128.7"": 6, ""99.15"": 8, ""139.1"": 23, ""94.4"": 8, ""111.3"": 7, ""80.8"": 7, ""201.35"": 6, ""134.0"": 9, ""159.15"": 11, ""140.0"": 17, ""164.35"": 6, ""122.3"": 7, ""145.0"": 10, ""115.35"": 5, ""114.6"": 9, ""155.4"": 7, ""168.85"": 11, ""131.4"": 9, ""131.5"": 9, ""158.0"": 14, ""134.75"": 11, ""215.5"": 7, ""155.65"": 7, ""196.2"": 9, ""165.6"": 7, ""154.75"": 10, ""171.7"": 13, ""232.0"": 5, ""185.55"": 8, ""248.45"": 3, ""205.1"": 4, ""194.0"": 12, ""251.7"": 5, ""181.6"": 6, ""308.0"": 8, ""182.1"": 8, ""157.45"": 12, ""144.45"": 13, ""219.4"": 5, ""169.51"": 5, ""247.3"": 4, ""195.0"": 8, ""351.0"": 1, ""252.5"": 4, ""308.9"": 1, ""244.9"": 4, ""268.7"": 3, ""328.45"": 3}"
LT,"{""1491.95"": 15, ""1255.0"": 4, ""1348.0"": 17, ""1383.7"": 14, ""661.0"": 1, ""943.0"": 11, ""791.7"": 5, ""995.0"": 8, ""874.0"": 6, ""896.3"": 14, ""1024.95"": 1, ""843.0"": 4, ""1177.0"": 3, ""1325.1"": 13, ""1593.0"": 14, ""1435.15"": 9, ""1565.0"": 14, ""1360.05"": 16, ""1306.0"": 17, ""1583.0"": 13, ""1447.25"": 10, ""1647.15"": 14, ""1810.0"": 12, ""1684.05"": 11, ""1981.75"": 9, ""1735.15"": 14, ""1771.5"": 11, ""2078.55"": 6, ""1595.0"": 13, ""1858.0"": 13, ""1502.0"": 18, ""1674.4"": 13, ""1456.35"": 13, ""1995.0"": 9, ""1797.4"": 17, ""2211.6"": 15, ""2050.1"": 8, ""2297.65"": 3, ""2072.65"": 9, ""2262.0"": 7, ""2082.1"": 9, ""2186.55"": 12, ""2416.35"": 5, ""2168.5"": 20, ""3114.95"": 6, ""2856.15"": 4, ""3737.9"": 8, ""3263.05"": 4, ""3705.15"": 25, ""3481.0"": 19, ""3860.0"": 6, ""3472.4"": 18, ""3225.2"": 1, ""3919.9"": 4, ""3175.05"": 1, ""3505.0"": 30, ""3460.0"": 20, ""3838.95"": 4, ""3745.0"": 11, ""3516.4"": 28, ""3838.8"": 4, ""3262.55"": 4, ""3667.0"": 31, ""3452.45"": 15, ""3963.5"": 3}"
MOTOGENFIN,"{""14.75"": 8, ""18.7"": 20, ""15.9"": 5, ""21.0"": 32, ""15.8"": 3, ""14.5"": 10, ""19.7"": 6, ""18.95"": 9, ""10.45"": 1, ""17.65"": 4, ""11.6"": 1, ""26.8"": 16, ""16.05"": 7, ""20.2"": 10, ""16.2"": 6, ""13.2"": 2, ""23.2"": 8, ""16.35"": 6, ""25.8"": 7, ""21.35"": 6, ""21.85"": 3, ""19.35"": 10, ""24.25"": 6, ""30.95"": 4, ""23.05"": 1, ""28.8"": 19, ""23.6"": 2, ""27.2"": 15, ""21.3"": 11, ""38.95"": 16, ""21.9"": 4, ""32.05"": 15, ""29.3"": 11, ""24.0"": 9, ""29.85"": 6, ""25.3"": 36, ""30.4"": 10, ""34.9"": 16, ""24.6"": 7, ""33.95"": 32, ""23.25"": 6, ""40.85"": 6, ""30.65"": 5, ""26.85"": 9, ""30.2"": 20, ""25.95"": 12, ""28.55"": 13, ""24.4"": 7, ""22.45"": 7, ""30.8"": 7, ""29.7"": 14, ""25.05"": 13, ""44.5"": 3, ""26.0"": 27, ""33.9"": 22, ""26.75"": 16, ""36.5"": 16, ""41.6"": 5, ""51.8"": 1, ""29.05"": 12, ""36.4"": 13, ""28.75"": 18, ""50.9"": 1, ""38.55"": 11, ""45.0"": 4, ""37.05"": 20, ""40.5"": 13, ""32.2"": 6, ""31.25"": 11, ""38.88"": 11, ""44.59"": 1, ""36.0"": 20, ""41.54"": 9, ""33.83"": 14, ""46.75"": 2, ""31.26"": 11, ""35.8"": 9}"
PENINLAND,"{""5.75"": 7, ""3.65"": 60, ""6.2"": 9, ""2.25"": 1, ""2.65"": 6, ""5.45"": 6, ""3.45"": 10, ""4.85"": 24, ""4.3"": 17, ""5.3"": 5, ""3.9"": 42, ""7.65"": 3, ""5.8"": 10, ""7.55"": 2, ""9.3"": 1, ""6.35"": 14, ""6.65"": 11, ""14.75"": 10, ""17.15"": 3, ""10.5"": 24, ""13.8"": 14, ""14.1"": 12, ""10.6"": 8, ""19.45"": 1, ""12.85"": 19, ""16.25"": 3, ""10.65"": 8, ""15.05"": 7, ""11.45"": 17, ""8.65"": 1, ""11.85"": 16, ""9.8"": 4, ""18.05"": 4, ""11.5"": 15, ""15.45"": 12, ""12.0"": 21, ""15.25"": 11, ""13.9"": 14, ""11.15"": 14, ""14.95"": 13, ""11.05"": 12, ""21.3"": 1, ""17.2"": 3, ""28.0"": 1, ""39.5"": 2, ""28.15"": 1, ""52.25"": 10, ""56.2"": 9, ""46.5"": 10, ""71.6"": 2, ""44.7"": 4, ""56.9"": 6, ""72.95"": 4, ""47.95"": 14, ""78.23"": 1, ""51.94"": 9, ""64.45"": 5, ""56.8"": 9, ""43.32"": 7, ""56.25"": 9, ""44.1"": 5}"
PHOENIXLTD,"{""375.0"": 15, ""347.3"": 12, ""398.5"": 12, ""450.0"": 9, ""402.65"": 14, ""489.5"": 18, ""241.5"": 2, ""241.2"": 2, ""232.5"": 1, ""352.5"": 11, ""272.65"": 6, ""369.0"": 9, ""270.85"": 10, ""276.9"": 5, ""274.0"": 3, ""400.0"": 16, ""350.8"": 8, ""426.9"": 20, ""350.5"": 10, ""435.55"": 25, ""376.0"": 16, ""326.4"": 7, ""411.9"": 18, ""335.8"": 3, ""407.25"": 15, ""354.1"": 10, ""444.45"": 12, ""447.5"": 8, ""402.5"": 12, ""459.2"": 5, ""396.7"": 12, ""462.75"": 1, ""413.6"": 13, ""515.0"": 13, ""445.0"": 12, ""597.5"": 5, ""446.2"": 6, ""548.75"": 5, ""524.0"": 6, ""447.45"": 8, ""442.5"": 18, ""477.7"": 15, ""577.6"": 1, ""599.35"": 2, ""494.9"": 12, ""593.4"": 5, ""724.5"": 18, ""650.65"": 14, ""669.0"": 18, ""812.0"": 5, ""754.8"": 6, ""631.9"": 8, ""728.45"": 16, ""662.5"": 14, ""729.0"": 16, ""636.5"": 5, ""714.4"": 21, ""593.2"": 5, ""677.5"": 10, ""630.9"": 7, ""695.05"": 23, ""822.4"": 3, ""758.0"": 6, ""898.9"": 8, ""955.0"": 2, ""865.0"": 6, ""1030.0"": 4, ""864.0"": 6, ""1219.0"": 2, ""1071.0"": 1, ""1337.2"": 4, ""1135.05"": 4, ""1471.0"": 8, ""1485.8"": 4, ""1215.4"": 2, ""1632.5"": 5, ""1387.5"": 6, ""1972.5"": 3, ""2068.5"": 1, ""1558.5"": 8, ""1919.0"": 3, ""1645.2"": 9, ""1968.0"": 2, ""1560.0"": 9, ""1338.05"": 5, ""1902.0"": 3, ""1797.95"": 20, ""1449.05"": 11}"
