stocks,levels
ADANIENT,"{""221.5"": 3, ""194.55"": 4, ""215.6"": 2, ""261.0"": 1, ""116.4"": 1, ""155.45"": 4, ""127.3"": 1, ""145.2"": 5, ""322.4"": 5, ""257.5"": 2, ""335.6"": 1, ""303.0"": 3, ""409.65"": 3, ""496.9"": 1, ""944.9"": 1, ""1251.6"": 1, ""1717.2"": 19, ""1201.2"": 3, ""1332.75"": 2, ""1565.0"": 15, ""1361.55"": 1, ""1628.45"": 7, ""1381.35"": 6, ""1672.95"": 4, ""1367.7"": 3, ""1788.9"": 6, ""1609.85"": 8, ""1555.2"": 14, ""1908.5"": 8, ""1654.5"": 9, ""1528.8"": 6, ""2420.95"": 18, ""1906.2"": 6, ""2274.0"": 10, ""2025.0"": 4, ""3885.0"": 6, ""3110.2"": 24, ""4096.0"": 4, ""4190.0"": 1, ""3616.8"": 7, ""1017.45"": 4, ""1103.75"": 1, ""2135.0"": 6, ""1573.0"": 13, ""2759.45"": 6, ""2163.3"": 11, ""2722.4"": 4, ""2380.0"": 8, ""2630.25"": 3, ""2372.0"": 9, ""2538.0"": 15, ""2167.05"": 13, ""2142.0"": 8, ""3154.55"": 30, ""3199.0"": 20, ""2804.4"": 11, ""3350.0"": 11, ""2850.15"": 11, ""3291.8"": 8, ""2962.5"": 9, ""2756.0"": 4, ""3743.9"": 6, ""2733.95"": 2, ""2886.35"": 13, ""3258.0"": 20, ""2890.35"": 14, ""3211.0"": 29, ""2654.7"": 3, ""3070.0"": 31}"
ADANIPORTS,"{""428.85"": 1, ""357.35"": 14, ""362.1"": 10, ""394.6"": 7, ""355.5"": 17, ""203.0"": 1, ""366.8"": 23, ""298.0"": 1, ""378.35"": 11, ""312.1"": 8, ""341.15"": 22, ""427.2"": 1, ""500.1"": 3, ""767.8"": 20, ""657.1"": 11, ""885.0"": 19, ""689.5"": 18, ""901.0"": 6, ""638.1"": 6, ""654.2"": 10, ""719.9"": 28, ""665.0"": 13, ""786.0"": 21, ""721.85"": 29, ""829.9"": 16, ""681.15"": 20, ""679.7"": 15, ""794.95"": 27, ""685.5"": 28, ""795.0"": 27, ""689.0"": 22, ""750.85"": 38, ""651.95"": 5, ""924.65"": 2, ""668.15"": 14, ""653.1"": 5, ""987.85"": 2, ""771.65"": 19, ""916.0"": 4, ""912.0"": 3, ""395.1"": 10, ""722.75"": 30, ""571.55"": 4, ""785.65"": 23, ""703.0"": 30, ""759.9"": 29, ""869.0"": 5, ""889.5"": 9, ""754.5"": 39, ""785.0"": 25, ""1229.9"": 6, ""1111.6"": 1, ""1356.55"": 12, ""1188.1"": 6, ""1424.95"": 12, ""1270.0"": 10, ""1240.0"": 3, ""1621.4"": 1, ""1160.6"": 7, ""1520.0"": 4, ""1419.0"": 10, ""1604.95"": 1, ""1452.0"": 12, ""1394.45"": 8, ""1485.0"": 16, ""995.65"": 2}"
APOLLOHOSP,"{""1543.3"": 1, ""1379.15"": 17, ""1510.0"": 11, ""1341.35"": 5, ""1616.0"": 4, ""1813.55"": 3, ""1047.05"": 1, ""1472.0"": 12, ""1252.65"": 1, ""1480.0"": 14, ""1311.0"": 4, ""1798.0"": 7, ""1585.05"": 1, ""2333.0"": 5, ""1986.0"": 1, ""2520.0"": 4, ""2251.0"": 2, ""2528.1"": 4, ""3284.0"": 5, ""2787.5"": 3, ""3397.0"": 1, ""3095.35"": 5, ""3435.0"": 2, ""3141.75"": 8, ""3915.0"": 6, ""5122.0"": 15, ""5198.0"": 15, ""3955.0"": 3, ""5935.4"": 10, ""4643.15"": 20, ""5141.5"": 23, ""4150.0"": 10, ""4300.0"": 32, ""5016.55"": 34, ""4455.1"": 27, ""4903.65"": 23, ""3361.55"": 5, ""3999.8"": 8, ""4625.95"": 27, ""3987.85"": 7, ""4719.0"": 22, ""4183.1"": 7, ""4221.05"": 15, ""4647.0"": 18, ""4250.0"": 17, ""4901.95"": 24, ""4123.0"": 8, ""4668.95"": 16, ""4168.0"": 8, ""4410.25"": 36, ""5294.0"": 10, ""5364.0"": 7, ""4730.0"": 25, ""5186.95"": 7, ""4726.0"": 29, ""5689.0"": 7, ""5284.85"": 9, ""6874.45"": 12, ""5941.6"": 13, ""6557.0"": 4, ""5733.0"": 10, ""5693.2"": 7, ""6420.95"": 10, ""7316.95"": 5, ""6727.35"": 10, ""6794.25"": 13, ""7545.0"": 1, ""6594.15"": 10}"
ASIANPAINT,"{""1834.8"": 8, ""1666.15"": 4, ""1826.0"": 14, ""1694.0"": 14, ""1747.0"": 11, ""1916.7"": 3, ""1915.9"": 3, ""1431.2"": 1, ""1864.0"": 5, ""1482.95"": 1, ""1744.0"": 13, ""1577.5"": 6, ""1813.75"": 18, ""1645.1"": 5, ""2069.95"": 9, ""1907.75"": 4, ""2249.0"": 3, ""2117.15"": 8, ""2873.45"": 38, ""2370.8"": 6, ""2260.0"": 1, ""2693.5"": 11, ""3092.85"": 53, ""3179.5"": 43, ""2951.9"": 39, ""3505.0"": 7, ""3170.0"": 50, ""2857.25"": 41, ""3308.35"": 32, ""3016.45"": 41, ""3590.0"": 1, ""3010.75"": 33, ""3296.9"": 40, ""2599.35"": 12, ""2970.0"": 41, ""3278.0"": 44, ""3188.0"": 47, ""2560.0"": 8, ""3545.65"": 6, ""3236.7"": 43, ""3231.3"": 42, ""3582.9"": 4, ""3033.0"": 41, ""3198.0"": 41, ""3242.35"": 49, ""2685.85"": 8, ""2700.1"": 11, ""2923.95"": 39, ""2708.65"": 17, ""3179.75"": 42, ""3449.6"": 15, ""3568.0"": 4, ""3152.15"": 57, ""3302.85"": 36, ""3334.8"": 39, ""2930.0"": 42, ""3228.25"": 45, ""3422.95"": 16, ""2902.65"": 35, ""3035.0"": 38, ""2776.75"": 27, ""2943.25"": 35, ""2766.15"": 20, ""2997.0"": 50, ""2670.1"": 7, ""3027.3"": 49, ""2775.75"": 25, ""2844.05"": 50, ""3052.0"": 53, ""2842.0"": 49, ""3394.9"": 29, ""2422.95"": 15}"
AXISBANK,"{""756.0"": 45, ""763.75"": 22, ""709.05"": 31, ""765.85"": 21, ""695.55"": 21, ""760.7"": 32, ""286.0"": 1, ""485.9"": 5, ""332.85"": 1, ""360.4"": 2, ""484.6"": 3, ""415.7"": 5, ""533.85"": 3, ""400.15"": 4, ""640.0"": 8, ""636.7"": 9, ""568.4"": 4, ""616.0"": 7, ""799.0"": 22, ""712.6"": 26, ""626.65"": 8, ""729.85"": 42, ""681.4"": 20, ""759.9"": 31, ""720.5"": 29, ""778.25"": 19, ""707.15"": 32, ""769.0"": 11, ""731.5"": 49, ""820.7"": 6, ""754.0"": 53, ""866.9"": 14, ""714.0"": 30, ""648.0"": 6, ""721.95"": 44, ""655.95"": 17, ""688.2"": 16, ""815.95"": 12, ""637.0"": 8, ""816.2"": 24, ""630.05"": 7, ""698.0"": 14, ""618.25"": 11, ""776.0"": 21, ""722.05"": 45, ""707.7"": 28, ""919.95"": 13, ""841.0"": 10, ""970.0"": 13, ""833.3"": 8, ""829.55"": 8, ""874.25"": 16, ""814.3"": 7, ""990.0"": 40, ""927.15"": 10, ""1047.5"": 12, ""951.4"": 21, ""980.35"": 28, ""1151.85"": 21, ""1077.2"": 7, ""1146.0"": 15, ""1020.9"": 13, ""1131.95"": 23, ""1027.5"": 14, ""995.7"": 11, ""1182.9"": 21, ""1105.05"": 10, ""1101.55"": 14, ""1339.65"": 1, ""1123.1"": 17, ""1145.0"": 17, ""1281.65"": 8, ""1124.0"": 16, ""1214.8"": 2, ""1115.75"": 12}"
BAJAJ-AUTO,"{""3289.0"": 19, ""3105.2"": 14, ""3286.4"": 18, ""3000.0"": 24, ""3041.1"": 23, ""3315.15"": 14, ""1788.65"": 1, ""2524.95"": 2, ""2774.0"": 7, ""2876.5"": 11, ""2979.9"": 14, ""3149.0"": 33, ""3159.0"": 16, ""2830.05"": 5, ""2870.0"": 7, ""3130.0"": 14, ""2822.45"": 7, ""3172.0"": 21, ""4361.4"": 3, ""3497.0"": 13, ""3447.0"": 18, ""4347.0"": 3, ""4030.0"": 17, ""3898.9"": 23, ""3647.15"": 44, ""3680.0"": 36, ""4050.0"": 16, ""3372.45"": 10, ""3027.05"": 28, ""3660.0"": 36, ""3125.0"": 19, ""3836.0"": 48, ""4000.0"": 18, ""3460.0"": 13, ""3971.0"": 16, ""3574.8"": 44, ""3958.45"": 20, ""4091.0"": 8, ""4131.75"": 13, ""3461.25"": 13, ""3818.65"": 50, ""3585.0"": 40, ""3520.05"": 18, ""3995.0"": 18, ""3934.95"": 17, ""3625.6"": 45, ""4829.9"": 13, ""4569.05"": 9, ""4995.1"": 8, ""4541.0"": 7, ""5274.9"": 2, ""4903.05"": 12, ""5510.0"": 1, ""6936.55"": 1, ""9357.95"": 6, ""9258.6"": 9, ""8592.8"": 2, ""10038.8"": 4, ""9365.65"": 6, ""9909.95"": 12, ""8744.6"": 9, ""12774.0"": 1, ""9365.0"": 6}"
BAJFINANCE,"{""4280.0"": 4, ""3880.25"": 7, ""4295.75"": 2, ""3950.0"": 10, ""4923.4"": 5, ""1915.65"": 3, ""1783.0"": 1, ""3519.5"": 11, ""3142.85"": 2, ""3749.85"": 2, ""3006.9"": 2, ""3519.0"": 11, ""3101.35"": 2, ""4960.0"": 7, ""5372.5"": 9, ""4666.5"": 7, ""5822.2"": 19, ""5670.0"": 9, ""4362.0"": 6, ""5749.95"": 12, ""6249.0"": 16, ""6342.8"": 16, ""5868.0"": 19, ""6057.0"": 19, ""7999.0"": 5, ""7320.75"": 53, ""8050.0"": 8, ""7220.0"": 50, ""6678.3"": 34, ""7477.0"": 42, ""6492.6"": 20, ""8045.0"": 7, ""6708.1"": 34, ""5912.9"": 19, ""7590.9"": 27, ""5488.0"": 12, ""6169.2"": 17, ""5220.0"": 11, ""7638.0"": 22, ""6861.35"": 35, ""7778.0"": 18, ""7026.8"": 51, ""6931.0"": 41, ""6719.9"": 39, ""5645.0"": 15, ""6527.6"": 17, ""5485.7"": 11, ""6945.0"": 39, ""7999.9"": 5, ""7734.0"": 28, ""6801.0"": 33, ""8192.0"": 1, ""6931.25"": 41, ""7145.25"": 50, ""7830.0"": 20, ""6535.0"": 19, ""6187.8"": 20, ""7350.0"": 49, ""7419.45"": 41, ""6585.0"": 24, ""6375.7"": 14, ""7429.45"": 44, ""6425.0"": 14, ""7824.0"": 20, ""6601.0"": 39, ""6451.0"": 15}"
BAJAJFINSV,"{""785.2"": 3, ""928.45"": 12, ""882.1"": 15, ""896.15"": 26, ""995.0"": 8, ""882.0"": 15, ""416.0"": 1, ""517.5"": 1, ""428.8"": 2, ""398.55"": 1, ""671.0"": 2, ""606.0"": 5, ""670.0"": 3, ""540.0"": 1, ""616.95"": 10, ""551.1"": 1, ""945.0"": 16, ""856.95"": 3, ""827.35"": 5, ""1057.9"": 1, ""960.0"": 21, ""896.0"": 28, ""903.6"": 17, ""1165.1"": 2, ""1492.5"": 11, ""1881.3"": 6, ""1932.5"": 4, ""1713.95"": 32, ""1851.1"": 11, ""1545.0"": 21, ""1862.1"": 13, ""1501.2"": 18, ""1380.0"": 13, ""1748.0"": 20, ""1206.2"": 8, ""1322.0"": 13, ""1072.7"": 1, ""1844.0"": 7, ""1621.0"": 122, ""1817.9"": 14, ""1246.85"": 16, ""1435.0"": 5, ""1215.0"": 5, ""1664.9"": 29, ""1451.0"": 9, ""1676.75"": 33, ""1527.9"": 32, ""1637.05"": 51, ""1559.0"": 40, ""1551.5"": 32, ""1636.6"": 54, ""1530.8"": 24, ""1722.0"": 26, ""1568.7"": 63, ""1725.0"": 34, ""1556.0"": 25, ""1419.05"": 18, ""1622.0"": 55, ""1669.9"": 31, ""1523.25"": 32, ""2029.9"": 1, ""1562.05"": 36}"
BPCL,"{""248.3"": 3, ""253.5"": 1, ""203.3"": 19, ""197.65"": 12, ""234.0"": 11, ""105.0"": 1, ""166.4"": 24, ""124.9"": 6, ""180.0"": 16, ""159.15"": 35, ""219.5"": 23, ""174.5"": 25, ""197.0"": 12, ""141.5"": 22, ""183.6"": 17, ""157.5"": 33, ""194.0"": 19, ""167.1"": 24, ""220.2"": 17, ""186.55"": 26, ""179.0"": 18, ""225.95"": 17, ""199.3"": 6, ""230.5"": 6, ""185.0"": 18, ""214.0"": 25, ""185.8"": 25, ""161.9"": 21, ""157.7"": 25, ""182.45"": 7, ""144.55"": 19, ""178.4"": 20, ""135.1"": 16, ""125.7"": 3, ""145.1"": 32, ""131.1"": 10, ""156.6"": 25, ""151.8"": 28, ""123.0"": 1, ""154.7"": 28, ""139.1"": 20, ""158.0"": 31, ""140.1"": 23, ""136.0"": 6, ""159.8"": 30, ""142.5"": 22, ""166.45"": 22, ""157.2"": 33, ""156.3"": 28, ""169.2"": 28, ""156.8"": 18, ""177.95"": 22, ""176.5"": 27, ""148.55"": 18, ""163.4"": 19, ""144.7"": 26, ""220.25"": 17, ""224.9"": 21, ""333.5"": 10, ""267.7"": 2, ""299.65"": 9, ""271.6"": 1, ""310.35"": 8, ""333.0"": 10, ""256.6"": 1, ""282.9"": 5, ""348.55"": 11, ""367.2"": 3, ""322.95"": 10, ""376.0"": 1, ""279.35"": 8}"
BHARTIARTL,"{""389.7"": 3, ""319.5"": 1, ""343.85"": 1, ""476.65"": 9, ""409.9"": 4, ""432.25"": 7, ""558.35"": 21, ""355.1"": 2, ""526.05"": 30, ""600.7"": 4, ""582.75"": 9, ""527.1"": 17, ""585.8"": 10, ""548.7"": 24, ""408.5"": 5, ""386.75"": 2, ""479.0"": 6, ""471.3"": 7, ""599.4"": 4, ""611.5"": 10, ""539.1"": 22, ""490.35"": 10, ""539.6"": 22, ""566.35"": 10, ""509.15"": 14, ""541.35"": 15, ""509.45"": 13, ""573.55"": 17, ""739.1"": 24, ""667.65"": 13, ""675.0"": 26, ""781.8"": 10, ""645.1"": 4, ""754.0"": 22, ""677.35"": 20, ""639.0"": 1, ""780.7"": 20, ""667.85"": 13, ""634.2"": 1, ""696.6"": 22, ""628.75"": 1, ""686.2"": 28, ""753.2"": 16, ""816.75"": 14, ""759.85"": 27, ""860.55"": 7, ""826.1"": 16, ""751.65"": 12, ""795.85"": 13, ""735.8"": 19, ""795.0"": 14, ""738.85"": 19, ""888.75"": 13, ""901.4"": 4, ""847.05"": 8, ""948.7"": 9, ""960.25"": 5, ""895.45"": 10, ""1045.95"": 3, ""960.0"": 6, ""1200.65"": 5, ""1097.65"": 2, ""1245.0"": 1, ""1183.1"": 1, ""1354.0"": 4, ""1219.05"": 8, ""1536.25"": 5, ""1525.0"": 5, ""1422.6"": 10, ""1779.0"": 1, ""1742.25"": 1, ""1511.0"": 4}"
