token,symbol,levels,ltp
263177,NIFTY SERV SECTOR,"[('33147.4', 4), ('32351.45', 9)]",33150.5
262665,NIFTY PSE,"[('10175.1', 12), ('10045.05', 8), ('10240.7', 15), ('10431.25', 6), ('9911.35', 3), ('10313.7', 12), ('10015.25', 6), ('10398.5', 10), ('9866.55', 6), ('9879.45', 5)]",10250.75
257545,NIFTY CONSUMPTION,"[('11832.85', 8), ('11963.95', 6), ('11444.3', 18), ('11489.2', 17), ('11426.45', 14), ('11409.45', 9), ('11527.55', 14), ('11275.9', 5), ('11695.4', 9), ('11327.85', 11), ('11533.55', 13), ('11727.2', 4), ('12060.35', 12), ('11584.4', 17), ('11320.85', 9), ('11621.2', 13)]",11600.9
263689,NIFTY METAL,"[('9377.1', 15), ('9118.7', 10), ('9401.55', 19), ('9671.25', 3), ('9427.85', 17), ('9162.2', 19)]",9405.75
260617,NIFTY 100,"[('25494.6', 14), ('25786.3', 12), ('24871.55', 10), ('25443.3', 19), ('26145.6', 16), ('24895.55', 8), ('25230.1', 18), ('26318.1', 10), ('26002.2', 16), ('26023.35', 18), ('25433.4', 19), ('24668.75', 11), ('25364.55', 19), ('25090.35', 16), ('25644.4', 16), ('25784.4', 12), ('25821.1', 11), ('25501.3', 14), ('24763.6', 6), ('25165.0', 22), ('26331.2', 8), ('24791.6', 6), ('26394.15', 8)]",25629.6
261641,NIFTY ENERGY,"[('37396.55', 10), ('36854.95', 5), ('37376.2', 9), ('38142.95', 10), ('38136.85', 10), ('37574.8', 11)]",37062.4
256265,NIFTY 50,"[('23893.7', 9), ('23816.15', 6), ('24857.75', 17), ('24074.2', 10), ('24999.75', 20), ('24141.8', 18), ('24472.8', 20), ('24168.85', 24), ('24099.7', 14), ('25212.05', 9), ('24498.2', 21), ('24920.05', 13), ('24510.65', 21), ('24354.55', 29), ('24537.6', 17), ('24073.9', 10), ('25234.05', 8), ('24854.8', 17), ('24694.35', 15), ('25285.55', 7), ('24753.15', 11), ('25333.65', 5), ('25078.3', 15), ('23873.35', 8)]",24672.8
256777,NIFTY MIDCAP 100,"[('59290.05', 16), ('59597.35', 10), ('58522.95', 13), ('59700.3', 6), ('57791.2', 8), ('60925.95', 2), ('58826.2', 17), ('60408.25', 8), ('59539.0', 14), ('56823.2', 14), ('58352.1', 9), ('57909.85', 5), ('59529.9', 15)]",58815.75
261897,NIFTY FMCG,"[('55206.7', 20), ('56222.75', 14), ('56008.0', 15), ('58832.65', 6), ('54816.1', 17), ('56473.95', 19), ('55837.4', 12), ('57966.7', 15), ('56062.0', 14), ('56872.5', 16), ('54757.35', 16), ('58788.85', 7), ('54533.45', 29), ('56305.95', 18), ('55493.25', 16), ('58266.05', 7)]",56594.55
260105,NIFTY BANK,"[('51693.95', 24), ('51996.65', 20), ('51957.0', 20), ('53888.3', 5), ('52794.55', 16), ('52340.25', 25), ('53357.7', 8), ('52760.2', 13), ('53180.75', 8), ('52782.75', 15), ('51749.45', 23)]",53281.45
262921,NIFTY PSU BANK,"[('7039.2', 15), ('6838.2', 17), ('7154.95', 25), ('7038.8', 16), ('7032.8', 17), ('7207.8', 17), ('6795.15', 20), ('7035.4', 18), ('6817.95', 19), ('6768.75', 16)]",6981.1
261129,NIFTY REALTY,"[('1040.75', 12), ('1086.55', 11), ('1079.35', 7), ('1066.6', 6), ('1085.6', 10), ('1088.35', 8), ('1043.85', 15)]",1077.5
257289,NIFTY COMMODITIES,"[('8760.0', 24), ('8690.6', 14), ('8452.1', 8), ('8694.85', 14), ('8498.5', 7), ('8624.2', 9), ('8970.2', 9), ('8708.4', 12), ('8681.7', 15), ('8370.25', 13), ('8503.05', 9), ('8500.6', 8)]",8703.25
262409,NIFTY PHARMA,"[('22437.15', 17), ('22005.1', 8), ('22381.6', 10), ('22179.4', 11), ('22145.05', 9), ('22301.05', 15), ('22661.0', 8), ('22216.95', 9), ('21649.5', 6), ('22894.55', 9), ('22562.95', 12), ('22326.55', 11), ('22437.95', 17), ('21501.8', 6), ('22275.7', 15), ('22603.9', 11), ('21475.95', 4), ('21933.7', 5)]",22114.95
263433,NIFTY AUTO,"[('24243.8', 3), ('23091.8', 4), ('24111.95', 3), ('23713.2', 15)]",23706.2
263945,NIFTY MEDIA,"[('1877.0', 32), ('1937.95', 27), ('1911.4', 21), ('1958.0', 29), ('1943.35', 28), ('1982.95', 28), ('1950.0', 21), ('1963.3', 29), ('1885.75', 37), ('1954.45', 27), ('1919.65', 26), ('1965.75', 27), ('1943.2', 28), ('2028.2', 26), ('1873.95', 36), ('2007.45', 24), ('1934.85', 27), ('1947.75', 22), ('1928.65', 35), ('1920.35', 25), ('1887.65', 36), ('2007.95', 27), ('2013.55', 33)]",1950.35
257801,NIFTY FIN SERVICE,"[('24378.05', 7), ('23853.5', 25), ('24865.7', 10), ('24874.85', 10)]",24740.9
264457,NIFTY 200,"[('13921.65', 8), ('14006.25', 17), ('14286.65', 12), ('14157.05', 16), ('13863.15', 10), ('13846.85', 16), ('14037.95', 12), ('14015.55', 14), ('14354.95', 5), ('14234.65', 16), ('14030.35', 13), ('14451.3', 4), ('13650.9', 18), ('14153.0', 17), ('14329.95', 7), ('13508.0', 9), ('13499.3', 8), ('13925.6', 8), ('13784.1', 18), ('13642.2', 13), ('13477.0', 8)]",13985.1
262153,NIFTY MNC,"[('29573.0', 6), ('28880.65', 6), ('29314.85', 18), ('28789.8', 6), ('29334.3', 16), ('29541.0', 7), ('29565.2', 6)]",29378.3
