stocks,levels
NATIONALUM,"{""48.75"": 4, ""24.4"": 1, ""40.05"": 6, ""29.1"": 5, ""127.95"": 4, ""132.7"": 5, ""83.8"": 27, ""86.55"": 4, ""106.35"": 5, ""147.15"": 4}"
MUTHOOTFIN,"{""954.5"": 9, ""476.8"": 1, ""1405.75"": 15, ""1000.0"": 16, ""1361.6"": 26, ""1090.0"": 16, ""1638.85"": 6, ""1721.95"": 7, ""960.4"": 10, ""1213.95"": 23, ""950.2"": 4, ""1158.75"": 21, ""911.25"": 5, ""1379.95"": 19, ""1182.35"": 24, ""1537.35"": 19, ""1261.9"": 26, ""2078.75"": 1}"
SWANENERGY,"{""154.45"": 2, ""86.0"": 1, ""160.0"": 3, ""108.0"": 5, ""157.0"": 2, ""118.45"": 8, ""152.4"": 3, ""126.15"": 25, ""175.85"": 4, ""119.15"": 9, ""113.7"": 7, ""336.9"": 1, ""180.5"": 2, ""379.0"": 1, ""192.65"": 5, ""214.25"": 18, ""782.25"": 2, ""437.1"": 2, ""764.4"": 4, ""455.7"": 2}"
GODREJIND,"{""233.4"": 1, ""479.0"": 23, ""352.0"": 4, ""483.35"": 20, ""611.55"": 10, ""617.65"": 15, ""662.0"": 7, ""550.0"": 17, ""405.0"": 22, ""504.0"": 16, ""401.45"": 19, ""489.05"": 18, ""395.0"": 10, ""724.2"": 2, ""990.0"": 2, ""725.0"": 2, ""1314.0"": 1}"
AEGISLOG,"{""267.05"": 10, ""107.25"": 1, ""387.9"": 19, ""191.75"": 19, ""251.0"": 8, ""167.25"": 6, ""248.0"": 8, ""410.5"": 2, ""308.6"": 7, ""387.15"": 12, ""280.0"": 18, ""970.0"": 1, ""647.8"": 2}"
HINDALCO,"{""221.2"": 1, ""84.9"": 2, ""203.15"": 8, ""551.85"": 4, ""407.1"": 19, ""636.0"": 7, ""308.95"": 2, ""504.0"": 8, ""381.0"": 12, ""620.5"": 9, ""496.35"": 12, ""715.25"": 5, ""772.65"": 1}"
PHOENIXLTD,"{""489.5"": 18, ""232.5"": 1, ""369.0"": 9, ""270.85"": 10, ""435.55"": 25, ""326.4"": 7, ""597.5"": 5, ""442.5"": 18, ""812.0"": 5, ""631.9"": 8, ""593.2"": 5, ""2068.5"": 1, ""1338.05"": 5}"
VEDL,"{""124.1"": 1, ""18.2"": 1, ""99.5"": 8, ""49.2"": 2, ""343.9"": 3, ""398.75"": 3, ""164.0"": 1, ""298.75"": 8, ""219.95"": 16, ""258.95"": 7, ""166.0"": 4, ""218.5"": 9, ""475.75"": 3, ""523.65"": 1}"
CROMPTON,"{""301.45"": 30, ""177.3"": 1, ""456.0"": 16, ""350.35"": 11, ""512.8"": 1, ""354.4"": 10, ""312.0"": 8, ""429.0"": 26, ""251.0"": 8, ""319.5"": 9, ""275.3"": 16, ""327.95"": 8, ""261.25"": 15, ""484.0"": 8}"
SUZLON,"{""1.65"": 6, ""3.2"": 17, ""1.55"": 1, ""5.55"": 21, ""2.5"": 24, ""7.75"": 13, ""4.05"": 12, ""8.7"": 18, ""12.05"": 1, ""5.4"": 11, ""10.75"": 7, ""12.15"": 1, ""6.95"": 11, ""50.6"": 2, ""35.5"": 2, ""86.04"": 1}"
SAMMAANCAP,"{""321.8"": 1, ""72.2"": 1, ""234.65"": 8, ""113.85"": 13, ""223.75"": 10, ""137.45"": 19, ""279.65"": 8, ""179.55"": 17, ""248.7"": 8, ""79.35"": 1, ""141.4"": 10, ""81.85"": 3, ""185.15"": 14, ""209.3"": 16, ""131.65"": 9}"
BRIGADE,"{""254.9"": 7, ""90.5"": 1, ""303.3"": 3, ""233.05"": 11, ""554.7"": 5, ""376.15"": 1, ""585.0"": 18, ""430.7"": 4, ""509.6"": 12, ""1108.0"": 2, ""827.0"": 2, ""1453.1"": 2, ""1089.8"": 2, ""1448.7"": 1}"
AVANTIFEED,"{""770.0"": 2, ""250.5"": 1, ""587.0"": 14, ""564.0"": 22, ""440.1"": 34, ""410.0"": 24, ""674.85"": 10, ""524.0"": 20, ""491.35"": 25, ""638.8"": 12, ""384.2"": 22, ""527.85"": 20, ""364.1"": 16, ""417.0"": 19, ""321.1"": 1, ""487.95"": 25, ""385.9"": 31, ""598.5"": 20, ""793.0"": 1, ""541.5"": 28}"
HEROMOTOCO,"{""2431.0"": 19, ""1375.0"": 1, ""3294.9"": 6, ""3529.05"": 3, ""2641.1"": 49, ""2990.0"": 22, ""2536.0"": 20, ""2210.0"": 18, ""2772.3"": 38, ""2046.85"": 3, ""2838.6"": 35, ""2402.75"": 26, ""2784.0"": 25, ""2146.0"": 4, ""4849.05"": 5, ""4168.15"": 1, ""5894.55"": 2, ""6246.25"": 1}"
