stocks,levels
NIFTY SERV SECTOR,"{""17743.2"": 5, ""10401.3"": 1, ""22174.2"": 16, ""25822.85"": 7, ""25807.3"": 10, ""25526.2"": 33, ""20292.75"": 8, ""25939.5"": 5, ""22333.2"": 13, ""26120.3"": 2, ""23940.65"": 46, ""26535.15"": 1, ""33791.15"": 2}"
NIFTY PSE,"{""1952.2"": 1, ""2705.8"": 5, ""2141.2"": 2, ""3766.05"": 11, ""3423.5"": 5, ""4504.35"": 10, ""3676.3"": 11, ""4517.15"": 9, ""3602.2"": 21, ""8990.5"": 3, ""11814.6"": 1}"
NIFTY CONSUMPTION,"{""5197.05"": 14, ""3614.85"": 1, ""5221.3"": 7, ""6233.15"": 4, ""5720.85"": 6, ""7653.45"": 17, ""6177.7"": 10, ""7218.65"": 27, ""6363.6"": 21, ""8146.95"": 6, ""7039.6"": 38, ""13057.6"": 2}"
NIFTY METAL,"{""2927.95"": 4, ""1480.7"": 1, ""2579.45"": 10, ""6312.2"": 10, ""5174.0"": 13, ""6825.65"": 23, ""4437.3"": 2, ""6919.6"": 8, ""5209.35"": 16, ""7168.5"": 1, ""6346.3"": 7, ""10195.6"": 2, ""10322.05"": 1}"
NIFTY 100,"{""12544.4"": 3, ""7624.85"": 1, ""15513.5"": 8, ""18870.7"": 11, ""18595.15"": 24, ""15901.1"": 18, ""18327.75"": 33, ""15336.05"": 12, ""19039.4"": 6, ""16696.25"": 21, ""18743.3"": 16, ""22003.75"": 11, ""27335.65"": 1}"
NIFTY ENERGY,"{""9750.0"": 1, ""16301.7"": 16, ""14399.65"": 6, ""21066.1"": 6, ""25343.5"": 26, ""21841.95"": 6, ""29304.05"": 4, ""23376.85"": 24, ""28257.15"": 7, ""27545.15"": 21, ""21631.1"": 2, ""36244.0"": 1, ""45022.15"": 1}"
NIFTY 50,"{""12430.5"": 1, ""7511.1"": 1, ""15431.75"": 7, ""18604.45"": 18, ""18350.95"": 23, ""15671.45"": 20, ""18114.65"": 46, ""15183.4"": 14, ""18887.6"": 6, ""16828.35"": 14, ""20222.45"": 3, ""18837.85"": 9, ""21281.45"": 5, ""26277.35"": 2}"
NIFTY MIDCAP 100,"{""18495.9"": 3, ""10749.95"": 1, ""17555.25"": 5, ""33243.5"": 2, ""31506.55"": 35, ""25048.15"": 5, ""32603.25"": 14, ""32939.3"": 6, ""29200.2"": 15, ""45293.35"": 7, ""47246.6"": 12, ""60925.95"": 2}"
NIFTY FMCG,"{""22699.05"": 1, ""32155.5"": 3, ""28969.35"": 9, ""35000.35"": 22, ""42021.45"": 4, ""33407.55"": 13, ""43550.1"": 11, ""54349.85"": 27, ""50607.0"": 6, ""57966.7"": 15, ""52398.75"": 26, ""66438.7"": 2}"
NIFTY BANK,"{""32613.1"": 12, ""16116.25"": 1, ""25232.6"": 2, ""20404.9"": 7, ""37708.75"": 33, ""30405.65"": 10, ""41829.6"": 11, ""34018.45"": 7, ""39424.85"": 26, ""32155.35"": 25, ""32290.55"": 21, ""44151.8"": 34, ""38613.15"": 21, ""46369.5"": 14, ""42105.4"": 13, ""48636.45"": 11, ""46077.85"": 15, ""54467.35"": 1}"
NIFTY PSU BANK,"{""1078.45"": 1, ""1661.8"": 1, ""1232.55"": 3, ""2660.6"": 15, ""2580.95"": 22, ""2204.7"": 8, ""3054.75"": 10, ""2429.35"": 25, ""3133.5"": 4, ""2283.85"": 11, ""4617.4"": 6, ""3528.75"": 3, ""8053.3"": 1, ""6443.85"": 3}"
NIFTY REALTY,"{""336.35"": 6, ""160.85"": 1, ""365.6"": 3, ""298.35"": 8, ""560.9"": 5, ""365.75"": 4, ""483.55"": 11, ""467.55"": 14, ""370.65"": 3, ""1157.35"": 1}"
NIFTY IT,"{""16882.45"": 2, ""10991.25"": 1, ""27176.5"": 15, ""37823.15"": 13, ""39446.7"": 5, ""36813.1"": 12, ""26186.7"": 12, ""31587.35"": 11, ""26184.45"": 14, ""33402.75"": 21, ""38559.85"": 8, ""31320.15"": 12}"
NIFTY COMMODITIES,"{""3548.95"": 4, ""2068.8"": 1, ""3299.95"": 9, ""6236.5"": 24, ""5269.3"": 17, ""6128.75"": 21, ""6458.45"": 19, ""4774.15"": 3, ""6189.05"": 17, ""5353.55"": 12, ""6098.95"": 20, ""8073.25"": 9, ""9896.35"": 1}"
NIFTY PHARMA,"{""8513.15"": 1, ""6242.85"": 1, ""12528.85"": 34, ""13476.8"": 29, ""11280.8"": 13, ""13578.9"": 31, ""14938.25"": 7, ""14280.0"": 22, ""12290.9"": 26, ""13972.45"": 37, ""11726.4"": 30, ""13736.05"": 26, ""11542.45"": 18, ""15750.5"": 2, ""14544.25"": 19, ""17904.75"": 2, ""23907.9"": 2}"
NIFTY AUTO,"{""4452.2"": 1, ""11093.15"": 14, ""9345.2"": 6, ""10913.95"": 19, ""9704.6"": 10, ""12139.75"": 12, ""10197.2"": 20, ""9226.95"": 6, ""13544.9"": 2, ""12140.7"": 12, ""13539.8"": 2, ""11901.85"": 5, ""27696.1"": 1}"
NIFTY MEDIA,"{""972.95"": 1, ""1679.25"": 24, ""1830.95"": 34, ""1409.05"": 9, ""1927.25"": 32, ""1569.35"": 10, ""2494.55"": 3, ""1903.3"": 27, ""2484.7"": 6, ""1752.2"": 31, ""2236.1"": 25, ""2201.2"": 24, ""1636.65"": 15, ""2465.95"": 12, ""2508.6"": 1, ""1717.4"": 27, ""2182.35"": 26}"
NIFTY FIN SERVICE,"{""14747.7"": 6, ""7984.2"": 1, ""10113.55"": 8, ""17654.45"": 29, ""14600.65"": 21, ""19778.95"": 20, ""15042.45"": 7, ""18624.5"": 30, ""14857.3"": 8, ""19515.9"": 43, ""17261.3"": 19, ""20666.6"": 15, ""18870.15"": 20, ""21627.35"": 7, ""19822.05"": 25, ""20457.9"": 22, ""25201.95"": 1}"
NIFTY 200,"{""6421.1"": 3, ""3893.05"": 1, ""9895.1"": 13, ""9733.2"": 18, ""8286.35"": 14, ""9562.95"": 49, ""7978.2"": 6, ""9935.3"": 5, ""8767.55"": 16, ""10017.55"": 2, ""11878.65"": 11, ""14833.75"": 1}"
NIFTY MNC,"{""14345.9"": 16, ""9648.2"": 1, ""16477.05"": 7, ""20129.85"": 17, ""16808.85"": 6, ""16805.3"": 6, ""20626.45"": 8, ""18651.05"": 29, ""32841.15"": 3}"
NIFTY INFRA,"{""3392.05"": 7, ""2072.6"": 1, ""3288.35"": 28, ""2952.65"": 8, ""5362.8"": 11, ""4511.2"": 15, ""5246.2"": 39, ""4405.55"": 12, ""5482.8"": 14, ""4930.6"": 21, ""7877.1"": 10, ""9704.2"": 1}"
