token,symbol,ltp,level,taps
356865,HINDUNILVR,2389.85,2393.0,52
2479361,TRIDENT,36.75,36.85,52
369153,SANOFI,6239.75,6233.85,47
356865,HINDUNILVR,2389.85,2442.9,39
356865,HINDUNILVR,2389.85,2428.1,38
3691009,ASTRAL,1835.2,1898.45,38
676609,PFIZER,5022.0,5000.0,37
5097729,DMART,3645.1,3644.3,36
1346049,INDUSINDBK,986.1,990.0,32
3785729,SPARC,211.87,210.9,25
2745857,INDIAMART,2385.55,2393.35,23
369153,SANOFI,6239.75,6333.95,21
1510401,AXISBANK,1148.55,1151.85,20
1459457,CUB,183.19,183.95,19
3691009,ASTRAL,1835.2,1829.9,19
1719809,SAPPHIRE,312.55,314.8,19
300545,GNFC,620.1,620.1,18
67329,ATUL,7210.0,7225.0,17
2615553,ADANIENSOL,833.55,831.5,16
1152769,MPHASIS,3182.75,3187.8,13
12289,HAPPSTMNDS,746.0,749.1,12
2863105,IDFCFIRSTB,64.19,64.3,12
758529,SAIL,124.68,124.8,12
3712257,BALAMINES,2017.0,2000.0,11
245249,ESCORTS,3443.25,3440.15,11
3712257,BALAMINES,2017.0,2009.2,11
1793,AARTIIND,437.9,438.0,10
3663105,INDIANB,572.3,573.75,10
1215745,CONCOR,825.1,828.75,9
5105409,DEEPAKNTR,2679.0,2690.05,8
526337,HOMEFIRST,1057.25,1061.0,8
1719809,SAPPHIRE,312.55,313.55,7
1793,AARTIIND,437.9,445.0,7
7670273,JUSTDIAL,1042.65,1047.7,6
3378433,GSPL,378.85,379.2,6
175361,CHOLAFIN,1304.3,1310.0,6
579329,BANDHANBNK,169.71,169.15,5
12289,HAPPSTMNDS,746.0,741.0,4
6936321,SWANENERGY,783.05,764.4,4
6936321,SWANENERGY,783.05,782.25,2
3712257,BALAMINES,2017.0,1960.0,1
