token,symbol,ltp,level,taps
197633,DABUR,525.65,525.0,61
794369,SHREECEM,25570.9,25550.0,48
356865,HINDUNILVR,2465.55,2456.95,46
794369,SHREECEM,25570.9,26340.0,43
119553,HDFCLIFE,644.4,647.6,40
4488705,MGL,1179.5,1180.35,40
1394945,CHEMPLASTS,499.95,500.0,37
4879617,MANAPPURAM,155.7,158.3,33
4879617,MANAPPURAM,155.7,156.1,32
2911489,BIOCON,364.25,363.25,26
4589313,BAYERCROP,5656.0,5667.75,25
1346049,INDUSINDBK,994.45,990.0,25
119553,HDFCLIFE,644.4,657.1,22
462849,KAJARIACER,1207.7,1212.0,21
122881,BIRLACORPN,1215.25,1211.05,19
126721,BLUEDART,7496.0,7500.0,19
3649281,REDINGTON,196.68,202.3,19
2911489,BIOCON,364.25,370.15,19
958465,FINEORG,5184.0,5125.0,19
958465,FINEORG,5184.0,5120.0,17
958465,FINEORG,5184.0,5164.9,16
2953217,TCS,4248.1,4254.75,15
126721,BLUEDART,7496.0,7480.0,15
3078145,ACI,691.25,689.0,15
2479361,TRIDENT,33.07,33.15,14
67329,ATUL,7221.8,7225.0,14
40193,APOLLOHOSP,6842.4,6874.45,12
126721,BLUEDART,7496.0,7644.55,12
341249,HDFCBANK,1792.45,1721.4,10
2863105,IDFCFIRSTB,64.3,64.3,8
1292545,CLEAN,1283.55,1280.0,8
6191105,PIIND,4058.05,3920.0,8
3649281,REDINGTON,196.68,196.0,7
3812865,CENTRALBK,56.25,56.0,7
3905025,CEATLTD,2987.85,2998.45,6
3520001,FLUOROCHEM,3930.0,3920.0,6
3663105,INDIANB,576.0,573.75,6
193793,CRISIL,5291.1,5268.5,4
85761,BALKRISIND,2729.9,2723.8,4
108033,BHARATFORG,1329.45,1330.0,3
5728513,MAXHEALTH,982.0,979.9,3
6191105,PIIND,4058.05,4040.0,2
87553,CAMS,4890.0,4910.0,2
341249,HDFCBANK,1792.45,1794.0,1
