token,symbol,ltp,level,taps
197633,DABUR,506.85,503.65,53
356865,HINDUNILVR,2400.75,2393.0,51
197633,DABUR,506.85,504.1,46
197633,DABUR,506.85,517.0,44
369153,SANOFI,6302.4,6233.85,42
119553,HDFCLIFE,641.8,647.6,41
356865,HINDUNILVR,2400.75,2442.9,39
356865,HINDUNILVR,2400.75,2428.1,38
2964481,WESTLIFE,808.45,815.55,36
3471361,GRINDWELL,2161.85,2149.15,33
81153,BAJFINANCE,6868.35,6801.0,33
871681,TATACHEM,1106.05,1110.85,32
3365633,PVRINOX,1480.1,1469.25,29
1346049,INDUSINDBK,982.6,990.0,29
121345,3MINDIA,31126.1,31000.0,27
2911489,BIOCON,369.6,363.25,26
119553,HDFCLIFE,641.8,657.1,24
2745857,INDIAMART,2371.15,2393.35,23
2200577,MSUMI,62.85,62.3,23
958465,FINEORG,5089.15,5125.0,21
369153,SANOFI,6302.4,6333.95,20
2911489,BIOCON,369.6,370.15,19
12289,HAPPSTMNDS,762.1,785.6,19
4708097,RBLBANK,171.36,169.65,19
1510401,AXISBANK,1163.25,1151.85,19
958465,FINEORG,5089.15,5164.9,18
3612417,NETWORK18,78.89,78.4,18
151553,GRAPHITE,568.0,587.0,18
462849,KAJARIACER,1157.3,1168.0,17
197633,DABUR,506.85,489.2,17
895745,TATASTEEL,149.88,149.85,17
958465,FINEORG,5089.15,5120.0,17
67329,ATUL,7285.1,7225.0,16
300545,GNFC,622.4,620.1,16
947969,VIPIND,505.55,505.65,15
3453697,JKLAKSHMI,819.1,816.0,15
151553,GRAPHITE,568.0,573.0,15
3612417,NETWORK18,78.89,77.2,14
6483969,APLLTD,1102.55,1094.0,13
6988033,RTNINDIA,71.65,71.0,12
1292545,CLEAN,1288.95,1280.0,11
4561409,LTIM,6389.05,6442.0,11
2090753,MANYAVAR,1376.45,1379.0,10
1041153,MARICO,607.75,607.7,10
3577857,TANLA,737.35,735.0,9
912129,ADANIGREEN,1216.95,1220.0,9
4378881,SUMICHEM,545.05,540.8,9
239873,ELGIEQUIP,625.35,623.0,9
6191105,PIIND,4060.6,3920.0,8
4488705,MGL,1279.35,1284.4,8
1793,AARTIIND,448.4,438.0,8
12289,HAPPSTMNDS,762.1,763.25,8
5105409,DEEPAKNTR,2674.3,2690.05,7
1793,AARTIIND,448.4,445.0,7
416513,LINDEINDIA,6809.7,6790.0,7
3397121,JKCEMENT,4562.95,4575.0,7
3397121,JKCEMENT,4562.95,4599.95,6
2408449,RAINBOW,1662.85,1649.0,6
1813249,STARHEALTH,468.15,481.55,5
2995969,ALKEM,5484.6,5520.0,5
193793,CRISIL,5284.45,5268.5,5
4488705,MGL,1279.35,1257.0,5
2995969,ALKEM,5484.6,5578.8,5
3197185,SWSOLAR,507.3,509.1,5
6191105,PIIND,4060.6,4040.0,4
2585345,GODREJCP,1127.85,1138.0,4
4561409,LTIM,6389.05,6574.95,4
82945,ANGELONE,3425.35,3393.0,4
2983681,JBMA,1615.0,1607.65,4
7670273,JUSTDIAL,1140.4,1138.0,4
2622209,SYNGENE,867.9,860.25,4
3460353,EMAMILTD,621.75,621.8,3
1813249,STARHEALTH,468.15,469.05,3
7982337,MCX,6849.4,6870.0,2
1304833,ZOMATO,295.3,298.25,2
2939649,LT,3947.3,3919.9,1
387841,INDIACEM,345.75,348.5,1
5728513,MAXHEALTH,1116.95,1118.0,1
2748929,OFSS,12585.0,12619.0,1
