token,symbol,ltp,level,taps
492033,KOTAKBANK,1737.1,1740.0,78
492033,KOTAKBANK,1737.1,1721.0,73
197633,DABUR,505.75,503.65,53
356865,HINDUNILVR,2382.8,2393.0,51
197633,DABUR,505.75,504.1,46
197633,DABUR,505.75,517.0,43
356865,HINDUNILVR,2382.8,2442.9,38
356865,HINDUNILVR,2382.8,2428.1,38
5097729,DMART,3622.9,3644.3,36
676609,PFIZER,5131.3,5170.0,34
492033,KOTAKBANK,1737.1,1672.55,33
871681,TATACHEM,1045.1,1050.3,29
871681,TATACHEM,1045.1,1069.95,28
121345,3MINDIA,31304.45,31000.0,27
1346049,INDUSINDBK,981.45,990.0,25
4445185,VINATIORGA,1786.6,1770.0,23
4600577,SBICARD,675.05,695.55,22
2953217,TCS,4072.85,3989.9,22
1378561,AAVAS,1641.3,1625.0,19
2031617,AVANTIFEED,593.95,598.5,19
2402561,PNCINFRA,290.65,289.55,19
81153,BAJFINANCE,6465.65,6492.6,18
306177,KANSAINER,255.45,257.5,18
197633,DABUR,505.75,489.2,17
4532225,QUESS,640.7,638.2,17
341249,HDFCBANK,1741.2,1702.4,15
225537,DRREDDY,1195.35,1197.95,15
1376769,ASAHIINDIA,655.25,637.45,15
3378433,GSPL,332.15,332.4,15
3471361,GRINDWELL,2031.3,2018.35,14
67329,ATUL,7241.95,7225.0,14
1716481,PAYTM,845.4,844.7,13
94977,BATAINDIA,1281.55,1269.0,13
3823873,CIEINDIA,459.5,462.4,13
306177,KANSAINER,255.45,251.85,13
4708097,RBLBANK,156.23,155.6,13
3712257,BALAMINES,1984.45,2002.25,12
3817473,KPRMILL,934.45,928.15,11
341249,HDFCBANK,1741.2,1721.4,10
3912449,KNRCON,305.25,305.5,10
3712257,BALAMINES,1984.45,2000.0,10
2090753,MANYAVAR,1368.8,1379.0,10
3712257,BALAMINES,1984.45,2009.2,10
637185,ISEC,837.15,838.0,10
1850113,MAPMYINDIA,1588.1,1600.0,10
32769,ROUTE,1389.4,1386.05,10
7670273,JUSTDIAL,1049.75,1051.0,10
1376769,ASAHIINDIA,655.25,651.0,9
6483969,APLLTD,1037.85,1038.0,9
4708097,RBLBANK,156.23,156.1,9
341249,HDFCBANK,1741.2,1722.1,9
341249,HDFCBANK,1741.2,1725.0,9
681985,PIDILITIND,2938.05,2918.95,9
32769,ROUTE,1389.4,1395.0,9
4843777,VBL,626.75,624.8,8
3471361,GRINDWELL,2031.3,1983.8,8
2953217,TCS,4072.85,4043.0,8
1292545,CLEAN,1277.05,1280.0,8
1041153,MARICO,591.05,595.0,8
2964481,WESTLIFE,703.45,708.95,8
526337,HOMEFIRST,1069.6,1061.0,8
3520257,NAUKRI,7515.35,7465.4,8
4610817,WHIRLPOOL,1735.85,1733.0,8
341249,HDFCBANK,1741.2,1757.5,7
7670273,JUSTDIAL,1049.75,1047.7,6
1152769,MPHASIS,2786.2,2782.6,6
245249,ESCORTS,3454.4,3440.15,6
4639745,DBREALTY,157.36,156.8,5
2995969,ALKEM,5604.75,5578.8,5
4600577,SBICARD,675.05,678.9,5
163073,CHAMBLFERT,455.4,451.0,5
2995969,ALKEM,5604.75,5520.0,5
3431425,SUNTV,728.05,734.9,5
85761,BALKRISIND,2721.95,2723.8,4
1332225,GMDCLTD,321.6,324.7,4
3492609,ELECON,564.85,561.0,4
1214721,BANKINDIA,101.52,101.4,4
377857,IDBI,76.06,76.2,3
3695361,JKTYRE,361.55,358.6,3
2426881,LICI,881.95,880.05,3
1195009,BANKBARODA,228.5,228.85,3
325121,AMBUJACEM,484.15,481.15,2
1076225,MOTHERSON,161.84,162.75,2
1332225,GMDCLTD,321.6,316.8,2
1813249,STARHEALTH,457.95,454.8,2
377857,IDBI,76.06,74.75,1
1292545,CLEAN,1277.05,1227.1,1
2478849,KPITTECH,1290.2,1293.05,1
