token,symbol,ltp,level,taps
263945,NIFTY MEDIA,1950.5,1873.95,36
263945,NIFTY MEDIA,1950.5,1877.0,32
263945,NIFTY MEDIA,1950.5,1958.0,29
263945,NIFTY MEDIA,1950.5,1943.2,28
263945,NIFTY MEDIA,1950.5,1943.35,28
263945,NIFTY MEDIA,1950.5,1982.95,28
263945,NIFTY MEDIA,1950.5,2007.95,27
263945,NIFTY MEDIA,1950.5,1954.45,27
263945,NIFTY MEDIA,1950.5,2028.2,26
263945,NIFTY MEDIA,1950.5,1919.65,26
263945,NIFTY MEDIA,1950.5,1920.35,25
257289,NIFTY COMMODITIES,8702.95,8760.0,24
263945,NIFTY MEDIA,1950.5,2007.45,24
260105,NIFTY BANK,53286.1,51749.45,23
263945,NIFTY MEDIA,1950.5,1947.75,22
263945,NIFTY MEDIA,1950.5,1950.0,21
261897,NIFTY FMCG,56593.95,55206.7,20
260105,NIFTY BANK,53286.1,51996.65,20
260105,NIFTY BANK,53286.1,51957.0,20
263689,NIFTY METAL,9406.15,9401.55,19
261897,NIFTY FMCG,56593.95,56473.95,19
263689,NIFTY METAL,9406.15,9162.2,19
257545,NIFTY CONSUMPTION,11601.5,11444.3,18
262153,NIFTY MNC,29379.35,29314.85,18
264457,NIFTY 200,13985.65,13650.9,18
261897,NIFTY FMCG,56593.95,54816.1,17
263689,NIFTY METAL,9406.15,9427.85,17
264457,NIFTY 200,13985.65,14153.0,17
262409,NIFTY PHARMA,22114.25,22437.95,17
257545,NIFTY CONSUMPTION,11601.5,11584.4,17
264457,NIFTY 200,13985.65,14006.25,17
256777,NIFTY MIDCAP 100,58819.75,58826.2,17
264457,NIFTY 200,13985.65,14157.05,16
264457,NIFTY 200,13985.65,14234.65,16
262153,NIFTY MNC,29379.35,29334.3,16
260617,NIFTY 100,25631.95,26002.2,16
260105,NIFTY BANK,53286.1,52794.55,16
261897,NIFTY FMCG,56593.95,56872.5,16
260617,NIFTY 100,25631.95,25644.4,16
261897,NIFTY FMCG,56593.95,57966.7,15
263689,NIFTY METAL,9406.15,9377.1,15
256265,NIFTY 50,24675.8,24694.35,15
261897,NIFTY FMCG,56593.95,56008.0,15
262665,NIFTY PSE,10248.65,10240.7,15
257289,NIFTY COMMODITIES,8702.95,8681.7,15
263433,NIFTY AUTO,23714.35,23713.2,15
262409,NIFTY PHARMA,22114.25,22301.05,15
261129,NIFTY REALTY,1077.4,1043.85,15
256777,NIFTY MIDCAP 100,58819.75,59539.0,14
256265,NIFTY 50,24675.8,24099.7,14
256777,NIFTY MIDCAP 100,58819.75,56823.2,14
257289,NIFTY COMMODITIES,8702.95,8690.6,14
257289,NIFTY COMMODITIES,8702.95,8694.85,14
264457,NIFTY 200,13985.65,14015.55,14
257545,NIFTY CONSUMPTION,11601.5,11426.45,14
264457,NIFTY 200,13985.65,14030.35,13
257545,NIFTY CONSUMPTION,11601.5,11621.2,13
256265,NIFTY 50,24675.8,24920.05,13
257289,NIFTY COMMODITIES,8702.95,8370.25,13
257289,NIFTY COMMODITIES,8702.95,8708.4,12
262409,NIFTY PHARMA,22114.25,22562.95,12
264457,NIFTY 200,13985.65,14286.65,12
264457,NIFTY 200,13985.65,14037.95,12
262665,NIFTY PSE,10248.65,10175.1,12
257545,NIFTY CONSUMPTION,11601.5,12060.35,12
261897,NIFTY FMCG,56593.95,55837.4,12
256265,NIFTY 50,24675.8,24753.15,11
262409,NIFTY PHARMA,22114.25,22179.4,11
262409,NIFTY PHARMA,22114.25,22603.9,11
262665,NIFTY PSE,10248.65,10398.5,10
262409,NIFTY PHARMA,22114.25,22381.6,10
263689,NIFTY METAL,9406.15,9118.7,10
260617,NIFTY 100,25631.95,26318.1,10
257289,NIFTY COMMODITIES,8702.95,8970.2,9
262409,NIFTY PHARMA,22114.25,22216.95,9
263177,NIFTY SERV SECTOR,33154.3,32351.45,9
257545,NIFTY CONSUMPTION,11601.5,11320.85,9
262409,NIFTY PHARMA,22114.25,22894.55,9
262409,NIFTY PHARMA,22114.25,22145.05,9
257289,NIFTY COMMODITIES,8702.95,8500.6,8
264457,NIFTY 200,13985.65,13921.65,8
264457,NIFTY 200,13985.65,13925.6,8
264457,NIFTY 200,13985.65,13499.3,8
264457,NIFTY 200,13985.65,13477.0,8
262409,NIFTY PHARMA,22114.25,22005.1,8
260105,NIFTY BANK,53286.1,53180.75,8
261129,NIFTY REALTY,1077.4,1088.35,8
257289,NIFTY COMMODITIES,8702.95,8452.1,8
260617,NIFTY 100,25631.95,26331.2,8
256265,NIFTY 50,24675.8,25234.05,8
262665,NIFTY PSE,10248.65,10045.05,8
260105,NIFTY BANK,53286.1,53357.7,8
256265,NIFTY 50,24675.8,25285.55,7
261129,NIFTY REALTY,1077.4,1079.35,7
261897,NIFTY FMCG,56593.95,58266.05,7
264457,NIFTY 200,13985.65,14329.95,7
257289,NIFTY COMMODITIES,8702.95,8498.5,7
262409,NIFTY PHARMA,22114.25,21501.8,6
262409,NIFTY PHARMA,22114.25,21649.5,6
257545,NIFTY CONSUMPTION,11601.5,11963.95,6
262665,NIFTY PSE,10248.65,10015.25,6
256777,NIFTY MIDCAP 100,58819.75,59700.3,6
256265,NIFTY 50,24675.8,25333.65,5
264457,NIFTY 200,13985.65,14354.95,5
263433,NIFTY AUTO,23714.35,23091.8,4
263177,NIFTY SERV SECTOR,33154.3,33147.4,4
257545,NIFTY CONSUMPTION,11601.5,11727.2,4
264457,NIFTY 200,13985.65,14451.3,4
263689,NIFTY METAL,9406.15,9671.25,3
263433,NIFTY AUTO,23714.35,24111.95,3
