token,symbol,ltp,level,taps
263945,NIFTY MEDIA,1950.35,1885.75,37
263945,NIFTY MEDIA,1950.35,1873.95,36
263945,NIFTY MEDIA,1950.35,1887.65,36
263945,NIFTY MEDIA,1950.35,1928.65,35
263945,NIFTY MEDIA,1950.35,2013.55,33
263945,NIFTY MEDIA,1950.35,1877.0,32
261897,NIFTY FMCG,56594.55,54533.45,29
263945,NIFTY MEDIA,1950.35,1963.3,29
256265,NIFTY 50,24672.8,24354.55,29
263945,NIFTY MEDIA,1950.35,1958.0,29
263945,NIFTY MEDIA,1950.35,1982.95,28
263945,NIFTY MEDIA,1950.35,1943.35,28
263945,NIFTY MEDIA,1950.35,1943.2,28
263945,NIFTY MEDIA,1950.35,1937.95,27
263945,NIFTY MEDIA,1950.35,1954.45,27
263945,NIFTY MEDIA,1950.35,1934.85,27
263945,NIFTY MEDIA,1950.35,1965.75,27
263945,NIFTY MEDIA,1950.35,2007.95,27
263945,NIFTY MEDIA,1950.35,2028.2,26
263945,NIFTY MEDIA,1950.35,1919.65,26
260105,NIFTY BANK,53281.45,52340.25,25
263945,NIFTY MEDIA,1950.35,1920.35,25
262921,NIFTY PSU BANK,6981.1,7154.95,25
257801,NIFTY FIN SERVICE,24740.9,23853.5,25
260105,NIFTY BANK,53281.45,51693.95,24
256265,NIFTY 50,24672.8,24168.85,24
257289,NIFTY COMMODITIES,8703.25,8760.0,24
263945,NIFTY MEDIA,1950.35,2007.45,24
260105,NIFTY BANK,53281.45,51749.45,23
263945,NIFTY MEDIA,1950.35,1947.75,22
260617,NIFTY 100,25629.6,25165.0,22
263945,NIFTY MEDIA,1950.35,1950.0,21
263945,NIFTY MEDIA,1950.35,1911.4,21
256265,NIFTY 50,24672.8,24498.2,21
256265,NIFTY 50,24672.8,24510.65,21
262921,NIFTY PSU BANK,6981.1,6795.15,20
260105,NIFTY BANK,53281.45,51996.65,20
256265,NIFTY 50,24672.8,24472.8,20
256265,NIFTY 50,24672.8,24999.75,20
261897,NIFTY FMCG,56594.55,55206.7,20
260105,NIFTY BANK,53281.45,51957.0,20
260617,NIFTY 100,25629.6,25443.3,19
263689,NIFTY METAL,9405.75,9401.55,19
260617,NIFTY 100,25629.6,25433.4,19
260617,NIFTY 100,25629.6,25364.55,19
261897,NIFTY FMCG,56594.55,56473.95,19
262921,NIFTY PSU BANK,6981.1,6817.95,19
263689,NIFTY METAL,9405.75,9162.2,19
260617,NIFTY 100,25629.6,26023.35,18
264457,NIFTY 200,13985.1,13650.9,18
264457,NIFTY 200,13985.1,13784.1,18
262153,NIFTY MNC,29378.3,29314.85,18
261897,NIFTY FMCG,56594.55,56305.95,18
262921,NIFTY PSU BANK,6981.1,7035.4,18
256265,NIFTY 50,24672.8,24141.8,18
257545,NIFTY CONSUMPTION,11600.9,11444.3,18
260617,NIFTY 100,25629.6,25230.1,18
256265,NIFTY 50,24672.8,24854.8,17
262921,NIFTY PSU BANK,6981.1,6838.2,17
262921,NIFTY PSU BANK,6981.1,7032.8,17
264457,NIFTY 200,13985.1,14153.0,17
264457,NIFTY 200,13985.1,14006.25,17
262921,NIFTY PSU BANK,6981.1,7207.8,17
262409,NIFTY PHARMA,22114.95,22437.95,17
262409,NIFTY PHARMA,22114.95,22437.15,17
263689,NIFTY METAL,9405.75,9427.85,17
261897,NIFTY FMCG,56594.55,54816.1,17
256777,NIFTY MIDCAP 100,58815.75,58826.2,17
256265,NIFTY 50,24672.8,24857.75,17
257545,NIFTY CONSUMPTION,11600.9,11489.2,17
257545,NIFTY CONSUMPTION,11600.9,11584.4,17
