token,symbol,ltp,level,taps
263945,NIFTY MEDIA,1991.5,2047.35,44
263945,NIFTY MEDIA,1991.5,1996.2,36
263945,NIFTY MEDIA,1991.5,2021.9,29
263945,NIFTY MEDIA,1991.5,2017.7,28
263945,NIFTY MEDIA,1991.5,1937.95,27
263945,NIFTY MEDIA,1991.5,1934.85,27
263945,NIFTY MEDIA,1991.5,1988.25,24
263945,NIFTY MEDIA,1991.5,1974.25,23
262921,NIFTY PSU BANK,7087.8,7082.9,23
263945,NIFTY MEDIA,1991.5,1947.75,22
261385,NIFTY INFRA,8942.25,9166.25,21
262921,NIFTY PSU BANK,7087.8,7038.8,17
256777,NIFTY MIDCAP 100,59307.85,59290.05,16
261897,NIFTY FMCG,56835.25,55493.25,16
263689,NIFTY METAL,9364.2,8993.35,16
264457,NIFTY 200,14042.7,14234.65,16
257801,NIFTY FIN SERVICE,24912.75,24046.6,16
260617,NIFTY 100,25710.9,26145.6,16
260105,NIFTY BANK,53665.7,52577.5,15
256265,NIFTY 50,24733.55,25078.3,15
261897,NIFTY FMCG,56835.25,57966.7,15
257289,NIFTY COMMODITIES,8702.85,8892.8,14
262921,NIFTY PSU BANK,7087.8,7281.75,14
261897,NIFTY FMCG,56835.25,54962.5,14
264457,NIFTY 200,14042.7,14015.55,14
261897,NIFTY FMCG,56835.25,56222.75,14
257289,NIFTY COMMODITIES,8702.85,8370.25,13
261385,NIFTY INFRA,8942.25,8674.15,13
256265,NIFTY 50,24733.55,24753.15,12
261897,NIFTY FMCG,56835.25,55837.4,12
260617,NIFTY 100,25710.9,25786.3,12
261385,NIFTY INFRA,8942.25,8832.45,12
261641,NIFTY ENERGY,37101.95,38132.75,11
262921,NIFTY PSU BANK,7087.8,6873.1,11
261385,NIFTY INFRA,8942.25,9091.85,11
257289,NIFTY COMMODITIES,8702.85,8517.3,10
260617,NIFTY 100,25710.9,24871.55,10
263689,NIFTY METAL,9364.2,9518.45,10
262409,NIFTY PHARMA,22146.2,22802.6,9
256265,NIFTY 50,24733.55,23893.7,9
256777,NIFTY MIDCAP 100,59307.85,57791.2,8
262153,NIFTY MNC,29480.0,30507.75,8
262665,NIFTY PSE,10242.5,10517.6,8
257289,NIFTY COMMODITIES,8702.85,9024.75,8
257801,NIFTY FIN SERVICE,24912.75,24379.95,7
260105,NIFTY BANK,53665.7,53357.7,7
257545,NIFTY CONSUMPTION,11626.4,11290.1,7
262665,NIFTY PSE,10242.5,9866.55,6
261897,NIFTY FMCG,56835.25,58832.65,6
263433,NIFTY AUTO,23760.35,24464.5,5
257289,NIFTY COMMODITIES,8702.85,9009.75,5
262665,NIFTY PSE,10242.5,10441.7,5
261641,NIFTY ENERGY,37101.95,36854.95,5
261129,NIFTY REALTY,1107.5,1140.4,5
262409,NIFTY PHARMA,22146.2,21475.95,4
257545,NIFTY CONSUMPTION,11626.4,11867.65,3
263433,NIFTY AUTO,23760.35,24111.95,3
262153,NIFTY MNC,29480.0,29773.45,3
256777,NIFTY MIDCAP 100,59307.85,60925.95,2
263177,NIFTY SERV SECTOR,33242.45,33791.15,2
261641,NIFTY ENERGY,37101.95,36244.0,1
260105,NIFTY BANK,53665.7,54467.35,1
257801,NIFTY FIN SERVICE,24912.75,25201.95,1
