token,symbol,ltp,level,taps
263945,NIFTY MEDIA,1953.25,1996.2,36
263945,NIFTY MEDIA,1953.25,1937.95,27
263945,NIFTY MEDIA,1953.25,1934.85,27
263945,NIFTY MEDIA,1953.25,1947.75,22
264457,NIFTY 200,14035.9,14234.65,16
260617,NIFTY 100,25724.6,26145.6,16
256265,NIFTY 50,24768.3,25078.3,15
264457,NIFTY 200,14035.9,14015.55,14
260617,NIFTY 100,25724.6,25786.3,12
256265,NIFTY 50,24768.3,24753.15,12
260617,NIFTY 100,25724.6,24871.55,10
263689,NIFTY METAL,9439.3,9518.45,10
256265,NIFTY 50,24768.3,23893.7,9
264457,NIFTY 200,14035.9,13477.0,8
262153,NIFTY MNC,29480.65,30507.75,8
260105,NIFTY BANK,53583.8,53357.7,7
261641,NIFTY ENERGY,37194.2,36854.95,5
256777,NIFTY MIDCAP 100,24768.3,24680.7,5
256777,NIFTY MIDCAP 100,24768.3,24740.45,4
262153,NIFTY MNC,29480.65,29773.45,3
