Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
381,Globe Textiles (India) Ltd,GLOBE,P&F | F.A,6.12%,4.68,"15,35,151"
228,Shemaroo Entertainment Limited,SHEMAROO,P&F | F.A,5.56%,166,"44,013"
229,Rbl Bank Limited,RBLBANK,P&F | F.A,5.28%,163.19,"1,20,02,250"
279,MIC Electronics Ltd,MICEL,P&F | F.A,4.75%,86.48,"12,98,738"
239,Mangalore Refinery And Petrochemicals Limited,MRPL,P&F | F.A,4.54%,148.85,"52,21,653"
100,Creative Newtech Ltd,CREATIVE,P&F | F.A,4.12%,943,"22,192"
372,Tgb Banquets And Hotels Limited,TGBHOTELS,P&F | F.A,4.12%,14.67,"19,818"
170,Moil Limited,MOIL,P&F | F.A,3.92%,335.65,"9,72,120"
235,VL E-Governance & IT Solutions Ltd,VLEGOV,P&F | F.A,3.67%,155.51,"2,33,632"
144,Rajratan Global Wire Ltd,RAJRATAN,P&F | F.A,3.63%,496.7,"27,746"
112,Jindal Drilling And Industries Limited,JINDRILL,P&F | F.A,3.38%,768.4,"2,08,779"
146,CIE Automotive India Ltd,CIEINDIA,P&F | F.A,3.15%,481,"4,72,219"
345,Ambica Agarbathies Aroma & Industries Ltd,AMBICAAGAR,P&F | F.A,3.05%,30.78,"10,016"
99,Fertilizers And Chemicals Travancore Limited,FACT,P&F | F.A,2.91%,955.5,"5,25,715"
118,Rategain Travel Technologies Ltd,RATEGAIN,P&F | F.A,2.87%,710.6,"1,61,429"
263,Zim Laboratories Ltd,ZIMLAB,P&F | F.A,2.77%,112.12,"47,669"
72,The Phoenix Mills Limited,PHOENIXLTD,P&F | F.A,2.73%,1700.15,"7,84,458"
109,Astra Microwave Products Limited,ASTRAMICRO,P&F | F.A,2.72%,782.65,"2,05,674"
307,Amd Industries Limited,AMDIND,P&F | F.A,2.69%,61.77,"4,515"
92,Uno Minda Ltd,UNOMINDA,P&F | F.A,2.63%,1050,"3,41,491"
84,SignatureGlobal India Ltd,SIGNATURE,P&F | F.A,2.56%,1283.85,"5,54,039"
152,Bansal Wire Industries Ltd,BANSALWIRE,P&F | F.A,2.54%,450.1,"52,622"
137,Sumitomo Chemical India Ltd,SUMICHEM,P&F | F.A,2.49%,524.5,"2,25,286"
342,Uniinfo Telecom Services Ltd,UNIINFO,P&F | F.A,2.47%,36.13,"21,719"
47,Aia Engineering Limited,AIAENG,P&F | F.A,2.38%,3394.1,"17,366"
231,Avantel Ltd,AVANTEL,P&F | F.A,2.37%,159.36,"3,72,534"
273,Apollo Micro Systems Ltd,APOLLO,P&F | F.A,2.34%,95.5,"8,20,884"
267,Ausom Enterprise Limited,AUSOMENT,P&F | F.A,2.32%,106,"5,086"
185,Nahar Poly Films Limited,NAHARPOLY,P&F | F.A,2.27%,281.6,"14,642"
172,Sirca Paints India Ltd,SIRCA,P&F | F.A,2.18%,330.3,"52,350"
119,India Nippon Electricals Limited,INDNIPPON,P&F | F.A,2.16%,708.4,"5,008"
143,Fdc Limited,FDC,P&F | F.A,2.14%,499.3,"71,322"
266,Xchanging Solutions Limited,XCHANGING,P&F | F.A,2.14%,110.4,"71,990"
76,Fiem Industries Limited,FIEMIND,P&F | F.A,2.12%,1552.55,"44,334"
265,NDL Ventures Ltd,NDLVENTURE,P&F | F.A,2.11%,111,"7,043"
80,Albert David Limited,ALBERTDAVD,P&F | F.A,2.08%,1336,"2,580"
379,Sadbhav Infrastructure Project Limited,SADBHIN,P&F | F.A,2.04%,6.99,"2,42,703"
331,NMDC Steel Ltd,NSLNISP,P&F | F.A,1.89%,45.75,"36,31,557"
226,Rashtriya Chemicals And Fertilizers Limited,RCF,P&F | F.A,1.87%,169.77,"19,27,623"
215,Gail (india) Limited,GAIL,P&F | F.A,1.84%,197.54,"2,08,13,461"
290,Southern Petrochemicals Industries Corporation  Limited,SPIC,P&F | F.A,1.80%,74.49,"2,05,956"
363,Cinevista Limited,CINEVISTA,P&F | F.A,1.79%,18.74,"27,305"
81,Bharat Forge Limited,BHARATFORG,P&F | F.A,1.73%,1321.7,"6,78,502"
321,Indian Terrain Fashions Limited,INDTERRAIN,P&F | F.A,1.71%,50.5,"84,548"
211,Superhouse Limited,SUPERHOUSE,P&F | F.A,1.67%,207,"5,434"
338,Damodar Industries Limited,DAMODARIND,P&F | F.A,1.64%,42.79,"1,808"
208,The Karnataka Bank Limited,KTKBANK,P&F | F.A,1.60%,211.17,"3,13,926"
227,Bandhan Bank Ltd,BANDHANBNK,P&F | F.A,1.59%,167,"73,89,233"
61,Tvs Motor Company Limited,TVSMOTOR,P&F | F.A,1.56%,2425.65,"3,11,453"
64,Sasken Communication Technologies Limited,SASKEN,P&F | F.A,1.53%,2112.55,"8,661"
49,Grp Limited,GRPLTD,P&F | F.A,1.51%,3150,"1,670"
162,Mahindra Holidays & Resorts India Limited,MHRIL,P&F | F.A,1.51%,363.55,"71,615"
83,Polyplex Corporation Limited,POLYPLEX,P&F | F.A,1.49%,1294,"65,841"
115,J.kumar Infraprojects Limited,JKIL,P&F | F.A,1.48%,756.75,"1,86,057"
384,Kanani Industries Limited,KANANIIND,P&F | F.A,1.47%,2.77,"2,54,650"
27,Voltamp Transformers Limited,VOLTAMP,P&F | F.A,1.45%,10189.7,"8,331"
