Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
45,Rbl Bank Limited,RBLBANK,P&F | F.A,5.19%,163.05,"1,29,69,096"
42,Gail (india) Limited,GAIL,P&F | F.A,1.99%,197.83,"2,15,07,120"
25,Bharat Forge Limited,BHARATFORG,P&F | F.A,1.97%,1324.85,"7,05,844"
13,Tvs Motor Company Limited,TVSMOTOR,P&F | F.A,1.62%,2427.1,"3,33,754"
37,Crompton Greaves Consumer Electricals Limited,CROMPTON,P&F | F.A,1.20%,395.25,"5,92,019"
8,Britannia Industries Limited,BRITANNIA,P&F | F.A,1.18%,4760,"2,13,181"
24,KPIT Technologies Ltd,KPITTECH,P&F | F.A,1.13%,1431.6,"4,64,212"
39,Bharat Petroleum Corporation Limited,BPCL,P&F | F.A,0.86%,291.6,"66,43,593"
7,Eicher Motors Limited,EICHERMOT,P&F | F.A,0.56%,4777.2,"1,63,021"
17,ICICI Lombard General Insurance Company Ltd,ICICIGI,P&F | F.A,0.52%,1871.7,"8,37,738"
32,SBI Cards & Payment Services Ltd,SBICARD,P&F | F.A,0.48%,694.6,"9,71,287"
6,Computer Age Management Services Ltd,CAMS,P&F | F.A,0.41%,4923.05,"1,35,590"
46,Indian Oil Corporation Limited,IOC,P&F | F.A,0.36%,138.27,"68,88,940"
33,Varun Beverages Limited,VBL,P&F | F.A,0.25%,628.1,"21,54,015"
19,Kotak Mahindra Bank Limited,KOTAKBANK,P&F | F.A,0.14%,1747.75,"22,09,879"
35,Dabur India Limited,DABUR,P&F | F.A,0.11%,510.05,"28,74,033"
48,Nhpc Limited,NHPC,P&F | F.A,-0.02%,82.01,"1,07,60,787"
23,Cipla Limited,CIPLA,P&F | F.A,-0.04%,1475.5,"7,91,471"
18,Hdfc Bank Limited,HDFCBANK,P&F | F.A,-0.07%,1799.75,"57,58,734"
44,Indian Energy Exchange Ltd,IEX,P&F | F.A,-0.11%,176.93,"27,67,951"
26,Icici Bank Limited,ICICIBANK,P&F | F.A,-0.13%,1295.15,"54,63,505"
29,Dlf Limited,DLF,P&F | F.A,-0.20%,842.6,"26,41,294"
9,Supreme Industries Limited,SUPREMEIND,P&F | F.A,-0.22%,4755,"1,47,519"
21,Bharti Airtel Limited,BHARTIARTL,P&F | F.A,-0.24%,1583.05,"30,51,316"
4,Multi Commodity Exchange Of India Limited,MCX,P&F | F.A,-0.27%,6356.25,"1,36,321"
30,Adani Energy Solutions Ltd,ADANIENSOL,P&F | F.A,-0.27%,771.2,"8,35,310"
2,Polycab India Ltd,POLYCAB,P&F | F.A,-0.36%,7092.4,"1,05,138"
40,Bharat Heavy Electricals Limited,BHEL,P&F | F.A,-0.50%,239.75,"58,36,169"
14,Srf Limited,SRF,P&F | F.A,-0.52%,2274.65,"2,57,424"
16,Hcl Technologies Limited,HCLTECH,P&F | F.A,-0.52%,1893.05,"10,90,153"
12,Godrej Properties Limited,GODREJPROP,P&F | F.A,-0.66%,2868.35,"2,27,687"
15,Infosys Limited,INFY,P&F | F.A,-0.69%,1911.1,"15,36,427"
1,Ultratech Cement Limited,ULTRACEMCO,P&F | F.A,-0.76%,11385.65,"87,112"
3,Bajaj Finance Limited,BAJFINANCE,P&F | F.A,-0.80%,6812,"5,08,846"
36,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,P&F | F.A,-0.91%,503.15,"5,04,698"
20,Voltas Limited,VOLTAS,P&F | F.A,-0.92%,1680,"4,11,572"
43,Cesc Limited,CESC,P&F | F.A,-0.92%,183.05,"55,60,004"
31,Kalyan Jewellers India Ltd,KALYANKJIL,P&F | F.A,-0.95%,717.1,"11,39,138"
49,Irb Infrastructure Developers Limited,IRB,P&F | F.A,-0.98%,54.59,"81,11,916"
10,Tube Investments of India Ltd,TIINDIA,P&F | F.A,-1.05%,3582.95,"82,132"
28,Zydus Lifesciences Ltd,ZYDUSLIFE,P&F | F.A,-1.05%,963.15,"6,55,161"
38,Delhivery Ltd,DELHIVERY,P&F | F.A,-1.20%,354.8,"26,48,033"
5,Alkem Laboratories Limited,ALKEM,P&F | F.A,-1.25%,5413.35,"24,224"
27,The Ramco Cements Limited,RAMCOCEM,P&F | F.A,-1.25%,987.5,"3,20,645"
34,Ambuja Cements Limited,AMBUJACEM,P&F | F.A,-1.25%,543.75,"8,48,718"
11,Titan Company Limited,TITAN,P&F | F.A,-1.61%,3342.15,"3,64,483"
41,Housing and Urban Development Corporation,HUDCO,P&F | F.A,-1.66%,232.95,"21,24,583"
22,Apl Apollo Tubes Limited,APLAPOLLO,P&F | F.A,-1.71%,1515,"6,69,419"
47,Steel Authority Of India Limited,SAIL,P&F | F.A,-1.82%,118.98,"1,51,27,929"
