"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"120","Jubilant Foodworks Limited","JUBLFOOD","P&F | F.A","5.79%","636.85","1,87,17,555"
"105","The Ramco Cements Limited","RAMCOCEM","P&F | F.A","4.54%","910","53,20,024"
"27","L&t Technology Services Limited","LTTS","P&F | F.A","3.28%","5278.85","3,67,904"
"129","Upl Limited","UPL","P&F | F.A","2.45%","527.75","94,14,990"
"72","Astral Poly Technik Limited","ASTRAL","P&F | F.A","1.89%","1746","6,86,585"
"82","Ipca Laboratories Limited","IPCALAB","P&F | F.A","1.84%","1559.5","8,40,592"
"70","Dalmia Bharat Limited","DALBHARAT","P&F | F.A","1.79%","1786.7","79,048"
"96","Max Financial Services Limited","MFSL","P&F | F.A","1.37%","1224.5","9,31,840"
"139","Aarti Industries Limited","AARTIIND","P&F | F.A","1.25%","445.25","33,93,998"
"171","Manappuram Finance Limited","MANAPPURAM","P&F | F.A","1.2%","157.99","1,47,21,618"
"133","Berger Paints (i) Limited","BERGEPAINT","P&F | F.A","1.09%","496.15","7,46,801"
"85","PVR Inox Ltd","PVRINOX","P&F | F.A","1%","1478.6","3,38,471"
"135","Chambal Fertilizers & Chemicals Limited","CHAMBLFERT","P&F | F.A","0.86%","483.95","21,03,932"
"61","Metropolis Healthcare Ltd","METROPOLIS","P&F | F.A","0.8%","2172","1,66,772"
"20","Trent Limited","TRENT","P&F | F.A","0.74%","6528.55","12,58,151"
"124","AU Small Finance Bank","AUBANK","P&F | F.A","0.56%","579.25","12,81,942"
"44","Dr. Lal Path Labs Ltd.","LALPATHLAB","P&F | F.A","0.54%","3026.15","1,33,841"
"23","LTI Mindtree Ltd","LTIM","P&F | F.A","0.51%","6005.05","2,89,914"
"89","Bata India Limited","BATAINDIA","P&F | F.A","0.51%","1337.75","3,30,309"
"67","Infosys Limited","INFY","P&F | F.A","0.47%","1868.8","50,12,370"
"13","Coforge (Niit Tech)","COFORGE","P&F | F.A","0.4%","8099.25","3,90,335"
"68","Sun Pharmaceuticals Industries Limited","SUNPHARMA","P&F | F.A","0.35%","1800.85","24,69,717"
"66","Hcl Technologies Limited","HCLTECH","P&F | F.A","0.3%","1872.85","27,11,032"
"62","Lupin Limited","LUPIN","P&F | F.A","0.25%","2090.1","13,13,915"
"91","Reliance Industries Limited","RELIANCE","P&F | F.A","0.12%","1274.25","1,06,70,411"
"92","Icici Bank Limited","ICICIBANK","P&F | F.A","0.1%","1270.6","1,34,84,753"
"115","The Indian Hotels Company Limited","INDHOTEL","P&F | F.A","0.09%","730.4","33,86,712"
"53","Grasim Industries Limited","GRASIM","P&F | F.A","0.07%","2521.2","5,20,090"
"106","Syngene International Limited","SYNGENE","P&F | F.A","0.06%","889.3","5,04,613"
"166","City Union Bank Limited","CUB","P&F | F.A","0%","174.3","45,37,435"
"42","Torrent Pharmaceuticals Limited","TORNTPHARM","P&F | F.A","-0.02%","3151.05","3,82,160"
"34","Tata Consultancy Services Limited","TCS","P&F | F.A","-0.03%","4197.4","15,87,639"
"145","Crompton Greaves Consumer Electricals Limited","CROMPTON","P&F | F.A","-0.04%","390.4","40,78,155"
"35","Jk Cement Limited","JKCEMENT","P&F | F.A","-0.09%","4062.55","41,747"
"100","Indusind Bank Limited","INDUSINDBK","P&F | F.A","-0.12%","1059.55","21,86,036"
