Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
196,Shanti Overseas (India) Ltd,SHANTI,P&F | F.A,8.11%,16.13,"27,30,321"
92,Control Print Limited,CONTROLPR,P&F | F.A,4.90%,737.5,"1,48,367"
99,Quick Heal Technologies Limited,QUICKHEAL,P&F | F.A,4.66%,653,"90,776"
178,Flexituff International Limited,FLEXITUFF,P&F | F.A,4.52%,61.03,"6,462"
182,Coral India Finance & Housing Ltd,CORALFINAC,P&F | F.A,3.98%,53,"16,835"
113,Rajratan Global Wire Ltd,RAJRATAN,P&F | F.A,3.95%,498.25,"33,160"
195,Mirae Asset Hang Seng TECH ETF,MAHKTECH,P&F | F.A,3.57%,19.17,"15,64,457"
114,Indraprastha Medical Corporation Limited,INDRAMEDCO,P&F | F.A,3.52%,494.55,"1,68,831"
144,Sreeleathers Limited,SREEL,P&F | F.A,3.32%,260.54,"15,095"
117,Td Power Systems Limited,TDPOWERSYS,P&F | F.A,3.03%,463.05,"3,33,205"
74,Welspun Investments And Commercials Limited,WELINV,P&F | F.A,2.90%,928,512
193,Prozone Realty Ltd,PROZONER,P&F | F.A,2.75%,25.06,"3,05,277"
137,CSB Bank Ltd,CSBBANK,P&F | F.A,2.73%,323.35,"1,80,836"
88,Welspun Corp Limited,WELCORP,P&F | F.A,2.69%,789.5,"2,53,790"
131,DCX Systems Ltd,DCXINDIA,P&F | F.A,2.57%,334.8,"11,16,962"
119,Gufic Biosciences Limited,GUFICBIO,P&F | F.A,2.55%,441.75,"50,641"
153,Jocil Limited,JOCIL,P&F | F.A,2.54%,210,"7,608"
34,Whirlpool Of India Limited,WHIRLPOOL,P&F | F.A,2.26%,1893.1,"1,76,441"
160,Mangal Credit & Fincorp Ltd,MANCREDIT,P&F | F.A,2.21%,149.44,"26,478"
104,Marathon Nextgen Realty Limited,MARATHON,P&F | F.A,2.08%,616,"27,257"
132,Ashiana Housing Limited,ASHIANA,P&F | F.A,2.04%,334.4,"36,139"
164,Tokyo Plast International Limited,TOKYOPLAST,P&F | F.A,2.02%,129,"5,389"
13,Garware Hi Tech Films Ltd,GRWRHITECH,P&F | F.A,1.93%,5120,"61,974"
166,Edelweiss Financial Services Limited,EDELWEISS,P&F | F.A,1.86%,125.73,"16,48,102"
150,Star Paper Mills Limited,STARPAPER,P&F | F.A,1.84%,220.39,"14,185"
205,Supreme Engineering Ltd,SUPREMEENG,P&F | F.A,1.81%,2.82,"2,87,618"
169,Paradeep Phosphates Ltd,PARADEEP,P&F | F.A,1.78%,110.69,"37,57,809"
115,Star Health & Allied Insurance Company Ltd,STARHEALTH,P&F | F.A,1.77%,483.6,"10,01,582"
105,Granules India Limited,GRANULES,P&F | F.A,1.73%,596.85,"30,37,435"
90,J.kumar Infraprojects Limited,JKIL,P&F | F.A,1.65%,758,"2,05,738"
129,Orient Cement Limited,ORIENTCEM,P&F | F.A,1.59%,342,"7,07,447"
111,Aditya Vision Ltd,AVL,P&F | F.A,1.56%,514.8,"67,864"
135,Sapphire Foods India Ltd,SAPPHIRE,P&F | F.A,1.53%,324.75,"5,35,841"
112,Chemplast Sanmar Ltd,CHEMPLASTS,P&F | F.A,1.51%,507.1,"77,324"
121,Eih Associated Hotels Limited,EIHAHOTELS,P&F | F.A,1.48%,410.3,"33,478"
77,Mangalam Cement Limited,MANGLMCEM,P&F | F.A,1.47%,915,"38,516"
89,Carysil Ltd,CARYSIL,P&F | F.A,1.46%,780.2,"41,862"
189,DigiSpice Technologies Ltd,DIGISPICE,P&F | F.A,1.42%,30.75,"31,188"
120,Rashi Peripherals Ltd,RPTECH,P&F | F.A,1.41%,419.8,"1,39,025"
142,Capital Small Finance Bank Ltd,CAPITALSFB,P&F | F.A,1.41%,279.7,"68,139"
38,Automotive Axles Limited,AUTOAXLES,P&F | F.A,1.40%,1799.45,"3,109"
85,Gm Breweries Limited,GMBREW,P&F | F.A,1.34%,818,"13,960"
106,Shivalik Bimetal Controls Ltd,SBCL,P&F | F.A,1.33%,584.95,"1,09,910"
46,United Spirits Ltd,UNITDSPR,P&F | F.A,1.28%,1564.75,"3,88,994"
161,Munjal Showa Limited,MUNJALSHOW,P&F | F.A,1.22%,148.15,"50,789"
93,India Shelter Finance Corporation Ltd,INDIASHLTR,P&F | F.A,1.19%,693,"47,250"
86,Praj Industries Limited,PRAJIND,P&F | F.A,1.09%,814.65,"11,82,947"
155,D B Realty Limited,DBREALTY,P&F | F.A,0.99%,178.51,"14,98,552"
41,Aurionpro Solutions Limited,AURIONPRO,P&F | F.A,0.93%,1752.3,"74,909"
141,Campus Activewear Ltd,CAMPUS,P&F | F.A,0.91%,294.9,"2,81,790"
116,Itc Limited,ITC,P&F | F.A,0.89%,478.45,"1,15,64,497"
40,Gland Pharma Ltd,GLAND,P&F | F.A,0.86%,1780,"1,03,624"
174,Plaza Wires Ltd,PLAZACABLE,P&F | F.A,0.84%,79.99,"59,787"
94,Silver Touch Technologies Ltd,SILVERTUC,P&F | F.A,0.83%,692,"12,070"
180,ICICI Prudential Nifty 5 Yr Benchmark G-Sec ETF,GSEC5IETF,P&F | F.A,0.80%,59.2,"1,800"
123,Puravankara Projects Limited,PURVA,P&F | F.A,0.79%,401.1,"68,614"
102,Kiri Industries Limited,KIRIINDUS,P&F | F.A,0.78%,620.1,"4,71,911"
56,Aurobindo Pharma Limited,AUROPHARMA,P&F | F.A,0.76%,1262.45,"5,65,054"
145,Walchandnagar Industries Limited,WALCHANNAG,P&F | F.A,0.76%,259.65,"2,27,279"
200,Axis AAA Bond Plus SDL ETF-2026 Matur. Reg. Growth,AXISBPSETF,P&F | F.A,0.74%,12.25,"26,211"
8,Maharashtra Scooters Limited,MAHSCOOTER,P&F | F.A,0.63%,9595.95,"2,707"
146,Honasa Consumer Ltd,HONASA,P&F | F.A,0.63%,254.55,"4,40,323"
96,Cyient DLM Ltd,CYIENTDLM,P&F | F.A,0.61%,671.95,"96,424"
19,Ethos Ltd,ETHOSLTD,P&F | F.A,0.57%,3128,"17,108"
16,V-mart Retail Limited,VMART,P&F | F.A,0.55%,3878,"10,639"
157,Asian Hotels (east) Limited,AHLEAST,P&F | F.A,0.50%,171.5,"20,528"
203,Suumaya Industries Ltd,SUULD,P&F | F.A,0.45%,4.48,"1,11,590"
63,Maithan Alloys Limited,MAITHANALL,P&F | F.A,0.43%,1143.8,"37,982"
134,CSL Finance Ltd,CSLFINANCE,P&F | F.A,0.43%,328.5,"8,131"
149,Man Infraconstruction Limited,MANINFRA,P&F | F.A,0.43%,233.95,"11,98,501"
