"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"417","National Aluminium Company Limited","NATIONALUM","P&F | F.A","11.91%","246.06","7,28,40,735"
"126","Muthoot Finance Limited","MUTHOOTFIN","P&F | F.A","7.77%","1913.8","25,13,550"
"322","Swan Energy Limited","SWANENERGY","P&F | F.A","6.88%","546.1","51,39,190"
"237","Godrej Industries Limited","GODREJIND","P&F | F.A","5.38%","982.1","3,47,253"
"254","Aegis Logistics Ltd","AEGISLOG","P&F | F.A","5.3%","847.7","7,43,864"
"296","Hindalco Industries Limited","HINDALCO","P&F | F.A","5.17%","659.8","87,49,145"
"174","The Phoenix Mills Limited","PHOENIXLTD","P&F | F.A","5.1%","1469.25","6,05,438"
"355","Vedanta Limited","VEDL","P&F | F.A","4.66%","453.6","90,90,093"
"371","Crompton Greaves Consumer Electricals Limited","CROMPTON","P&F | F.A","4.46%","387.6","78,66,002"
"486","Suzlon Energy Limited","SUZLON","P&F | F.A","4.18%","59.1","8,80,52,680"
"457","Sammaan Capital Ltd","SAMMAANCAP","P&F | F.A","4.17%","140.5","82,89,262"
"211","Brigade Enterprises Limited","BRIGADE","P&F | F.A","4.12%","1140.7","4,42,463"
"309","Avanti Feeds Limited","AVANTIFEED","P&F | F.A","4.05%","604.9","35,83,078"
"54","Hero Motocorp Limited","HEROMOTOCO","P&F | F.A","3.86%","4781.7","12,97,154"
"482","Equitas Small Finance Bank Ltd","EQUITASBNK","P&F | F.A","3.77%","64.99","24,14,597"
"310","Varun Beverages Limited","VBL","P&F | F.A","3.54%","596.05","41,41,832"
"200","Cholamandalam Investment And Finance Company Limited","CHOLAFIN","P&F | F.A","3.38%","1246.5","8,81,212"
"421","Nmdc Limited","NMDC","P&F | F.A","3.33%","226.08","99,40,863"
"398","Jindal Saw Limited","JINDALSAW","P&F | F.A","3%","303.85","10,05,250"
"396","Knr Constructions Limited","KNRCON","P&F | F.A","2.98%","311.45","19,57,074"
"456","Tata Steel Limited","TATASTEEL","P&F | F.A","2.93%","142.02","2,52,93,839"
"57","BSE (Bombay stock exchange)","BSE","P&F | F.A","2.85%","4677.6","16,05,659"
"155","Ipca Laboratories Limited","IPCALAB","P&F | F.A","2.83%","1580","2,39,662"
"485","Ifci Limited","IFCI","P&F | F.A","2.75%","59.37","1,05,51,045"
"67","Interglobe Aviation Limited","INDIGO","P&F | F.A","2.74%","3997.65","5,10,812"
"25","Cera Sanitaryware Limited","CERA","P&F | F.A","2.72%","7200","25,759"
"481","IDFC First Bank Ltd","IDFCFIRSTB","P&F | F.A","2.59%","65.05","2,13,42,002"
"35","Polycab India Ltd","POLYCAB","P&F | F.A","2.43%","6455.25","2,54,376"
"170","Techno Electric & Engineering Company Ltd","TECHNOE","P&F | F.A","2.4%","1479.6","96,055"
"121","Caplin Point Laboratories Limited","CAPLIPOINT","P&F | F.A","2.38%","1998","55,124"
"391","Indus Towers Ltd (Bharti Infratel)","INDUSTOWER","P&F | F.A","2.3%","325.05","34,29,724"
"470","Punjab National Bank","PNB","P&F | F.A","2.25%","101.73","2,15,08,394"
"171","United Spirits Ltd","UNITDSPR","P&F | F.A","2.19%","1474","4,88,836"
"86","Mastek Limited","MASTEK","P&F | F.A","2.17%","3075.5","1,44,361"
"37","Amber Enterprises India Ltd","AMBER","P&F | F.A","2.12%","6249","2,80,879"
"420","Nlc India Limited","NLCINDIA","P&F | F.A","2.11%","237.2","10,04,059"
"187","Deepak Fertilizers And Petrochemicals Corporation Limited","DEEPAKFERT","P&F | F.A","2.03%","1308.5","9,05,563"
"248","Jindal Steel & Power Limited","JINDALSTEL","P&F | F.A","2.03%","895.25","8,66,292"
"353","Power Finance Corporation Limited","PFC","P&F | F.A","2.02%","463.9","68,20,458"
"240","Ramkrishna Forgings Limited","RKFORGE","P&F | F.A","1.96%","951","1,42,905"
"66","Mazagon Dock Shipbuilders Ltd","MAZDOCK","P&F | F.A","1.93%","4001.95","8,34,535"
"467","Steel Authority Of India Limited","SAIL","P&F | F.A","1.89%","113.95","1,31,01,059"
"167","Central Depository Services Ltd","CDSL","P&F | F.A","1.85%","1500","23,50,391"
"266","One 97 Communications Ltd","PAYTM","P&F | F.A","1.83%","783.2","54,32,365"
"27","Tata Investment Corporation Limited","TATAINVEST","P&F | F.A","1.72%","6724.85","47,418"
"379","General Insurance Corporation of India","GICRE","P&F | F.A","1.71%","360.25","4,29,482"
"488","Bank Of Maharashtra","MAHABANK","P&F | F.A","1.7%","51.36","78,30,620"
"279","CG Power and Industrial Solutions Ltd","CGPOWER","P&F | F.A","1.69%","706.85","9,26,457"
"96","Colgate Palmolive (india) Limited","COLPAL","P&F | F.A","1.65%","2753.6","2,45,328"
"419","Rajesh Exports Limited","RAJESHEXPO","P&F | F.A","1.63%","239.35","13,49,251"
"426","Housing and Urban Development Corporation","HUDCO","P&F | F.A","1.62%","205.31","24,84,514"
"34","Tata Elxsi Limited","TATAELXSI","P&F | F.A","1.61%","6476.95","1,30,345"
"13","PTC Industries Ltd","PTCIL","P&F | F.A","1.57%","11240","8,394"
"258","Shyam Metalics & Energy Ltd","SHYAMMETL","P&F | F.A","1.57%","825.6","1,42,494"
"459","L&T Finance Ltd","LTF","P&F | F.A","1.56%","139.65","42,16,128"
"109","Tvs Motor Company Limited","TVSMOTOR","P&F | F.A","1.51%","2432.3","1,67,463"
"462","Himachal Futuristic Communications Limited","HFCL","P&F | F.A","1.51%","128.8","1,18,07,922"
"89","Ajanta Pharma Limited","AJANTPHARM","P&F | F.A","1.49%","2902.6","45,072"
"319","Ambuja Cements Limited","AMBUJACEM","P&F | F.A","1.47%","552.5","8,63,664"
"327","Upl Limited","UPL","P&F | F.A","1.47%","533.55","18,25,443"
"88","Dr. Lal Path Labs Ltd.","LALPATHLAB","P&F | F.A","1.46%","2999.45","1,01,484"
"477","Gmr Infrastructure Limited","GMRINFRA","P&F | F.A","1.45%","77.92","89,24,226"
"195","Adani Ports And Special Economic Zone Limited","ADANIPORTS","P&F | F.A","1.4%","1282.25","9,27,577"
"70","Anand Rathi Wealth Ltd","ANANDRATHI","P&F | F.A","1.38%","3937.55","13,680"
"90","Mahindra & Mahindra Limited","M&M","P&F | F.A","1.38%","2846","14,96,510"
"436","Godawari Power And Ispat Limited","GPIL","P&F | F.A","1.38%","188","5,25,017"
"14","Maruti Suzuki India Limited","MARUTI","P&F | F.A","1.34%","11153","1,97,675"
"193","Suven Pharmaceuticals Ltd","SUVENPHAR","P&F | F.A","1.29%","1291.2","50,825"
"208","Godrej Consumer Products Limited","GODREJCP","P&F | F.A","1.29%","1190.3","7,55,087"
"367","Coal India Limited","COALINDIA","P&F | F.A","1.28%","415","44,26,729"
"141","Coromandel International Limited","COROMANDEL","P&F | F.A","1.27%","1737.75","1,64,743"
"289","Archean Chemical Industries Ltd","ACI","P&F | F.A","1.26%","688.35","1,59,504"
"366","Heg Limited","HEG","P&F | F.A","1.23%","415.25","1,31,566"
"306","Lic Housing Finance Limited","LICHSGFIN","P&F | F.A","1.22%","615.55","6,76,201"
"203","Macrotech Developers Ltd","LODHA","P&F | F.A","1.19%","1236.65","12,37,998"
"404","Aditya Birla Fashion And Retail Limited","ABFRL","P&F | F.A","1.18%","292.1","10,07,586"
"194","Tejas Networks","TEJASNET","P&F | F.A","1.17%","1282.6","6,63,397"
"314","Gujarat Narmada Valley Fertilizers And Chemicals Limited","GNFC","P&F | F.A","1.16%","560.65","4,44,267"
"101","Mankind Pharma Ltd","MANKIND","P&F | F.A","1.15%","2627.6","1,04,003"
"414","Mahindra & Mahindra Financial Services Limited","M&MFIN","P&F | F.A","1.15%","259.8","3,77,313"
"423","Ashok Leyland Limited","ASHOKLEY","P&F | F.A","1.14%","220.06","25,98,182"
"282","Praj Industries Limited","PRAJIND","P&F | F.A","1.12%","697.4","3,06,703"
"473","Nbcc (india) Limited","NBCC","P&F | F.A","1.11%","91","40,37,687"
"492","Uco Bank","UCOBANK","P&F | F.A","1.11%","41.73","21,10,837"
"413","Kansai Nerolac Paints Limited","KANSAINER","P&F | F.A","1.1%","262.1","1,07,469"
"48","Crisil Limited","CRISIL","P&F | F.A","1.07%","5246.2","12,172"
"178","Olectra Greentech Ltd","OLECTRA","P&F | F.A","1.07%","1432.65","3,00,216"
"368","Tata Power Company Limited","TATAPOWER","P&F | F.A","1.06%","408.95","73,89,844"
"335","Himadri Speciality Chemical Limited","HSCL","P&F | F.A","1.03%","502.9","12,61,298"
"146","Hdfc Bank Limited","HDFCBANK","P&F | F.A","1.02%","1709.95","83,17,584"
"114","Nestle India Limited","NESTLEIND","P&F | F.A","1.01%","2204.9","3,39,979"
"307","Jubilant Foodworks Limited","JUBLFOOD","P&F | F.A","1%","614.25","8,19,552"
"308","Maharashtra Seamless Limited","MAHSEAMLES","P&F | F.A","1%","613.75","1,26,211"
"491","NMDC Steel Ltd","NSLNISP","P&F | F.A","1%","44.3","23,67,744"
"32","Bajaj Finance Limited","BAJFINANCE","P&F | F.A","0.99%","6614.1","3,88,877"
"102","Godrej Properties Limited","GODREJPROP","P&F | F.A","0.99%","2620.95","1,63,177"
"439","TVS Supply Chain Solutions Ltd","TVSSCS","P&F | F.A","0.99%","181.7","2,58,596"
"18","Bajaj Auto Limited","BAJAJ-AUTO","P&F | F.A","0.97%","9575.35","1,81,234"
"119","Lupin Limited","LUPIN","P&F | F.A","0.96%","2035.3","5,67,409"
"450","Rbl Bank Limited","RBLBANK","P&F | F.A","0.96%","156.21","38,07,669"
"132","Whirlpool Of India Limited","WHIRLPOOL","P&F | F.A","0.95%","1820","43,334"
"243","TATA Consumer Products Ltd","TATACONSUM","P&F | F.A","0.93%","933.6","10,13,878"
"142","Kotak Mahindra Bank Limited","KOTAKBANK","P&F | F.A","0.91%","1723.4","8,47,231"
"489","Indian Overseas Bank","IOB","P&F | F.A","0.91%","50","32,09,066"
"241","Jsw Steel Limited","JSWSTEEL","P&F | F.A","0.89%","947.45","5,56,722"
"47","Alkem Laboratories Limited","ALKEM","P&F | F.A","0.88%","5573.55","1,56,897"
"446","Motherson Sumi Systems Limited","MOTHERSON","P&F | F.A","0.88%","166.81","71,18,774"
"236","KFin Technologies Ltd","KFINTECH","P&F | F.A","0.87%","986.05","1,53,199"
"4","Bosch Limited","BOSCHLTD","P&F | F.A","0.85%","34149.95","11,471"
"297","Kalyan Jewellers India Ltd","KALYANKJIL","P&F | F.A","0.85%","659.45","43,58,437"
"431","Castrol India Limited","CASTROLIND","P&F | F.A","0.85%","192.02","16,64,250"
"257","Can Fin Homes Limited","CANFINHOME","P&F | F.A","0.84%","829.9","1,26,131"
"43","Divi's Laboratories Limited","DIVISLAB","P&F | F.A","0.83%","5797.75","2,09,777"
"58","Supreme Industries Limited","SUPREMEIND","P&F | F.A","0.83%","4580.9","76,914"
"377","Jk Tyre & Industries Limited","JKTYRE","P&F | F.A","0.83%","368.55","2,20,350"
"427","The Federal Bank  Limited","FEDERALBNK","P&F | F.A","0.82%","198.6","58,91,636"
"466","Union Bank Of India","UNIONBANK","P&F | F.A","0.79%","114.8","40,53,327"
"487","Central Bank Of India","CENTRALBK","P&F | F.A","0.77%","52.32","26,47,862"
"337","Hindustan Zinc Limited","HINDZINC","P&F | F.A","0.76%","499.1","16,41,062"
"64","Hindustan Aeronautics Ltd","HAL","P&F | F.A","0.72%","4116.4","13,52,007"
"46","Kaynes Technology India Ltd","KAYNES","P&F | F.A","0.7%","5577.15","2,30,398"
"269","Dlf Limited","DLF","P&F | F.A","0.69%","767.95","17,42,694"
"85","Torrent Pharmaceuticals Limited","TORNTPHARM","P&F | F.A","0.68%","3123.35","1,05,631"
"116","Acc Limited","ACC","P&F | F.A","0.68%","2203.05","58,495"
"497","Alok Industries Ltd","ALOKINDS","P&F | F.A","0.68%","20.77","54,95,585"
"403","JSW Infrastructure Ltd","JSWINFRA","P&F | F.A","0.67%","292.55","7,68,941"
"461","Jm Financial Limited","JMFINANCIL","P&F | F.A","0.67%","129.92","63,95,621"
"441","Gujarat Pipavav Port Limited","GPPL","P&F | F.A","0.66%","176.72","6,32,338"
"334","Rural Electrification Corporation Limited","RECLTD","P&F | F.A","0.65%","505.6","34,99,032"
"338","Laurus Labs Limited","LAURUSLABS","P&F | F.A","0.63%","489.05","6,12,065"
"295","Jubilant Ingrevia Ltd","JUBLINGREA","P&F | F.A","0.62%","660.65","1,06,839"
"104","Bombay Burmah Trading Corporation Limited","BBTC","P&F | F.A","0.61%","2580","97,751"
"412","Hindustan Copper Limited","HINDCOPPER","P&F | F.A","0.61%","264.3","30,96,179"
"118","Grindwell Norton Limited","GRINDWELL","P&F | F.A","0.59%","2097.1","23,659"
"97","Doms Industries Ltd","DOMS","P&F | F.A","0.58%","2702.9","39,361"
"471","Canara Bank","CANBK","P&F | F.A","0.58%","98.06","1,04,65,180"
"475","SBFC Finance Ltd","SBFC","P&F | F.A","0.58%","83.39","8,83,123"
"91","Adani Enterprises Limited","ADANIENT","P&F | F.A","0.57%","2843","3,16,022"
"152","Havells India Limited","HAVELLS","P&F | F.A","0.57%","1628.15","2,31,636"
"483","Motherson Sumi Wiring India Ltd","MSUMI","P&F | F.A","0.57%","61.28","15,31,009"
"95","Balkrishna Industries Limited","BALKRISIND","P&F | F.A","0.56%","2753.95","48,371"
"149","Jb Chemicals & Pharmaceuticals Limited","JBCHEPHARM","P&F | F.A","0.56%","1691.35","1,05,567"
"226","Tata Chemicals Limited","TATACHEM","P&F | F.A","0.56%","1064.5","2,90,874"
"98","Netweb Technologies India Ltd","NETWEB","P&F | F.A","0.54%","2685.35","87,534"
"173","Carborundum Universal Limited","CARBORUNIV","P&F | F.A","0.54%","1469.6","1,98,102"
"107","Asian Paints Limited","ASIANPAINT","P&F | F.A","0.53%","2496.35","5,33,339"
"290","Welspun Corp Limited","WELCORP","P&F | F.A","0.52%","681.8","3,25,490"
"74","Larsen & Toubro Limited","LT","P&F | F.A","0.51%","3544.1","6,67,450"
"325","Hbl Power Systems Limited","HBLPOWER","P&F | F.A","0.48%","543.5","5,74,290"
"259","Fertilizers And Chemicals Travancore Limited","FACT","P&F | F.A","0.47%","822.55","82,957"
"410","Zomato Ltd","ZOMATO","P&F | F.A","0.47%","270.92","3,65,11,008"
"260","State Bank Of India","SBIN","P&F | F.A","0.45%","807.9","51,73,961"
"9","Dixon Technologies","DIXON","P&F | F.A","0.44%","14841","2,25,048"
"360","Aster DM Healthcare Ltd","ASTERDM","P&F | F.A","0.41%","432.15","4,50,798"
"454","Welspun Living Ltd","WELSPUNLIV","P&F | F.A","0.41%","150.23","6,37,915"
"202","Max Financial Services Limited","MFSL","P&F | F.A","0.37%","1237.2","5,03,678"
"448","Indian Energy Exchange Ltd","IEX","P&F | F.A","0.37%","162.11","23,19,404"
"80","Cummins India Limited","CUMMINSIND","P&F | F.A","0.36%","3341.75","4,25,053"
"227","Piramal Enterprises Limited","PEL","P&F | F.A","0.36%","1048","6,90,451"
"110","Hindustan Unilever Limited","HINDUNILVR","P&F | F.A","0.35%","2397.55","5,43,139"
"261","Aditya Birla Sun Life AMC Ltd","ABSLAMC","P&F | F.A","0.34%","804","1,72,506"
"222","Birla Corporation Limited","BIRLACORPN","P&F | F.A","0.3%","1088.6","28,914"
"265","Container Corporation Of India Limited","CONCOR","P&F | F.A","0.3%","788","4,22,907"
"156","TBO Tek Ltd","TBOTEK","P&F | F.A","0.29%","1572.1","9,555"
"313","AU Small Finance Bank","AUBANK","P&F | F.A","0.29%","575.55","10,06,673"
"92","Shriram Finance Ltd","SHRIRAMFIN","P&F | F.A","0.28%","2830.5","5,55,149"
"77","Tube Investments of India Ltd","TIINDIA","P&F | F.A","0.27%","3449.65","3,13,900"
"474","Network18 Media & Investments Limited","NETWORK18","P&F | F.A","0.27%","85.05","27,33,083"
"267","Tata Motors Limited","TATAMOTORS","P&F | F.A","0.26%","776.35","1,30,54,749"
"207","Kalpataru Projects International Ltd","KPIL","P&F | F.A","0.25%","1202","49,401"
"495","Trident Limited","TRIDENT","P&F | F.A","0.25%","31.86","34,08,240"
"458","Indian Railway Finance Corporation Ltd","IRFC","P&F | F.A","0.24%","140","91,34,411"
"232","Kec International Limited","KEC","P&F | F.A","0.23%","1008.2","5,72,974"
"106","Grasim Industries Limited","GRASIM","P&F | F.A","0.22%","2529.4","8,80,334"
"411","Finolex Industries Limited","FINPIPE","P&F | F.A","0.21%","265.1","2,34,352"
"468","Sjvn Limited","SJVN","P&F | F.A","0.21%","103.99","34,08,949"
"480","Tata Teleservices (maharashtra) Limited","TTML","P&F | F.A","0.21%","67.75","13,07,985"
"176","Jbm Auto Limited","JBMA","P&F | F.A","0.2%","1457","55,749"
"302","Fortis Healthcare Limited","FORTIS","P&F | F.A","0.2%","640.4","5,29,738"
